Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,3.21,3.21,2.95,2.95,1000,2.95
2015-08-06,3.10,3.21,2.94,3.21,5900,3.21
2015-08-05,3.00,3.19,2.92,2.92,1400,2.92
2015-08-04,3.09,3.09,2.92,2.93,2100,2.93
2015-08-03,2.99,2.99,2.99,2.99,000,2.99
2015-07-31,2.99,2.99,2.99,2.99,100,2.99
2015-07-30,2.92,2.92,2.92,2.92,000,2.92
2015-07-29,2.92,2.92,2.92,2.92,000,2.92
2015-07-28,2.92,2.92,2.92,2.92,400,2.92
2015-07-27,2.93,2.93,2.93,2.93,000,2.93
2015-07-24,2.91,2.93,2.91,2.93,3300,2.93
2015-07-23,2.93,2.93,2.91,2.91,1800,2.91
2015-07-22,2.91,2.91,2.91,2.91,000,2.91
2015-07-21,2.91,2.91,2.91,2.91,000,2.91
2015-07-20,2.91,2.91,2.91,2.91,000,2.91
2015-07-17,2.91,2.91,2.90,2.91,7400,2.91
2015-07-16,2.90,2.90,2.90,2.90,000,2.90
2015-07-15,2.90,2.90,2.90,2.90,000,2.90
2015-07-14,2.90,2.90,2.90,2.90,100,2.90
2015-07-13,2.92,2.92,2.92,2.92,000,2.92
2015-07-10,2.90,2.92,2.90,2.92,300,2.92
2015-07-09,2.90,2.90,2.90,2.90,2000,2.90
2015-07-08,2.90,2.90,2.90,2.90,100,2.90
2015-07-07,2.81,2.91,2.81,2.91,7600,2.91
2015-07-06,2.91,2.91,2.91,2.91,000,2.91
2015-07-02,2.91,2.91,2.91,2.91,1400,2.91
2015-07-01,2.97,2.97,2.97,2.97,2700,2.97
2015-06-30,2.91,2.97,2.91,2.97,1400,2.97
2015-06-29,3.00,3.00,3.00,3.00,000,3.00
2015-06-26,3.00,3.00,3.00,3.00,000,3.00
2015-06-25,3.00,3.00,3.00,3.00,200,3.00
2015-06-24,2.91,3.00,2.91,3.00,1000,3.00
2015-06-23,2.90,2.90,2.90,2.90,100,2.90
2015-06-22,2.84,2.84,2.84,2.84,000,2.84
2015-06-19,2.84,2.84,2.84,2.84,000,2.84
2015-06-18,2.84,2.84,2.84,2.84,000,2.84
2015-06-17,2.84,2.84,2.84,2.84,1100,2.84
2015-06-16,2.83,2.83,2.83,2.83,300,2.83
2015-06-15,2.83,2.83,2.83,2.83,000,2.83
2015-06-12,2.83,2.83,2.83,2.83,000,2.83
2015-06-11,2.83,2.83,2.83,2.83,000,2.83
2015-06-10,2.82,2.83,2.82,2.83,1900,2.83
2015-06-09,2.84,2.84,2.84,2.84,1100,2.84
2015-06-08,2.84,2.84,2.84,2.84,000,2.84
2015-06-05,2.84,2.84,2.84,2.84,000,2.84
2015-06-04,2.84,2.84,2.84,2.84,2700,2.84
2015-06-03,2.88,2.88,2.84,2.84,2300,2.84
2015-06-02,2.85,2.85,2.85,2.85,100,2.85
2015-06-01,2.84,2.84,2.84,2.84,500,2.84
2015-05-29,2.84,2.84,2.80,2.80,21000,2.80
2015-05-28,2.90,2.90,2.84,2.84,3600,2.84
2015-05-27,2.86,2.90,2.86,2.90,2300,2.90
2015-05-26,2.93,2.93,2.86,2.86,2400,2.86
2015-05-22,2.85,2.85,2.85,2.85,000,2.85
2015-05-21,2.85,2.85,2.85,2.85,400,2.85
2015-05-20,2.90,2.90,2.83,2.83,5500,2.83
2015-05-19,2.93,2.93,2.93,2.93,000,2.93
2015-05-18,2.90,2.93,2.90,2.93,2100,2.93
2015-05-15,2.90,2.91,2.90,2.91,1400,2.91
2015-05-14,2.90,2.91,2.90,2.91,3100,2.91
