Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,13.62,13.80,13.26,13.27,139000,13.27
2015-08-06,13.91,14.00,13.27,13.72,126800,13.72
2015-08-05,14.08,14.30,13.94,13.97,103700,13.97
2015-08-04,14.15,14.29,14.09,14.09,28000,14.09
2015-08-03,14.23,14.23,14.10,14.15,41000,14.15
2015-07-31,14.36,14.40,14.16,14.20,41500,14.20
2015-07-30,14.08,14.36,14.08,14.30,23400,14.30
2015-07-29,14.30,14.49,14.12,14.16,36000,14.16
2015-07-28,14.08,14.29,14.00,14.29,30400,14.29
2015-07-27,14.28,14.29,14.00,14.01,129000,14.01
2015-07-24,14.20,14.37,14.10,14.29,78500,14.29
2015-07-23,14.35,14.35,14.00,14.18,58200,14.18
2015-07-22,14.47,14.50,14.23,14.23,93000,14.23
2015-07-21,14.35,14.55,14.35,14.41,29000,14.41
2015-07-20,14.50,14.50,14.31,14.40,26800,14.40
2015-07-17,14.52,14.59,14.36,14.40,52600,14.40
2015-07-16,14.51,14.51,14.30,14.41,48200,14.41
2015-07-15,14.65,14.65,14.41,14.49,30100,14.49
2015-07-14,14.41,14.75,14.40,14.64,35000,14.64
2015-07-13,14.40,14.55,14.38,14.46,44800,14.46
2015-07-10,14.55,14.55,14.30,14.39,65100,14.39
2015-07-09,14.53,15.00,14.32,14.38,205200,14.38
2015-07-08,14.46,14.49,14.30,14.38,31100,14.38
2015-07-07,14.65,14.69,14.35,14.56,131100,14.56
2015-07-06,14.75,14.75,14.40,14.60,49600,14.60
2015-07-02,14.62,14.78,14.29,14.78,102200,14.78
2015-07-01,14.43,14.82,14.20,14.58,251100,14.58
2015-06-30,14.15,14.28,14.00,14.21,91300,14.21
2015-06-29,14.30,14.48,13.90,14.00,207800,14.00
2015-06-26,14.46,14.49,14.26,14.33,157800,14.33
2015-06-25,14.47,14.50,14.25,14.38,205200,14.38
2015-06-24,14.56,14.79,14.44,14.44,101200,14.44
2015-06-23,14.50,14.59,14.31,14.47,103600,14.47
2015-06-22,14.94,14.94,14.51,14.55,115900,14.55
2015-06-19,14.80,14.94,14.75,14.86,69700,14.86
2015-06-18,14.74,14.93,14.74,14.83,124200,14.83
2015-06-17,14.99,14.99,14.77,14.77,62400,14.77
2015-06-16,14.77,14.95,14.77,14.90,85000,14.90
2015-06-15,14.95,14.95,14.72,14.87,68900,14.87
2015-06-12,14.60,14.99,14.51,14.95,145400,14.95
2015-06-11,14.82,15.49,14.35,15.24,311300,14.64
2015-06-10,15.31,15.35,15.15,15.19,86200,14.591968
2015-06-09,15.29,15.29,15.14,15.24,122100,14.64
