Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,37.849998,38.476002,37.490002,38.290001,116800,38.290001
2015-08-06,39.279999,39.360001,37.610001,38.00,91600,38.00
2015-08-05,38.860001,39.549999,38.206001,39.310001,152400,39.310001
2015-08-04,38.919998,39.669998,38.119999,38.689999,120400,38.689999
2015-08-03,38.959999,40.400002,37.990002,38.91,198000,38.91
2015-07-31,38.84,40.080002,38.52,39.279999,143300,39.279999
2015-07-30,36.919998,39.279999,36.689999,38.810001,144700,38.810001
2015-07-29,36.900002,37.68,36.50,37.150002,129600,37.150002
2015-07-28,36.720001,37.34,35.950001,36.959999,69300,36.959999
2015-07-27,37.610001,37.610001,36.220001,36.57,59900,36.57
2015-07-24,37.889999,38.349998,37.580002,37.849998,194400,37.849998
2015-07-23,38.43,38.43,37.779999,37.950001,111000,37.950001
2015-07-22,38.060001,38.43,37.619999,38.360001,124800,38.360001
2015-07-21,38.110001,38.450001,37.674999,38.18,93400,38.18
2015-07-20,38.09,38.630001,37.75,38.110001,111900,38.110001
2015-07-17,38.360001,38.360001,37.939999,38.189999,58900,38.189999
2015-07-16,37.959999,38.540001,37.669998,38.23,49300,38.23
2015-07-15,38.25,38.470001,37.290001,37.75,109600,37.75
2015-07-14,38.400002,38.599998,37.939999,38.380001,89200,38.380001
2015-07-13,38.470001,39.400002,38.200001,38.34,95800,38.34
2015-07-10,37.880001,38.650002,36.299999,38.43,72500,38.43
2015-07-09,37.189999,37.610001,35.77,37.349998,277800,37.349998
2015-07-08,37.200001,37.298,36.509998,36.610001,89100,36.610001
2015-07-07,38.209999,38.672001,36.82,37.470001,138100,37.470001
2015-07-06,37.810001,39.119999,37.50,38.040001,123000,38.040001
2015-07-02,38.209999,38.290001,37.240002,37.889999,80100,37.889999
2015-07-01,39.759998,40.540001,37.490002,38.029999,221900,38.029999
2015-06-30,36.560001,39.049999,36.00,38.939999,457200,38.939999
2015-06-29,36.43,36.970001,36.07,36.200001,103700,36.200001
2015-06-26,37.080002,37.365002,36.09,36.779999,315200,36.779999
