Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,5.95,6.14,5.86,5.94,62500,5.94
2015-08-06,5.91,6.03,5.75,5.97,87800,5.97
2015-08-05,6.45,6.46,5.65,5.97,269200,5.97
2015-08-04,6.91,7.19,6.88,7.09,39600,7.04
2015-08-03,6.64,7.05,6.64,6.90,17900,6.85134
2015-07-31,6.82,7.05,6.75,7.05,16500,7.000282
2015-07-30,6.65,6.84,6.63,6.84,209400,6.791763
2015-07-29,6.47,6.69,6.45,6.69,57200,6.642821
2015-07-28,6.65,6.65,6.45,6.46,30100,6.414443
2015-07-27,6.72,6.72,6.64,6.64,29500,6.593173
2015-07-24,6.80,6.90,6.69,6.80,19900,6.752045
2015-07-23,6.95,7.04,6.78,6.84,90500,6.791763
2015-07-22,6.95,7.02,6.85,6.99,112500,6.940705
2015-07-21,6.98,7.07,6.93,6.93,12700,6.881128
2015-07-20,7.10,7.10,6.98,7.00,9200,6.950635
2015-07-17,7.23,7.25,7.04,7.10,54900,7.049929
2015-07-16,7.25,7.37,7.04,7.23,37200,7.179013
2015-07-15,7.15,7.24,7.01,7.24,36800,7.188942
2015-07-14,6.98,7.15,6.97,7.14,11000,7.089647
2015-07-13,7.09,7.17,7.09,7.13,17700,7.079718
2015-07-10,7.00,7.11,6.96,7.11,44900,7.059859
2015-07-09,6.94,6.99,6.82,6.96,10100,6.910917
2015-07-08,6.81,6.95,6.81,6.85,16000,6.801692
2015-07-07,7.00,7.01,6.85,6.99,22100,6.940705
2015-07-06,7.03,7.12,6.95,6.95,14000,6.900987
2015-07-02,7.12,7.16,7.01,7.11,14000,7.059859
2015-07-01,7.19,7.29,7.10,7.14,14600,7.089647
2015-06-30,7.25,7.31,7.17,7.18,11200,7.129365
2015-06-29,7.34,7.42,7.12,7.22,90200,7.169083
2015-06-26,7.38,7.40,7.35,7.40,14000,7.347814
2015-06-25,7.39,7.39,7.35,7.38,45200,7.327955
2015-06-24,7.30,7.40,7.30,7.35,10800,7.298166
2015-06-23,7.34,7.48,7.33,7.40,25700,7.347814
2015-06-22,7.29,7.44,7.29,7.41,16000,7.357743
2015-06-19,7.42,7.50,7.28,7.29,18600,7.23859
2015-06-18,7.36,7.50,7.32,7.48,14300,7.42725
2015-06-17,7.25,7.40,7.15,7.24,29700,7.188942
2015-06-16,7.45,7.45,7.29,7.29,11600,7.23859
2015-06-15,7.31,7.49,7.25,7.44,12900,7.387532
2015-06-12,7.46,7.47,7.36,7.39,21900,7.337884
2015-06-11,7.48,7.54,7.41,7.49,21900,7.437179
2015-06-10,7.46,7.57,7.37,7.48,22900,7.42725
2015-06-09,7.36,7.57,7.36,7.41,15000,7.357743
2015-06-08,7.14,7.48,7.14,7.44,28900,7.387532
2015-06-05,7.28,7.35,7.11,7.22,62000,7.169083
2015-06-04,7.45,7.45,7.25,7.28,24500,7.22866
2015-06-03,7.34,7.52,7.34,7.52,65400,7.466968
2015-06-02,7.46,7.56,7.34,7.38,47800,7.327955
2015-06-01,7.47,7.55,7.42,7.42,22000,7.367673
2015-05-29,7.35,7.53,7.35,7.40,17900,7.347814
2015-05-28,7.44,7.52,7.40,7.43,33000,7.377602
2015-05-27,7.55,7.81,7.41,7.41,42700,7.357743
2015-05-26,7.75,7.75,7.45,7.45,28100,7.397461
2015-05-22,7.51,7.88,7.48,7.87,34600,7.814499
2015-05-21,7.85,7.85,7.58,7.63,19800,7.576192
2015-05-20,7.67,7.91,7.57,7.91,25400,7.854217
