Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,261.25,261.25,261.25,261.25,000,261.25
2015-05-22,260.76001,261.67999,260.76001,261.25,1953800,261.25
2015-05-21,259.00,260.25,258.60999,259.54999,1916500,259.54999
2015-05-20,259.16,259.20001,258.06,258.73001,328900,258.73001
2015-05-19,258.04999,259.06,258.04999,258.95001,743600,258.95001
2015-05-18,257.00,258.56,257.00,258.23001,642400,258.23001
2015-05-15,255.89999,256.42999,254.94,255.42,1242600,255.42
2015-05-14,255.37,256.70001,255.00,255.92,423300,255.92
2015-05-13,254.95,255.47,254.88,254.99001,379500,254.99001
2015-05-12,255.00,255.30,254.57001,254.92,370800,254.92
2015-05-11,254.96001,255.50,254.64999,254.91,531300,254.91
2015-05-08,255.16,255.95,254.45,255.00,329300,255.00
2015-05-07,254.80,255.83,254.75999,254.89999,565100,254.89999
2015-05-06,254.39999,255.89,253.67,255.19,500100,255.19
2015-05-05,254.61,254.95,253.53999,253.71001,820300,253.71001
2015-05-04,255.78999,256.04999,254.73,254.75,598700,254.75
2015-05-01,256.29001,256.60999,254.00,254.50999,1034000,254.50999
2015-04-30,256.32001,256.45001,254.75,256.20001,849600,256.20001
2015-04-29,256.79999,256.98999,255.41,255.46001,997200,255.46001
2015-04-28,256.63,257.82999,256.50,256.98999,444800,256.98999
2015-04-27,256.98999,257.48999,256.29999,256.82001,618100,256.82001
2015-04-24,257.50,257.67001,256.35001,256.59,615100,256.59
2015-04-23,257.67001,257.75,256.85001,257.10001,942400,257.10001
2015-04-22,257.75,258.25,256.76001,256.98999,475500,256.98999
2015-04-21,256.64001,257.75,256.00,257.75,238300,257.75
2015-04-20,258.35001,258.35001,256.29999,256.57001,733600,256.57001
2015-04-17,257.95001,258.60999,256.91,257.45001,3096200,257.45001
2015-04-16,258.04999,260.47,257.50,258.01999,1694700,258.01999
2015-04-15,256.81,259.67001,256.60999,258.85001,871000,258.85001
2015-04-14,257.57001,257.75,256.50,256.70999,1478000,256.70999
2015-04-13,258.00,258.50,257.50,257.51001,859800,257.51001
2015-04-10,257.45999,258.73999,257.32001,258.35001,835600,258.35001
2015-04-09,256.89001,257.82999,256.62,257.78,618300,257.78
2015-04-08,256.89001,257.73001,256.70999,257.48001,472300,257.48001
2015-04-07,256.54999,257.10001,256.28,257.01999,399500,257.01999
2015-04-06,255.89999,256.73001,255.72,256.54999,678400,256.54999
2015-04-02,255.05,256.81,255.00,256.39999,583200,256.39999
2015-04-01,255.78999,256.25,254.64,255.09,1124500,255.09
2015-03-31,256.45001,256.82999,255.50,255.95,824600,255.95
