Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,38.689999,38.880001,36.924999,37.450001,382600,37.450001
2015-08-06,39.84,39.84,38.139999,38.799999,289900,38.799999
2015-08-05,39.549999,40.139999,39.369999,39.66,297300,39.66
2015-08-04,39.080002,39.509998,38.720001,39.209999,266100,39.209999
2015-08-03,38.91,39.50,38.779999,39.259998,253700,39.259998
2015-07-31,39.00,39.849998,38.700001,38.799999,369500,38.799999
2015-07-30,38.360001,39.419998,37.990002,38.98,248600,38.98
2015-07-29,38.220001,38.981998,38.080002,38.59,193800,38.59
2015-07-28,38.07,38.66,37.509998,38.200001,189100,38.200001
2015-07-27,38.540001,38.790001,37.82,38.099998,118900,38.099998
2015-07-24,39.18,39.59,38.580002,38.869999,182500,38.869999
2015-07-23,39.610001,39.779999,38.435001,39.080002,241900,39.080002
2015-07-22,39.400002,39.869999,39.299999,39.43,432100,39.43
2015-07-21,39.43,39.740002,39.299999,39.540001,199300,39.540001
2015-07-20,39.130001,39.73,38.945999,39.43,143100,39.43
2015-07-17,38.919998,39.25,38.759998,39.130001,207000,39.130001
2015-07-16,38.439999,39.049999,38.439999,39.02,220500,39.02
2015-07-15,38.75,38.875,37.959999,38.419998,273500,38.419998
2015-07-14,38.68,38.868999,38.43,38.799999,228900,38.799999
2015-07-13,37.25,38.830002,37.25,38.560001,651900,38.560001
2015-07-10,36.299999,36.919998,36.209999,36.619999,147000,36.619999
2015-07-09,36.189999,36.66,35.689999,36.029999,344600,36.029999
2015-07-08,35.73,36.25,35.540001,35.740002,487000,35.740002
2015-07-07,35.369999,36.040001,34.919998,35.919998,509700,35.919998
2015-07-06,35.23,35.98,34.98,35.400002,355900,35.400002
2015-07-02,35.700001,36.049999,34.869999,35.57,410100,35.57
2015-07-01,36.360001,36.75,35.549999,35.619999,266900,35.619999
2015-06-30,35.689999,36.279999,35.09,36.09,434700,36.09
2015-06-29,36.720001,36.779999,35.34,35.369999,307900,35.369999
