Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,6.57,6.74,6.55,6.73,1595800,6.73
2015-08-06,6.80,6.80,6.57,6.64,1533500,6.64
2015-08-05,6.67,6.85,6.65,6.76,1276500,6.76
2015-08-04,6.78,6.78,6.61,6.65,1562400,6.65
2015-08-03,6.81,6.82,6.73,6.81,1173900,6.81
2015-07-31,6.80,6.87,6.73,6.81,1487000,6.81
2015-07-30,6.80,6.86,6.76,6.83,1469200,6.83
2015-07-29,6.79,6.87,6.70,6.80,1622500,6.80
2015-07-28,6.76,6.82,6.63,6.80,3843400,6.80
2015-07-27,6.67,6.80,6.63,6.71,3086900,6.71
2015-07-24,7.16,7.34,6.60,6.71,18257200,6.71
2015-07-23,7.59,7.97,7.59,7.72,2212400,7.72
2015-07-22,7.61,7.65,7.45,7.56,1254600,7.56
2015-07-21,7.70,7.85,7.66,7.68,805500,7.68
2015-07-20,7.90,7.96,7.70,7.72,1427100,7.72
2015-07-17,7.98,7.98,7.86,7.91,1015600,7.91
2015-07-16,8.01,8.24,7.91,7.96,1536900,7.96
2015-07-15,8.05,8.09,7.88,7.93,1625200,7.93
2015-07-14,7.84,7.98,7.80,7.93,1753600,7.93
2015-07-13,7.93,8.01,7.79,7.87,731500,7.87
2015-07-10,7.93,8.04,7.78,7.89,1431400,7.89
2015-07-09,8.07,8.12,7.84,7.86,2665900,7.86
2015-07-08,8.15,8.15,7.96,8.02,1678600,8.02
2015-07-07,8.15,8.26,7.82,8.21,2688400,8.21
2015-07-06,8.23,8.31,8.05,8.15,1844400,8.15
2015-07-02,8.39,8.39,8.26,8.27,1128500,8.27
2015-07-01,8.63,8.69,8.29,8.38,1966700,8.38
2015-06-30,8.80,8.81,8.56,8.56,1190600,8.56
2015-06-29,8.74,8.83,8.64,8.71,1508300,8.71
2015-06-26,9.18,9.18,8.74,8.85,1658300,8.85
2015-06-25,9.19,9.25,9.13,9.20,943200,9.20
2015-06-24,9.23,9.26,9.15,9.18,1139300,9.18
2015-06-23,9.13,9.27,9.13,9.23,1027100,9.23
2015-06-22,9.32,9.36,9.16,9.26,2069600,9.26
2015-06-19,9.37,9.39,9.24,9.29,1626900,9.29
2015-06-18,9.27,9.44,9.24,9.40,1343100,9.40
2015-06-17,9.28,9.33,9.18,9.24,1070300,9.24
2015-06-16,9.13,9.28,8.96,9.24,1022700,9.24
2015-06-15,8.98,9.21,8.86,9.19,914600,9.19
2015-06-12,9.17,9.25,9.13,9.20,962900,9.20
2015-06-11,9.23,9.23,9.16,9.23,675400,9.23
2015-06-10,9.19,9.28,9.17,9.22,965300,9.22
2015-06-09,9.13,9.22,9.03,9.16,956900,9.16
2015-06-08,9.20,9.26,9.10,9.14,1209000,9.14
2015-06-05,9.11,9.23,9.05,9.23,922200,9.23
2015-06-04,9.17,9.39,9.10,9.16,3632000,9.16
2015-06-03,8.97,9.05,8.93,8.96,699100,8.96
2015-06-02,9.04,9.04,8.93,8.96,898700,8.96
2015-06-01,9.10,9.16,8.98,9.06,1286700,9.06
2015-05-29,9.01,9.21,8.96,9.08,4744800,9.08
2015-05-28,8.75,9.02,8.64,9.00,2250300,9.00
2015-05-27,8.35,8.78,8.35,8.77,2095200,8.77
2015-05-26,8.64,8.65,8.35,8.43,2485300,8.43
2015-05-22,8.34,8.73,8.34,8.65,1921100,8.65
2015-05-21,8.49,8.50,8.33,8.35,1481000,8.35
2015-05-20,8.34,8.52,8.27,8.49,1361200,8.49
2015-05-19,8.45,8.49,8.25,8.32,1824600,8.32
2015-05-18,8.43,8.48,8.39,8.42,1442700,8.42
2015-05-15,8.57,8.61,8.43,8.44,651000,8.44
2015-05-14,8.44,8.63,8.40,8.58,1621900,8.58
2015-05-13,8.46,8.55,8.35,8.37,446100,8.37
2015-05-12,8.57,8.57,8.36,8.42,821400,8.42
2015-05-11,8.52,8.65,8.51,8.56,748800,8.56
2015-05-08,8.63,8.63,8.46,8.52,1062500,8.52
2015-05-07,8.25,8.55,8.23,8.53,1206600,8.53
2015-05-06,8.26,8.35,8.17,8.26,1048100,8.26
2015-05-05,8.47,8.57,8.25,8.26,1104400,8.26
2015-05-04,8.61,8.65,8.49,8.52,790200,8.52
2015-05-01,8.44,8.65,8.30,8.59,869000,8.59
2015-04-30,8.53,8.59,8.42,8.43,1588600,8.43
2015-04-29,8.60,8.70,8.51,8.58,1131400,8.58
2015-04-28,9.00,9.00,8.33,8.67,3483100,8.67
2015-04-27,9.01,9.19,8.84,8.86,1656000,8.86
2015-04-24,9.21,9.34,8.90,8.99,1820100,8.99
2015-04-23,9.37,9.39,9.11,9.24,950300,9.24
2015-04-22,9.39,9.51,9.36,9.45,601100,9.45
2015-04-21,9.40,9.46,9.38,9.40,323900,9.40
2015-04-20,9.28,9.39,9.28,9.36,410600,9.36
2015-04-17,9.29,9.33,9.22,9.24,1002600,9.24
2015-04-16,9.34,9.39,9.26,9.35,644500,9.35
2015-04-15,9.18,9.35,9.18,9.29,731200,9.29
2015-04-14,9.18,9.20,9.07,9.13,815800,9.13
2015-04-13,9.19,9.26,9.14,9.18,553500,9.18
2015-04-10,9.23,9.28,9.16,9.22,642100,9.22
2015-04-09,9.12,9.22,9.07,9.19,1005600,9.19
2015-04-08,9.11,9.22,9.06,9.12,532500,9.12
2015-04-07,9.19,9.22,9.07,9.08,504600,9.08
2015-04-06,9.14,9.25,9.04,9.19,496700,9.19
2015-04-02,9.28,9.31,9.17,9.17,576700,9.17
