Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,11.05,11.71,10.37,10.49,874200,10.49
2015-08-06,11.55,11.67,10.95,11.19,710600,11.19
2015-08-05,11.96,12.10,11.56,11.70,488500,11.70
2015-08-04,11.56,11.96,11.51,11.79,397800,11.79
2015-08-03,11.58,11.86,11.48,11.62,261000,11.62
2015-07-31,11.47,11.86,11.44,11.60,383800,11.60
2015-07-30,11.81,11.81,11.37,11.50,752300,11.50
2015-07-29,12.13,12.21,11.63,11.70,524000,11.70
2015-07-28,12.32,12.37,11.87,12.17,767800,12.17
2015-07-27,11.55,12.06,11.35,12.02,949100,12.02
2015-07-24,11.34,11.58,11.24,11.55,757800,11.55
2015-07-23,11.58,11.63,11.45,11.45,624000,11.45
2015-07-22,11.49,11.55,11.28,11.52,481300,11.52
2015-07-21,11.67,11.73,11.40,11.59,878900,11.59
2015-07-20,11.66,11.95,11.58,11.72,954600,11.72
2015-07-17,11.33,11.72,11.17,11.58,575300,11.58
2015-07-16,11.06,11.66,11.03,11.48,815700,11.48
2015-07-15,10.95,11.13,10.78,10.96,832200,10.96
2015-07-14,10.73,10.90,10.65,10.89,425500,10.89
2015-07-13,10.20,10.86,10.18,10.78,611000,10.78
2015-07-10,10.39,10.54,9.87,10.14,785200,10.14
2015-07-09,10.40,10.51,10.18,10.39,459600,10.39
2015-07-08,10.30,10.36,10.09,10.23,489600,10.23
2015-07-07,10.42,10.42,9.85,10.37,653900,10.37
2015-07-06,10.63,10.64,10.27,10.43,616900,10.43
2015-07-02,10.90,11.01,10.27,10.70,596600,10.70
2015-07-01,10.39,11.34,10.39,11.25,869700,11.25
2015-06-30,10.61,10.86,10.17,10.31,1078100,10.31
2015-06-29,10.96,11.07,10.31,10.45,748200,10.45
2015-06-26,11.16,11.33,10.64,11.01,613400,11.01
2015-06-25,11.09,11.36,10.58,11.10,861000,11.10
2015-06-24,12.07,12.07,10.82,11.08,1140100,11.08
2015-06-23,12.40,12.61,11.60,12.02,1318400,12.02
2015-06-22,11.72,12.69,11.50,12.44,1393500,12.44
2015-06-19,11.14,11.66,10.85,11.57,1297300,11.57
