Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.24,0.26,0.21,0.23,483200,0.23
2015-08-06,0.25,0.28,0.23,0.25,422900,0.25
2015-08-05,0.27,0.28,0.25,0.25,742200,0.25
2015-08-04,0.26,0.29,0.25,0.27,238800,0.27
2015-08-03,0.31,0.31,0.25,0.29,430100,0.29
2015-07-31,0.43,0.43,0.20,0.34,4272900,0.34
2015-07-30,0.44,0.48,0.44,0.46,159900,0.46
2015-07-29,0.42,0.47,0.40,0.45,325600,0.45
2015-07-28,0.42,0.46,0.42,0.43,200500,0.43
2015-07-27,0.40,0.44,0.40,0.43,578400,0.43
2015-07-24,0.40,0.42,0.38,0.40,294000,0.40
2015-07-23,0.42,0.42,0.38,0.40,229600,0.40
2015-07-22,0.43,0.44,0.41,0.42,266300,0.42
2015-07-21,0.41,0.44,0.37,0.43,579900,0.43
2015-07-20,0.40,0.43,0.39,0.40,261900,0.40
2015-07-17,0.42,0.45,0.41,0.43,389700,0.43
2015-07-16,0.38,0.47,0.38,0.42,570000,0.42
2015-07-15,0.39,0.40,0.37,0.38,123800,0.38
2015-07-14,0.39,0.40,0.37,0.39,219500,0.39
2015-07-13,0.38,0.39,0.37,0.39,187200,0.39
2015-07-10,0.39,0.39,0.37,0.38,338800,0.38
2015-07-09,0.39,0.39,0.37,0.38,133700,0.38
2015-07-08,0.39,0.39,0.37,0.37,301900,0.37
2015-07-07,0.39,0.39,0.37,0.39,246700,0.39
2015-07-06,0.38,0.40,0.37,0.39,302700,0.39
2015-07-02,0.40,0.41,0.36,0.37,412900,0.37
2015-07-01,0.41,0.41,0.38,0.39,281000,0.39
2015-06-30,0.37,0.40,0.37,0.38,420600,0.38
2015-06-29,0.41,0.44,0.37,0.38,824900,0.38
2015-06-26,0.52,0.53,0.38,0.40,9622200,0.40
2015-06-25,0.41,0.54,0.41,0.50,884800,0.50
2015-06-24,0.43,0.43,0.41,0.41,171500,0.41
2015-06-23,0.40,0.42,0.39,0.42,385400,0.42
2015-06-22,0.43,0.43,0.41,0.41,246200,0.41
2015-06-19,0.45,0.45,0.41,0.41,486900,0.41
2015-06-18,0.45,0.45,0.40,0.41,483500,0.41
2015-06-17,0.51,0.51,0.44,0.45,369100,0.45
2015-06-16,0.53,0.54,0.49,0.49,327600,0.49
2015-06-15,0.53,0.56,0.50,0.53,273500,0.53
2015-06-12,0.54,0.54,0.50,0.54,500900,0.54
2015-06-11,0.57,0.57,0.53,0.55,319000,0.55
2015-06-10,0.55,0.57,0.52,0.56,280800,0.56
2015-06-09,0.53,0.58,0.50,0.55,372600,0.55
2015-06-08,0.57,0.59,0.49,0.53,673100,0.53
2015-06-05,0.52,0.59,0.49,0.56,1608100,0.56
2015-06-04,0.42,0.49,0.41,0.48,1169700,0.48
2015-06-03,0.38,0.42,0.37,0.41,273300,0.41
2015-06-02,0.35,0.40,0.35,0.37,349300,0.37
2015-06-01,0.38,0.38,0.37,0.37,283500,0.37
2015-05-29,0.38,0.38,0.37,0.37,201800,0.37
2015-05-28,0.40,0.40,0.38,0.38,332200,0.38
2015-05-27,0.39,0.40,0.37,0.40,162500,0.40
2015-05-26,0.38,0.40,0.36,0.38,201600,0.38
2015-05-22,0.37,0.42,0.37,0.38,380500,0.38
2015-05-21,0.37,0.38,0.36,0.38,259700,0.38
2015-05-20,0.38,0.38,0.36,0.36,453500,0.36
2015-05-19,0.38,0.38,0.37,0.37,225200,0.37
2015-05-18,0.37,0.38,0.37,0.37,331600,0.37
2015-05-15,0.37,0.38,0.36,0.37,489600,0.37
2015-05-14,0.38,0.38,0.36,0.38,446600,0.38
2015-05-13,0.37,0.38,0.37,0.38,737500,0.38
2015-05-12,0.39,0.39,0.37,0.38,1172900,0.38
2015-05-11,0.43,0.43,0.37,0.38,2110500,0.38
2015-05-08,0.68,0.69,0.33,0.39,4198200,0.39
2015-05-07,0.67,0.69,0.66,0.66,230900,0.66
2015-05-06,0.67,0.70,0.67,0.67,166000,0.67
2015-05-05,0.69,0.70,0.67,0.67,243300,0.67
2015-05-04,0.70,0.70,0.67,0.70,180900,0.70
2015-05-01,0.69,0.70,0.68,0.70,314400,0.70
2015-04-30,0.71,0.72,0.68,0.68,264900,0.68
2015-04-29,0.71,0.73,0.70,0.71,142200,0.71
2015-04-28,0.71,0.74,0.70,0.72,171800,0.72
2015-04-27,0.74,0.74,0.68,0.71,210400,0.71
2015-04-24,0.70,0.76,0.67,0.73,371500,0.73
2015-04-23,0.72,0.74,0.67,0.70,529700,0.70
2015-04-22,0.75,0.77,0.70,0.72,199900,0.72
2015-04-21,0.77,0.79,0.75,0.75,220900,0.75
2015-04-20,0.74,0.77,0.72,0.77,382000,0.77
2015-04-17,0.74,0.75,0.71,0.72,308800,0.72
2015-04-16,0.74,0.76,0.70,0.74,464100,0.74
2015-04-15,0.70,0.77,0.68,0.73,473200,0.73
2015-04-14,0.67,0.70,0.67,0.68,479000,0.68
2015-04-13,0.70,0.70,0.61,0.66,761700,0.66
2015-04-10,0.77,0.77,0.70,0.70,787500,0.70
2015-04-09,0.81,0.85,0.73,0.75,556900,0.75
2015-04-08,0.81,0.83,0.80,0.82,325500,0.82
2015-04-07,0.83,0.85,0.80,0.81,451300,0.81
2015-04-06,0.83,0.85,0.81,0.82,397200,0.82
2015-04-02,0.83,0.85,0.81,0.83,356800,0.83
2015-04-01,0.82,0.84,0.81,0.84,283600,0.84
2015-03-31,0.83,0.84,0.81,0.83,334300,0.83
2015-03-30,0.84,0.86,0.83,0.84,104700,0.84
2015-03-27,0.84,0.88,0.83,0.84,173800,0.84
2015-03-26,0.84,0.85,0.83,0.84,313300,0.84
2015-03-25,0.85,0.85,0.81,0.83,272800,0.83
2015-03-24,0.87,0.88,0.83,0.84,292600,0.84
2015-03-23,0.86,0.88,0.84,0.87,161800,0.87
2015-03-20,0.87,0.89,0.83,0.86,589200,0.86
2015-03-19,0.86,0.87,0.85,0.87,383100,0.87
2015-03-18,0.86,0.90,0.85,0.86,595900,0.86
2015-03-17,0.87,0.93,0.84,0.86,442500,0.86
2015-03-16,0.88,0.92,0.88,0.90,258300,0.90
2015-03-13,0.90,0.90,0.86,0.88,425400,0.88
2015-03-12,0.90,0.96,0.90,0.92,292200,0.92
2015-03-11,0.96,0.97,0.92,0.93,161300,0.93
2015-03-10,0.96,0.99,0.93,0.95,139100,0.95
2015-03-09,1.01,1.01,0.95,0.98,175300,0.98
2015-03-06,1.02,1.03,0.97,0.98,189000,0.98
2015-03-05,0.97,1.08,0.97,1.01,189200,1.01
2015-03-04,0.97,1.00,0.96,0.97,110000,0.97
2015-03-03,0.98,1.01,0.97,0.97,202600,0.97
2015-03-02,0.94,1.00,0.92,0.98,115300,0.98
2015-02-27,0.97,1.00,0.95,0.95,167600,0.95
2015-02-26,0.98,1.00,0.97,0.97,177700,0.97
2015-02-25,1.02,1.03,0.96,0.98,236500,0.98
2015-02-24,1.00,1.03,1.00,1.03,118200,1.03
2015-02-23,1.03,1.04,1.00,1.02,280300,1.02
2015-02-20,1.06,1.10,1.03,1.04,247200,1.04
2015-02-19,1.08,1.12,1.04,1.05,404500,1.05
2015-02-18,1.08,1.10,1.07,1.07,100100,1.07
2015-02-17,1.12,1.12,1.06,1.07,381000,1.07
2015-02-13,1.04,1.12,1.04,1.07,247700,1.07
2015-02-12,1.03,1.11,1.02,1.03,645400,1.03
2015-02-11,1.00,1.04,1.00,1.02,119900,1.02
2015-02-10,1.02,1.05,1.01,1.01,185700,1.01
2015-02-09,1.02,1.03,1.00,1.01,91600,1.01
2015-02-06,1.04,1.05,1.00,1.02,243100,1.02
2015-02-05,1.02,1.04,1.01,1.03,157700,1.03
2015-02-04,1.05,1.05,1.03,1.03,158000,1.03
2015-02-03,1.03,1.05,1.00,1.03,168400,1.03
2015-02-02,1.03,1.04,1.00,1.02,198200,1.02
2015-01-30,1.00,1.03,1.00,1.02,154100,1.02
2015-01-29,1.03,1.03,1.00,1.01,283900,1.01
2015-01-28,1.04,1.05,1.01,1.02,202000,1.02
2015-01-27,1.02,1.06,1.01,1.03,246000,1.03
2015-01-26,1.03,1.04,1.01,1.03,271100,1.03
2015-01-23,1.06,1.06,1.02,1.04,353200,1.04
2015-01-22,1.05,1.08,1.02,1.06,692000,1.06
2015-01-21,1.04,1.05,1.00,1.04,346200,1.04
2015-01-20,1.00,1.06,1.00,1.03,712400,1.03
2015-01-16,0.98,1.00,0.97,1.00,264200,1.00
2015-01-15,0.93,0.99,0.93,0.99,289500,0.99
2015-01-14,0.92,0.95,0.92,0.93,78100,0.93
2015-01-13,0.95,0.97,0.93,0.93,261200,0.93
