Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,16.469999,17.200001,13.01,14.37,93800,14.37
2015-08-06,17.040001,17.940001,16.48,16.49,13400,16.49
2015-08-05,16.84,17.50,16.60,16.799999,33700,16.799999
2015-08-04,16.32,16.860001,16.129999,16.790001,14100,16.790001
2015-08-03,16.975,17.280001,16.18,16.290001,18100,16.290001
2015-07-31,16.73,17.41,16.73,17.280001,8400,17.280001
2015-07-30,16.82,17.10,16.42,17.02,12400,17.02
2015-07-29,17.02,17.02,16.209999,16.67,8100,16.67
2015-07-28,16.959999,17.610001,16.889999,17.360001,7200,17.360001
2015-07-27,17.370001,18.309999,16.00,17.610001,11500,17.610001
2015-07-24,17.889999,18.040001,17.41,17.85,14300,17.85
2015-07-23,18.860001,18.860001,17.938,17.940001,12900,17.940001
2015-07-22,18.469999,18.889999,17.809999,18.889999,21600,18.889999
2015-07-21,18.10,18.370001,17.51,18.25,15300,18.25
2015-07-20,19.91,19.91,18.08,18.10,12900,18.10
2015-07-17,18.90,20.00,18.719999,20.00,26900,20.00
2015-07-16,18.700001,19.200001,18.030001,18.959999,22800,18.959999
2015-07-15,18.16,18.690001,17.99,18.50,13200,18.50
2015-07-14,17.299999,18.02,17.139999,17.969999,15300,17.969999
2015-07-13,17.33,17.77,17.030001,17.24,23400,17.24
2015-07-10,16.200001,17.60,16.02,17.33,19700,17.33
2015-07-09,16.549999,17.610001,16.09,16.10,48800,16.10
2015-07-08,16.959999,17.00,16.219999,16.549999,107900,16.549999
2015-07-07,16.860001,17.92,16.08,17.01,33700,17.01
2015-07-06,16.700001,17.799999,16.15,17.35,44400,17.35
2015-07-02,18.66,19.25,16.559999,16.77,48000,16.77
2015-07-01,18.10,18.93,17.52,18.68,47000,18.68
2015-06-30,17.389999,18.299999,16.65,17.860001,35700,17.860001
2015-06-29,16.52,17.34,15.98,17.34,39700,17.34
2015-06-26,16.76,17.35,15.83,16.76,621300,16.76
2015-06-25,16.440001,17.07,16.049999,16.76,37800,16.76
2015-06-24,16.08,16.75,15.98,16.18,29900,16.18
2015-06-23,16.42,16.75,15.99,16.15,28400,16.15
2015-06-22,17.120001,18.115,15.818,16.33,26600,16.33
2015-06-19,17.040001,18.200001,16.33,16.860001,58900,16.860001
2015-06-18,17.459999,18.059999,16.49,16.959999,29500,16.959999
2015-06-17,17.370001,18.23,16.41,17.34,36600,17.34
2015-06-16,17.00,18.17,16.219999,17.540001,71900,17.540001
2015-06-15,16.870001,17.00,15.90,16.82,21800,16.82
2015-06-12,17.040001,17.24,16.530001,16.889999,21700,16.889999
2015-06-11,17.41,17.879999,16.610001,16.940001,8000,16.940001
2015-06-10,17.24,18.25,16.879999,17.309999,25300,17.309999
2015-06-09,16.379999,17.49,16.379999,17.00,13700,17.00
2015-06-08,15.99,17.190001,15.99,16.780001,24400,16.780001
2015-06-05,16.120001,17.10,16.00,16.35,35800,16.35
2015-06-04,17.799999,17.875,16.43,16.860001,17900,16.860001
2015-06-03,17.709999,18.450001,16.790001,17.629999,56600,17.629999
2015-06-02,16.700001,17.889999,16.48,17.59,40700,17.59
2015-06-01,16.91,16.98,15.59,16.74,36600,16.74
2015-05-29,16.50,17.434999,15.91,16.90,13700,16.90
2015-05-28,15.40,17.10,15.40,16.40,23900,16.40
2015-05-27,15.43,16.84,15.43,16.290001,28100,16.290001
2015-05-26,17.50,17.50,15.233,15.51,37100,15.51
2015-05-22,17.16,17.549999,16.18,16.870001,17100,16.870001
2015-05-21,17.16,17.440001,16.799999,17.15,27600,17.15
2015-05-20,17.040001,17.48,16.364,17.280001,32800,17.280001
2015-05-19,16.98,17.90,16.52,16.799999,28000,16.799999
2015-05-18,16.360001,17.00,15.90,16.93,17600,16.93
2015-05-15,14.18,16.809999,14.18,16.49,25600,16.49
2015-05-14,15.98,15.98,14.01,14.04,12500,14.04
2015-05-13,16.51,16.549999,15.34,16.00,11800,16.00
2015-05-12,15.345,16.790001,14.87,16.620001,29400,16.620001
2015-05-11,16.82,16.82,15.627,16.129999,21900,16.129999
2015-05-08,16.25,17.00,16.16,16.99,30300,16.99
2015-05-07,14.71,16.450001,14.65,16.370001,35500,16.370001
2015-05-06,14.89,15.00,14.09,14.97,24200,14.97
2015-05-05,13.71,14.87,13.71,14.75,16500,14.75
2015-05-04,12.67,13.89,12.67,13.88,26600,13.88
2015-05-01,12.06,12.89,12.00,12.80,160000,12.80
2015-04-30,12.04,12.27,11.86,12.06,20600,12.06
2015-04-29,12.13,12.13,11.80,12.10,108500,12.10
2015-04-28,11.97,12.32,11.95,12.14,15400,12.14
2015-04-27,12.22,12.28,11.88,12.00,23700,12.00
2015-04-24,12.32,12.60,12.07,12.30,17000,12.30
2015-04-23,12.11,12.73,12.02,12.29,36200,12.29
2015-04-22,12.02,12.683,12.02,12.15,32100,12.15
2015-04-21,13.60,13.60,12.01,12.23,63800,12.23
2015-04-20,15.79,15.79,13.53,13.78,44800,13.78
2015-04-17,15.685,15.75,14.75,15.63,16300,15.63
2015-04-16,15.63,16.32,15.63,16.17,7300,16.17
2015-04-15,16.82,17.042,15.58,15.79,30500,15.79
2015-04-14,16.43,17.26,15.858,16.85,34800,16.85
2015-04-13,16.049999,16.49,15.75,16.34,42800,16.34
2015-04-10,14.17,15.96,13.63,15.47,23000,15.47
2015-04-09,13.25,14.49,13.00,14.26,28800,14.26
2015-04-08,12.35,13.49,12.09,13.34,14400,13.34
2015-04-07,12.50,12.50,11.57,11.62,20500,11.62
2015-04-06,11.905,12.72,11.86,12.45,14200,12.45
2015-04-02,11.48,11.99,11.15,11.78,4300,11.78
