Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,56.080002,56.080002,56.080002,56.080002,000,56.080002
2015-08-06,56.349998,56.349998,55.860001,56.080002,2100,56.080002
2015-08-05,56.299999,56.310001,56.209999,56.209999,700,56.209999
2015-08-04,55.830002,55.830002,55.830002,55.830002,1400,55.830002
2015-08-03,55.68,55.68,55.610001,55.610001,700,55.610001
2015-07-31,55.959999,56.099998,55.849998,55.849998,500,55.849998
2015-07-30,55.099998,55.68,55.099998,55.68,1600,55.68
2015-07-29,55.049999,55.049999,55.049999,55.049999,000,55.049999
2015-07-28,54.200001,55.049999,54.200001,55.049999,600,55.049999
2015-07-27,54.290001,54.720001,53.59,54.349998,7400,54.349998
2015-07-24,54.220001,54.220001,54.220001,54.220001,700,54.220001
2015-07-23,55.700001,55.700001,55.02,55.02,1200,55.02
2015-07-22,55.59,55.759998,55.560001,55.759998,18800,55.759998
2015-07-21,56.209999,56.209999,55.43,55.43,800,55.43
2015-07-20,55.57,55.889999,55.57,55.889999,1700,55.889999
2015-07-17,56.380001,56.380001,56.060001,56.060001,1000,56.060001
2015-07-16,56.580002,56.580002,56.400002,56.400002,3800,56.400002
2015-07-15,56.23,56.23,56.00,56.110001,1100,56.110001
2015-07-14,56.529999,56.529999,56.529999,56.529999,200,56.529999
2015-07-13,56.279999,56.720001,56.279999,56.48,2400,56.48
2015-07-10,55.810001,56.27,55.810001,56.259998,1600,56.259998
2015-07-09,60.32,60.32,55.41,55.560001,4000,55.560001
2015-07-08,55.93,55.93,55.400002,55.689999,2100,55.689999
2015-07-07,56.48,56.48,55.790001,56.07,4200,56.07
2015-07-06,56.540001,56.630001,56.09,56.27,2400,56.27
2015-07-02,57.16,57.16,56.529999,56.639999,3100,56.639999
2015-07-01,57.049999,57.169998,56.799999,57.150002,4300,57.150002
2015-06-30,56.950001,56.950001,56.709999,56.77,900,56.77
2015-06-29,57.189999,57.189999,56.779999,56.93,1200,56.93
2015-06-26,58.290001,58.290001,57.73,57.73,1500,57.73
2015-06-25,57.990002,58.209999,57.939999,57.939999,1100,57.939999
2015-06-24,58.27,58.27,57.98,58.080002,1000,58.080002
2015-06-23,57.860001,57.860001,57.740002,57.77,800,57.77
2015-06-22,58.00,58.00,57.91,57.91,3100,57.91
2015-06-19,57.73,57.73,57.73,57.73,400,57.73
2015-06-18,57.279999,57.82,57.259998,57.799999,1300,57.724998
2015-06-17,57.220001,57.220001,57.00,57.00,800,56.926037
2015-06-16,57.09,57.09,56.970001,57.040001,1300,56.965986
2015-06-15,56.669998,56.720001,56.669998,56.689999,800,56.616438
2015-06-12,56.880001,56.880001,56.880001,56.880001,500,56.806194
2015-06-11,56.970001,56.970001,56.970001,56.970001,300,56.896077
2015-06-10,57.259998,57.259998,57.080002,57.189999,2600,57.115789
2015-06-09,56.110001,56.48,56.110001,56.48,900,56.406711
2015-06-08,55.950001,56.099998,55.869999,55.970001,3400,55.897375
2015-06-05,55.900002,56.150002,55.900002,56.040001,4800,55.967284
2015-06-04,56.310001,56.52,56.209999,56.209999,3800,56.137061
2015-06-03,56.509998,56.68,56.349998,56.549999,1500,56.47662
2015-06-02,55.990002,56.619999,55.990002,56.34,1600,56.266894
2015-06-01,55.810001,56.27,55.799999,56.209999,2800,56.137061
2015-05-29,56.34,56.400002,55.98,55.98,3800,55.90736
2015-05-28,56.299999,56.439999,56.299999,56.43,6100,56.356777
2015-05-27,55.869999,56.470001,55.84,56.380001,15500,56.306843
2015-05-26,56.48,56.48,55.82,55.82,800,55.747568
2015-05-22,56.889999,56.959999,56.82,56.82,500,56.74627
2015-05-21,56.869999,57.080002,56.830002,56.849998,1100,56.77623
2015-05-20,56.950001,57.310001,56.73,57.080002,2900,57.005935
2015-05-19,56.75,56.75,56.599998,56.639999,2500,56.566504
2015-05-18,57.18,57.25,57.139999,57.139999,3000,57.065855
2015-05-15,56.00,56.360001,56.00,56.23,9500,56.157036
2015-05-14,54.619999,55.18,54.619999,55.18,7600,55.108399
2015-05-13,53.619999,54.139999,53.619999,54.139999,800,54.069748
2015-05-12,53.919998,53.919998,53.919998,53.919998,400,53.850032
2015-05-11,53.259998,54.27,53.259998,54.27,800,54.19958
2015-05-08,53.540001,53.66,53.540001,53.66,1100,53.590371
2015-05-07,53.07,53.27,53.07,53.27,900,53.200878
2015-05-06,52.82,52.82,52.709999,52.709999,4000,52.641603
2015-05-05,53.43,53.43,52.779999,52.830002,2100,52.76145
2015-05-04,53.00,53.369999,53.00,53.299999,700,53.230838
2015-05-01,52.580002,52.580002,52.23,52.23,1000,52.162226
2015-04-30,52.400002,52.400002,52.400002,52.400002,400,52.332008
2015-04-29,53.75,53.75,53.459999,53.459999,1400,53.39063
2015-04-28,54.369999,54.400002,53.950001,53.98,3000,53.909955
2015-04-27,53.900002,53.900002,53.419998,53.599998,1500,53.530447
2015-04-24,53.43,53.880001,53.43,53.73,2300,53.66028
2015-04-23,53.73,53.73,53.619999,53.650002,2500,53.580386
2015-04-22,53.849998,53.849998,53.549999,53.779999,1900,53.710214
2015-04-21,54.009998,54.040001,54.009998,54.009998,13600,53.939915
2015-04-20,53.740002,54.00,53.740002,53.98,32200,53.909955
2015-04-17,53.869999,53.869999,53.48,53.48,900,53.410604
2015-04-16,54.220001,54.41,54.220001,54.41,2300,54.339398
2015-04-15,54.389999,54.389999,54.380001,54.380001,400,54.309438
2015-04-14,54.189999,54.439999,54.110001,54.439999,900,54.369358
2015-04-13,54.259998,54.32,54.259998,54.32,300,54.249514
2015-04-10,54.459999,54.560001,54.209999,54.389999,6700,54.319423
2015-04-09,54.279999,54.299999,54.18,54.18,8300,54.109697
2015-04-08,54.32,54.540001,54.32,54.540001,2000,54.46923
2015-04-07,54.82,55.130001,54.630001,54.630001,2300,54.559114
2015-04-06,54.560001,55.27,54.560001,55.169998,1700,55.09841
2015-04-02,55.209999,55.209999,54.959999,54.959999,5200,54.888683
2015-04-01,54.439999,54.439999,54.32,54.32,600,54.249514
2015-03-31,54.07,54.07,54.07,54.07,400,53.999839
2015-03-30,53.98,54.549999,53.950001,54.450001,5400,54.379347
2015-03-27,53.349998,53.349998,53.349998,53.349998,000,53.280772
2015-03-26,53.27,53.400002,53.27,53.349998,800,53.280772
2015-03-25,54.369999,54.369999,53.580002,53.580002,4300,53.510477
2015-03-24,53.93,54.00,53.889999,53.939999,1800,53.870006
2015-03-23,54.240002,54.400002,54.240002,54.279999,2500,54.209565
2015-03-20,53.650002,53.939999,53.650002,53.939999,3500,53.870006
2015-03-19,52.830002,53.150002,52.790001,53.150002,2400,53.081034
2015-03-18,51.919998,52.950001,51.91,52.84,1300,52.771435
2015-03-17,52.02,52.50,52.02,52.50,9700,52.431876
2015-03-16,52.48,52.48,52.139999,52.32,5900,52.25211
2015-03-13,52.139999,52.279999,52.00,52.279999,1600,52.212161
2015-03-12,52.400002,52.419998,52.330002,52.419998,2500,52.351978
2015-03-11,51.41,51.470001,51.110001,51.43,7200,51.363265
2015-03-10,51.349998,52.00,51.349998,51.93,2000,51.862616
2015-03-09,52.130001,52.599998,52.130001,52.57,2200,52.501785
2015-03-06,52.169998,52.169998,52.169998,52.169998,300,52.102303
2015-03-05,52.599998,52.939999,52.599998,52.939999,600,52.871304
2015-03-04,53.119999,53.41,53.060001,53.330002,4200,53.260801
2015-03-03,53.32,53.560001,53.220001,53.560001,1700,53.490502
2015-03-02,53.50,53.599998,53.330002,53.599998,1800,53.530447
2015-02-27,53.57,53.66,53.41,53.41,8400,53.340695
2015-02-26,53.529999,53.68,53.419998,53.52,23600,53.450553
2015-02-25,53.52,53.610001,53.41,53.459999,4400,53.39063
2015-02-24,53.599998,53.939999,53.439999,53.939999,2400,53.870006
2015-02-23,53.360001,53.509998,53.360001,53.509998,44300,53.440564
2015-02-20,52.919998,53.389999,52.810001,53.389999,16000,53.320721
2015-02-19,53.439999,53.650002,53.330002,53.43,20500,53.36067
2015-02-18,53.00,53.810001,52.509998,53.700001,126000,53.63032
2015-02-17,52.75,53.380001,52.59,53.009998,70200,52.941213
2015-02-13,52.970001,52.970001,52.709999,52.790001,3100,52.721501
2015-02-12,52.900002,52.98,52.830002,52.98,9300,52.911253
2015-02-11,53.09,53.09,52.25,52.639999,5700,52.571694
2015-02-10,53.23,53.23,52.50,52.919998,12800,52.85133
2015-02-09,53.130001,53.310001,52.66,52.66,7000,52.591669
2015-02-06,53.59,53.59,53.029999,53.029999,4600,52.961187
2015-02-05,53.290001,53.290001,53.110001,53.220001,1000,53.150943
2015-02-04,53.279999,53.349998,53.23,53.279999,700,53.210863
2015-02-03,52.93,53.029999,52.889999,53.029999,1600,52.961187
2015-02-02,52.040001,52.09,51.599998,52.080002,4000,52.012423
2015-01-30,52.610001,52.610001,51.98,51.990002,2000,51.92254
2015-01-29,52.880001,52.919998,52.470001,52.849998,8500,52.781421
2015-01-28,53.509998,53.509998,52.599998,52.610001,19900,52.541734
2015-01-27,53.52,53.549999,53.330002,53.400002,5700,53.33071
2015-01-26,54.299999,54.299999,53.830002,54.200001,3800,54.129671
2015-01-23,55.349998,55.349998,54.009998,54.040001,1400,53.969879
2015-01-22,53.75,54.07,53.75,54.07,2100,53.999839
2015-01-21,53.59,53.599998,53.119999,53.209999,3400,53.140954
2015-01-20,54.049999,54.50,53.16,53.549999,30500,53.480513
2015-01-16,53.27,53.27,53.07,53.150002,6000,53.081034
2015-01-15,53.310001,53.310001,53.040001,53.040001,3700,52.971177
2015-01-14,52.869999,53.240002,52.75,53.240002,24400,53.170918
2015-01-13,53.16,53.950001,53.16,53.68,8500,53.610346
2015-01-12,52.939999,52.959999,52.799999,52.82,6200,52.751461
2015-01-09,53.669998,53.689999,53.16,53.16,2000,53.09102
2015-01-08,53.779999,53.880001,53.639999,53.740002,7800,53.670269
2015-01-07,53.349998,53.349998,53.07,53.07,3400,53.001136
2015-01-06,53.189999,53.400002,52.759998,53.040001,7400,52.971177
2015-01-05,53.509998,53.509998,52.970001,53.360001,31200,53.290761
2015-01-02,55.439999,55.439999,53.509998,53.849998,4900,53.780123
2014-12-31,54.959999,55.18,54.470001,54.470001,2500,54.399321
