Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,45.599998,45.720001,45.310001,45.310001,3300,45.310001
2015-08-06,46.09,46.09,46.049999,46.049999,600,46.049999
2015-08-05,46.110001,46.43,46.040001,46.099998,3000,46.099998
2015-08-04,46.209999,46.209999,45.860001,45.990002,1800,45.990002
2015-08-03,46.189999,46.189999,46.099998,46.099998,700,46.099998
2015-07-31,46.34,46.459999,46.299999,46.400002,6300,46.400002
2015-07-30,45.889999,45.889999,45.810001,45.810001,2000,45.810001
2015-07-29,45.349998,45.630001,45.349998,45.630001,900,45.630001
2015-07-28,44.389999,45.16,44.389999,45.110001,7500,45.110001
2015-07-27,44.540001,44.990002,44.330002,44.68,11900,44.68
2015-07-24,45.450001,45.450001,45.18,45.18,1100,45.18
2015-07-23,46.75,46.810001,46.240002,46.240002,2100,46.240002
2015-07-22,46.540001,46.720001,46.52,46.720001,3100,46.720001
2015-07-21,47.09,47.09,46.720001,46.810001,800,46.810001
2015-07-20,47.060001,47.099998,46.950001,46.959999,3700,46.959999
2015-07-17,47.509998,47.509998,47.139999,47.279999,1100,47.279999
2015-07-16,47.630001,47.630001,47.560001,47.560001,1500,47.560001
2015-07-15,47.169998,47.32,47.060001,47.060001,1600,47.060001
2015-07-14,47.450001,47.650002,47.439999,47.639999,2500,47.639999
2015-07-13,47.400002,47.689999,47.400002,47.540001,1900,47.540001
2015-07-10,46.990002,47.16,46.91,47.049999,3800,47.049999
2015-07-09,46.669998,46.810001,46.50,46.52,4100,46.52
2015-07-08,46.419998,46.43,46.259998,46.279999,1400,46.279999
2015-07-07,46.57,46.98,46.349998,46.98,10600,46.98
2015-07-06,47.369999,47.369999,47.130001,47.130001,800,47.130001
2015-07-02,47.57,47.59,47.07,47.07,5100,47.07
2015-07-01,46.889999,47.810001,46.889999,47.50,2000,47.50
2015-06-30,47.27,47.48,47.119999,47.330002,43500,47.330002
2015-06-29,47.939999,47.939999,46.950001,46.950001,3400,46.950001
2015-06-26,48.25,48.25,48.040001,48.18,1300,48.18
2015-06-25,48.290001,48.330002,48.139999,48.32,1700,48.32
2015-06-24,48.369999,48.369999,48.150002,48.25,1500,48.25
2015-06-23,48.529999,48.560001,48.369999,48.41,1900,48.41
2015-06-22,48.50,48.639999,48.50,48.52,4200,48.52
2015-06-19,48.25,48.349998,48.25,48.349998,2900,48.349998
2015-06-18,47.580002,48.310001,47.580002,48.310001,4400,48.238002
2015-06-17,47.610001,47.84,47.50,47.540001,2900,47.469149
2015-06-16,47.529999,47.720001,47.529999,47.59,2200,47.519074
2015-06-15,47.43,47.59,47.349998,47.529999,1500,47.459162
2015-06-12,47.700001,47.75,47.700001,47.75,33500,47.678836
2015-06-11,47.91,47.990002,47.880001,47.990002,3400,47.91848
2015-06-10,47.810001,48.16,47.790001,47.990002,6500,47.91848
2015-06-09,47.110001,47.110001,46.939999,46.939999,1400,46.870041
2015-06-08,47.279999,47.279999,47.220001,47.25,1400,47.179581
2015-06-05,47.23,47.580002,47.189999,47.57,7100,47.499104
2015-06-04,47.59,47.59,47.18,47.23,3500,47.15961
2015-06-03,47.009998,47.810001,47.009998,47.630001,10500,47.559015
2015-06-02,47.189999,47.389999,47.00,47.009998,3000,46.939937
2015-06-01,46.560001,46.950001,46.470001,46.93,3400,46.860058
2015-05-29,46.73,46.869999,46.57,46.84,1700,46.770192
2015-05-28,47.400002,47.400002,47.009998,47.16,2100,47.089715
2015-05-27,47.00,47.369999,46.709999,47.349998,3400,47.27943
2015-05-26,47.400002,47.400002,46.34,46.66,1900,46.59046
2015-05-22,47.77,47.959999,47.400002,47.400002,1800,47.329359
