Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,36.200001,36.200001,35.869999,35.869999,600,35.869999
2015-08-06,36.720001,36.720001,36.720001,36.720001,000,36.720001
2015-08-05,36.84,36.900002,36.720001,36.720001,1200,36.720001
2015-08-04,37.00,37.00,37.00,37.00,200,37.00
2015-08-03,36.889999,36.889999,36.439999,36.59,1900,36.59
2015-07-31,36.580002,36.939999,36.580002,36.939999,300,36.939999
2015-07-30,36.549999,36.59,36.549999,36.59,700,36.59
2015-07-29,36.580002,36.580002,36.580002,36.580002,000,36.580002
2015-07-28,36.580002,36.580002,36.580002,36.580002,500,36.580002
2015-07-27,36.299999,36.299999,36.099998,36.099998,1600,36.099998
2015-07-24,36.380001,36.380001,36.380001,36.380001,100,36.380001
2015-07-23,37.00,37.00,36.98,36.98,400,36.98
2015-07-22,37.459999,37.459999,37.459999,37.459999,600,37.459999
2015-07-21,37.869999,37.98,37.509998,37.509998,2800,37.509998
2015-07-20,37.919998,37.919998,37.540001,37.650002,2200,37.650002
2015-07-17,37.709999,37.709999,37.709999,37.709999,100,37.709999
2015-07-16,38.41,38.41,38.41,38.41,200,38.41
2015-07-15,38.25,38.25,38.25,38.25,1300,38.25
2015-07-14,38.66,38.720001,38.66,38.720001,600,38.720001
2015-07-13,38.330002,38.470001,38.330002,38.43,600,38.43
2015-07-10,37.869999,37.869999,37.869999,37.869999,300,37.869999
2015-07-09,37.619999,37.619999,37.439999,37.450001,500,37.450001
2015-07-08,38.02,38.02,37.380001,37.380001,500,37.380001
2015-07-07,37.84,38.32,37.84,38.32,600,38.32
2015-07-06,38.540001,38.540001,38.540001,38.540001,500,38.540001
2015-07-02,39.450001,39.450001,39.450001,39.450001,000,39.450001
2015-07-01,39.57,39.57,39.450001,39.450001,600,39.450001
2015-06-30,39.610001,39.610001,39.419998,39.52,3400,39.52
2015-06-29,40.59,40.59,39.639999,39.639999,1500,39.639999
2015-06-26,40.91,40.91,40.91,40.91,400,40.91
2015-06-25,40.84,40.84,40.84,40.84,000,40.84
2015-06-24,40.84,40.84,40.84,40.84,000,40.84
2015-06-23,40.990002,40.990002,40.84,40.84,1300,40.84
2015-06-22,40.939999,41.040001,40.939999,41.040001,600,41.040001
2015-06-19,41.450001,41.450001,41.450001,41.450001,400,41.450001
