Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,37.389999,37.689999,37.389999,37.630001,1000,37.630001
2015-08-06,37.099998,37.470001,37.09,37.470001,1800,37.470001
2015-08-05,37.669998,37.810001,37.669998,37.810001,800,37.810001
2015-08-04,37.91,37.91,37.630001,37.630001,800,37.630001
2015-08-03,38.189999,38.189999,37.939999,37.939999,700,37.939999
2015-07-31,38.00,38.380001,38.00,38.27,3800,38.27
2015-07-30,37.700001,37.73,37.650002,37.650002,1000,37.650002
2015-07-29,37.470001,37.470001,37.470001,37.470001,700,37.470001
2015-07-28,37.220001,37.25,37.130001,37.25,3100,37.25
2015-07-27,36.950001,37.27,36.950001,37.200001,18700,37.200001
2015-07-24,36.919998,36.919998,36.84,36.84,1400,36.84
2015-07-23,37.200001,37.349998,37.00,37.029999,2000,37.029999
2015-07-22,37.189999,37.549999,37.189999,37.459999,4200,37.459999
2015-07-21,37.259998,37.389999,37.259998,37.330002,1200,37.330002
2015-07-20,37.93,37.93,37.43,37.580002,5100,37.580002
2015-07-17,37.830002,37.93,37.830002,37.93,700,37.93
2015-07-16,37.470001,38.029999,37.470001,38.029999,1400,38.029999
2015-07-15,37.32,37.540001,37.32,37.540001,1500,37.540001
2015-07-14,37.630001,37.66,37.50,37.619999,1200,37.619999
2015-07-13,37.66,37.75,37.52,37.560001,1600,37.560001
2015-07-10,37.610001,37.610001,37.48,37.509998,1100,37.509998
2015-07-09,37.639999,37.639999,37.080002,37.080002,23000,37.080002
2015-07-08,37.549999,37.580002,37.380001,37.380001,900,37.380001
2015-07-07,37.27,37.66,37.200001,37.66,2200,37.66
2015-07-06,36.939999,36.939999,36.93,36.93,600,36.93
2015-07-02,37.02,37.02,36.950001,36.950001,800,36.950001
2015-07-01,36.740002,36.84,36.68,36.689999,1700,36.689999
2015-06-30,36.959999,36.970001,36.669998,36.82,2000,36.82
2015-06-29,37.290001,37.709999,37.290001,37.459999,1100,37.459999
2015-06-26,37.380001,37.470001,37.380001,37.470001,1500,37.470001
2015-06-25,37.73,37.73,37.389999,37.389999,1600,37.389999
2015-06-24,37.73,37.759998,37.650002,37.759998,900,37.759998
2015-06-23,37.709999,37.849998,37.709999,37.77,1600,37.77
2015-06-22,38.040001,38.049999,37.950001,37.98,2000,37.98
2015-06-19,38.060001,38.060001,38.060001,38.060001,600,38.060001
2015-06-18,37.900002,38.259998,37.900002,38.220001,3400,38.005002
2015-06-17,37.799999,37.799999,37.720001,37.720001,1100,37.507815
2015-06-16,37.529999,37.529999,37.400002,37.450001,3600,37.239333
2015-06-15,37.349998,37.349998,37.240002,37.330002,1400,37.120009
2015-06-12,37.759998,37.759998,37.509998,37.529999,900,37.318881
2015-06-11,37.700001,37.75,37.700001,37.75,1100,37.537645
2015-06-10,37.630001,37.860001,37.59,37.700001,2100,37.487927
2015-06-09,37.279999,37.290001,37.130001,37.130001,2500,36.921133
2015-06-08,37.290001,37.400002,37.290001,37.389999,3800,37.179669
2015-06-05,37.490002,37.490002,37.080002,37.080002,1000,36.871415
2015-06-04,37.970001,37.970001,37.66,37.66,1300,37.448151
2015-06-03,37.950001,37.950001,37.950001,37.950001,400,37.73652
2015-06-02,38.02,38.119999,38.02,38.080002,1000,37.86579
2015-06-01,38.279999,38.459999,38.18,38.349998,1800,38.134268
