Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,20.33,20.40,20.33,20.379999,600,20.379999
2015-08-06,21.00,21.00,21.00,21.00,2700,21.00
2015-08-05,21.23,21.23,21.00,21.00,800,21.00
2015-08-04,21.40,21.40,21.40,21.40,500,21.40
2015-08-03,21.50,21.50,21.50,21.50,500,21.50
2015-07-31,21.280001,21.50,21.280001,21.50,2700,21.50
2015-07-30,21.50,21.52,21.50,21.50,4700,21.50
2015-07-29,20.299999,21.83,20.299999,21.60,1600,21.60
2015-07-28,21.25,21.59,21.219999,21.549999,2300,21.549999
2015-07-27,21.200001,21.49,21.049999,21.49,1500,21.49
2015-07-24,21.280001,21.280001,21.280001,21.280001,100,21.280001
2015-07-23,21.85,21.85,21.85,21.85,300,21.85
2015-07-22,21.690001,21.790001,21.690001,21.790001,200,21.790001
2015-07-21,21.60,21.60,21.60,21.60,100,21.60
2015-07-20,21.940001,21.940001,21.940001,21.940001,200,21.940001
2015-07-17,22.40,22.40,22.40,22.40,200,22.40
2015-07-16,22.200001,23.17,22.200001,22.42,2500,22.42
2015-07-15,21.83,22.200001,21.690001,22.200001,1400,22.200001
2015-07-14,22.00,22.00,22.00,22.00,000,22.00
2015-07-13,22.00,22.00,22.00,22.00,000,22.00
2015-07-10,21.50,22.00,21.50,22.00,1800,22.00
2015-07-09,21.110001,21.709999,21.110001,21.709999,200,21.709999
2015-07-08,19.709999,20.889999,19.709999,20.889999,1500,20.889999
2015-07-07,20.01,20.01,20.01,20.01,100,20.01
2015-07-06,20.540001,20.860001,20.51,20.82,2000,20.82
2015-07-02,21.040001,21.040001,20.74,20.85,3100,20.85
2015-07-01,21.629999,21.629999,21.629999,21.629999,000,21.629999
2015-06-30,21.629999,21.629999,21.629999,21.629999,000,21.629999
2015-06-29,21.629999,21.629999,21.629999,21.629999,000,21.629999
2015-06-26,21.799999,21.799999,21.629999,21.629999,700,21.629999
2015-06-25,20.68,20.68,20.68,20.68,000,20.68
2015-06-24,21.68,21.74,20.68,20.68,900,20.68
2015-06-23,21.50,21.50,21.50,21.50,100,21.50
2015-06-22,21.290001,21.549999,20.98,21.549999,5700,21.549999
2015-06-19,22.110001,22.110001,21.940001,22.02,3900,22.02
2015-06-18,22.50,22.50,22.129999,22.129999,400,22.069999
2015-06-17,22.00,22.00,22.00,22.00,400,21.940353
2015-06-16,22.00,22.00,21.809999,21.809999,1000,21.750867
2015-06-15,21.860001,21.879999,21.559999,21.559999,1300,21.501545
2015-06-12,21.34,21.860001,21.16,21.34,1100,21.282142
2015-06-11,22.040001,22.040001,22.040001,22.040001,000,21.980245
2015-06-10,21.50,22.040001,21.50,22.040001,2800,21.980245
2015-06-09,21.25,21.25,21.25,21.25,500,21.192386
2015-06-08,21.040001,21.040001,21.040001,21.040001,100,20.982956
2015-06-05,20.809999,21.00,20.719999,21.00,1400,20.943064
2015-06-04,21.120001,21.18,21.049999,21.16,400,21.10263
2015-06-03,20.450001,20.450001,20.42,20.42,300,20.364637
2015-06-02,19.690001,20.290001,19.690001,20.24,1300,20.185124
2015-06-01,19.84,19.84,19.50,19.690001,3500,19.636616
2015-05-29,19.540001,19.540001,19.540001,19.540001,100,19.487023
2015-05-28,20.90,20.90,20.90,20.90,100,20.843335
2015-05-27,20.18,20.200001,20.17,20.200001,1100,20.145234
2015-05-26,20.92,20.92,20.92,20.92,000,20.863281
2015-05-22,21.15,21.15,20.65,20.92,1000,20.863281
2015-05-21,22.040001,22.040001,21.620001,21.620001,1100,21.561384
2015-05-20,21.360001,21.50,21.360001,21.459999,2800,21.401816
2015-05-19,20.700001,20.700001,20.700001,20.700001,500,20.643878
2015-05-18,20.700001,20.700001,20.700001,20.700001,000,20.643878
2015-05-15,20.700001,20.700001,20.700001,20.700001,000,20.643878
2015-05-14,20.50,20.700001,20.50,20.700001,900,20.643878
2015-05-13,20.530001,20.530001,20.530001,20.530001,000,20.474339
2015-05-12,20.530001,20.530001,20.530001,20.530001,000,20.474339
2015-05-11,20.530001,20.530001,20.530001,20.530001,000,20.474339
2015-05-08,20.98,20.98,20.530001,20.530001,800,20.474339
2015-05-07,20.68,20.700001,20.68,20.700001,400,20.643878
2015-05-06,19.65,19.65,19.65,19.65,000,19.596724
2015-05-05,19.65,19.65,19.65,19.65,300,19.596724
2015-05-04,19.860001,19.860001,19.860001,19.860001,000,19.806155
2015-05-01,20.09,20.09,19.860001,19.860001,200,19.806155
2015-04-30,19.67,19.67,19.67,19.67,300,19.61667
2015-04-29,20.41,20.799999,19.57,19.57,3200,19.516941
2015-04-28,21.00,21.00,21.00,21.00,000,20.943064
2015-04-27,21.00,21.00,21.00,21.00,000,20.943064
2015-04-24,21.00,21.00,21.00,21.00,300,20.883227
2015-04-23,20.790001,20.790001,20.790001,20.790001,000,20.674395
2015-04-22,20.85,20.85,20.790001,20.790001,200,20.674395
2015-04-21,21.120001,21.120001,21.120001,21.120001,000,21.00256
2015-04-20,20.690001,21.120001,20.690001,21.120001,300,21.00256
2015-04-17,20.700001,20.700001,20.700001,20.700001,000,20.584896
2015-04-16,20.700001,20.700001,20.700001,20.700001,000,20.584896
2015-04-15,20.690001,20.700001,20.690001,20.700001,800,20.584896
2015-04-14,20.91,20.91,20.639999,20.639999,400,20.525228
2015-04-13,20.91,20.91,20.91,20.91,100,20.793727
2015-04-10,21.08,21.08,20.85,21.00,1800,20.883227
2015-04-09,20.91,21.09,20.91,21.09,500,20.972726
2015-04-08,18.00,21.75,18.00,20.879999,5500,20.763893
2015-04-07,20.559999,20.559999,20.559999,20.559999,000,20.445673
2015-04-06,20.26,20.559999,20.26,20.559999,600,20.445673
2015-04-02,19.459999,20.65,19.459999,20.65,1300,20.535172
2015-04-01,19.51,19.799999,19.51,19.799999,400,19.689899
2015-03-31,19.209999,20.00,19.209999,20.00,2000,19.888787
2015-03-30,20.08,20.09,19.58,19.58,500,19.471123
2015-03-27,20.41,20.41,20.41,20.41,000,20.296507
2015-03-26,20.07,20.41,20.049999,20.41,300,20.296507
2015-03-25,20.51,20.51,20.51,20.51,200,20.395952
2015-03-24,20.940001,20.969999,20.690001,20.690001,500,20.574951
