Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,22.209999,22.209999,22.209999,22.209999,200,22.209999
2015-08-06,22.23,22.23,22.23,22.23,000,22.23
2015-08-05,22.17,22.23,21.83,22.23,8200,22.23
2015-08-04,22.200001,22.200001,21.809999,22.07,8500,22.07
2015-08-03,21.799999,21.799999,21.799999,21.799999,000,21.799999
2015-07-31,21.76,21.83,21.76,21.799999,1100,21.799999
2015-07-30,21.73,22.129999,21.73,21.91,5300,21.91
2015-07-29,21.91,22.059999,21.860001,21.92,4500,21.92
2015-07-28,22.030001,22.215,22.030001,22.110001,5000,22.110001
2015-07-27,22.35,22.389999,21.959999,22.389999,6900,22.389999
2015-07-24,22.32,22.34,22.18,22.33,4500,22.33
2015-07-23,22.403,22.403,22.245001,22.245001,500,22.245001
2015-07-22,22.059999,22.059999,22.00,22.00,900,22.00
2015-07-21,22.450001,22.450001,22.16,22.16,1300,22.16
2015-07-20,22.40,22.450001,22.18,22.18,10800,22.18
2015-07-17,22.65,22.65,22.440001,22.440001,400,22.440001
2015-07-16,22.15,22.620001,22.15,22.190001,13000,22.190001
2015-07-15,22.620001,22.67,22.309999,22.459999,1000,22.459999
2015-07-14,22.57,22.629999,22.42,22.629999,6700,22.629999
2015-07-13,22.700001,22.700001,22.50,22.50,900,22.50
2015-07-10,22.09,22.15,22.07,22.09,11700,22.09
2015-07-09,21.969999,22.389999,21.969999,22.27,900,22.27
2015-07-08,22.40,22.40,22.40,22.40,000,22.40
2015-07-07,21.92,22.40,21.91,22.40,13200,22.40
2015-07-06,22.59,22.67,22.09,22.59,39900,22.59
2015-07-02,22.469999,22.76,22.299999,22.76,117300,22.76
2015-07-01,22.41,22.950001,22.17,22.17,87200,22.17
2015-06-30,22.459999,22.695,22.459999,22.695,700,22.695
2015-06-29,22.950001,22.950001,21.780001,22.440001,60800,22.440001
2015-06-26,22.75,22.75,22.75,22.75,000,22.75
2015-06-25,22.82,22.82,22.52,22.75,1700,22.75
2015-06-24,22.52,22.705999,22.52,22.705999,400,22.705999
2015-06-23,22.620001,22.620001,22.50,22.620001,9200,22.620001
2015-06-22,22.299999,22.77,22.299999,22.49,1100,22.49
2015-06-19,22.379999,22.50,22.299,22.299999,36200,22.299999
2015-06-18,22.00,22.549999,21.83,22.52,2700,22.52
2015-06-17,22.190001,22.440001,22.190001,22.43,500,22.43
2015-06-16,22.450001,22.459999,22.18,22.18,300,22.18
2015-06-15,22.190001,22.43,22.16,22.25,9600,22.25
2015-06-12,22.450001,22.450001,22.25,22.26,800,22.26
2015-06-11,22.389999,22.40,22.26,22.360001,6700,22.360001
2015-06-10,22.301001,22.43,22.301001,22.43,1600,22.43
2015-06-09,22.40,22.48,22.40,22.48,19100,22.48
2015-06-08,22.299999,22.49,22.25,22.40,5400,22.40
2015-06-05,22.41,22.50,22.299999,22.469999,3900,22.469999
2015-06-04,22.639999,22.67,22.469999,22.469999,203400,22.469999
2015-06-03,22.879999,22.879999,22.799999,22.85,400,22.85
2015-06-02,22.76,23.370001,22.76,22.889999,17800,22.889999
2015-06-01,23.23,23.309999,22.790001,23.309999,36400,23.309999
2015-05-29,22.57,23.49,22.309999,23.18,20800,23.18
2015-05-28,22.32,22.60,22.219999,22.559999,112000,22.559999
2015-05-27,23.07,23.07,22.50,22.860001,35600,22.860001
2015-05-26,23.35,23.35,23.15,23.27,14900,23.27
2015-05-22,23.23,23.42,23.23,23.42,13200,23.42
2015-05-21,23.15,23.48,23.15,23.379999,6300,23.379999
2015-05-20,23.190001,23.273001,23.190001,23.273001,1500,23.273001
2015-05-19,23.40,23.41,23.389999,23.389999,800,23.389999
2015-05-18,23.68,23.68,23.51,23.58,3700,23.58
2015-05-15,23.73,23.73,23.41,23.67,3500,23.67
2015-05-14,23.40,23.66,23.27,23.455,3600,23.455
2015-05-13,23.48,23.60,23.18,23.360001,70900,23.360001
2015-05-12,23.17,23.51,23.17,23.49,9300,23.49
2015-05-11,23.41,23.530001,23.290001,23.290001,5900,23.290001
2015-05-08,23.535,23.559999,23.52,23.52,2200,23.52
2015-05-07,23.440001,23.440001,23.440001,23.440001,400,23.440001
2015-05-06,23.246,23.246,23.246,23.246,000,23.246
2015-05-05,23.246,23.246,23.246,23.246,500,23.246
2015-05-04,23.50,23.50,23.309999,23.40,4200,23.40
2015-05-01,23.10,23.200001,23.10,23.200001,164100,23.171
2015-04-30,23.42,23.459999,23.360001,23.40,173200,23.370749
2015-04-29,23.41,23.424999,23.200001,23.23,7400,23.200961
2015-04-28,23.455,23.455,23.190001,23.427999,1400,23.398714
2015-04-27,23.17,23.299999,23.10,23.105,11900,23.076118
2015-04-24,23.34,23.34,23.15,23.15,1000,23.121061
2015-04-23,22.780001,23.200001,22.780001,23.200001,12000,23.171
2015-04-22,22.73,23.120001,22.73,23.120001,900,23.0911
2015-04-21,22.99,22.99,22.969999,22.969999,400,22.941286
2015-04-20,22.950001,22.950001,22.549999,22.60,3200,22.57175
2015-04-17,22.90,22.90,22.52,22.549999,5600,22.521811
2015-04-16,22.896,23.040001,22.896,23.040001,25300,23.0112
2015-04-15,22.60,22.84,22.530001,22.66,58000,22.631674
2015-04-14,22.667999,22.709999,22.540001,22.66,3800,22.631674
2015-04-13,22.77,22.77,22.43,22.50,5100,22.471874
2015-04-10,22.83,23.209999,22.76,22.82,28700,22.791474
2015-04-09,22.73,22.969999,22.73,22.82,19500,22.791474
2015-04-08,23.02,23.02,22.92,22.92,1400,22.891349
2015-04-07,22.808001,22.808001,22.808001,22.808001,200,22.77949
2015-04-06,22.58,22.969999,22.58,22.969999,21800,22.941286
2015-04-02,23.00,23.00,23.00,23.00,000,22.971249
2015-04-01,22.92,23.02,22.92,23.00,8300,22.391975
2015-03-31,23.164,23.360001,23.01,23.040001,19900,22.430919
2015-03-30,23.047001,23.129,22.986,23.129,900,22.517565
2015-03-27,22.49,22.49,22.43,22.43,2900,21.837044
2015-03-26,22.462,22.620001,22.462,22.620001,3700,22.022022
2015-03-25,23.08,23.08,23.08,23.08,000,22.46986
2015-03-24,23.280001,23.280001,22.870001,23.08,26600,22.46986
2015-03-23,22.59,22.59,22.59,22.59,300,21.992814
2015-03-20,22.76,22.99,22.67,22.99,48500,22.38224
2015-03-19,22.280001,22.74,22.280001,22.42,6300,21.827308
2015-03-18,22.68,22.73,22.65,22.73,1700,22.129113
2015-03-17,23.040001,23.049999,22.889999,23.049999,1200,22.440653
2015-03-16,23.290001,23.290001,23.290001,23.290001,200,22.67431
2015-03-13,23.440001,23.48,23.43,23.48,4700,22.859286
2015-03-12,23.65,23.719999,23.52,23.57,12000,22.946907
2015-03-11,23.65,23.65,23.65,23.65,000,23.024792
2015-03-10,23.969,23.969,23.65,23.65,1100,23.024792
2015-03-09,23.98,23.98,23.98,23.98,200,23.346068
2015-03-06,23.802,23.802,23.50,23.67,3000,23.044263
2015-03-05,23.709999,23.709999,23.709999,23.709999,400,23.083205
2015-03-04,23.73,23.809999,23.530001,23.549999,13700,22.927435
2015-03-03,23.790001,24.16,23.790001,23.959999,3300,23.326596
2015-03-02,24.440001,24.549999,24.405001,24.450001,10300,23.566094
2015-02-27,24.530001,24.530001,24.379999,24.42,4500,23.537178
2015-02-26,24.530001,24.530001,24.23,24.27,7800,23.392601
2015-02-25,24.65,24.65,24.51,24.51,5300,23.623925
2015-02-24,24.68,24.73,24.48,24.49,1600,23.604647
2015-02-23,24.190001,24.35,24.190001,24.200001,5500,23.325132
2015-02-20,24.57,24.60,24.17,24.50,1400,23.614286
2015-02-19,24.68,24.68,24.299999,24.299999,2300,23.421516
2015-02-18,24.91,24.91,24.26,24.26,2400,23.382963
2015-02-17,24.91,24.91,24.00,24.190001,16700,23.315494
2015-02-13,24.60,25.040001,24.370001,24.91,26300,24.009464
2015-02-12,24.25,24.360001,24.16,24.32,17700,23.440793
2015-02-11,24.280001,24.299999,24.18,24.290001,4000,23.411879
2015-02-10,24.110001,24.129999,23.940001,23.940001,27300,23.074531
2015-02-09,24.280001,24.280001,24.059999,24.200001,19600,23.325132
2015-02-06,24.395,24.40,24.00,24.00,30700,23.132362
2015-02-05,24.030001,24.389999,24.01,24.379999,25800,23.498623
2015-02-04,23.950001,23.99,23.764999,23.93,27400,23.064893
2015-02-03,23.48,23.950001,23.48,23.950001,2600,23.08417
2015-02-02,23.309999,23.35,23.309999,23.35,1000,22.505861
2015-01-30,23.139999,23.139999,22.99,22.99,4500,22.158875
2015-01-29,22.76,23.115999,22.76,23.115999,30900,22.280319
2015-01-28,22.93,23.02,22.690001,22.75,64900,21.927551
2015-01-27,22.66,23.08,22.629999,22.888,7400,22.060563
2015-01-26,22.809999,22.84,22.799999,22.84,600,22.014298
2015-01-23,22.82,22.82,22.639999,22.790001,10400,21.966106
2015-01-22,22.93,23.00,22.74,22.99,58300,22.158875
2015-01-21,23.15,23.15,23.120001,23.120001,500,22.284176
2015-01-20,23.049999,23.049999,23.049999,23.049999,200,22.216705
2015-01-16,22.76,23.209999,22.75,23.209999,21200,22.370921
2015-01-15,22.690001,22.858,22.68,22.724001,1300,21.902492
2015-01-14,23.17,23.17,22.74,23.030001,13000,22.19743
2015-01-13,23.27,23.27,23.27,23.27,400,22.428753
2015-01-12,23.65,23.65,22.799999,22.83,3100,22.004659
2015-01-09,23.98,24.18,23.75,24.17,45100,23.296216
2015-01-08,23.93,24.379999,23.93,24.32,51400,23.440793
2015-01-07,23.219999,23.379999,23.167,23.370001,47500,22.525138
2015-01-06,23.18,23.190001,22.610001,22.879999,17300,22.052851
2015-01-05,22.870001,23.030001,22.610001,22.66,43200,21.840805
2015-01-02,23.530001,23.530001,23.450001,23.450001,700,22.602246
2014-12-31,23.42,23.959999,23.42,23.93,4100,23.064893
2014-12-30,23.65,23.98,23.610001,23.98,900,23.113084
2014-12-29,24.24,24.24,24.24,24.24,900,23.363685
2014-12-26,24.48,24.48,23.84,24.23,16300,23.354047
2014-12-24,23.65,23.90,23.65,23.90,600,23.035977
2014-12-23,23.82,23.82,23.370001,23.559999,3400,22.708268
2014-12-22,23.40,24.280001,23.40,23.75,5800,22.8914
2014-12-19,22.40,23.50,22.40,23.18,49100,22.342006
2014-12-18,21.969999,21.969999,21.969999,21.969999,000,21.175749
2014-12-17,21.74,21.969999,21.74,21.969999,8900,21.175749
2014-12-16,21.50,21.690001,21.50,21.690001,8700,20.905873
2014-12-15,22.52,22.52,21.549999,21.57,22500,20.79021
2014-12-12,22.51,22.51,22.299999,22.299999,1100,21.493819
2014-12-11,23.15,23.15,22.92,22.92,3500,22.091406
2014-12-10,23.558001,23.558001,23.422001,23.422001,200,22.575258
2014-12-09,23.74,23.790001,23.440001,23.780001,29600,22.920316
2014-12-08,24.122,24.165001,24.02,24.02,1100,23.151639
2014-12-05,24.27,24.35,24.25,24.34,14800,23.46007
2014-12-04,24.27,24.27,24.200001,24.24,3300,23.363685
2014-12-03,24.030001,26.059999,23.84,24.200001,158600,23.325132
2014-12-02,24.860001,24.860001,24.24,24.27,24900,23.392601
2014-12-01,25.040001,25.07,24.610001,24.610001,6700,23.72031
2014-11-28,25.780001,25.780001,25.780001,25.780001,000,24.848013
2014-11-26,26.120001,26.18,25.780001,25.780001,21800,24.848013
2014-11-25,26.049999,26.35,25.90,26.35,243300,25.397406
2014-11-24,26.26,26.26,26.09,26.09,1200,25.146805
2014-11-21,26.58,26.59,26.58,26.59,200,25.628729
2014-11-20,26.469999,26.57,26.459999,26.559999,33000,25.599813
2014-11-19,26.444,26.57,26.370001,26.370001,3200,25.416683
2014-11-18,26.23,26.356001,26.23,26.356001,1700,25.40319
2014-11-17,26.10,26.10,26.10,26.10,200,25.156444
2014-11-14,25.92,26.035,25.92,26.035,400,25.093793
2014-11-13,26.10,26.280001,25.879999,25.92,30900,24.982951
2014-11-12,26.33,26.34,26.110001,26.34,31400,25.387767
2014-11-11,26.290001,26.290001,26.290001,26.290001,000,25.339576
2014-11-10,26.290001,26.290001,26.280001,26.290001,7300,25.339576
2014-11-07,25.90,25.950001,25.90,25.940001,10000,25.002228
2014-11-06,25.73,25.75,25.73,25.75,300,24.819097
2014-11-05,25.860001,25.860001,25.629999,25.66,4700,24.73235
2014-11-04,26.27,26.33,26.07,26.309999,9800,25.358851
2014-11-03,25.872,25.872,25.872,25.872,000,24.936686
2014-10-31,25.889999,25.889999,25.872,25.872,1100,24.936686
2014-10-30,25.75,26.200001,25.42,25.790001,23600,24.857651
2014-10-29,26.059999,26.190001,25.90,26.190001,700,25.24319
2014-10-28,25.65,26.139999,25.65,26.139999,4900,25.194997
2014-10-27,25.959999,26.084,25.549999,25.780001,7900,24.848013
2014-10-24,25.969999,26.10,25.82,25.82,150500,24.886566
2014-10-23,25.59,25.870001,25.58,25.60,2000,24.67452
2014-10-22,25.309999,25.43,25.26,25.26,5300,24.346811
2014-10-21,25.190001,25.190001,25.190001,25.190001,600,24.279342
2014-10-20,24.853001,24.92,24.790001,24.889999,9700,23.990186
2014-10-17,24.780001,24.870001,24.780001,24.84,1800,23.941995
2014-10-16,24.487,24.870001,24.487,24.780001,1800,23.884164
2014-10-15,25.48,25.48,24.763,25.049999,4500,24.144402
2014-10-14,25.799999,25.860001,25.620001,25.65,18100,24.722711
2014-10-13,26.09,26.09,25.530001,25.530001,2400,24.607051
2014-10-10,26.629999,26.629999,26.629999,26.629999,400,25.667282
2014-10-09,26.85,26.85,26.360001,26.582001,8400,25.621019
2014-10-08,26.77,26.860001,26.77,26.860001,800,25.888969
2014-10-07,26.709999,26.719999,26.540001,26.540001,2800,25.580538
2014-10-06,26.43,26.59,26.309999,26.41,13700,25.455236
2014-10-03,26.42,26.77,26.42,26.76,3900,25.792584
2014-10-02,26.27,26.639999,26.27,26.620001,15500,25.657646
2014-10-01,26.030001,26.030001,26.01,26.02,1100,25.079336
2014-09-30,26.16,26.290001,26.10,26.24,35200,25.291382
2014-09-29,26.10,26.145,26.10,26.145,700,25.199817
2014-09-26,25.969999,26.209999,25.969999,26.209999,30300,25.262466
2014-09-25,25.99,26.08,25.889999,25.99,5800,25.05042
2014-09-24,26.235001,26.440001,26.235001,26.379999,5100,25.42632
2014-09-23,26.535,26.540001,26.27,26.280001,10300,25.329937
2014-09-22,27.01,27.01,26.58,26.639999,11400,25.676921
2014-09-19,27.02,27.16,26.99,27.059999,269400,26.081738
2014-09-18,27.209999,27.209999,26.99,26.99,500,26.014268
2014-09-17,26.570999,26.93,26.540001,26.83,14000,25.860053
2014-09-16,26.559999,26.58,26.559999,26.58,300,25.619091
2014-09-15,26.559999,26.709999,26.559999,26.709999,24200,25.74439
2014-09-12,26.139999,26.360001,26.139999,26.23,3300,25.281743
2014-09-11,26.41,26.48,26.33,26.389999,19500,25.435959
2014-09-10,26.51,26.51,26.474001,26.474001,1300,25.516924
2014-09-09,26.459999,26.49,26.440001,26.48,24000,25.522706
2014-09-08,26.40,26.40,26.35,26.35,500,25.397406
