Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,44.049999,44.259998,43.880001,44.18,55300,44.18
2015-08-06,45.029999,45.029999,44.040001,44.18,36000,44.18
2015-08-05,44.990002,45.32,44.990002,45.080002,45900,45.080002
2015-08-04,44.639999,44.849998,44.57,44.709999,67900,44.709999
2015-08-03,44.830002,44.84,44.41,44.630001,131300,44.630001
2015-07-31,44.790001,44.889999,44.669998,44.73,292400,44.73
2015-07-30,44.400002,44.82,44.299999,44.759998,85900,44.759998
2015-07-29,44.360001,44.59,44.25,44.59,46600,44.59
2015-07-28,44.00,44.279999,43.630001,44.18,51200,44.18
2015-07-27,44.00,44.00,43.669998,43.720001,100200,43.720001
2015-07-24,44.830002,44.830002,44.110001,44.200001,110000,44.200001
2015-07-23,45.59,45.59,44.689999,44.759998,308000,44.759998
2015-07-22,44.580002,44.830002,44.580002,44.779999,288600,44.779999
2015-07-21,44.860001,45.029999,44.810001,44.91,99700,44.91
2015-07-20,45.139999,45.139999,44.869999,44.93,186900,44.93
2015-07-17,45.09,45.09,44.810001,44.950001,164300,44.950001
2015-07-16,44.790001,44.950001,44.790001,44.950001,53900,44.950001
2015-07-15,44.75,44.759998,44.48,44.549999,44800,44.549999
2015-07-14,44.610001,44.790001,44.529999,44.709999,43300,44.709999
2015-07-13,44.299999,44.509998,44.25,44.50,59900,44.50
2015-07-10,43.900002,43.98,43.639999,43.93,36500,43.93
2015-07-09,43.689999,43.849998,43.279999,43.279999,110300,43.279999
2015-07-08,43.77,43.77,43.150002,43.200001,54200,43.200001
2015-07-07,43.810001,44.060001,43.150002,44.029999,54100,44.029999
2015-07-06,43.759998,44.080002,43.610001,43.810001,24800,43.810001
2015-07-02,44.049999,44.07,43.889999,44.029999,28700,44.029999
2015-07-01,44.150002,44.16,43.860001,43.959999,39800,43.959999
2015-06-30,43.93,43.990002,43.560001,43.709999,45000,43.709999
2015-06-29,44.330002,44.380001,43.540001,43.560001,664100,43.560001
2015-06-26,44.84,44.939999,44.560001,44.700001,24600,44.700001
2015-06-25,45.209999,45.209999,44.91,44.959999,26700,44.959999
2015-06-24,45.360001,45.43,45.040001,45.060001,36500,45.060001
2015-06-23,45.59,45.59,45.43,45.540001,61000,45.473001
