Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,10.05,10.05,10.04,10.05,1500,10.05
2015-08-06,10.04,10.05,10.04,10.05,1400,10.05
2015-08-05,10.022,10.05,10.02,10.05,41100,10.05
2015-08-04,10.042,10.05,10.03,10.05,34600,10.05
2015-08-03,10.05,10.05,10.04,10.05,128500,10.05
2015-07-31,10.05,10.08,10.03,10.03,24300,10.03
2015-07-30,10.05,10.08,10.05,10.08,85800,10.08
2015-07-29,10.02,10.15,10.02,10.10,37400,10.10
2015-07-28,10.20,10.20,10.08,10.08,295000,10.08
2015-07-27,10.19,10.23,10.15,10.23,19900,10.23
2015-07-24,10.25,10.34,10.15,10.20,186400,10.20
2015-07-23,10.03,10.03,10.03,10.03,000,10.03
2015-07-22,10.06,10.10,10.02,10.03,163300,10.03
2015-07-21,10.19,10.19,10.19,10.19,000,10.19
2015-07-20,10.19,10.19,10.19,10.19,000,10.19
2015-07-17,10.19,10.19,10.19,10.19,000,10.19
2015-07-16,10.19,10.19,10.19,10.19,000,10.19
2015-07-15,10.19,10.20,10.19,10.19,500,10.19
2015-07-14,10.22,10.24,10.22,10.24,500,10.24
2015-07-13,10.20,10.25,9.85,10.25,1000,10.25
2015-07-10,10.23,10.25,10.23,10.25,500,10.25
2015-07-09,10.23,10.23,10.23,10.23,000,10.23
2015-07-08,10.23,10.23,10.23,10.23,000,10.23
2015-07-07,10.11,10.23,10.00,10.23,16400,10.23
2015-07-06,10.25,10.25,10.11,10.25,3600,10.25
2015-07-02,10.23,10.23,10.23,10.23,000,10.23
2015-07-01,10.23,10.23,10.23,10.23,100,10.23
2015-06-30,10.25,10.34,10.24,10.25,9000,10.25
2015-06-29,10.44,10.46,10.19,10.35,2400,10.35
2015-06-26,10.31,10.31,10.31,10.31,000,10.31
2015-06-25,10.31,10.31,10.31,10.31,1000,10.31
2015-06-24,10.28,10.28,10.26,10.27,1000,10.27
2015-06-23,10.35,10.35,10.35,10.35,1000,10.35
2015-06-22,10.26,10.49,10.24,10.34,2300,10.34
2015-06-19,10.18,10.28,10.17,10.28,1300,10.28
2015-06-18,10.23,10.29,10.23,10.29,1000,10.29
2015-06-17,10.25,10.28,10.25,10.28,1600,10.28
2015-06-16,10.14,10.37,10.14,10.37,500,10.37
2015-06-15,10.29,10.29,10.29,10.29,000,10.29
2015-06-12,10.27,10.29,10.27,10.29,700,10.29
2015-06-11,10.21,10.30,10.10,10.19,21200,10.19
2015-06-10,10.10,10.34,10.06,10.19,10200,10.19
2015-06-09,10.10,10.21,10.10,10.21,1700,10.21
2015-06-08,10.22,10.22,10.21,10.21,500,10.21
2015-06-05,10.19,10.48,10.06,10.21,19200,10.21
2015-06-04,10.07,10.07,10.07,10.07,100,10.07
2015-06-03,10.14,10.14,10.14,10.14,500,10.14
2015-06-02,10.13,10.13,10.07,10.07,5200,10.07
2015-06-01,10.10,10.20,10.09,10.20,312700,10.20
2015-05-29,10.079,10.08,10.03,10.03,14400,10.03
2015-05-28,10.04,10.10,10.04,10.10,16300,10.10
2015-05-27,10.07,10.07,10.07,10.07,000,10.07
2015-05-26,10.07,10.07,10.07,10.07,300,10.07
2015-05-22,10.14,10.14,10.14,10.14,000,10.14
2015-05-21,10.14,10.14,10.14,10.14,000,10.14
2015-05-20,10.14,10.14,10.14,10.14,000,10.14
2015-05-19,10.14,10.14,10.14,10.14,000,10.14
2015-05-18,10.14,10.14,10.14,10.14,2200,10.14
2015-05-15,10.10,10.10,10.10,10.10,000,10.10
2015-05-14,10.10,10.10,10.10,10.10,000,10.10
2015-05-13,10.10,10.10,10.10,10.10,000,10.10
2015-05-12,10.10,10.25,10.097,10.10,32800,10.10
2015-05-11,10.07,10.07,10.07,10.07,100,10.07
2015-05-08,10.11,10.12,10.11,10.12,1300,10.12
2015-05-07,10.04,10.04,10.03,10.03,300,10.03
2015-05-06,10.10,10.10,10.10,10.10,100,10.10
2015-05-05,10.15,10.15,10.07,10.07,1300,10.07
2015-05-04,10.08,10.20,10.07,10.20,267000,10.20
2015-05-01,10.20,10.20,10.07,10.07,506000,10.07
2015-04-30,10.20,10.20,10.07,10.07,506000,10.07
2015-04-29,10.02,10.02,10.02,10.02,000,10.02
2015-04-28,10.02,10.02,10.02,10.02,000,10.02
2015-04-27,10.02,10.02,10.02,10.02,000,10.02
2015-04-24,10.02,10.02,10.02,10.02,000,10.02
2015-04-23,10.02,10.02,10.02,10.02,000,10.02
2015-04-22,10.14,10.15,10.02,10.02,3200,10.02
2015-04-21,10.05,10.05,10.00,10.00,105300,10.00
2015-04-20,10.15,10.15,10.15,10.15,000,10.15
2015-04-17,10.15,10.15,10.15,10.15,200,10.15
2015-04-16,10.10,10.50,10.10,10.10,3000,10.10
2015-04-15,10.05,10.15,10.05,10.09,2600,10.09
2015-04-14,10.00,10.00,10.00,10.00,000,10.00
2015-04-13,10.00,10.00,10.00,10.00,000,10.00
2015-04-10,10.00,10.00,10.00,10.00,000,10.00
2015-04-09,10.00,10.00,9.99,10.00,1200,10.00
2015-04-08,10.00,10.00,10.00,10.00,2000,10.00
2015-04-07,9.95,9.95,9.95,9.95,000,9.95
2015-04-06,9.95,9.95,9.95,9.95,1100,9.95
2015-04-02,9.92,9.95,9.92,9.95,2100,9.95
2015-04-01,9.92,9.92,9.92,9.92,000,9.92
2015-03-31,9.92,9.92,9.92,9.92,000,9.92
2015-03-30,9.92,9.92,9.92,9.92,000,9.92
2015-03-27,9.90,9.92,9.89,9.92,51900,9.92
2015-03-26,9.90,9.90,9.90,9.90,000,9.90
2015-03-25,9.90,9.90,9.90,9.90,100,9.90
2015-03-24,9.88,9.88,9.88,9.88,1600,9.88
2015-03-23,9.85,9.85,9.85,9.85,000,9.85
2015-03-20,9.85,9.85,9.85,9.85,300,9.85
2015-03-19,9.89,9.89,9.89,9.89,000,9.89
2015-03-18,9.89,9.89,9.89,9.89,000,9.89
2015-03-17,9.89,9.89,9.89,9.89,000,9.89
2015-03-16,9.89,9.89,9.89,9.89,000,9.89
2015-03-13,9.89,9.89,9.89,9.89,1000,9.89
2015-03-12,9.88,9.88,9.88,9.88,000,9.88
2015-03-11,9.88,9.88,9.88,9.88,000,9.88
2015-03-10,9.88,9.88,9.88,9.88,000,9.88
2015-03-09,9.84,9.88,9.84,9.88,1800,9.88
2015-03-06,9.85,9.85,9.85,9.85,000,9.85
2015-03-05,9.85,9.85,9.85,9.85,000,9.85
2015-03-04,9.85,9.85,9.85,9.85,000,9.85
2015-03-03,9.85,9.85,9.85,9.85,000,9.85
2015-03-02,9.89,9.89,9.84,9.85,2800,9.85
2015-02-27,9.76,9.76,9.76,9.76,000,9.76
2015-02-26,9.76,9.76,9.76,9.76,000,9.76
2015-02-25,9.76,9.76,9.76,9.76,100000,9.76
2015-02-24,9.73,9.75,9.73,9.75,96700,9.75
2015-02-23,9.74,9.74,9.74,9.74,000,9.74
2015-02-20,9.74,9.74,9.74,9.74,000,9.74
2015-02-19,9.74,9.74,9.74,9.74,000,9.74
2015-02-18,9.74,9.74,9.74,9.74,000,9.74
2015-02-17,9.74,9.74,9.74,9.74,000,9.74
2015-02-13,9.74,9.74,9.74,9.74,000,9.74
2015-02-12,9.74,9.74,9.74,9.74,000,9.74
2015-02-11,9.74,9.74,9.74,9.74,000,9.74
2015-02-10,9.74,9.74,9.74,9.74,000,9.74
2015-02-09,9.74,9.74,9.74,9.74,000,9.74
2015-02-06,9.74,9.74,9.74,9.74,000,9.74
2015-02-05,9.74,9.74,9.74,9.74,000,9.74
2015-02-04,9.74,9.74,9.74,9.74,000,9.74
2015-02-03,9.74,9.74,9.74,9.74,000,9.74
2015-02-02,9.74,9.74,9.74,9.74,000,9.74
2015-01-30,9.74,9.74,9.74,9.74,000,9.74
2015-01-29,9.74,9.74,9.74,9.74,000,9.74
2015-01-28,9.74,9.74,9.74,9.74,000,9.74
2015-01-27,9.74,9.74,9.74,9.74,000,9.74
2015-01-26,9.74,9.74,9.74,9.74,000,9.74
2015-01-23,9.74,9.74,9.74,9.74,100,9.74
2015-01-22,9.82,9.82,9.82,9.82,000,9.82
2015-01-21,9.82,9.82,9.82,9.82,000,9.82
2015-01-20,9.82,9.82,9.82,9.82,000,9.82
2015-01-16,9.98,9.98,9.82,9.82,200,9.82
2015-01-15,9.89,9.89,9.89,9.89,000,9.89
2015-01-14,9.86,9.89,9.86,9.89,200,9.89
2015-01-13,9.85,9.85,9.85,9.85,000,9.85
2015-01-12,9.85,9.85,9.85,9.85,000,9.85
2015-01-09,9.85,9.85,9.85,9.85,000,9.85
2015-01-08,9.85,9.85,9.85,9.85,500,9.85
2015-01-07,9.83,9.83,9.83,9.83,000,9.83
2015-01-06,9.83,9.83,9.83,9.83,000,9.83
2015-01-05,9.83,9.83,9.83,9.83,000,9.83
2015-01-02,9.83,9.83,9.83,9.83,000,9.83
2014-12-31,9.84,9.85,9.80,9.83,600,9.83
2014-12-30,9.70,9.70,9.70,9.70,000,9.70
2014-12-29,9.70,9.70,9.70,9.70,000,9.70
2014-12-26,9.70,9.70,9.70,9.70,2100,9.70
2014-12-24,9.68,9.68,9.68,9.68,000,9.68
2014-12-23,9.84,9.84,9.84,9.84,100,9.84
2014-12-22,9.84,9.84,9.84,9.84,000,9.84
2014-12-19,9.84,9.84,9.84,9.84,000,9.84
2014-12-18,9.84,9.84,9.84,9.84,000,9.84
2014-12-17,9.84,9.84,9.84,9.84,000,9.84
2014-12-16,9.84,9.84,9.84,9.84,000,9.84
2014-12-15,9.84,9.84,9.84,9.84,000,9.84
2014-12-12,9.83,9.85,9.83,9.84,400,9.84
2014-12-11,9.83,9.83,9.83,9.83,000,9.83
2014-12-10,9.83,9.83,9.83,9.83,000,9.83
2014-12-09,9.83,9.83,9.83,9.83,000,9.83
2014-12-08,9.83,9.83,9.83,9.83,000,9.83
2014-12-05,9.83,9.83,9.83,9.83,100,9.83
2014-12-04,9.82,9.82,9.70,9.74,900,9.74
2014-12-03,9.75,9.75,9.75,9.75,000,9.75
2014-12-02,9.75,9.75,9.75,9.75,000,9.75
2014-12-01,9.75,9.75,9.75,9.75,100,9.75
2014-11-28,9.75,9.75,9.75,9.75,000,9.75
2014-11-26,9.75,9.75,9.75,9.75,000,9.75
2014-11-25,9.75,9.75,9.75,9.75,000,9.75
2014-11-24,9.82,9.82,9.75,9.75,100500,9.75
2014-11-21,9.65,9.65,9.65,9.65,000,9.65
2014-11-20,9.65,9.65,9.65,9.65,000,9.65
2014-11-19,9.65,9.65,9.65,9.65,000,9.65
2014-11-18,9.65,9.65,9.65,9.65,000,9.65
2014-11-17,9.65,9.65,9.65,9.65,000,9.65
2014-11-14,9.65,9.65,9.65,9.65,000,9.65
2014-11-13,9.65,9.65,9.65,9.65,000,9.65
2014-11-12,9.65,9.65,9.65,9.65,000,9.65
2014-11-11,9.65,9.65,9.65,9.65,700,9.65
2014-11-10,9.66,9.66,9.66,9.66,000,9.66
2014-11-07,9.66,9.66,9.66,9.66,200,9.66
2014-11-06,9.71,9.71,9.71,9.71,100,9.71
2014-11-05,9.71,9.71,9.71,9.71,000,9.71
2014-11-04,9.71,9.71,9.71,9.71,000,9.71
2014-11-03,9.71,9.71,9.71,9.71,000,9.71
2014-10-31,9.71,9.71,9.71,9.71,000,9.71
2014-10-30,9.71,9.71,9.71,9.71,000,9.71
2014-10-29,9.71,9.71,9.71,9.71,000,9.71
2014-10-28,9.71,9.71,9.71,9.71,000,9.71
2014-10-27,9.71,9.71,9.71,9.71,000,9.71
2014-10-24,9.71,9.71,9.71,9.71,000,9.71
2014-10-23,9.71,9.71,9.71,9.71,000,9.71
2014-10-22,9.71,9.71,9.71,9.71,000,9.71
2014-10-21,9.71,9.71,9.71,9.71,000,9.71
2014-10-20,9.71,9.71,9.71,9.71,000,9.71
2014-10-17,9.71,9.71,9.71,9.71,000,9.71
2014-10-16,9.71,9.71,9.71,9.71,000,9.71
2014-10-15,9.71,9.71,9.71,9.71,000,9.71
2014-10-14,9.71,9.71,9.71,9.71,000,9.71
2014-10-13,9.71,9.71,9.71,9.71,000,9.71
2014-10-10,9.71,9.71,9.71,9.71,000,9.71
2014-10-09,9.71,9.71,9.71,9.71,000,9.71
2014-10-08,9.71,9.71,9.71,9.71,000,9.71
2014-10-07,9.71,9.71,9.71,9.71,000,9.71
2014-10-06,9.71,9.71,9.71,9.71,000,9.71
2014-10-03,9.71,9.71,9.71,9.71,000,9.71
2014-10-02,9.75,9.75,9.71,9.71,400000,9.71
2014-10-01,9.86,9.86,9.75,9.75,400,9.75
2014-09-30,9.86,9.87,9.85,9.85,402600,9.85
2014-09-29,9.70,9.70,9.70,9.70,000,9.70
2014-09-26,9.70,9.70,9.70,9.70,200,9.70
2014-09-25,9.76,9.76,9.76,9.76,000,9.76
2014-09-24,9.85,9.86,9.76,9.76,7300,9.76
2014-09-23,9.89,9.90,9.72,9.77,22100,9.77
2014-09-22,9.98,10.00,9.81,9.81,16700,9.81
2014-09-19,9.95,9.95,9.78,9.78,1700,9.78
2014-09-18,9.90,9.90,9.90,9.90,000,9.90
2014-09-17,9.97,9.97,9.90,9.90,8200,9.90
2014-09-16,9.85,10.00,9.85,9.88,7100,9.88
2014-09-15,9.84,9.984,9.82,9.984,11000,9.984
2014-09-12,9.88,9.88,9.88,9.88,000,9.88
2014-09-11,9.88,9.88,9.88,9.88,000,9.88
2014-09-10,9.88,9.88,9.88,9.88,000,9.88
2014-09-09,9.88,9.88,9.88,9.88,000,9.88
2014-09-08,9.88,9.88,9.88,9.88,000,9.88
2014-09-05,9.89,9.89,9.86,9.88,1800,9.88
2014-09-04,9.905,9.905,9.905,9.905,000,9.905
