Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.406,0.425,0.378,0.39,1396900,0.39
2015-08-06,0.43,0.43,0.40,0.404,565000,0.404
2015-08-05,0.42,0.426,0.412,0.42,245400,0.42
2015-08-04,0.411,0.43,0.408,0.412,278700,0.412
2015-08-03,0.406,0.429,0.405,0.41,293800,0.41
2015-07-31,0.40,0.43,0.40,0.41,306100,0.41
2015-07-30,0.429,0.43,0.407,0.411,857100,0.411
2015-07-29,0.45,0.45,0.411,0.434,1128100,0.434
2015-07-28,0.466,0.49,0.44,0.45,831400,0.45
2015-07-27,0.47,0.49,0.46,0.47,969700,0.47
2015-07-24,0.46,0.49,0.46,0.47,453500,0.47
2015-07-23,0.46,0.48,0.46,0.477,297000,0.477
2015-07-22,0.475,0.475,0.45,0.467,694200,0.467
2015-07-21,0.50,0.50,0.462,0.475,812700,0.475
2015-07-20,0.509,0.52,0.482,0.482,558800,0.482
2015-07-17,0.508,0.52,0.49,0.50,712500,0.50
2015-07-16,0.52,0.527,0.50,0.51,553700,0.51
2015-07-15,0.515,0.53,0.504,0.51,599300,0.51
2015-07-14,0.522,0.53,0.505,0.513,416700,0.513
2015-07-13,0.533,0.533,0.50,0.524,604600,0.524
2015-07-10,0.481,0.53,0.48,0.528,1344900,0.528
2015-07-09,0.495,0.51,0.475,0.482,628300,0.482
2015-07-08,0.515,0.517,0.48,0.489,1095100,0.489
2015-07-07,0.529,0.529,0.506,0.515,342100,0.515
2015-07-06,0.505,0.542,0.45,0.542,1441200,0.542
2015-07-02,0.533,0.54,0.503,0.515,737600,0.515
2015-07-01,0.49,0.55,0.49,0.525,1448100,0.525
2015-06-30,0.514,0.539,0.47,0.49,1936900,0.49
2015-06-29,0.53,0.56,0.51,0.514,1989000,0.514
2015-06-26,0.64,0.64,0.53,0.569,4450100,0.569
2015-06-25,0.55,0.62,0.55,0.61,6841700,0.61
2015-06-24,0.493,0.54,0.46,0.525,2480500,0.525
2015-06-23,0.465,0.51,0.462,0.49,2239800,0.49
2015-06-22,0.48,0.48,0.453,0.46,692100,0.46
2015-06-19,0.47,0.48,0.451,0.462,1178300,0.462
2015-06-18,0.436,0.46,0.401,0.45,1606100,0.45
2015-06-17,0.41,0.45,0.41,0.42,831800,0.42
2015-06-16,0.42,0.439,0.398,0.41,1387300,0.41
2015-06-15,0.42,0.429,0.395,0.412,1418200,0.412
2015-06-12,0.46,0.47,0.422,0.43,1947300,0.43
2015-06-11,0.49,0.49,0.451,0.459,1082100,0.459
2015-06-10,0.488,0.488,0.432,0.47,2913000,0.47
2015-06-09,0.52,0.525,0.48,0.49,7007500,0.49
2015-06-08,0.448,0.47,0.42,0.46,4753600,0.46
2015-06-05,0.398,0.448,0.393,0.427,7280300,0.427
2015-06-04,0.395,0.395,0.377,0.39,3248700,0.39
2015-06-03,0.39,0.395,0.375,0.392,5798200,0.392
2015-06-02,0.39,0.39,0.365,0.374,3039000,0.374
2015-06-01,0.39,0.39,0.361,0.378,5832100,0.378
2015-05-29,0.37,0.376,0.36,0.364,3003500,0.364
2015-05-28,0.36,0.38,0.342,0.38,9660700,0.38
2015-05-27,0.46,0.47,0.455,0.455,1312400,0.455
2015-05-26,0.51,0.524,0.45,0.463,801600,0.463
2015-05-22,0.50,0.50,0.482,0.50,469900,0.50
2015-05-21,0.49,0.54,0.482,0.495,931300,0.495
2015-05-20,0.515,0.53,0.49,0.51,966400,0.51
2015-05-19,0.51,0.53,0.491,0.525,726300,0.525
2015-05-18,0.512,0.52,0.49,0.501,1043700,0.501
2015-05-15,0.55,0.568,0.512,0.512,865900,0.512
2015-05-14,0.566,0.585,0.532,0.548,490600,0.548
2015-05-13,0.58,0.59,0.56,0.57,660500,0.57
2015-05-12,0.569,0.589,0.55,0.58,483000,0.58
2015-05-11,0.57,0.595,0.516,0.59,1058300,0.59
2015-05-08,0.58,0.588,0.50,0.53,1361700,0.53
2015-05-07,0.616,0.62,0.56,0.56,1198800,0.56
2015-05-06,0.66,0.66,0.616,0.616,430000,0.616
2015-05-05,0.68,0.684,0.63,0.657,855700,0.657
2015-05-04,0.69,0.695,0.652,0.674,615900,0.674
2015-05-01,0.661,0.75,0.653,0.67,2197000,0.67
2015-04-30,0.64,0.678,0.63,0.651,405300,0.651
2015-04-29,0.63,0.65,0.62,0.63,285000,0.63
2015-04-28,0.622,0.65,0.615,0.63,729600,0.63
2015-04-27,0.65,0.656,0.625,0.63,856100,0.63
2015-04-24,0.72,0.72,0.612,0.625,1318500,0.625
2015-04-23,0.70,0.71,0.66,0.67,1363400,0.67
2015-04-22,0.72,0.72,0.69,0.70,660200,0.70
2015-04-21,0.74,0.74,0.701,0.713,1051700,0.713
2015-04-20,0.73,0.75,0.71,0.729,990300,0.729
2015-04-17,0.80,0.80,0.714,0.725,4368200,0.725
2015-04-16,0.743,0.78,0.692,0.70,1636300,0.70
2015-04-15,0.72,0.73,0.692,0.70,1051400,0.70
2015-04-14,0.77,0.79,0.71,0.72,1553000,0.72
2015-04-13,0.81,0.87,0.81,0.84,920000,0.84
2015-04-10,0.78,0.83,0.75,0.81,802600,0.81
2015-04-09,0.75,0.77,0.732,0.75,222600,0.75
