Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,14.38,14.41,14.38,14.41,800,14.41
2015-08-06,14.44,14.44,14.41,14.41,1700,14.41
2015-08-05,14.50,14.50,14.48,14.48,2800,14.48
2015-08-04,14.44,14.50,14.44,14.49,2700,14.49
2015-08-03,14.56,14.58,14.48,14.48,4500,14.48
2015-07-31,14.56,14.645,14.56,14.56,1500,14.56
2015-07-30,14.62,14.62,14.61,14.61,700,14.61
2015-07-29,14.60,14.67,14.60,14.67,8700,14.67
2015-07-28,14.70,14.70,14.65,14.65,4600,14.65
2015-07-27,14.652,14.80,14.65,14.71,11900,14.71
2015-07-24,14.65,14.75,14.57,14.65,22900,14.65
2015-07-23,14.67,14.768,14.622,14.622,23300,14.622
2015-07-22,14.726,14.78,14.726,14.734,3200,14.734
2015-07-21,14.91,14.91,14.75,14.77,19800,14.77
2015-07-20,14.711,14.785,14.672,14.69,4900,14.69
2015-07-17,14.75,14.85,14.63,14.85,13800,14.85
2015-07-16,14.76,14.80,14.66,14.80,7600,14.80
2015-07-15,14.75,14.90,14.75,14.87,8400,14.87
2015-07-14,14.74,14.74,14.74,14.74,000,14.74
2015-07-13,14.74,14.74,14.74,14.74,000,14.74
2015-07-10,14.77,14.77,14.70,14.74,1400,14.74
2015-07-09,14.65,14.68,14.64,14.68,2700,14.68
2015-07-08,14.63,14.65,14.50,14.50,500,14.50
2015-07-07,14.65,14.65,14.65,14.65,200,14.65
2015-07-06,14.778,14.778,14.61,14.61,600,14.61
2015-07-02,14.83,14.987,14.80,14.937,1900,14.937
2015-07-01,15.349,15.349,15.349,15.349,200,15.349
2015-06-30,15.00,15.04,14.80,14.80,1500,14.80
2015-06-29,15.351,15.44,14.60,15.04,18700,15.04
2015-06-26,14.50,14.94,14.50,14.91,3800,14.91
2015-06-25,14.65,15.00,14.50,14.51,3000,14.51
2015-06-24,14.79,14.84,14.41,14.70,5900,14.70
2015-06-23,14.62,14.76,14.46,14.46,500,14.46
2015-06-22,14.25,14.43,14.25,14.27,3800,14.27
2015-06-19,14.81,15.50,14.45,14.45,38000,14.45
2015-06-18,14.63,14.91,14.61,14.90,18000,14.90
2015-06-17,14.44,14.75,14.44,14.52,6100,14.52
2015-06-16,14.35,14.50,14.20,14.42,13600,14.42
2015-06-15,14.38,14.40,14.20,14.20,12500,14.20
2015-06-12,14.34,14.34,14.15,14.17,400,14.17
2015-06-11,14.39,14.39,14.20,14.37,6900,14.37
2015-06-10,14.22,14.34,14.16,14.21,5800,14.21
2015-06-09,14.40,14.40,14.03,14.12,4400,14.12
2015-06-08,13.86,14.40,13.86,14.10,16200,14.10
2015-06-05,14.075,14.25,14.075,14.25,1000,14.25
2015-06-04,14.40,14.40,14.40,14.40,300,14.40
2015-06-03,14.10,14.24,14.02,14.225,9800,14.225
2015-06-02,14.08,14.08,13.591,13.591,1900,13.591
2015-06-01,13.92,14.07,13.53,14.06,6400,14.06
2015-05-29,13.16,13.50,13.141,13.50,2000,13.50
2015-05-28,13.47,13.47,13.20,13.20,2000,13.20
