Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,27.41,28.00,27.24,27.41,54300,27.41
2015-08-06,27.68,28.120001,27.26,27.610001,60400,27.610001
2015-08-05,27.280001,27.98,27.280001,27.73,78000,27.73
2015-08-04,27.030001,27.450001,27.030001,27.190001,45100,27.190001
2015-08-03,27.200001,27.459999,26.75,27.08,42600,27.08
2015-07-31,27.120001,27.450001,26.76,27.32,63300,27.32
2015-07-30,27.049999,27.48,26.76,27.09,106900,27.09
2015-07-29,27.049999,27.33,26.389999,27.040001,133300,27.040001
2015-07-28,27.469999,27.559999,26.790001,27.00,88400,27.00
2015-07-27,27.129999,27.450001,26.969999,27.389999,80100,27.389999
2015-07-24,28.040001,28.129999,27.190001,27.530001,107100,27.530001
2015-07-23,29.26,29.43,28.15,28.290001,98000,28.290001
2015-07-22,28.719999,29.280001,28.719999,29.10,43300,29.10
2015-07-21,28.93,29.540001,28.65,28.700001,40800,28.700001
2015-07-20,28.66,28.950001,28.41,28.93,73800,28.93
2015-07-17,29.129999,29.219999,28.48,28.620001,62900,28.620001
2015-07-16,28.99,29.379999,28.940001,29.18,49800,29.18
2015-07-15,29.059999,29.40,28.77,28.799999,59500,28.799999
2015-07-14,29.15,29.23,28.74,28.98,88000,28.98
2015-07-13,29.01,29.32,29.01,29.209999,58400,29.209999
2015-07-10,28.74,29.030001,28.74,28.84,82000,28.84
2015-07-09,28.719999,28.879999,28.120001,28.57,111400,28.57
2015-07-08,28.18,28.549999,28.059999,28.48,145200,28.48
2015-07-07,28.59,28.59,27.870001,28.32,80400,28.32
2015-07-06,28.77,29.00,28.530001,28.68,95500,28.68
2015-07-02,29.74,29.83,28.860001,28.93,53100,28.93
2015-07-01,29.389999,29.82,29.35,29.709999,65800,29.709999
2015-06-30,29.26,29.42,28.90,29.23,72700,29.23
2015-06-29,29.450001,29.870001,29.049999,29.09,103500,29.09
2015-06-26,29.40,29.799999,29.280001,29.76,240200,29.76
2015-06-25,29.34,29.65,29.049999,29.42,130300,29.42
2015-06-24,28.860001,29.459999,28.860001,29.139999,87700,29.139999
2015-06-23,29.10,29.48,29.00,29.07,105600,29.07
2015-06-22,28.610001,29.17,28.610001,28.860001,89500,28.860001
2015-06-19,28.76,29.25,28.32,28.48,574800,28.48
2015-06-18,28.57,29.049999,28.17,28.51,104400,28.51
2015-06-17,29.09,29.42,28.34,28.559999,169200,28.559999
2015-06-16,28.870001,29.610001,28.84,29.08,103400,29.08
2015-06-15,29.190001,29.459999,28.549999,29.139999,147300,29.139999
2015-06-12,29.25,29.43,28.889999,29.219999,104200,29.219999
2015-06-11,29.129999,29.370001,28.620001,29.26,90200,29.26
2015-06-10,28.26,29.610001,28.26,29.110001,140500,29.110001
2015-06-09,27.48,28.32,27.42,28.08,74600,28.08
2015-06-08,27.57,27.74,27.34,27.610001,102200,27.610001
2015-06-05,27.08,27.709999,27.059999,27.68,106700,27.68
2015-06-04,27.18,27.34,26.629999,26.92,69800,26.92
2015-06-03,26.77,27.60,26.76,27.08,124800,27.08
2015-06-02,26.42,26.91,26.40,26.790001,101700,26.790001
2015-06-01,27.129999,27.129999,26.389999,26.459999,62200,26.459999
2015-05-29,27.58,27.700001,26.620001,26.85,118100,26.85
2015-05-28,27.34,27.60,27.059999,27.57,74200,27.57
2015-05-27,26.98,27.450001,26.40,27.33,74400,27.33
2015-05-26,27.00,27.09,26.450001,26.860001,67000,26.860001
2015-05-22,27.58,28.10,27.07,27.120001,42700,27.120001
2015-05-21,27.67,27.90,27.42,27.629999,76300,27.629999
2015-05-20,27.90,27.90,27.049999,27.639999,95800,27.639999
2015-05-19,27.540001,27.790001,27.15,27.74,101500,27.74
2015-05-18,27.139999,27.790001,26.969999,27.610001,98600,27.380001
2015-05-15,27.76,27.799999,26.58,27.09,104200,26.864333
2015-05-14,27.950001,28.190001,27.34,27.709999,80300,27.479167
2015-05-13,27.700001,27.799999,27.32,27.719999,41200,27.489084
2015-05-12,27.290001,27.860001,26.799999,27.629999,36100,27.399833
2015-05-11,27.059999,27.52,26.870001,27.41,67800,27.181667
2015-05-08,27.00,27.280001,26.74,27.129999,44900,26.903999
2015-05-07,27.120001,27.120001,26.709999,26.879999,53800,26.656081
2015-05-06,26.73,27.129999,26.620001,27.07,68600,26.844499
2015-05-05,26.15,26.790001,26.15,26.58,108100,26.358581
2015-05-04,26.52,26.90,26.120001,26.190001,110700,25.97183
2015-05-01,27.35,27.35,26.51,26.610001,144600,26.388332
2015-04-30,28.25,28.379999,27.299999,27.32,83000,27.092416
2015-04-29,27.93,28.91,27.50,28.43,80700,28.19317
2015-04-28,27.629999,28.24,27.629999,27.99,44800,27.756835
2015-04-27,27.690001,28.709999,27.23,27.51,65900,27.280834
2015-04-24,27.98,28.09,27.43,27.530001,38000,27.300668
2015-04-23,28.690001,28.74,27.51,27.940001,53800,27.707252
2015-04-22,29.229994,29.780004,28.82,29.680002,48100,28.0312
2015-04-21,29.050002,29.780004,28.660001,29.119995,78600,27.502302
2015-04-20,28.979999,29.24,28.699995,29.00,53700,27.388973
2015-04-17,29.429997,29.429997,28.660001,28.729994,54000,27.133967
2015-04-16,29.569993,29.890001,28.989995,29.659999,57800,28.012308
2015-04-15,28.859994,29.689998,28.400001,29.539995,88400,27.898969
2015-04-14,29.169997,29.319998,28.139998,28.790001,80400,27.19064
2015-04-13,28.219998,29.390003,28.219998,29.180002,75200,27.558976
2015-04-10,28.470003,28.500002,28.149995,28.370002,74900,26.793973
2015-04-09,28.059999,28.389993,27.879997,28.269998,60700,26.699525
2015-04-08,28.000002,28.210003,27.500002,27.969993,89600,26.416186
2015-04-07,28.299997,28.520003,27.829998,28.109999,55900,26.548414
2015-04-06,28.729994,28.849999,28.100004,28.199995,95200,26.633411
2015-04-02,28.979999,29.020003,28.520003,28.840001,87000,27.237863
2015-04-01,28.649994,28.920002,28.219998,28.840001,59500,27.237863
2015-03-31,29.069995,29.069995,28.439995,28.69,66500,27.096194
2015-03-30,28.959996,29.589996,28.909996,29.149994,56500,27.530634
2015-03-27,28.929997,29.189998,28.160001,28.779994,74900,27.181189
2015-03-26,28.180004,28.929997,28.009998,28.87,82700,27.266195
2015-03-25,28.760003,29.810003,28.089998,28.219998,72600,26.652303
2015-03-24,28.660001,29.899999,28.269998,28.630002,45700,27.03953
2015-03-23,29.210001,29.92,28.400001,28.609999,97100,27.020638
2015-03-20,28.669997,29.509996,28.649994,29.149994,355500,27.530634
2015-03-19,28.809993,29.130003,28.000002,28.530001,119800,26.945084
2015-03-18,29.409994,29.630001,28.569995,28.890003,118800,27.285087
2015-03-17,30.109998,30.390001,29.349997,29.479999,95400,27.842307
2015-03-16,30.329994,30.940001,30.05,30.29,94400,28.60731
2015-03-13,30.600002,30.959994,29.769998,30.239998,95100,28.560086
2015-03-12,29.760001,30.540005,29.470002,30.490003,107700,28.796202
2015-03-11,29.149994,29.680002,28.929997,29.420002,84000,27.785643
2015-03-10,29.219997,29.539995,28.769998,29.020003,111400,27.407865
2015-03-09,29.470002,29.970002,29.109999,29.619995,130500,27.974526
2015-03-06,28.639998,29.600002,28.470003,29.299997,90300,27.672304
2015-03-05,28.710001,29.589996,28.180004,28.790001,109400,27.19064
2015-03-04,28.829996,28.879997,28.479999,28.589998,89500,27.001748
2015-03-03,28.87,29.119995,28.329996,28.840001,117600,27.237863
2015-03-02,28.600004,29.310003,28.340003,29.069995,125400,27.45508
2015-02-27,29.390003,29.630001,28.630002,28.710001,114700,27.115084
2015-02-26,29.340001,29.700006,29.199995,29.409994,51200,27.776191
2015-02-25,29.849997,29.849997,29.219997,29.470002,64200,27.832865
2015-02-24,29.290001,29.989993,29.119995,29.79,108800,28.135086
2015-02-23,29.639998,29.639998,29.119995,29.379996,45400,27.530632
2015-02-20,29.639998,29.700006,28.979999,29.639998,61000,27.774268
2015-02-19,29.669995,30.029999,29.290001,29.559998,89900,27.699304
2015-02-18,29.749995,29.979997,29.249995,29.669995,90100,27.802377
2015-02-17,29.429997,29.769998,29.119995,29.730002,71200,27.858607
2015-02-13,29.589996,29.979997,29.00,29.390003,84300,27.54001
2015-02-12,29.429997,29.569993,29.029999,29.399999,74800,27.549376
2015-02-11,30.00,30.429995,29.189998,29.269998,92800,27.427559
2015-02-10,29.550002,30.079999,29.009998,29.979997,185400,28.092866
2015-02-09,30.089996,30.929996,28.979999,29.020003,186700,27.1933
2015-02-06,30.459994,30.959994,29.959996,30.269997,194000,28.364611
2015-02-05,29.810003,30.379996,29.669995,30.329994,122300,28.420831
2015-02-04,29.539995,30.100002,29.100004,29.810003,130800,27.933572
2015-02-03,28.859994,29.689998,28.500002,29.539995,183300,27.68056
2015-02-02,27.409996,28.719998,27.340003,28.639998,126300,26.837215
2015-01-30,27.799999,28.069995,27.249997,27.299999,184900,25.581563
2015-01-29,27.699997,28.160001,27.209993,28.080003,155400,26.312469
2015-01-28,27.969993,27.969993,27.379999,27.729994,306800,25.984492
