Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,42.849998,43.09,42.849998,42.990002,221700,42.990002
2015-08-06,43.50,43.50,42.529999,43.049999,258900,43.049999
2015-08-05,43.200001,43.50,42.959999,43.279999,213200,43.279999
2015-08-04,43.220001,43.50,42.830002,43.200001,288900,43.200001
2015-08-03,43.150002,43.150002,42.59,43.099998,163300,43.099998
2015-07-31,43.290001,43.290001,42.84,43.09,120700,43.09
2015-07-30,42.900002,43.200001,42.66,43.139999,215200,43.139999
2015-07-29,43.029999,43.110001,42.669998,42.889999,89900,42.889999
2015-07-28,41.50,43.00,41.259998,42.919998,256800,42.919998
2015-07-27,43.77,44.00,40.259998,41.57,462100,41.57
2015-07-24,42.880001,44.43,42.68,44.310001,272300,44.310001
2015-07-23,44.299999,45.09,42.75,43.049999,218500,43.049999
2015-07-22,44.27,44.27,43.580002,43.77,154900,43.77
2015-07-21,44.509998,44.84,44.130001,44.450001,73000,44.450001
2015-07-20,44.509998,44.639999,44.290001,44.490002,96700,44.490002
2015-07-17,44.98,45.060001,44.619999,44.68,60100,44.68
2015-07-16,44.84,45.09,44.689999,44.93,105700,44.93
2015-07-15,44.669998,44.82,44.470001,44.689999,69100,44.689999
2015-07-14,44.740002,44.889999,44.630001,44.75,65400,44.75
2015-07-13,44.619999,44.91,44.560001,44.740002,68800,44.740002
2015-07-10,44.540001,44.700001,44.310001,44.450001,110600,44.450001
2015-07-09,44.419998,44.810001,43.439999,43.93,117100,43.93
2015-07-08,43.959999,44.040001,43.509998,43.98,151400,43.98
2015-07-07,44.639999,44.639999,43.630001,44.27,110500,44.27
2015-07-06,44.490002,45.07,44.110001,44.779999,79600,44.779999
2015-07-02,45.00,45.169998,44.34,44.77,76700,44.77
2015-07-01,44.43,45.009998,44.189999,44.919998,204300,44.919998
2015-06-30,45.040001,45.040001,44.110001,44.130001,167100,44.130001
2015-06-29,45.73,45.880001,44.720001,44.759998,91700,44.759998
2015-06-26,45.66,46.029999,45.349998,45.84,273500,45.84
2015-06-25,45.560001,45.630001,45.259998,45.57,178200,45.57
2015-06-24,45.709999,45.810001,45.220001,45.470001,124700,45.470001
2015-06-23,45.790001,45.990002,45.540001,45.759998,92400,45.759998
2015-06-22,45.630001,46.279999,45.419998,45.73,108300,45.73
2015-06-19,45.50,45.52,45.240002,45.400002,197200,45.400002
2015-06-18,45.130001,45.830002,45.130001,45.48,133000,45.48
2015-06-17,45.560001,45.560001,45.049999,45.080002,92100,45.080002
2015-06-16,45.00,45.549999,44.950001,45.389999,137900,45.389999
2015-06-15,44.939999,45.259998,44.59,45.00,141900,45.00
2015-06-12,45.049999,45.27,44.790001,45.139999,102700,45.139999
2015-06-11,44.950001,45.240002,44.77,45.09,180100,45.09
2015-06-10,44.040001,45.040001,43.810001,44.810001,226900,44.810001
2015-06-09,43.700001,44.25,42.91,43.799999,129500,43.799999
2015-06-08,43.560001,44.09,43.560001,43.66,82800,43.66
2015-06-05,43.970001,44.110001,43.380001,43.799999,98200,43.799999
2015-06-04,43.759998,44.209999,43.610001,43.880001,106700,43.880001
2015-06-03,44.16,44.279999,43.869999,44.00,228800,44.00
2015-06-02,44.060001,44.639999,43.959999,44.119999,229800,44.119999
2015-06-01,44.57,44.57,43.91,44.259998,140500,44.259998
2015-05-29,44.740002,44.970001,44.18,44.450001,125000,44.450001
2015-05-28,44.080002,44.790001,43.830002,44.73,162200,44.73
2015-05-27,44.139999,44.330002,44.049999,44.130001,230500,44.130001
2015-05-26,44.529999,44.759998,43.959999,44.130001,157400,44.130001
2015-05-22,44.580002,44.919998,44.380001,44.740002,151800,44.740002
2015-05-21,44.549999,44.790001,44.25,44.509998,118000,44.509998
2015-05-20,44.43,44.700001,44.009998,44.470001,134500,44.470001
2015-05-19,44.00,44.59,43.830002,44.439999,144400,44.439999
2015-05-18,43.740002,44.16,43.50,44.00,168000,44.00
2015-05-15,43.889999,43.93,43.59,43.810001,146300,43.810001
2015-05-14,43.68,43.990002,43.389999,43.860001,234200,43.860001
2015-05-13,43.689999,43.849998,42.709999,43.439999,161100,43.439999
2015-05-12,43.509998,43.790001,42.849998,43.689999,137000,43.689999
2015-05-11,43.040001,43.860001,43.040001,43.66,182500,43.66
2015-05-08,43.77,43.77,42.889999,43.099998,223600,43.099998
2015-05-07,42.639999,43.470001,42.139999,43.43,450600,43.43
2015-05-06,41.48,42.700001,40.990002,42.599998,350300,42.599998
2015-05-05,41.27,41.82,40.810001,41.299999,272600,41.299999
2015-05-04,41.279999,41.669998,41.02,41.509998,168500,41.509998
2015-05-01,40.849998,41.290001,40.439999,41.209999,213100,41.209999
2015-04-30,40.029999,40.68,39.779999,40.639999,315900,40.639999
2015-04-29,40.00,40.549999,40.00,40.240002,160800,40.240002
2015-04-28,39.619999,40.279999,39.200001,40.220001,597600,40.220001
2015-04-27,41.48,42.27,40.360001,40.57,461000,40.419999
2015-04-24,45.00,45.490002,39.389999,40.75,1640900,40.599334
2015-04-23,42.50,42.970001,42.209999,42.349998,252300,42.193416
2015-04-22,43.299999,43.299999,42.16,42.57,580800,42.412604
2015-04-21,42.549999,45.169998,42.130001,43.939999,1036200,43.777538
2015-04-20,39.41,42.860001,39.220001,42.52,933900,42.36279
2015-04-17,39.18,39.34,38.759998,39.029999,175800,38.885692
2015-04-16,39.439999,39.779999,38.990002,39.490002,63100,39.343994
2015-04-15,39.799999,39.939999,39.450001,39.459999,80200,39.314102
2015-04-14,39.720001,39.860001,39.419998,39.630001,73700,39.483476
2015-04-13,39.790001,40.299999,39.689999,39.799999,106100,39.652845
2015-04-10,39.459999,39.759998,39.09,39.610001,117100,39.463549
2015-04-09,39.549999,39.799999,39.09,39.209999,80700,39.065027
2015-04-08,39.689999,39.93,39.290001,39.68,154900,39.53329
2015-04-07,39.950001,40.41,39.599998,39.799999,144200,39.652845
2015-04-06,39.880001,40.41,39.82,39.950001,98500,39.802292
2015-04-02,40.549999,40.950001,40.119999,40.169998,100600,40.021476
2015-04-01,40.75,41.209999,40.029999,40.630001,143000,40.479778
2015-03-31,41.00,41.060001,39.939999,40.939999,138400,40.78863
2015-03-30,40.860001,41.110001,40.02,41.00,276300,40.848409
2015-03-27,38.02,40.57,37.939999,40.560001,270600,40.410037
2015-03-26,37.889999,38.32,36.689999,37.939999,155400,37.799722
2015-03-25,39.470001,39.470001,38.16,38.25,194100,38.108577
2015-03-24,39.790001,39.860001,39.290001,39.48,116000,39.334029
2015-03-23,40.279999,40.279999,39.639999,39.869999,159600,39.722586
2015-03-20,40.490002,40.669998,39.639999,40.009998,382900,39.862068
2015-03-19,39.07,40.310001,37.450001,40.259998,146400,40.111144
2015-03-18,38.98,39.299999,38.740002,39.130001,119600,38.985324
2015-03-17,38.07,39.09,37.650002,39.02,226100,38.87573
2015-03-16,37.419998,38.48,37.18,38.23,236500,38.08865
2015-03-13,37.290001,37.630001,36.599998,37.16,74400,37.022607
2015-03-12,36.200001,37.290001,36.200001,37.27,83500,37.132201
2015-03-11,35.52,36.009998,35.400002,35.950001,124000,35.817082
2015-03-10,36.00,36.189999,35.43,35.560001,96000,35.428524
2015-03-09,36.18,36.66,36.02,36.27,57000,36.135898
2015-03-06,36.18,36.68,36.02,36.07,72200,35.936637
2015-03-05,36.599998,36.830002,36.290001,36.490002,74700,36.355086
2015-03-04,36.610001,36.84,36.240002,36.59,61900,36.454715
2015-03-03,37.57,37.57,36.650002,36.799999,187900,36.663937
2015-03-02,37.400002,37.959999,36.709999,37.790001,160700,37.650279
2015-02-27,36.880001,37.23,36.580002,37.009998,78800,36.87316
2015-02-26,36.82,37.16,36.66,36.939999,56600,36.803419
2015-02-25,36.950001,37.240002,36.57,36.880001,45400,36.743643
2015-02-24,36.900002,37.240002,36.889999,37.02,52500,36.883125
2015-02-23,36.889999,36.98,36.57,36.939999,52800,36.803419
2015-02-20,37.00,37.040001,36.349998,36.990002,70300,36.853237
2015-02-19,36.900002,37.240002,36.509998,36.880001,58600,36.743643
