Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,11.88,11.90,11.84,11.85,45100,11.85
2015-08-06,11.85,11.88,11.84,11.85,3800,11.85
2015-08-05,11.87,11.92,11.79,11.88,20900,11.88
2015-08-04,11.85,11.93,11.85,11.87,44100,11.87
2015-08-03,11.95,12.00,11.75,11.85,22400,11.85
2015-07-31,11.84,12.00,11.76,11.94,53100,11.94
2015-07-30,11.89,11.89,11.84,11.87,2800,11.87
2015-07-29,11.78,11.78,11.78,11.78,000,11.74
2015-07-28,11.95,11.95,11.77,11.78,5100,11.74
2015-07-27,11.85,11.94,11.72,11.81,3600,11.769899
2015-07-24,11.82,11.97,11.82,11.82,2700,11.779864
2015-07-23,11.76,11.85,11.76,11.79,6400,11.749966
2015-07-22,12.09,12.09,11.66,11.90,185700,11.859592
2015-07-21,11.86,11.86,11.65,11.81,21000,11.769899
2015-07-20,11.74,11.83,11.60,11.62,10400,11.580544
2015-07-17,11.72,11.74,11.68,11.70,2700,11.660272
2015-07-16,11.74,11.74,11.65,11.65,6700,11.610441
2015-07-15,11.73,11.75,11.70,11.71,56200,11.670238
2015-07-14,11.68,11.73,11.59,11.73,12500,11.69017
2015-07-13,11.63,11.69,11.61,11.67,1900,11.630374
2015-07-10,11.48,11.68,11.48,11.56,32200,11.520748
2015-07-09,11.60,11.60,11.60,11.60,200,11.560612
2015-07-08,11.66,11.66,11.50,11.58,11500,11.540679
2015-07-07,11.62,11.71,11.50,11.71,23800,11.670238
2015-07-06,11.70,11.73,11.46,11.59,29800,11.550646
2015-07-02,11.59,11.59,11.51,11.58,2500,11.540679
2015-07-01,11.65,11.65,11.55,11.59,22600,11.550646
2015-06-30,11.78,12.02,11.63,11.64,5300,11.600476
2015-06-29,11.82,11.82,11.66,11.78,3100,11.74
2015-06-26,11.82,12.00,11.65,11.65,16700,11.610441
2015-06-25,11.75,11.85,11.75,11.83,4200,11.78983
2015-06-24,11.66,11.79,11.61,11.79,39500,11.749966
2015-06-23,11.68,11.77,11.66,11.66,5400,11.620408
2015-06-22,11.82,11.84,11.66,11.78,4600,11.74
2015-06-19,11.60,12.05,11.59,12.05,9500,12.009084
2015-06-18,11.60,11.72,11.52,11.69,29300,11.650306
2015-06-17,11.72,11.72,11.60,11.60,7700,11.560612
2015-06-16,11.60,11.70,11.60,11.60,4100,11.560612
2015-06-15,11.61,11.71,11.60,11.62,12400,11.580544
2015-06-12,11.78,11.78,11.41,11.58,7800,11.540679
2015-06-11,11.70,11.79,11.25,11.42,10400,11.381223
2015-06-10,11.63,11.87,11.61,11.63,14900,11.59051
2015-06-09,11.70,12.01,11.57,11.61,10200,11.570577
2015-06-08,11.74,11.82,11.51,11.79,22300,11.749966
2015-06-05,11.75,11.90,11.74,11.74,30700,11.700136
2015-06-04,11.45,11.81,11.40,11.71,30400,11.670238
2015-06-03,11.40,11.42,11.26,11.40,104900,11.36129
2015-06-02,11.54,11.54,11.35,11.46,9400,11.421087
2015-06-01,11.50,11.54,11.43,11.43,9500,11.391189
2015-05-29,11.68,11.70,11.54,11.66,3400,11.620408
2015-05-28,11.71,11.71,11.64,11.64,132500,11.600476
2015-05-27,11.86,11.88,11.45,11.62,5000,11.580544
2015-05-26,11.87,11.87,11.70,11.76,3000,11.720068
2015-05-22,11.71,11.84,11.61,11.84,7200,11.799797
2015-05-21,11.70,11.70,11.70,11.70,000,11.660272
2015-05-20,11.42,11.92,11.41,11.70,6700,11.660272
2015-05-19,11.72,11.72,11.65,11.66,3700,11.620408
2015-05-18,11.61,11.72,11.61,11.66,3300,11.620408
2015-05-15,11.52,11.68,11.46,11.60,13800,11.560612
2015-05-14,11.31,11.58,11.25,11.45,19100,11.411121
2015-05-13,11.71,11.74,11.60,11.60,1200,11.560612
2015-05-12,11.51,11.61,11.48,11.61,4500,11.570577
2015-05-11,11.74,11.75,11.25,11.54,27900,11.500815
2015-05-08,11.70,11.70,11.62,11.65,11500,11.610441
2015-05-07,11.80,11.80,11.75,11.80,8300,11.759933
2015-05-06,11.89,11.99,11.80,11.99,164800,11.949287
2015-05-05,12.01,12.01,11.77,11.98,8500,11.939321
2015-05-04,11.83,11.88,11.76,11.88,1500,11.839661
2015-05-01,11.90,11.90,11.80,11.82,6900,11.779864
2015-04-30,11.98,12.07,11.97,12.07,4300,12.029015
2015-04-29,11.82,11.97,11.82,11.95,5500,11.869558
2015-04-28,11.80,11.80,11.69,11.74,4000,11.660972
2015-04-27,12.10,12.11,11.90,11.90,315900,11.819895
2015-04-24,12.15,12.18,12.15,12.18,4500,12.098011
2015-04-23,12.18,12.18,12.10,12.18,1400,12.098011
2015-04-22,12.08,12.18,12.07,12.18,27200,12.098011
2015-04-21,12.08,12.10,12.08,12.10,700,12.018549
2015-04-20,12.07,12.10,12.07,12.10,600,12.018549
2015-04-17,12.10,12.10,12.05,12.10,9200,12.018549
2015-04-16,12.09,12.16,12.05,12.05,3800,11.968885
2015-04-15,12.13,12.16,12.13,12.16,2100,12.078145
2015-04-14,12.07,12.18,12.02,12.05,56100,11.968885
2015-04-13,12.18,12.18,12.18,12.18,200,12.098011
2015-04-10,12.10,12.13,12.08,12.09,6500,12.008616
2015-04-09,12.10,12.14,12.07,12.07,5200,11.98875
2015-04-08,12.10,12.20,12.06,12.11,13600,12.028481
2015-04-07,12.19,12.19,12.19,12.19,200,12.107942
2015-04-06,12.06,12.20,12.06,12.07,4500,11.98875
2015-04-02,12.09,12.11,12.06,12.11,12600,12.028481
2015-04-01,12.07,12.14,12.07,12.12,17400,12.038414
2015-03-31,12.07,12.21,12.07,12.15,7600,12.068212
2015-03-30,12.21,12.22,12.21,12.22,500,12.137741
2015-03-27,12.25,12.25,12.07,12.08,2400,11.998683
2015-03-26,12.14,12.23,12.14,12.23,600,12.147673
2015-03-25,12.19,12.24,12.15,12.15,500,12.068212
2015-03-24,12.10,12.25,12.07,12.25,3700,12.167539
2015-03-23,12.09,12.17,12.05,12.17,12900,12.088078
2015-03-20,12.10,12.13,11.98,12.03,3500,11.94902
2015-03-19,11.82,12.12,11.82,12.12,1500,12.038414
2015-03-18,11.92,12.14,11.75,12.08,8700,11.998683
2015-03-17,11.78,11.90,11.75,11.86,17400,11.780164
2015-03-16,11.76,11.92,11.70,11.78,4500,11.700703
2015-03-13,12.00,12.24,11.75,11.84,23400,11.760299
2015-03-12,12.28,12.28,11.98,11.99,28900,11.909289
2015-03-11,11.93,12.29,11.91,12.17,7800,12.088078
2015-03-10,11.96,11.97,11.91,11.97,7000,11.889424
2015-03-09,11.95,11.97,11.86,11.96,26900,11.879491
2015-03-06,11.86,11.89,11.84,11.85,10100,11.770232
2015-03-05,11.60,11.91,11.60,11.71,39000,11.631174
2015-03-04,11.75,11.95,11.75,11.80,5900,11.720568
2015-03-03,11.97,11.97,11.60,11.84,107900,11.760299
2015-03-02,11.76,11.99,11.70,11.72,6700,11.641107
2015-02-27,11.92,11.92,11.75,11.76,76400,11.680838
2015-02-26,11.50,11.88,11.50,11.78,167800,11.700703
2015-02-25,11.33,11.49,11.33,11.48,1800,11.402722
2015-02-24,11.50,11.50,11.31,11.32,9200,11.243799
2015-02-23,11.50,11.60,11.37,11.37,5300,11.293463
2015-02-20,11.33,11.50,11.33,11.49,900,11.412655
2015-02-19,11.36,11.49,11.35,11.40,6300,11.32326
2015-02-18,11.33,11.33,11.25,11.32,8300,11.243799
2015-02-17,11.30,11.33,11.25,11.33,6800,11.253732
2015-02-13,11.25,11.32,11.12,11.32,35200,11.243799
2015-02-12,11.11,11.19,11.10,11.19,800,11.114674
2015-02-11,11.11,11.11,11.11,11.11,300,11.035213
2015-02-10,11.12,11.12,11.02,11.09,700,11.015348
2015-02-09,11.01,11.15,11.00,11.13,8000,11.055078
2015-02-06,11.12,11.18,11.10,11.13,5100,11.055078
2015-02-05,11.10,11.10,11.09,11.10,800,11.025281
2015-02-04,11.01,11.11,11.01,11.10,1000,11.025281
2015-02-03,11.12,11.14,11.12,11.14,400,11.065011
2015-02-02,11.01,11.08,11.00,11.08,2000,11.005415
2015-01-30,11.08,11.13,11.01,11.01,2800,10.906088
2015-01-29,11.04,11.08,11.04,11.06,1700,10.955616
2015-01-28,10.93,11.08,10.93,11.08,1100,10.975427
2015-01-27,11.00,11.08,10.86,11.07,1300,10.965521
2015-01-26,10.95,11.07,10.95,10.95,5300,10.846654
2015-01-23,10.97,11.03,10.82,10.97,12400,10.866466
2015-01-22,11.00,11.10,10.96,11.05,31700,10.945711
2015-01-21,11.00,11.13,10.96,11.13,77600,11.024955
2015-01-20,11.09,11.17,11.00,11.11,4600,11.005144
2015-01-16,11.20,11.21,11.20,11.21,900,11.1042
2015-01-15,11.20,11.33,11.11,11.20,6000,11.094294
2015-01-14,11.11,11.11,11.00,11.00,31900,10.896182
