Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,53.990002,53.990002,53.169998,53.650002,196900,53.650002
2015-08-06,53.369999,53.740002,53.00,53.509998,158800,53.509998
2015-08-05,52.98,53.599998,52.98,53.400002,177300,53.400002
2015-08-04,52.66,53.189999,52.419998,52.830002,86400,52.830002
2015-08-03,53.43,53.43,52.279999,52.720001,106300,52.720001
2015-07-31,53.830002,54.330002,53.279999,53.470001,133200,53.470001
2015-07-30,53.09,53.75,52.869999,53.610001,117700,53.610001
2015-07-29,52.290001,53.32,52.00,53.200001,106600,53.200001
2015-07-28,51.900002,52.48,51.549999,52.360001,123800,52.360001
2015-07-27,52.25,52.25,51.25,51.720001,173100,51.720001
2015-07-24,52.360001,52.669998,51.990002,52.310001,396500,52.310001
2015-07-23,52.950001,53.060001,52.16,52.360001,173900,52.360001
2015-07-22,54.709999,54.709999,52.23,52.939999,320300,52.939999
2015-07-21,52.869999,52.970001,52.310001,52.610001,316700,52.610001
2015-07-20,53.52,53.52,52.84,52.950001,136500,52.950001
2015-07-17,53.709999,53.82,53.240002,53.419998,165100,53.419998
2015-07-16,53.25,53.799999,52.98,53.709999,188700,53.709999
2015-07-15,53.130001,53.299999,52.43,52.900002,218400,52.900002
2015-07-14,53.330002,53.619999,52.889999,53.040001,158200,53.040001
2015-07-13,53.41,53.59,53.02,53.549999,172200,53.549999
2015-07-10,52.84,53.18,52.57,53.099998,288500,53.099998
2015-07-09,53.23,53.360001,52.459999,52.630001,241400,52.630001
2015-07-08,53.110001,53.419998,52.650002,52.830002,197600,52.830002
2015-07-07,53.200001,53.50,52.759998,53.450001,122800,53.450001
2015-07-06,52.740002,53.349998,52.740002,53.209999,239300,53.209999
2015-07-02,53.150002,53.380001,52.759998,53.18,101400,53.18
2015-07-01,53.139999,53.41,52.869999,53.169998,166400,53.169998
2015-06-30,53.549999,53.810001,52.599998,52.759998,193100,52.759998
2015-06-29,53.779999,54.290001,53.34,53.360001,123400,53.360001
2015-06-26,53.830002,54.32,53.619999,54.279999,255600,54.279999
2015-06-25,54.200001,54.279999,53.450001,53.830002,133300,53.830002
2015-06-24,54.740002,54.82,53.939999,54.200001,121300,54.200001
2015-06-23,55.470001,55.669998,54.779999,54.869999,95500,54.869999
2015-06-22,55.450001,55.939999,54.990002,55.470001,116900,55.470001
2015-06-19,54.900002,55.509998,54.509998,55.16,470800,55.16
2015-06-18,54.360001,54.970001,54.23,54.75,106000,54.75
2015-06-17,54.32,54.439999,53.91,54.220001,217100,54.220001
2015-06-16,54.02,54.439999,53.919998,54.139999,107200,54.139999
2015-06-15,54.27,54.759998,53.580002,54.029999,94600,54.029999
2015-06-12,55.09,55.09,54.290001,54.380001,164600,54.380001
2015-06-11,54.369999,55.27,54.16,55.25,135000,55.25
2015-06-10,54.560001,54.560001,53.82,54.16,245400,54.16
2015-06-09,54.48,54.52,54.060001,54.169998,130400,54.169998
2015-06-08,55.00,55.09,54.57,54.619999,170200,54.619999
2015-06-05,54.57,55.00,54.00,54.959999,146600,54.959999
2015-06-04,54.73,54.91,54.509998,54.689999,136100,54.689999
2015-06-03,54.599998,55.240002,54.509998,55.040001,152500,55.040001
2015-06-02,54.23,54.75,54.080002,54.619999,242000,54.619999
2015-06-01,54.330002,54.860001,53.959999,54.48,213600,54.48
2015-05-29,54.630001,55.16,53.869999,54.34,180400,54.34
2015-05-28,54.900002,55.119999,54.299999,54.849998,114800,54.849998
2015-05-27,54.560001,55.299999,54.369999,55.189999,180600,55.03
2015-05-26,55.169998,55.369999,54.119999,54.43,172900,54.272205
2015-05-22,55.259998,55.48,54.889999,55.419998,112900,55.259333
2015-05-21,55.669998,55.669998,54.849998,55.240002,94200,55.079858
2015-05-20,56.27,56.389999,55.419998,55.650002,154400,55.488669
2015-05-19,55.91,56.369999,55.639999,56.029999,136900,55.867565
2015-05-18,55.830002,56.380001,55.57,55.990002,144500,55.827684
2015-05-15,55.209999,56.009998,55.139999,55.720001,156000,55.558466
2015-05-14,54.91,55.400002,54.639999,55.150002,178100,54.990119
2015-05-13,54.50,55.150002,54.50,54.57,191300,54.411798
2015-05-12,54.240002,54.439999,53.75,54.209999,142400,54.052842
2015-05-11,54.439999,54.73,54.27,54.48,141300,54.322059
2015-05-08,54.52,54.970001,54.200001,54.540001,170800,54.381887
2015-05-07,54.220001,54.540001,54.07,54.299999,221200,54.142581
2015-05-06,54.68,55.220001,54.07,54.349998,226700,54.192435
2015-05-05,55.290001,55.810001,54.380001,54.560001,335000,54.401829
2015-05-04,55.470001,56.02,55.09,55.290001,329400,55.129712
2015-05-01,53.950001,55.560001,53.75,55.459999,330200,55.299218
2015-04-30,53.77,55.080002,52.650002,53.869999,515900,53.713827
2015-04-29,54.099998,55.970001,52.459999,54.080002,609500,53.923221
2015-04-28,56.509998,57.040001,56.209999,56.950001,165900,56.7849
2015-04-27,56.709999,57.009998,56.27,56.599998,169700,56.435912
2015-04-24,56.43,56.59,56.189999,56.509998,127800,56.346173
2015-04-23,56.09,56.580002,56.09,56.259998,121100,56.096898
2015-04-22,56.009998,56.32,55.82,56.200001,164900,56.037074
2015-04-21,56.59,56.59,55.810001,55.990002,119500,55.827684
2015-04-20,56.439999,57.040001,56.07,56.27,131300,56.106871
2015-04-17,56.25,56.470001,55.799999,56.18,146300,56.017132
2015-04-16,56.790001,57.130001,56.189999,56.540001,197400,56.376089
2015-04-15,58.009998,58.009998,56.84,56.900002,258400,56.735046
2015-04-14,57.689999,57.779999,57.110001,57.689999,311000,57.522752
2015-04-13,57.740002,57.939999,57.50,57.549999,130700,57.383159
2015-04-10,58.220001,58.310001,57.650002,57.75,177000,57.58258
2015-04-09,58.310001,58.43,57.810001,58.009998,121600,57.841824
2015-04-08,57.810001,58.459999,57.41,58.310001,164700,58.140958
2015-04-07,58.700001,58.860001,57.549999,57.700001,175700,57.532726
2015-04-06,57.830002,58.91,57.830002,58.740002,259100,58.569711
2015-04-02,57.84,58.290001,57.84,58.169998,146500,58.00136
2015-04-01,57.830002,57.900002,56.91,57.900002,200100,57.732146
2015-03-31,57.830002,58.220001,57.599998,58.130001,244300,57.961479
2015-03-30,57.18,58.139999,57.029999,58.110001,96400,57.941537
2015-03-27,57.290001,57.599998,56.709999,56.939999,169300,56.774927
2015-03-26,57.049999,57.290001,56.380001,57.23,131400,57.064087
2015-03-25,58.43,58.459999,57.150002,57.200001,131600,57.034175
2015-03-24,58.529999,58.759998,57.740002,58.470001,189100,58.300494
2015-03-23,58.330002,59.080002,58.25,58.459999,202500,58.290521
2015-03-20,57.82,58.490002,57.48,58.369999,945100,58.200781
2015-03-19,57.389999,58.080002,57.369999,57.66,273200,57.492841
2015-03-18,56.549999,57.84,56.380001,57.599998,535600,57.433013
2015-03-17,56.43,56.639999,56.34,56.450001,264900,56.286349
2015-03-16,56.450001,56.740002,56.240002,56.689999,256100,56.525651
2015-03-13,56.470001,56.849998,56.07,56.130001,334900,55.967277
2015-03-12,58.59,58.779999,56.630001,56.799999,417600,56.635333
2015-03-11,57.950001,59.259998,57.810001,58.450001,576800,58.121013
2015-03-10,57.400002,57.93,57.25,57.25,514600,56.927767
2015-03-09,57.02,57.830002,57.02,57.549999,278900,57.226078
2015-03-06,57.200001,57.59,56.970001,57.029999,374400,56.709004
2015-03-05,57.790001,57.790001,57.09,57.209999,225800,56.887991
2015-03-04,57.689999,57.720001,57.279999,57.57,150200,57.245965
2015-03-03,57.740002,57.799999,57.52,57.720001,264900,57.395123
2015-03-02,57.310001,57.77,57.310001,57.720001,275700,57.395123
2015-02-27,57.849998,57.950001,57.099998,57.41,196200,57.086866
2015-02-26,57.43,57.720001,57.119999,57.720001,168400,57.395123
2015-02-25,57.27,57.43,57.00,57.34,151800,57.01726
2015-02-24,57.299999,57.57,57.110001,57.259998,253100,56.937709
2015-02-23,57.040001,57.349998,56.779999,57.240002,222800,56.917825
2015-02-20,56.830002,57.080002,56.529999,57.040001,339500,56.71895
2015-02-19,57.34,57.529999,56.77,56.889999,313100,56.569793
2015-02-18,57.23,57.59,56.880001,57.52,428700,57.196248
2015-02-17,56.860001,57.59,56.68,57.27,267300,56.947655
2015-02-13,57.049999,57.18,56.709999,56.849998,415100,56.530017
2015-02-12,57.43,57.470001,56.830002,56.93,325800,56.609568
2015-02-11,57.34,57.59,56.84,57.00,302300,56.679174
2015-02-10,56.439999,57.619999,56.279999,57.240002,553100,56.917825
2015-02-09,56.220001,56.669998,56.00,56.25,283000,55.933395
2015-02-06,55.799999,56.16,55.240002,55.619999,231300,55.30694
2015-02-05,55.259998,56.240002,55.259998,55.84,562400,55.525703
2015-02-04,53.189999,55.669998,53.189999,54.619999,1154300,54.312569
2015-02-03,52.23,52.77,52.130001,52.509998,263400,52.214444
2015-02-02,51.419998,51.919998,50.959999,51.849998,211700,51.558159
2015-01-30,51.400002,51.720001,50.720001,51.41,507200,51.120637
2015-01-29,52.27,52.610001,51.040001,51.43,452600,51.140525
2015-01-28,52.619999,53.00,51.970001,52.060001,130400,51.76698
2015-01-27,52.459999,52.700001,52.049999,52.380001,138500,52.085179
2015-01-26,52.25,53.040001,51.669998,53.02,342800,52.721576
2015-01-23,52.560001,52.610001,52.049999,52.150002,188000,51.856474
2015-01-22,52.34,52.619999,51.849998,52.599998,214100,52.303938
2015-01-21,51.279999,52.049999,50.220001,52.00,371200,51.707317
2015-01-20,52.43,52.66,51.630001,52.189999,323300,51.896246
2015-01-16,52.540001,52.810001,51.950001,52.380001,224000,52.085179
2015-01-15,53.23,53.380001,52.240002,52.490002,188100,52.19456
2015-01-14,52.73,53.23,52.50,52.950001,127000,52.65197
2015-01-13,53.91,54.57,53.119999,53.349998,197300,53.049717
2015-01-12,53.25,53.740002,52.849998,53.43,147100,53.129268
2015-01-09,54.080002,54.400002,53.07,53.110001,189800,52.81107
2015-01-08,54.009998,54.549999,53.849998,54.00,290700,53.69606
2015-01-07,53.700001,54.389999,53.360001,53.630001,177300,53.328143
2015-01-06,53.84,53.970001,52.990002,53.360001,385100,53.059662
2015-01-05,53.68,53.810001,52.860001,53.77,205500,53.467355
2015-01-02,53.779999,54.360001,53.220001,53.919998,170100,53.616508
2014-12-31,54.439999,54.639999,53.560001,53.599998,155900,53.298309
2014-12-30,54.75,54.950001,54.23,54.27,137600,53.96454
2014-12-29,54.490002,54.970001,54.490002,54.889999,126900,54.58105
2014-12-26,54.75,54.98,54.380001,54.490002,41500,54.183303
2014-12-24,54.389999,54.759998,53.98,54.689999,61100,54.382175
2014-12-23,54.540001,54.959999,53.990002,54.549999,142400,54.242963
2014-12-22,54.07,54.560001,53.889999,54.32,98600,54.014258
2014-12-19,53.830002,54.25,53.650002,54.189999,312400,53.884989
2014-12-18,53.009998,53.950001,52.68,53.849998,225900,53.546902
2014-12-17,51.41,52.599998,51.200001,52.43,274200,52.134897
2014-12-16,51.02,51.610001,50.66,51.380001,259800,51.090807
2014-12-15,51.490002,51.529999,50.919998,51.110001,337500,50.822327
2014-12-12,51.619999,52.02,51.18,51.349998,162600,51.060974
2014-12-11,52.009998,52.880001,51.720001,51.959999,164900,51.667541
2014-12-10,52.310001,52.66,51.639999,51.709999,173800,51.418948
2014-12-09,51.450001,52.549999,51.259998,52.459999,183400,52.164727
2014-12-08,51.950001,52.310001,51.540001,51.709999,135000,51.418948
2014-12-05,52.66,53.330002,51.98,52.009998,169900,51.717259
2014-12-04,51.84,54.299999,51.84,52.740002,237600,52.443153
2014-12-03,51.220001,52.139999,51.220001,52.02,152500,51.727205
2014-12-02,50.82,51.50,50.82,51.279999,133600,50.991368
2014-12-01,50.459999,51.32,50.23,50.799999,231800,50.51407
2014-11-28,50.299999,50.950001,50.189999,50.459999,66000,50.175984
2014-11-26,49.970001,50.380001,49.779999,50.130001,126500,49.847843
2014-11-25,50.040001,50.290001,49.860001,50.150002,125800,49.718574
2014-11-24,49.59,50.380001,49.50,49.939999,140200,49.510378
2014-11-21,50.029999,50.029999,49.060001,49.57,149700,49.143562
2014-11-20,49.110001,49.580002,49.110001,49.52,106900,49.093993
2014-11-19,49.560001,49.639999,49.25,49.389999,103200,48.96511
2014-11-18,49.52,49.900002,49.450001,49.560001,146500,49.13365
2014-11-17,49.150002,49.77,48.990002,49.470001,139100,49.044424
2014-11-14,49.689999,49.939999,49.029999,49.130001,120100,48.707349
2014-11-13,50.259998,50.400002,49.720001,49.779999,90300,49.351754
2014-11-12,49.950001,50.330002,49.880001,50.16,113600,49.728486
2014-11-11,50.080002,50.369999,49.77,50.139999,142900,49.708658
2014-11-10,49.970001,50.279999,49.939999,50.119999,113600,49.68883
2014-11-07,49.619999,49.889999,49.580002,49.82,122900,49.391411
2014-11-06,49.57,49.91,49.139999,49.59,106900,49.16339
2014-11-05,49.009998,49.73,48.91,49.50,236600,49.074164
2014-11-04,48.93,49.349998,48.599998,48.779999,461400,48.360357
2014-11-03,49.32,49.540001,48.799999,48.990002,172800,48.568554
2014-10-31,49.25,49.369999,48.610001,49.16,347700,48.737089
2014-10-30,48.790001,48.990002,48.43,48.669998,294100,48.251303
2014-10-29,49.279999,49.970001,48.740002,49.040001,224700,48.618123
2014-10-28,49.080002,49.52,48.939999,49.360001,173500,48.935369
2014-10-27,49.029999,49.310001,48.549999,48.740002,286800,48.320704
2014-10-24,49.27,49.66,48.849998,49.16,272700,48.737089
2014-10-23,48.869999,49.549999,48.77,49.209999,242000,48.786658
2014-10-22,50.450001,51.73,48.619999,48.700001,686900,48.281047
2014-10-21,49.849998,50.830002,49.77,50.700001,219800,50.263842
2014-10-20,48.700001,49.57,48.43,49.560001,143700,49.13365
2014-10-17,48.610001,49.040001,48.330002,48.919998,160000,48.499152
