Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,4.64,4.69,4.55,4.56,8900,4.56
2015-08-06,4.58,4.82,4.58,4.82,500,4.82
2015-08-05,4.82,4.82,4.70,4.75,2200,4.75
2015-08-04,4.42,4.60,4.42,4.56,6700,4.56
2015-08-03,4.49,4.62,4.44,4.44,4200,4.44
2015-07-31,4.45,4.58,4.28,4.32,37200,4.32
2015-07-30,4.38,4.61,4.30,4.50,51300,4.50
2015-07-29,4.53,4.61,4.37,4.37,34400,4.37
2015-07-28,4.60,4.60,4.51,4.51,13500,4.51
2015-07-27,4.70,4.71,4.57,4.65,11400,4.65
2015-07-24,4.75,4.77,4.69,4.70,2300,4.70
2015-07-23,4.87,4.87,4.76,4.76,3100,4.76
2015-07-22,4.79,4.81,4.79,4.80,1600,4.80
2015-07-21,5.00,5.16,4.76,4.88,17400,4.88
2015-07-20,5.00,5.03,4.80,4.98,85500,4.98
2015-07-17,5.11,5.14,4.87,4.87,9300,4.87
2015-07-16,5.07,5.13,5.00,5.01,5300,5.01
2015-07-15,5.10,5.38,5.01,5.16,9400,5.16
2015-07-14,5.14,5.21,5.03,5.03,400,5.03
2015-07-13,4.98,5.25,4.95,5.15,6500,5.15
2015-07-10,5.05,5.05,5.00,5.00,200,5.00
2015-07-09,4.89,5.04,4.87,4.98,5600,4.98
2015-07-08,5.21,5.21,4.96,4.96,4800,4.96
2015-07-07,5.10,5.23,5.01,5.10,4700,5.10
2015-07-06,4.86,5.24,4.86,5.10,2200,5.10
2015-07-02,4.97,5.15,4.96,4.96,10600,4.96
2015-07-01,4.26,5.26,4.26,5.23,16200,5.23
2015-06-30,5.26,5.26,5.01,5.25,13700,5.25
2015-06-29,5.27,5.39,5.25,5.28,7400,5.28
2015-06-26,5.37,5.37,5.29,5.35,4500,5.35
2015-06-25,5.32,5.42,5.30,5.42,3500,5.42
2015-06-24,5.27,5.50,5.27,5.45,12400,5.45
2015-06-23,5.30,5.66,5.30,5.47,3400,5.47
2015-06-22,5.33,5.38,5.14,5.28,13300,5.28
2015-06-19,5.33,5.80,5.26,5.29,8100,5.29
2015-06-18,5.62,5.63,5.38,5.41,13400,5.41
2015-06-17,5.75,5.99,5.59,5.66,23700,5.66
2015-06-16,5.85,5.89,5.84,5.89,6300,5.89
2015-06-15,6.17,6.19,6.13,6.14,2500,6.14
2015-06-12,5.98,6.10,5.98,6.10,400,6.10
2015-06-11,6.15,6.15,5.28,5.77,13400,5.77
2015-06-10,6.39,6.39,6.16,6.17,13000,6.17
2015-06-09,6.61,6.61,6.40,6.50,5700,6.50
2015-06-08,6.50,6.67,6.48,6.52,11100,6.52
2015-06-05,6.52,6.68,6.50,6.52,2200,6.52
2015-06-04,6.62,6.79,6.57,6.68,11900,6.68
2015-06-03,6.80,6.80,6.50,6.61,21700,6.61
2015-06-02,6.64,6.84,6.64,6.84,600,6.84
2015-06-01,6.87,7.00,6.80,7.00,2700,7.00
2015-05-29,7.15,7.15,6.79,6.93,3800,6.93
2015-05-28,7.12,7.99,6.80,7.16,15400,7.16
2015-05-27,7.06,7.45,6.80,7.11,7600,7.11
2015-05-26,6.80,6.93,6.64,6.64,10000,6.64
2015-05-22,6.99,7.00,6.80,6.95,6800,6.95
2015-05-21,6.87,7.03,6.80,6.99,2400,6.99
2015-05-20,7.01,7.09,7.00,7.01,11700,7.01
2015-05-19,7.00,7.46,7.00,7.05,15300,7.05
2015-05-18,7.55,7.74,7.00,7.20,27300,7.20
2015-05-15,7.25,7.49,7.03,7.47,35000,7.47
2015-05-14,6.60,7.10,6.60,6.83,19300,6.83
2015-05-13,5.77,6.60,5.77,6.55,260100,6.55
2015-05-12,6.00,6.02,5.95,5.95,29500,5.95
2015-05-11,5.90,6.10,5.90,5.99,19400,5.99
2015-05-08,5.88,5.88,5.88,5.88,000,5.88
2015-05-07,5.96,5.99,5.88,5.88,2000,5.88
2015-05-06,6.00,6.00,5.88,5.91,1500,5.91
2015-05-05,6.00,6.00,6.00,6.00,000,6.00
2015-05-04,6.30,6.31,5.92,6.00,3200,6.00
2015-05-01,6.25,6.25,6.25,6.25,000,6.25
2015-04-30,6.25,6.25,6.25,6.25,000,6.25
2015-04-29,5.87,6.25,5.87,6.25,1000,6.25
2015-04-28,5.99,6.00,5.99,6.00,2100,6.00
2015-04-27,5.98,5.98,5.90,5.91,700,5.91
2015-04-24,5.98,5.98,5.94,5.94,300,5.94
2015-04-23,5.83,5.83,5.83,5.83,000,5.83
2015-04-22,5.83,5.83,5.83,5.83,000,5.83
2015-04-21,5.81,5.83,5.81,5.83,1000,5.83
2015-04-20,5.89,6.16,5.85,6.00,11700,6.00
2015-04-17,5.99,5.99,5.99,5.99,2100,5.99
2015-04-16,5.95,6.01,5.90,6.00,3300,6.00
2015-04-15,6.00,6.49,5.96,5.99,86400,5.99
2015-04-14,6.01,6.24,6.01,6.24,200,6.24
2015-04-13,5.73,6.25,5.73,6.25,1600,6.25
2015-04-10,6.53,6.53,5.83,6.11,3500,6.11
2015-04-09,6.23,6.25,6.23,6.24,500,6.24
2015-04-08,6.39,6.39,6.39,6.39,000,6.39
2015-04-07,6.37,6.52,6.08,6.39,6700,6.39
2015-04-06,6.57,6.65,6.57,6.65,600,6.65
2015-04-02,6.64,6.64,6.64,6.64,300,6.64
2015-04-01,6.40,6.64,6.30,6.64,1000,6.64
2015-03-31,6.32,6.53,6.30,6.50,5100,6.50
2015-03-30,6.00,6.40,5.91,6.34,1000,6.34
2015-03-27,6.40,6.40,6.40,6.40,000,6.40
2015-03-26,6.40,6.40,6.40,6.40,1000,6.40
2015-03-25,6.06,6.40,6.06,6.39,2000,6.39
2015-03-24,5.96,5.96,5.88,5.88,600,5.88
2015-03-23,6.03,6.29,5.87,6.29,400,6.29
2015-03-20,6.67,6.70,6.22,6.22,17700,6.22
2015-03-19,6.17,6.68,6.02,6.57,5100,6.57
2015-03-18,6.74,6.75,6.65,6.75,1300,6.75
2015-03-17,6.51,6.75,5.85,6.70,5200,6.70
2015-03-16,6.65,6.74,6.50,6.74,1700,6.74
2015-03-13,6.58,6.82,5.73,6.82,6700,6.82
2015-03-12,5.91,6.76,5.91,6.76,32100,6.76
2015-03-11,5.56,6.09,5.56,5.89,5900,5.89
2015-03-10,6.04,6.04,5.99,5.99,1200,5.99
2015-03-09,5.65,6.00,5.65,6.00,3100,6.00
2015-03-06,5.64,5.64,5.64,5.64,000,5.64
2015-03-05,5.44,5.64,5.44,5.64,4900,5.64
2015-03-04,5.16,5.16,5.16,5.16,1100,5.16
2015-03-03,5.44,5.44,5.44,5.44,000,5.44
2015-03-02,5.44,5.44,5.44,5.44,000,5.44
2015-02-27,5.21,5.44,5.16,5.44,7500,5.44
2015-02-26,5.28,5.28,5.28,5.28,000,5.28
2015-02-25,5.25,5.28,5.25,5.28,4000,5.28
2015-02-24,5.10,5.11,5.10,5.11,600,5.11
2015-02-23,5.22,5.22,5.22,5.22,200,5.22
2015-02-20,5.19,5.20,5.19,5.20,11500,5.20
2015-02-19,4.86,5.17,4.86,5.17,7000,5.17
2015-02-18,4.90,5.00,4.90,4.90,1500,4.90
2015-02-17,4.85,4.86,4.84,4.85,5200,4.85
2015-02-13,4.92,4.92,4.84,4.84,1800,4.84
2015-02-12,4.87,4.90,4.82,4.82,3700,4.82
2015-02-11,4.90,4.90,4.81,4.86,13200,4.86
2015-02-10,4.55,4.87,4.54,4.86,3600,4.86
2015-02-09,4.55,4.82,4.54,4.54,3400,4.54
2015-02-06,4.65,4.66,4.59,4.60,2800,4.60
2015-02-05,4.65,4.75,4.51,4.66,5900,4.66
2015-02-04,4.65,4.65,4.62,4.65,600,4.65
2015-02-03,4.85,4.85,4.62,4.65,1000,4.65
2015-02-02,4.63,4.72,4.63,4.70,2500,4.70
2015-01-30,4.80,4.80,4.62,4.63,7700,4.63
2015-01-29,4.78,4.88,4.78,4.88,1200,4.88
2015-01-28,4.90,4.93,4.75,4.75,1200,4.75
2015-01-27,4.99,4.99,4.74,4.93,5100,4.93
2015-01-26,5.02,5.05,4.61,4.86,11700,4.86
2015-01-23,5.00,5.09,4.95,5.00,8500,5.00
2015-01-22,5.30,5.30,5.30,5.30,000,5.30
2015-01-21,5.30,5.30,4.95,5.30,2500,5.30
2015-01-20,5.30,5.30,5.23,5.30,800,5.30
2015-01-16,5.50,5.50,5.50,5.50,000,5.50
2015-01-15,5.44,5.50,5.44,5.50,5700,5.50
2015-01-14,5.35,5.44,5.27,5.35,2800,5.35
2015-01-13,5.49,5.63,5.40,5.63,2200,5.63
2015-01-12,5.70,5.70,5.70,5.70,200,5.70
2015-01-09,5.60,5.60,5.34,5.60,1700,5.60
2015-01-08,5.50,5.65,5.08,5.64,30600,5.64
2015-01-07,5.29,5.37,5.15,5.34,9000,5.34
2015-01-06,5.28,5.29,5.22,5.22,1500,5.22
2015-01-05,5.18,5.23,5.15,5.23,14400,5.23
2015-01-02,5.18,5.18,5.18,5.18,000,5.18
2014-12-31,5.24,5.24,5.16,5.18,1100,5.18
2014-12-30,5.34,5.34,5.07,5.32,5700,5.32
2014-12-29,5.50,5.50,5.20,5.42,25400,5.42
2014-12-26,5.40,5.42,5.40,5.42,1900,5.42
2014-12-24,5.51,5.51,5.51,5.51,000,5.51
2014-12-23,5.52,5.62,5.41,5.51,1700,5.51
2014-12-22,5.88,5.88,5.60,5.60,10300,5.60
2014-12-19,5.46,5.88,5.41,5.88,3400,5.88
2014-12-18,5.38,5.88,5.38,5.88,5400,5.88
2014-12-17,5.37,5.37,5.37,5.37,700,5.37
2014-12-16,5.06,5.38,5.06,5.31,2000,5.31
2014-12-15,5.15,5.38,5.07,5.22,17400,5.22
2014-12-12,5.30,5.46,5.11,5.46,800,5.46
2014-12-11,5.45,5.50,5.19,5.35,3900,5.35
2014-12-10,5.58,5.61,5.15,5.36,2900,5.36
2014-12-09,5.51,6.09,5.36,5.54,7300,5.54
2014-12-08,5.45,5.52,5.32,5.50,6900,5.50
2014-12-05,5.89,5.89,5.89,5.89,100,5.89
2014-12-04,5.85,5.85,5.85,5.85,500,5.85
2014-12-03,5.70,5.70,5.63,5.64,3200,5.64
2014-12-02,5.62,5.65,5.61,5.61,900,5.61
2014-12-01,5.59,5.59,5.59,5.59,100,5.59
2014-11-28,6.05,6.24,5.55,5.55,8100,5.55
2014-11-26,5.35,6.09,5.35,6.04,7100,6.04
2014-11-25,5.19,5.34,5.04,5.33,36000,5.33
2014-11-24,5.20,5.20,5.20,5.20,100,5.20
2014-11-21,5.21,5.21,5.21,5.21,100,5.21
2014-11-20,5.29,5.29,5.20,5.21,2800,5.21
2014-11-19,5.31,5.38,5.21,5.38,71200,5.38
2014-11-18,5.41,5.43,5.29,5.30,1800,5.30
2014-11-17,5.30,5.48,5.30,5.33,600,5.33
2014-11-14,5.41,5.41,5.40,5.40,400,5.40
2014-11-13,5.64,5.64,5.28,5.42,6100,5.42
2014-11-12,5.36,5.48,5.36,5.47,600,5.47
2014-11-11,5.83,5.83,5.31,5.50,39200,5.50
2014-11-10,5.99,6.03,5.86,6.00,1300,6.00
2014-11-07,5.99,5.99,5.82,5.84,3300,5.84
2014-11-06,5.81,6.04,5.81,6.04,500,6.04
2014-11-05,5.80,5.99,5.80,5.99,400,5.99
2014-11-04,6.05,6.05,5.80,5.80,500,5.80
2014-11-03,5.84,6.06,5.82,6.02,500,6.02
2014-10-31,5.95,5.95,5.95,5.95,000,5.95
2014-10-30,5.74,5.95,5.74,5.95,6900,5.95
2014-10-29,5.85,5.89,5.71,5.73,1800,5.73
2014-10-28,5.78,5.84,5.78,5.84,300,5.84
2014-10-27,5.83,5.83,5.65,5.74,800,5.74
2014-10-24,5.84,5.84,5.70,5.84,1700,5.84
2014-10-23,5.80,5.80,5.80,5.80,100,5.80
2014-10-22,5.78,5.81,5.77,5.77,800,5.77
2014-10-21,5.94,5.95,5.72,5.72,4400,5.72
2014-10-20,5.86,5.95,5.71,5.95,2300,5.95
2014-10-17,5.86,5.90,5.75,5.90,1700,5.90
2014-10-16,5.55,5.97,5.43,5.97,1800,5.97
2014-10-15,6.00,6.00,5.61,5.87,2100,5.87
2014-10-14,5.75,6.17,5.75,5.87,3400,5.87
2014-10-13,5.84,6.02,5.84,6.00,3700,6.00
