Date,Open,High,Low,Close,Volume,Adj Close
2015-04-01,172.81,172.81,172.81,172.81,000,172.81
2015-03-31,172.75999,172.96001,172.71001,172.81,4298300,172.81
2015-03-30,172.72,172.89,172.64999,172.64999,1386500,172.64999
2015-03-27,172.72,172.75999,172.60001,172.60001,1030500,172.60001
2015-03-26,172.53999,172.73,172.45,172.63,940900,172.63
2015-03-25,172.606,172.69,172.53,172.55,1148400,172.55
2015-03-24,172.64999,172.75,172.52,172.53,1314800,172.53
2015-03-23,172.62,172.72,172.50999,172.55,1220700,172.55
2015-03-20,172.63,172.86,172.47,172.80,3495700,172.80
2015-03-19,172.53,172.69,172.45,172.53999,1514400,172.53999
2015-03-18,172.52,172.74001,172.42,172.74001,2645400,172.74001
2015-03-17,172.69,172.75999,172.44,172.48,4782100,172.48
2015-03-16,172.56,172.80,172.37,172.75,13194200,172.75
2015-03-13,169.02499,169.97,167.39999,169.39999,7282500,169.39999
2015-03-12,169.02,171.00,167.50,170.05,9654200,170.05
2015-03-11,157.64,170.00,157.55,168.61,17694100,168.61
2015-03-10,157.56,157.95,157.56,157.64999,1384000,157.64999
2015-03-09,158.00,158.19,156.10001,157.83,1587100,157.83
2015-03-06,157.57001,158.06,157.39,158.00999,3580800,158.00999
2015-03-05,157.28999,157.64999,156.89999,157.44,2038700,157.44
2015-03-04,156.59,157.50,156.55,157.13,3237600,157.13
2015-03-03,156.60001,156.85001,156.42999,156.50,4031300,156.50
2015-03-02,156.98,157.30,156.64999,156.88,2688800,156.88
2015-02-27,156.98,157.39999,156.71001,157.20,2654700,157.20
2015-02-26,156.84,157.10001,156.55,156.95,2848800,156.95
2015-02-25,156.84,157.20,156.50,156.67,2449200,156.67
2015-02-24,156.11,157.45,156.00,157.10001,8564000,157.10001
2015-02-23,156.39,156.39999,155.75,155.75999,32625500,155.75999
2015-02-20,151.19,158.75,150.50,157.85001,6602000,157.85001
2015-02-19,152.13,152.955,150.27,150.74001,1350300,150.74001
2015-02-18,152.62,153.73,150.62,152.27,1427200,152.27
2015-02-17,152.658,153.58,151.50999,152.89,1548600,152.89
2015-02-16,152.35001,152.35001,152.35001,152.35001,000,152.35001
2015-02-13,152.61,153.78999,150.69,152.35001,4286300,152.35001
2015-02-12,143.99001,152.00,142.89999,149.17999,3872200,149.17999
2015-02-11,142.39999,144.00,141.17999,143.34,1711300,143.34
2015-02-10,140.30499,142.56,139.45,142.25,1100200,142.25
2015-02-09,140.33,142.64,139.61,140.14,1158200,140.14
