Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,2.00,2.06,1.93,1.99,1467200,1.99
2015-08-06,2.06,2.13,1.97,2.00,1492100,2.00
2015-08-05,2.08,2.18,2.05,2.06,878600,2.06
2015-08-04,2.07,2.14,2.07,2.09,326500,2.09
2015-08-03,2.09,2.13,2.06,2.07,757200,2.07
2015-07-31,2.11,2.18,2.07,2.12,518500,2.12
2015-07-30,2.10,2.14,2.03,2.10,682000,2.10
2015-07-29,2.20,2.21,2.11,2.11,826200,2.11
2015-07-28,2.06,2.21,2.00,2.21,1209300,2.21
2015-07-27,2.07,2.09,2.00,2.06,1205400,2.06
2015-07-24,2.18,2.21,2.08,2.08,913600,2.08
2015-07-23,2.13,2.22,2.10,2.22,977600,2.22
2015-07-22,2.12,2.15,2.06,2.14,1115900,2.14
2015-07-21,2.16,2.17,2.12,2.14,956800,2.14
2015-07-20,2.20,2.21,2.12,2.16,1288600,2.16
2015-07-17,2.25,2.26,2.17,2.21,1507000,2.21
2015-07-16,2.21,2.27,2.20,2.26,1089200,2.26
2015-07-15,2.22,2.27,2.20,2.22,1283100,2.22
2015-07-14,2.20,2.27,2.16,2.22,2802200,2.22
2015-07-13,2.16,2.23,2.14,2.22,1558100,2.22
2015-07-10,2.19,2.20,2.12,2.16,1568900,2.16
2015-07-09,2.17,2.21,2.13,2.17,1188900,2.17
2015-07-08,2.21,2.30,2.15,2.15,1074100,2.15
2015-07-07,2.19,2.37,2.19,2.25,1674600,2.25
2015-07-06,2.17,2.25,2.13,2.21,900100,2.21
2015-07-02,2.19,2.22,2.13,2.18,1351000,2.18
2015-07-01,2.23,2.27,2.15,2.20,1078300,2.20
2015-06-30,2.17,2.26,2.15,2.23,717900,2.23
2015-06-29,2.25,2.29,2.14,2.15,1812500,2.15
2015-06-26,2.36,2.42,2.26,2.30,2349700,2.30
2015-06-25,2.49,2.53,2.34,2.37,981200,2.37
2015-06-24,2.60,2.63,2.47,2.49,688900,2.49
2015-06-23,2.56,2.65,2.50,2.59,977200,2.59
2015-06-22,2.46,2.56,2.41,2.54,961000,2.54
2015-06-19,2.43,2.47,2.40,2.46,892900,2.46
2015-06-18,2.38,2.46,2.38,2.43,698200,2.43
2015-06-17,2.42,2.44,2.38,2.39,401700,2.39
2015-06-16,2.34,2.44,2.34,2.40,634700,2.40
2015-06-15,2.39,2.45,2.27,2.36,1334600,2.36
2015-06-12,2.41,2.48,2.34,2.44,740600,2.44
2015-06-11,2.49,2.63,2.42,2.45,3606500,2.45
2015-06-10,2.39,2.54,2.36,2.42,4764700,2.42
2015-06-09,2.41,2.43,2.35,2.37,1018900,2.37
2015-06-08,2.37,2.44,2.35,2.41,673900,2.41
2015-06-05,2.35,2.40,2.31,2.40,659100,2.40
2015-06-04,2.39,2.45,2.31,2.37,942400,2.37
2015-06-03,2.30,2.46,2.25,2.36,1955400,2.36
2015-06-02,2.21,2.25,2.14,2.22,1037500,2.22
2015-06-01,2.18,2.20,2.08,2.18,794500,2.18
2015-05-29,2.17,2.20,2.11,2.14,1341200,2.14
2015-05-28,2.17,2.23,2.15,2.17,1468200,2.17
2015-05-27,2.22,2.23,2.16,2.19,1439400,2.19
2015-05-26,2.28,2.31,2.21,2.22,911600,2.22
2015-05-22,2.26,2.30,2.24,2.27,886800,2.27
2015-05-21,2.32,2.33,2.24,2.29,734600,2.29
2015-05-20,2.28,2.31,2.20,2.30,867300,2.30
2015-05-19,2.30,2.34,2.25,2.30,775500,2.30
2015-05-18,2.34,2.36,2.29,2.34,654700,2.34
2015-05-15,2.27,2.33,2.24,2.33,714300,2.33
