Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,26.096001,26.096001,26.096001,26.096001,000,26.096001
2015-08-06,26.096001,26.096001,26.096001,26.096001,000,26.096001
2015-08-05,26.054001,26.096001,26.054001,26.096001,200,26.096001
2015-08-04,26.10,26.10,26.10,26.10,600,26.10
2015-08-03,26.200001,26.200001,26.200001,26.200001,600,26.200001
2015-07-31,26.023001,26.023001,26.023001,26.023001,000,26.023001
2015-07-30,26.037001,26.037001,26.023001,26.023001,900,26.023001
2015-07-29,26.200001,26.200001,26.200001,26.200001,000,26.200001
2015-07-28,26.09,26.200001,26.09,26.200001,1200,26.200001
2015-07-27,26.049999,26.049999,26.049999,26.049999,400,26.049999
2015-07-24,26.10,26.10,26.10,26.10,700,26.10
2015-07-23,26.219999,26.219999,26.219999,26.219999,000,26.219999
2015-07-22,26.219999,26.219999,26.219999,26.219999,800,26.219999
2015-07-21,26.23,26.23,26.23,26.23,200,26.23
2015-07-20,26.00,26.006001,26.00,26.006001,1600,26.006001
2015-07-17,26.216999,26.216999,26.216999,26.216999,000,26.216999
2015-07-16,26.219999,26.219999,26.17,26.216999,1000,26.216999
2015-07-15,26.219999,26.219999,26.219999,26.219999,100,26.219999
2015-07-14,26.219999,26.219999,26.219999,26.219999,400,26.219999
2015-07-13,25.832001,26.00,25.832001,25.879999,2900,25.879999
2015-07-10,25.85,25.85,25.85,25.85,200,25.85
2015-07-09,26.23,26.23,26.23,26.23,000,26.23
2015-07-08,26.23,26.23,26.23,26.23,100,26.23
2015-07-07,26.209999,26.209999,26.209999,26.209999,000,26.209999
2015-07-06,26.209999,26.209999,26.209999,26.209999,000,26.209999
2015-07-02,26.209999,26.209999,26.209999,26.209999,100,26.209999
2015-07-01,26.15,26.15,26.15,26.15,000,26.15
2015-06-30,26.200001,26.200001,25.93,26.15,1100,26.15
2015-06-29,25.959999,25.959999,25.959999,25.959999,000,25.959999
2015-06-26,25.950001,26.23,25.950001,25.959999,3400,25.959999
2015-06-25,25.950001,25.950001,25.950001,25.950001,400,25.950001
2015-06-24,26.16,26.16,26.16,26.16,000,26.16
2015-06-23,26.16,26.16,26.16,26.16,200,26.16
2015-06-22,26.15,26.23,26.139,26.16,1900,26.16
2015-06-19,26.149,26.149,26.149,26.149,200,26.149
2015-06-18,26.15,26.15,26.15,26.15,200,26.15
2015-06-17,26.02,26.16,26.02,26.16,200,26.16
2015-06-16,26.246,26.246,26.246,26.246,000,26.246
2015-06-15,26.249001,26.25,26.246,26.246,400,26.246
2015-06-12,25.93,26.59,25.93,26.10,16200,26.10
2015-06-11,25.98,26.10,25.98,26.10,300,26.10
2015-06-10,26.01,26.01,26.01,26.01,300,26.01
2015-06-09,26.00,26.00,26.00,26.00,000,26.00
2015-06-08,26.00,26.00,26.00,26.00,1000,26.00
2015-06-05,26.00,26.00,26.00,26.00,1000,26.00
2015-06-04,26.00,26.00,26.00,26.00,000,26.00
2015-06-03,26.00,26.00,26.00,26.00,000,26.00
2015-06-02,26.00,26.00,26.00,26.00,000,26.00
2015-06-01,26.00,26.00,26.00,26.00,100,26.00
2015-05-29,26.10,26.10,26.049999,26.049999,700,26.049999
2015-05-28,26.15,26.15,26.15,26.15,000,26.15
2015-05-27,26.15,26.15,26.15,26.15,000,26.15
2015-05-26,26.15,26.15,26.148001,26.15,1300,26.15
2015-05-22,26.15,26.15,26.15,26.15,100,26.15
2015-05-21,26.10,26.10,26.10,26.10,1700,26.10
2015-05-20,26.10,26.10,26.10,26.10,200,26.10
2015-05-19,26.049999,26.049999,26.049999,26.049999,000,26.049999
2015-05-18,26.15,26.15,25.93,26.049999,12300,26.049999
2015-05-15,26.15,26.15,26.15,26.15,000,26.15
2015-05-14,26.142,26.15,26.142,26.15,300,26.15
2015-05-13,26.290001,26.299999,26.290001,26.299999,400,26.299999
2015-05-12,26.099001,26.10,26.099001,26.10,1100,26.10
2015-05-11,26.10,26.10,26.10,26.10,400,26.10
2015-05-08,25.799999,26.10,25.799999,26.10,1900,26.10
2015-05-07,26.10,26.10,26.10,26.10,400,26.10
2015-05-06,26.110001,26.110001,26.110001,26.110001,000,26.110001
2015-05-05,26.110001,26.110001,26.110001,26.110001,200,26.110001
2015-05-04,26.15,26.15,26.15,26.15,200,26.15
2015-05-01,26.049999,26.049999,26.049999,26.049999,600,26.049999
2015-04-30,26.051001,26.051001,26.049999,26.049999,1000,26.049999
