Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.22,0.24,0.22,0.24,245200,0.24
2015-08-06,0.23,0.24,0.22,0.22,266700,0.22
2015-08-05,0.23,0.24,0.22,0.22,174400,0.22
2015-08-04,0.24,0.24,0.23,0.23,127500,0.23
2015-08-03,0.24,0.25,0.22,0.25,300900,0.25
2015-07-31,0.24,0.24,0.22,0.24,127800,0.24
2015-07-30,0.24,0.24,0.23,0.24,61200,0.24
2015-07-29,0.23,0.24,0.22,0.23,236900,0.23
2015-07-28,0.25,0.25,0.22,0.23,392600,0.23
2015-07-27,0.23,0.25,0.22,0.22,404600,0.22
2015-07-24,0.22,0.26,0.20,0.24,1355500,0.24
2015-07-23,0.20,0.22,0.20,0.21,500600,0.21
2015-07-22,0.22,0.22,0.21,0.21,443600,0.21
2015-07-21,0.22,0.23,0.20,0.21,806300,0.21
2015-07-20,0.25,0.25,0.20,0.22,1269000,0.22
2015-07-17,0.26,0.26,0.22,0.24,1189200,0.24
2015-07-16,0.35,0.36,0.22,0.25,6336200,0.25
2015-07-15,0.47,0.50,0.41,0.43,163500,0.43
2015-07-14,0.41,0.48,0.40,0.45,217000,0.45
2015-07-13,0.41,0.42,0.37,0.41,86500,0.41
2015-07-10,0.38,0.40,0.35,0.39,151800,0.39
2015-07-09,0.40,0.40,0.34,0.38,175200,0.38
2015-07-08,0.39,0.39,0.26,0.37,227900,0.37
2015-07-07,0.40,0.42,0.36,0.40,257400,0.40
2015-07-06,0.42,0.49,0.40,0.43,172900,0.43
2015-07-02,0.46,0.47,0.41,0.42,434300,0.42
2015-07-01,0.48,0.50,0.45,0.46,115000,0.46
2015-06-30,0.50,0.52,0.48,0.48,94800,0.48
2015-06-29,0.50,0.53,0.44,0.48,296500,0.48
2015-06-26,0.59,0.59,0.50,0.50,321700,0.50
2015-06-25,0.59,0.60,0.56,0.57,116100,0.57
2015-06-24,0.59,0.61,0.57,0.58,128300,0.58
2015-06-23,0.57,0.59,0.57,0.59,81400,0.59
2015-06-22,0.58,0.59,0.55,0.57,145200,0.57
2015-06-19,0.57,0.59,0.55,0.55,66500,0.55
2015-06-18,0.56,0.58,0.55,0.56,92600,0.56
2015-06-17,0.58,0.60,0.56,0.57,47800,0.57
2015-06-16,0.59,0.60,0.57,0.57,95000,0.57
2015-06-15,0.58,0.60,0.58,0.60,111200,0.60
2015-06-12,0.64,0.64,0.59,0.61,50000,0.61
2015-06-11,0.65,0.65,0.59,0.61,152500,0.61
2015-06-10,0.63,0.65,0.62,0.64,147000,0.64
2015-06-09,0.62,0.69,0.60,0.64,209000,0.64
2015-06-08,0.62,0.63,0.60,0.62,78700,0.62
2015-06-05,0.60,0.62,0.60,0.60,43500,0.60
2015-06-04,0.62,0.63,0.61,0.62,81300,0.62
2015-06-03,0.62,0.62,0.60,0.60,177700,0.60
2015-06-02,0.59,0.61,0.59,0.60,73400,0.60
2015-06-01,0.58,0.62,0.57,0.61,192600,0.61
2015-05-29,0.58,0.58,0.56,0.58,101500,0.58
2015-05-28,0.55,0.60,0.55,0.60,161300,0.60
2015-05-27,0.57,0.57,0.55,0.57,52200,0.57
2015-05-26,0.56,0.57,0.55,0.56,136900,0.56
2015-05-22,0.57,0.57,0.56,0.56,357000,0.56
2015-05-21,0.57,0.60,0.57,0.59,158700,0.59
2015-05-20,0.59,0.61,0.57,0.61,270400,0.61
2015-05-19,0.63,0.65,0.59,0.59,344500,0.59
2015-05-18,0.63,0.67,0.63,0.63,229500,0.63
2015-05-15,0.64,0.68,0.62,0.66,164600,0.66
2015-05-14,0.69,0.69,0.62,0.66,353200,0.66
2015-05-13,0.72,0.72,0.68,0.69,87200,0.69
2015-05-12,0.70,0.72,0.67,0.69,101400,0.69
2015-05-11,0.69,0.74,0.69,0.72,210100,0.72
2015-05-08,0.71,0.71,0.69,0.69,101800,0.69
2015-05-07,0.70,0.71,0.69,0.70,141300,0.70
2015-05-06,0.73,0.74,0.71,0.72,58700,0.72
2015-05-05,0.75,0.77,0.70,0.73,109900,0.73
2015-05-04,0.74,0.77,0.73,0.76,228500,0.76
