Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,12.18,12.41,12.18,12.35,106900,12.35
2015-08-06,11.96,12.38,11.93,12.26,315200,12.26
2015-08-05,11.36,11.88,11.13,11.87,178000,11.87
2015-08-04,10.73,11.02,10.68,10.85,68900,10.85
2015-08-03,10.79,10.87,10.57,10.78,113500,10.78
2015-07-31,10.76,10.83,10.50,10.73,89900,10.73
2015-07-30,10.69,10.80,10.69,10.72,54600,10.72
2015-07-29,10.86,10.90,10.64,10.71,80300,10.71
2015-07-28,10.97,11.04,10.64,10.86,97300,10.86
2015-07-27,10.63,11.05,10.60,10.73,98100,10.73
2015-07-24,10.52,10.57,10.17,10.33,99500,10.33
2015-07-23,10.96,10.96,10.45,10.48,83600,10.48
2015-07-22,10.74,11.14,10.73,10.95,65500,10.95
2015-07-21,10.99,11.03,10.90,11.00,49300,11.00
2015-07-20,11.08,11.08,10.88,11.01,34300,11.01
2015-07-17,10.89,10.97,10.76,10.87,22400,10.87
2015-07-16,10.80,10.99,10.66,10.85,90700,10.85
2015-07-15,10.87,10.89,10.72,10.75,100700,10.75
2015-07-14,10.97,11.56,10.89,10.96,218300,10.96
2015-07-13,10.83,11.45,10.83,11.22,63800,11.22
2015-07-10,10.58,10.85,10.45,10.83,23600,10.83
2015-07-09,10.72,10.75,10.49,10.50,28900,10.50
2015-07-08,10.59,10.68,10.48,10.57,37000,10.57
2015-07-07,10.80,10.80,10.45,10.74,73600,10.74
2015-07-06,10.13,10.84,10.00,10.69,165100,10.69
2015-07-02,10.43,10.43,10.11,10.22,48000,10.22
2015-07-01,10.28,10.47,10.18,10.30,85900,10.30
2015-06-30,9.92,10.50,9.85,10.38,62200,10.38
2015-06-29,9.81,10.13,9.71,9.85,92900,9.85
2015-06-26,10.08,10.44,9.88,10.00,439200,10.00
2015-06-25,9.92,10.10,9.90,10.01,82400,10.01
2015-06-24,9.85,10.05,9.85,9.97,78500,9.97
2015-06-23,10.04,10.15,10.00,10.08,38400,10.08
2015-06-22,10.01,10.37,10.00,10.24,57900,10.24
2015-06-19,9.92,10.20,9.82,10.09,103600,10.09
2015-06-18,9.64,9.98,9.64,9.96,47700,9.96
2015-06-17,9.88,9.90,9.75,9.82,50600,9.82
2015-06-16,9.35,9.78,9.34,9.73,45800,9.73
2015-06-15,9.00,9.38,9.00,9.32,68100,9.32
2015-06-12,9.20,9.20,9.00,9.05,40400,9.05
2015-06-11,9.15,9.20,9.11,9.19,23100,9.19
2015-06-10,9.05,9.34,9.01,9.20,36500,9.20
2015-06-09,9.23,9.23,9.03,9.15,47300,9.15
2015-06-08,9.21,9.28,9.13,9.19,15700,9.19
2015-06-05,9.10,9.29,9.00,9.26,30700,9.26
2015-06-04,9.36,9.38,8.99,9.07,21400,9.07
2015-06-03,9.33,9.44,9.19,9.41,26900,9.41
2015-06-02,9.35,9.50,9.30,9.36,33600,9.36
2015-06-01,9.33,9.45,9.23,9.30,39300,9.30
2015-05-29,9.12,9.15,8.94,9.05,44600,9.05
2015-05-28,9.25,9.25,9.08,9.14,27800,9.14
2015-05-27,9.20,9.34,9.15,9.34,36600,9.34
2015-05-26,9.23,9.23,8.95,9.03,39500,9.03
2015-05-22,9.39,9.52,9.08,9.28,26200,9.28
2015-05-21,9.41,9.46,9.30,9.36,25100,9.36
2015-05-20,9.57,9.60,9.36,9.40,28700,9.249999
2015-05-19,9.53,9.69,9.52,9.58,267500,9.427127
2015-05-18,9.30,9.66,9.27,9.57,80400,9.417287
2015-05-15,9.35,9.41,9.15,9.35,45900,9.200798
2015-05-14,8.82,9.39,8.76,9.39,53300,9.24016
2015-05-13,8.70,8.82,8.68,8.80,19800,8.659574
2015-05-12,8.68,8.78,8.55,8.65,28400,8.511967
2015-05-11,8.62,8.80,8.57,8.75,38300,8.610372
2015-05-08,8.67,8.67,8.43,8.56,27500,8.423404
2015-05-07,8.60,8.61,8.45,8.58,24800,8.443085
2015-05-06,8.78,8.78,8.41,8.68,49300,8.541489
2015-05-05,8.62,8.62,8.28,8.36,96000,8.226595
2015-05-04,8.66,8.70,8.53,8.57,75300,8.433244
2015-05-01,8.71,8.80,8.54,8.65,44300,8.511967
2015-04-30,8.64,8.73,8.52,8.73,110100,8.590691
2015-04-29,8.61,8.69,8.51,8.57,20700,8.433244
2015-04-28,8.64,8.72,8.61,8.68,28800,8.541489
2015-04-27,8.69,8.69,8.45,8.55,51900,8.413564
