Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,16.440001,16.719999,16.379999,16.459999,33800,16.459999
2015-08-06,16.700001,16.74,16.459999,16.57,37600,16.57
2015-08-05,16.73,16.91,16.50,16.60,57000,16.60
2015-08-04,16.66,16.92,16.18,16.57,68300,16.57
2015-08-03,16.690001,16.790001,16.40,16.60,84700,16.60
2015-07-31,15.98,17.42,15.98,16.73,234000,16.73
2015-07-30,16.02,16.33,15.94,16.00,144500,16.00
2015-07-29,15.38,16.65,15.38,16.08,135700,16.08
2015-07-28,15.78,15.83,15.26,15.46,124500,15.46
2015-07-27,15.28,15.91,15.28,15.66,64300,15.66
2015-07-24,15.75,15.83,15.47,15.51,66700,15.51
2015-07-23,15.98,16.120001,15.73,15.80,53300,15.80
2015-07-22,15.86,16.07,15.86,15.95,56000,15.95
2015-07-21,16.07,16.290001,15.87,16.00,80200,16.00
2015-07-20,16.51,16.67,16.030001,16.120001,76300,16.120001
2015-07-17,16.639999,16.74,16.469999,16.540001,48600,16.540001
2015-07-16,16.440001,17.10,16.440001,16.60,51500,16.60
2015-07-15,16.66,16.66,16.030001,16.41,85600,16.41
2015-07-14,16.540001,17.049999,16.49,16.690001,67800,16.690001
2015-07-13,16.469999,16.780001,16.469999,16.59,58600,16.59
2015-07-10,16.50,16.50,16.27,16.42,99600,16.42
2015-07-09,16.90,16.950001,16.27,16.35,85500,16.35
2015-07-08,16.809999,17.10,16.58,16.77,163900,16.77
2015-07-07,17.49,17.49,16.700001,16.91,65100,16.91
2015-07-06,17.389999,17.559999,17.110001,17.51,53400,17.51
2015-07-02,17.25,17.84,17.18,17.629999,45400,17.629999
2015-07-01,16.92,17.25,16.549999,17.23,97900,17.23
2015-06-30,17.00,17.15,16.82,16.84,211300,16.84
2015-06-29,16.809999,17.49,16.790001,16.98,56200,16.98
2015-06-26,17.50,17.73,16.68,16.92,245500,16.92
2015-06-25,17.620001,17.77,17.389999,17.540001,46100,17.540001
2015-06-24,17.48,17.700001,17.360001,17.60,53300,17.60
2015-06-23,17.690001,17.790001,17.450001,17.58,44200,17.58
2015-06-22,17.299999,17.67,17.299999,17.629999,61300,17.629999
2015-06-19,17.15,17.719999,17.059999,17.120001,318200,17.120001
2015-06-18,16.83,17.33,16.67,17.10,62000,17.10
2015-06-17,17.00,17.27,16.780001,16.940001,85800,16.940001
2015-06-16,16.530001,16.969999,16.530001,16.90,54500,16.90
2015-06-15,16.459999,16.65,16.219999,16.620001,66500,16.620001
2015-06-12,16.83,17.00,16.530001,16.629999,63100,16.629999
2015-06-11,17.190001,17.35,16.809999,16.93,74300,16.93
2015-06-10,16.780001,17.48,16.75,17.23,94900,17.23
2015-06-09,16.73,16.950001,16.559999,16.73,81500,16.73
2015-06-08,17.059999,17.059999,16.51,16.790001,62800,16.790001
2015-06-05,16.74,17.23,16.370001,17.139999,92100,17.139999
2015-06-04,16.83,17.110001,16.610001,16.709999,43500,16.709999
2015-06-03,16.68,17.280001,16.59,16.860001,159000,16.860001
2015-06-02,16.110001,16.889999,16.110001,16.68,129500,16.68
2015-06-01,17.360001,17.360001,15.93,16.18,198700,16.18
2015-05-29,17.360001,17.98,17.25,17.35,138800,17.35
2015-05-28,17.110001,17.74,16.860001,17.33,86600,17.33
2015-05-27,17.01,17.25,16.59,17.110001,71200,17.110001
2015-05-26,16.77,17.23,16.60,17.049999,71000,17.049999
2015-05-22,16.82,17.10,16.48,16.790001,167100,16.790001
2015-05-21,17.040001,17.290001,16.82,16.90,211600,16.90
2015-05-20,17.23,17.290001,17.08,17.09,70800,17.09
2015-05-19,17.469999,17.610001,17.190001,17.26,101000,17.135
2015-05-18,17.370001,17.65,17.280001,17.549999,71900,17.422899
2015-05-15,17.35,17.530001,17.15,17.370001,51300,17.244204
2015-05-14,17.27,17.59,17.24,17.440001,60700,17.313697
2015-05-13,17.23,17.360001,17.059999,17.18,37200,17.055579
2015-05-12,17.26,17.389999,17.01,17.190001,36700,17.065507
2015-05-11,17.299999,17.75,17.09,17.40,69400,17.273985
2015-05-08,17.219999,17.52,16.99,17.35,67100,17.224348
2015-05-07,16.99,18.08,16.91,16.99,78900,16.866955
2015-05-06,17.530001,17.559999,16.93,17.16,97500,17.035724
2015-05-05,17.309999,17.52,16.99,17.40,85100,17.273985
2015-05-04,18.33,18.389999,17.27,17.34,93500,17.21442
2015-05-01,18.85,20.16,18.01,18.389999,77500,18.256815
2015-04-30,18.49,20.049999,18.18,18.83,123100,18.693629
2015-04-29,20.690001,21.00,20.50,20.780001,55000,20.629508
2015-04-28,20.709999,21.02,20.68,20.92,71800,20.768493
2015-04-27,20.889999,21.16,20.379999,20.809999,61100,20.659289
2015-04-24,20.85,21.059999,20.690001,20.91,52400,20.758565
2015-04-23,20.620001,21.129999,20.540001,20.940001,36000,20.788349
2015-04-22,20.559999,20.99,20.280001,20.73,57800,20.579869
2015-04-21,20.60,20.92,20.459999,20.50,32700,20.351535
2015-04-20,20.33,20.82,20.299999,20.57,52900,20.421028
2015-04-17,20.360001,20.73,20.01,20.24,54500,20.093418
2015-04-16,20.50,20.719999,20.219999,20.51,40500,20.361463
2015-04-15,21.030001,21.030001,20.09,20.549999,92200,20.401172
2015-04-14,20.860001,21.27,19.540001,21.040001,71000,20.887625
2015-04-13,20.459999,20.99,20.459999,20.83,64900,20.679145
2015-04-10,20.459999,20.82,20.389999,20.549999,84700,20.401172
2015-04-09,20.889999,20.940001,20.23,20.459999,50100,20.311824
2015-04-08,20.33,21.18,20.09,20.950001,106500,20.798277
2015-04-07,20.620001,20.620001,20.08,20.41,57300,20.262186
2015-04-06,20.450001,21.00,19.85,20.57,78300,20.421028
2015-04-02,21.049999,21.73,20.18,20.620001,207400,20.470667
2015-04-01,18.91,21.280001,18.65,20.74,169500,20.589796
2015-03-31,19.639999,19.76,19.09,19.17,76400,19.031167
2015-03-30,19.129999,19.83,19.120001,19.700001,95300,19.557329
2015-03-27,18.90,19.74,18.90,19.23,116500,19.090732
2015-03-26,18.52,19.60,18.52,19.200001,61100,19.06095
2015-03-25,20.26,20.26,18.52,18.690001,92800,18.554644
2015-03-24,20.120001,20.450001,19.90,20.129999,66300,19.984214
2015-03-23,19.360001,20.299999,19.360001,20.200001,161000,20.053708
2015-03-20,19.139999,19.799999,19.02,19.379999,720200,19.239645
2015-03-19,19.18,19.23,16.27,19.16,68600,19.021239
2015-03-18,17.950001,19.42,17.950001,19.17,90400,19.031167
2015-03-17,17.65,18.26,17.65,18.17,67800,18.038409
2015-03-16,17.639999,18.48,17.469999,17.790001,123500,17.661162
2015-03-13,17.200001,17.76,17.18,17.59,60800,17.338516
2015-03-12,17.190001,17.50,17.129999,17.27,42800,17.023091
2015-03-11,17.030001,17.360001,16.870001,17.129999,70000,16.885091
2015-03-10,16.82,17.290001,16.34,17.059999,128500,16.816093
2015-03-09,17.280001,17.73,16.870001,16.940001,110100,16.697809
2015-03-06,18.17,18.68,17.32,17.360001,62100,17.111805
2015-03-05,18.74,19.629999,18.219999,18.370001,81100,18.107365
2015-03-04,18.469999,18.950001,17.620001,18.629999,55500,18.363646
2015-03-03,18.59,18.940001,18.48,18.59,58800,18.324219
