Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,32.91,33.060001,32.310001,32.630001,130200,32.630001
2015-08-06,33.049999,33.150002,32.779999,33.119999,265000,33.119999
2015-08-05,32.93,33.25,32.77,32.939999,105800,32.939999
2015-08-04,32.759998,33.169998,32.419998,32.759998,136800,32.759998
2015-08-03,32.130001,32.779999,32.119999,32.73,166200,32.73
2015-07-31,32.509998,32.509998,31.950001,32.209999,158800,32.209999
2015-07-30,31.370001,32.650002,31.26,32.470001,236200,32.470001
2015-07-29,30.77,31.719999,30.77,31.59,116500,31.59
2015-07-28,30.66,30.959999,30.209999,30.91,99200,30.91
2015-07-27,30.65,30.799999,30.309999,30.59,89200,30.59
2015-07-24,31.030001,31.17,30.73,30.75,107300,30.75
2015-07-23,31.83,31.83,30.99,31.16,127400,31.16
2015-07-22,31.43,31.870001,31.43,31.75,81400,31.75
2015-07-21,31.950001,32.189999,31.33,31.65,187900,31.65
2015-07-20,32.799999,32.799999,31.91,32.049999,155600,32.049999
2015-07-17,33.00,33.00,32.419998,32.68,94600,32.68
2015-07-16,33.07,33.07,32.689999,32.950001,153700,32.950001
2015-07-15,33.099998,33.18,32.529999,32.75,131600,32.75
2015-07-14,32.91,33.18,32.689999,33.040001,141600,33.040001
2015-07-13,32.779999,32.959999,32.509998,32.880001,112000,32.880001
2015-07-10,32.25,32.540001,32.09,32.450001,97900,32.450001
2015-07-09,32.02,32.209999,31.68,31.77,137800,31.77
2015-07-08,31.870001,32.00,31.48,31.68,188300,31.68
2015-07-07,32.259998,32.32,31.459999,32.130001,171900,32.130001
2015-07-06,32.02,32.560001,32.02,32.150002,188500,32.150002
2015-07-02,32.59,32.779999,32.099998,32.389999,149400,32.389999
2015-07-01,32.91,32.939999,32.450001,32.509998,237400,32.509998
2015-06-30,32.959999,33.259998,32.439999,32.540001,204200,32.540001
2015-06-29,33.68,33.810001,32.689999,32.700001,200000,32.700001
