Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,1.12,1.14,1.10,1.11,25400,1.11
2015-08-06,1.15,1.15,1.11,1.12,16600,1.12
2015-08-05,1.11,1.15,1.11,1.13,2200,1.13
2015-08-04,1.10,1.14,1.10,1.11,11900,1.11
2015-08-03,1.13,1.15,1.10,1.11,32200,1.11
2015-07-31,1.15,1.15,1.10,1.15,11100,1.15
2015-07-30,1.09,1.11,1.09,1.11,39800,1.11
2015-07-29,1.10,1.14,1.09,1.11,91600,1.11
2015-07-28,1.10,1.17,1.10,1.15,7600,1.15
2015-07-27,1.17,1.17,1.09,1.11,43400,1.11
2015-07-24,1.19,1.19,1.18,1.18,5800,1.18
2015-07-23,1.18,1.19,1.18,1.18,2600,1.18
2015-07-22,1.18,1.20,1.18,1.18,4900,1.18
2015-07-21,1.22,1.22,1.18,1.18,4500,1.18
2015-07-20,1.22,1.22,1.18,1.19,12000,1.19
2015-07-17,1.10,1.22,1.10,1.18,83700,1.18
2015-07-16,1.14,1.15,1.11,1.13,13000,1.13
2015-07-15,1.18,1.18,1.12,1.12,4600,1.12
2015-07-14,1.18,1.18,1.10,1.12,45300,1.12
2015-07-13,1.18,1.18,1.11,1.16,17300,1.16
2015-07-10,1.16,1.20,1.13,1.13,42500,1.13
2015-07-09,1.12,1.15,1.07,1.08,87100,1.08
2015-07-08,1.10,1.10,1.06,1.06,58100,1.06
2015-07-07,1.29,1.30,1.03,1.15,182700,1.15
2015-07-06,1.25,1.31,1.25,1.25,84400,1.25
2015-07-02,1.36,1.39,1.23,1.25,98900,1.25
2015-07-01,1.40,1.40,1.36,1.36,8500,1.36
2015-06-30,1.37,1.40,1.36,1.36,13300,1.36
2015-06-29,1.42,1.42,1.37,1.37,23900,1.37
2015-06-26,1.40,1.49,1.40,1.45,48400,1.45
2015-06-25,1.39,1.45,1.39,1.41,27500,1.41
2015-06-24,1.41,1.49,1.37,1.38,69000,1.38
2015-06-23,1.36,1.43,1.35,1.36,21000,1.36
2015-06-22,1.41,1.60,1.35,1.38,67100,1.38
2015-06-19,1.46,1.50,1.41,1.43,28300,1.43
2015-06-18,1.46,1.49,1.45,1.45,20000,1.45
2015-06-17,1.53,1.55,1.46,1.46,48600,1.46
2015-06-16,1.57,1.65,1.49,1.50,139300,1.50
2015-06-15,1.47,1.58,1.45,1.53,207100,1.53
2015-06-12,1.43,1.49,1.37,1.45,92800,1.45
2015-06-11,1.41,1.41,1.38,1.40,24900,1.40
2015-06-10,1.36,1.42,1.35,1.40,54100,1.40
2015-06-09,1.33,1.36,1.33,1.36,7800,1.36
2015-06-08,1.36,1.36,1.34,1.34,5100,1.34
2015-06-05,1.35,1.36,1.30,1.36,20000,1.36
2015-06-04,1.34,1.35,1.28,1.32,39400,1.32
