Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,20.139999,20.469999,19.98,20.110001,127300,20.110001
2015-08-06,20.23,20.379999,19.76,20.32,143100,20.32
2015-08-05,20.370001,20.65,20.120001,20.23,104500,20.23
2015-08-04,20.07,20.34,19.879999,20.309999,112200,20.309999
2015-08-03,20.23,20.26,19.75,20.049999,79200,20.049999
2015-07-31,20.309999,20.389999,20.07,20.25,99900,20.25
2015-07-30,20.01,20.389999,20.01,20.299999,92500,20.299999
2015-07-29,20.27,20.309999,19.950001,20.129999,112600,20.129999
2015-07-28,20.280001,20.34,19.799999,20.32,166300,20.32
2015-07-27,20.190001,20.280001,19.73,20.24,205100,20.24
2015-07-24,22.02,22.02,20.42,20.450001,189600,20.450001
2015-07-23,22.299999,22.440001,21.27,21.74,274700,21.74
2015-07-22,22.290001,22.860001,22.290001,22.719999,64400,22.719999
2015-07-21,22.42,22.700001,22.129999,22.309999,48300,22.309999
2015-07-20,22.360001,22.459999,22.219999,22.42,58800,22.42
2015-07-17,22.620001,22.809999,22.17,22.370001,50400,22.370001
2015-07-16,22.639999,22.950001,22.450001,22.57,77000,22.57
2015-07-15,22.43,22.67,22.299999,22.48,91000,22.48
2015-07-14,22.219999,22.50,22.10,22.48,75000,22.48
2015-07-13,22.25,22.530001,22.18,22.290001,105400,22.290001
2015-07-10,21.98,22.41,21.93,22.16,73100,22.16
2015-07-09,21.780001,21.860001,21.450001,21.780001,95400,21.780001
2015-07-08,21.34,21.540001,21.219999,21.459999,95600,21.459999
2015-07-07,21.74,21.74,21.26,21.59,93200,21.59
2015-07-06,21.450001,21.82,21.32,21.780001,146300,21.780001
2015-07-02,21.889999,21.889999,21.450001,21.65,113500,21.65
2015-07-01,21.84,22.129999,21.76,21.93,111000,21.93
2015-06-30,21.940001,22.08,21.639999,21.700001,143400,21.700001
2015-06-29,22.309999,22.59,21.780001,21.790001,123700,21.790001
2015-06-26,22.299999,22.42,22.10,22.370001,301300,22.370001
