Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,14.37,14.37,14.15,14.20,47623100,14.20
2015-07-30,14.25,14.33,14.24,14.31,5712300,14.31
2015-07-29,14.27,14.33,14.18,14.28,4330600,14.28
2015-07-28,14.33,14.35,14.18,14.25,3347000,14.25
2015-07-27,14.25,14.34,14.21,14.26,1948600,14.26
2015-07-24,14.47,14.51,14.33,14.34,2831500,14.34
2015-07-23,14.57,14.64,14.48,14.50,1272800,14.50
2015-07-22,14.44,14.61,14.44,14.56,713800,14.56
2015-07-21,14.46,14.58,14.37,14.46,828700,14.46
2015-07-20,14.35,14.51,14.30,14.47,706500,14.47
2015-07-17,14.59,14.59,14.26,14.36,972000,14.36
2015-07-16,14.61,14.61,14.50,14.56,749100,14.56
2015-07-15,14.47,14.61,14.44,14.55,879000,14.55
2015-07-14,14.37,14.49,14.36,14.47,945600,14.47
2015-07-13,14.45,14.48,14.38,14.43,904200,14.43
2015-07-10,14.34,14.38,14.27,14.35,1252700,14.35
2015-07-09,14.25,14.29,14.16,14.21,2503600,14.21
2015-07-08,14.13,14.21,14.07,14.09,2531600,14.09
2015-07-07,14.18,14.24,14.03,14.21,2771400,14.21
2015-07-06,14.04,14.22,14.03,14.22,1268000,14.22
2015-07-02,14.32,14.34,14.15,14.17,821100,14.17
2015-07-01,14.25,14.38,14.24,14.36,1639500,14.36
2015-06-30,14.18,14.30,14.11,14.12,1276100,14.12
2015-06-29,14.24,14.34,14.08,14.08,1469800,14.08
2015-06-26,14.43,14.44,14.35,14.37,2286900,14.37
2015-06-25,14.42,14.45,14.31,14.36,1484400,14.36
2015-06-24,14.44,14.50,14.35,14.35,2007700,14.35
2015-06-23,14.41,14.50,14.37,14.50,926400,14.50
2015-06-22,14.39,14.43,14.33,14.38,989600,14.38
2015-06-19,14.37,14.41,14.29,14.30,1249500,14.30
2015-06-18,14.39,14.43,14.30,14.36,1287800,14.36
2015-06-17,14.50,14.50,14.34,14.34,1056600,14.34
2015-06-16,14.35,14.48,14.30,14.47,1522000,14.47
2015-06-15,14.23,14.43,14.20,14.36,699700,14.36
2015-06-12,14.28,14.32,14.22,14.32,760300,14.32
2015-06-11,14.32,14.36,14.24,14.28,822900,14.28
2015-06-10,14.26,14.37,14.21,14.34,1185800,14.34
2015-06-09,14.13,14.22,14.07,14.18,869900,14.18
2015-06-08,14.09,14.15,14.03,14.10,2109700,14.10
2015-06-05,14.06,14.15,14.03,14.09,1991800,14.09
2015-06-04,13.94,14.06,13.94,13.95,1911000,13.95
2015-06-03,13.92,14.05,13.90,14.02,1717900,14.02
2015-06-02,13.80,13.91,13.76,13.85,2800900,13.85
2015-06-01,13.93,13.93,13.75,13.81,950800,13.81
2015-05-29,13.92,13.96,13.82,13.89,988600,13.89
