Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,22.32,22.709999,22.309999,22.709999,3760200,22.709999
2015-08-06,22.860001,22.889999,22.34,22.35,2980300,22.35
2015-08-05,22.709999,23.049999,22.51,22.90,2644000,22.90
2015-08-04,22.379999,22.58,22.25,22.42,3772800,22.42
2015-08-03,22.790001,22.84,22.309999,22.48,3181400,22.48
2015-07-31,22.889999,22.93,22.709999,22.74,3119200,22.74
2015-07-30,22.780001,22.84,22.59,22.790001,2797200,22.790001
2015-07-29,22.82,22.91,22.610001,22.84,2887800,22.84
2015-07-28,22.799999,22.99,22.469999,22.77,2844200,22.77
2015-07-27,22.860001,23.02,22.67,22.719999,1938300,22.719999
2015-07-24,23.280001,23.309999,22.93,23.049999,1688300,23.049999
2015-07-23,23.030001,23.42,23.02,23.219999,2761900,23.219999
2015-07-22,22.92,23.209999,22.889999,22.959999,2404100,22.959999
2015-07-21,23.66,23.66,23.02,23.040001,3346700,23.040001
2015-07-20,23.35,23.450001,23.139999,23.32,2852800,23.32
2015-07-17,23.43,23.49,23.17,23.469999,3536300,23.469999
2015-07-16,23.52,23.540001,23.280001,23.41,2217700,23.41
2015-07-15,23.99,23.99,23.27,23.309999,2479700,23.309999
2015-07-14,23.389999,23.48,23.299999,23.440001,2208800,23.440001
2015-07-13,23.35,23.549999,23.33,23.42,2073500,23.42
2015-07-10,23.280001,23.450001,23.07,23.32,3364900,23.32
2015-07-09,22.92,23.190001,22.780001,22.99,5489800,22.99
2015-07-08,22.940001,23.16,22.68,22.82,6082900,22.82
2015-07-07,22.66,22.84,22.26,22.790001,3684400,22.790001
2015-07-06,22.82,22.950001,22.57,22.68,3205400,22.68
2015-07-02,23.23,23.290001,22.83,23.030001,3659200,23.030001
2015-07-01,23.43,24.209999,23.139999,23.209999,3555300,23.209999
2015-06-30,23.48,23.65,23.09,23.25,4188700,23.25
2015-06-29,23.549999,23.690001,23.219999,23.26,4456000,23.26
2015-06-26,24.25,24.25,23.629999,23.75,7458900,23.75
2015-06-25,24.26,24.290001,24.120001,24.16,3391800,24.16
2015-06-24,24.18,24.389999,24.00,24.24,6573700,24.24
2015-06-23,23.959999,24.290001,23.91,24.25,5197800,24.25
2015-06-22,23.870001,23.99,23.66,23.82,4542300,23.82
2015-06-19,24.40,24.49,24.01,24.07,5506800,24.07
2015-06-18,24.18,24.59,24.17,24.459999,4128000,24.459999
2015-06-17,23.76,24.129999,23.76,24.10,4354200,24.10
2015-06-16,23.389999,23.690001,23.280001,23.66,2442500,23.66
2015-06-15,23.52,23.559999,23.309999,23.450001,4412000,23.450001
2015-06-12,23.639999,23.790001,23.530001,23.75,3371900,23.75
2015-06-11,23.85,23.940001,23.68,23.799999,3497000,23.799999
2015-06-10,23.58,23.85,23.549999,23.780001,3920100,23.780001
2015-06-09,23.40,23.51,23.190001,23.440001,5355500,23.440001
2015-06-08,23.90,23.959999,23.41,23.43,4940500,23.43
2015-06-05,24.059999,24.10,23.799999,24.00,4105000,23.849999
2015-06-04,24.129999,24.33,23.84,24.040001,4323300,23.88975
2015-06-03,24.360001,24.629999,24.219999,24.32,5551400,24.167999
2015-06-02,24.57,24.700001,24.35,24.360001,3324900,24.20775
2015-06-01,24.74,25.030001,24.51,24.700001,3856200,24.545625
2015-05-29,24.75,24.809999,24.50,24.629999,3315000,24.476061
2015-05-28,24.67,24.84,24.610001,24.809999,1619700,24.654936
2015-05-27,24.41,24.799999,24.280001,24.74,2625500,24.585374
2015-05-26,24.790001,24.860001,24.209999,24.34,3574200,24.187875
2015-05-22,25.059999,25.10,24.860001,24.870001,1921900,24.714563
2015-05-21,25.00,25.15,24.91,25.07,1706300,24.913312
2015-05-20,25.16,25.25,24.950001,25.030001,2569100,24.873563
2015-05-19,25.139999,25.23,25.030001,25.10,3843700,24.943125
2015-05-18,24.49,26.16,24.49,25.190001,6535200,25.032562
2015-05-15,25.610001,25.889999,24.25,24.48,10950700,24.326999
2015-05-14,25.540001,25.92,25.540001,25.90,4263300,25.738124
2015-05-13,25.219999,25.379999,25.09,25.32,2784200,25.161749
2015-05-12,25.299999,25.360001,24.940001,25.139999,3163600,24.982874
2015-05-11,25.41,25.67,25.15,25.440001,3638900,25.281
2015-05-08,25.299999,25.58,24.73,25.530001,3577900,25.370438
2015-05-07,24.879999,25.07,24.709999,24.98,2545000,24.823874
2015-05-06,24.969999,25.049999,24.66,24.940001,3691200,24.784125
2015-05-05,25.200001,25.25,24.879999,24.90,3679100,24.744374
2015-05-04,25.030001,25.41,24.959999,25.32,3063700,25.161749
2015-05-01,24.99,25.23,24.879999,25.139999,2956800,24.982874
2015-04-30,24.75,25.00,24.65,24.93,4438500,24.774187
2015-04-29,24.76,25.00,24.690001,24.90,3273300,24.744374
2015-04-28,24.76,24.99,24.68,24.950001,3649000,24.794063
2015-04-27,24.709999,24.93,24.559999,24.83,3461400,24.674812
2015-04-24,24.790001,24.799999,24.48,24.67,2575900,24.515812
2015-04-23,24.32,24.780001,24.26,24.639999,3035600,24.485999
2015-04-22,24.23,24.43,24.08,24.360001,3253900,24.20775
2015-04-21,24.370001,24.60,24.049999,24.10,4501300,23.949375
2015-04-20,24.50,24.559999,24.129999,24.190001,5144200,24.038812
2015-04-17,24.00,25.10,23.85,24.24,9829800,24.088499
2015-04-16,23.75,24.35,23.709999,24.299999,5685300,24.148124
2015-04-15,23.950001,24.040001,23.74,23.790001,4606200,23.641313
2015-04-14,24.120001,24.280001,23.709999,23.809999,4855400,23.661186
2015-04-13,24.75,24.99,24.049999,24.139999,11057000,23.989124
2015-04-10,24.32,26.15,24.190001,25.58,12753100,25.420124
2015-04-09,24.01,24.34,23.860001,24.23,3564700,24.078561
2015-04-08,23.639999,24.200001,23.52,24.01,4840600,23.859937
2015-04-07,23.889999,23.93,23.73,23.799999,3860300,23.651249
2015-04-06,23.35,23.959999,23.24,23.83,3707100,23.681062
2015-04-02,23.379999,23.629999,23.27,23.549999,3130300,23.402811
2015-04-01,22.940001,23.379999,22.940001,23.33,3651200,23.184187
2015-03-31,23.440001,23.68,23.280001,23.370001,4245700,23.223938
2015-03-30,23.49,23.700001,23.370001,23.549999,3223500,23.402811
2015-03-27,23.389999,23.42,23.10,23.360001,4052600,23.214
2015-03-26,23.18,23.469999,23.02,23.280001,5679200,23.1345
2015-03-25,24.16,24.209999,23.309999,23.309999,5406400,23.164311
2015-03-24,24.370001,24.48,24.110001,24.120001,5534100,23.96925
2015-03-23,24.33,24.549999,24.26,24.41,4014000,24.257437
2015-03-20,24.17,24.52,24.139999,24.379999,7102200,24.227624
2015-03-19,24.27,24.35,23.950001,24.01,4368600,23.859937
2015-03-18,23.77,24.50,23.57,24.27,6650200,24.118312
2015-03-17,23.709999,23.90,23.58,23.77,4368300,23.621437
2015-03-16,23.530001,23.75,23.469999,23.690001,4589100,23.541937
2015-03-13,23.60,23.719999,23.200001,23.360001,7742000,23.214
2015-03-12,23.52,23.74,23.450001,23.719999,3943000,23.571749
2015-03-11,23.889999,23.93,23.41,23.459999,3769200,23.313374
2015-03-10,24.200001,24.42,23.83,23.85,4771200,23.700937
2015-03-09,24.139999,24.540001,24.10,24.48,2933300,24.326999
2015-03-06,24.540001,24.540001,24.07,24.17,4356900,24.018937
2015-03-05,24.49,24.65,24.299999,24.639999,2067500,24.485999
2015-03-04,24.540001,24.700001,24.440001,24.48,3679300,24.326999
2015-03-03,25.049999,25.15,24.629999,24.76,4076700,24.60525
2015-03-02,25.200001,25.34,25.10,25.26,2902400,25.102125
2015-02-27,25.08,25.32,24.950001,25.16,3787800,25.002749
2015-02-26,25.549999,25.610001,25.040001,25.049999,3825200,24.893436
2015-02-25,25.290001,25.549999,25.219999,25.49,3129100,25.330687
2015-02-24,25.219999,25.299999,25.059999,25.209999,2845500,25.052436
2015-02-23,25.76,25.790001,25.309999,25.43,2470900,25.122001
2015-02-20,25.610001,25.77,25.42,25.690001,3672300,25.378852
2015-02-19,25.59,25.639999,25.379999,25.60,3520000,25.289942
2015-02-18,25.969999,25.98,25.50,25.690001,4780400,25.378852
2015-02-17,26.00,26.26,25.799999,26.00,3658900,25.685097
2015-02-13,26.219999,26.360001,26.07,26.33,2851600,26.0111
2015-02-12,25.889999,26.190001,25.809999,26.15,2678400,25.83328
2015-02-11,25.190001,25.780001,25.190001,25.74,4637000,25.428246
2015-02-10,24.889999,25.33,24.76,25.24,3133800,24.934301
2015-02-09,24.639999,24.860001,24.51,24.75,3335900,24.450236
2015-02-06,25.700001,25.940001,24.57,24.780001,6362600,24.479874
2015-02-05,25.66,26.02,25.469999,25.969999,3567500,25.655459
2015-02-04,25.440001,25.790001,25.23,25.60,3041700,25.289942
2015-02-03,25.02,25.50,25.01,25.469999,2900100,25.161515
2015-02-02,24.93,25.00,24.360001,24.940001,3948100,24.637936
2015-01-30,25.379999,25.440001,24.74,24.77,4128600,24.469995
2015-01-29,25.32,25.620001,25.08,25.60,3199800,25.289942
2015-01-28,25.879999,26.049999,25.360001,25.379999,3796900,25.072605
2015-01-27,26.139999,26.34,25.68,25.940001,4133400,25.625824
2015-01-26,26.620001,26.66,26.23,26.59,2473400,26.267951
2015-01-23,26.700001,27.32,26.559999,26.65,5154600,26.327224
2015-01-22,25.75,26.690001,25.450001,26.690001,6008000,26.36674
2015-01-21,25.629999,25.790001,25.48,25.620001,3256700,25.3097
2015-01-20,25.719999,25.940001,25.450001,25.68,3941500,25.368973
2015-01-16,24.91,25.67,24.799999,25.629999,4486500,25.319577
2015-01-15,25.219999,25.360001,24.84,24.91,2904000,24.608298
2015-01-14,25.120001,25.35,24.940001,25.209999,2886100,24.904664
2015-01-13,25.59,26.049999,25.129999,25.34,3892300,25.033091
2015-01-12,25.360001,25.440001,24.969999,25.290001,3518700,24.983697
2015-01-09,25.530001,25.73,25.07,25.360001,5470800,25.052849
2015-01-08,25.209999,25.66,25.190001,25.530001,3527800,25.22079
2015-01-07,24.90,25.209999,24.74,25.07,3040200,24.76636
2015-01-06,25.450001,25.450001,24.77,24.84,5307700,24.539146
