Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.98,0.98,0.95,0.96,24700,0.96
2015-08-06,0.98,0.98,0.97,0.98,14500,0.98
2015-08-05,1.00,1.00,0.98,0.98,18100,0.98
2015-08-04,0.98,1.00,0.98,1.00,2700,1.00
2015-08-03,0.99,0.99,0.99,0.99,5100,0.99
2015-07-31,0.99,1.00,0.99,1.00,13400,1.00
2015-07-30,0.98,1.00,0.98,1.00,4400,1.00
2015-07-29,1.03,1.03,1.00,1.00,1600,1.00
2015-07-28,1.12,1.12,0.99,0.99,19200,0.99
2015-07-27,1.12,1.12,1.00,1.01,34200,1.01
2015-07-24,1.07,1.12,0.98,1.10,96700,1.10
2015-07-23,0.97,1.01,0.96,1.01,3400,1.01
2015-07-22,1.05,1.06,0.99,1.05,1300,1.05
2015-07-21,1.00,1.07,0.99,1.04,7400,1.04
2015-07-20,0.99,0.99,0.99,0.99,7800,0.99
2015-07-17,1.00,1.00,0.99,0.99,1200,0.99
2015-07-16,0.98,0.99,0.98,0.99,700,0.99
2015-07-15,0.97,1.00,0.97,1.00,1300,1.00
2015-07-14,0.97,0.99,0.96,0.99,32100,0.99
2015-07-13,0.96,0.97,0.96,0.96,6400,0.96
2015-07-10,0.98,0.98,0.96,0.96,2600,0.96
2015-07-09,0.98,0.99,0.96,0.96,30400,0.96
2015-07-08,0.98,1.00,0.98,0.98,13900,0.98
2015-07-07,1.00,1.00,1.00,1.00,11100,1.00
2015-07-06,1.04,1.06,0.97,1.00,8700,1.00
2015-07-02,1.00,1.09,0.97,1.05,20800,1.05
2015-07-01,1.01,1.13,0.99,1.04,141900,1.04
2015-06-30,0.97,0.98,0.97,0.98,1300,0.98
2015-06-29,0.98,0.98,0.98,0.98,400,0.98
2015-06-26,0.98,0.98,0.98,0.98,000,0.98
2015-06-25,0.98,0.98,0.98,0.98,5000,0.98
2015-06-24,0.98,0.98,0.98,0.98,000,0.98
2015-06-23,0.97,0.98,0.96,0.98,9400,0.98
2015-06-22,0.96,0.97,0.96,0.96,5000,0.96
2015-06-19,0.99,0.99,0.99,0.99,000,0.99
2015-06-18,1.00,1.00,0.99,0.99,10000,0.99
2015-06-17,0.99,0.99,0.99,0.99,000,0.99
2015-06-16,1.03,1.03,0.99,0.99,1600,0.99
2015-06-15,1.01,1.01,1.01,1.01,1100,1.01
2015-06-12,1.04,1.04,1.01,1.01,2800,1.01
2015-06-11,1.00,1.00,1.00,1.00,300,1.00
2015-06-10,0.97,0.97,0.96,0.96,4500,0.96
2015-06-09,1.00,1.00,1.00,1.00,000,1.00
2015-06-08,1.01,1.01,0.96,1.00,15900,1.00
2015-06-05,1.01,1.01,1.01,1.01,000,1.01
2015-06-04,0.97,1.01,0.97,1.01,400,1.01
2015-06-03,1.01,1.05,0.97,1.05,8600,1.05
2015-06-02,1.00,1.00,1.00,1.00,000,1.00
2015-06-01,1.00,1.00,1.00,1.00,000,1.00
2015-05-29,1.00,1.00,1.00,1.00,000,1.00
2015-05-28,0.98,1.00,0.98,1.00,8400,1.00
2015-05-27,0.97,0.98,0.97,0.98,1800,0.98
2015-05-26,0.97,0.99,0.97,0.99,18700,0.99
2015-05-22,0.99,0.99,0.99,0.99,2200,0.99
2015-05-21,0.99,0.99,0.99,0.99,000,0.99
