Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,8.46,8.51,8.38,8.50,157800,8.50
2015-08-06,8.70,8.70,8.27,8.47,316500,8.47
2015-08-05,8.37,8.91,8.37,8.67,257000,8.67
2015-08-04,8.09,9.09,8.05,8.38,625800,8.38
2015-08-03,7.88,8.01,7.60,7.80,279400,7.80
2015-07-31,7.80,8.22,7.80,7.88,336400,7.88
2015-07-30,8.17,8.17,7.76,7.78,248900,7.78
2015-07-29,7.75,8.14,7.70,8.12,172600,8.12
2015-07-28,7.80,7.88,7.61,7.74,299900,7.74
2015-07-27,8.09,8.27,7.76,7.80,391900,7.80
2015-07-24,8.42,8.58,8.00,8.09,619300,8.09
2015-07-23,8.80,8.87,8.45,8.46,428600,8.46
2015-07-22,8.93,8.98,8.75,8.88,273200,8.88
2015-07-21,9.10,9.25,8.92,8.97,480300,8.97
2015-07-20,9.07,9.17,9.02,9.11,213700,9.11
2015-07-17,9.15,9.18,8.90,9.11,318200,9.11
2015-07-16,9.04,9.21,9.04,9.15,108100,9.15
2015-07-15,9.28,9.28,9.03,9.06,256900,9.06
2015-07-14,8.94,9.39,8.92,9.23,167100,9.23
2015-07-13,8.87,9.02,8.80,8.98,184200,8.98
2015-07-10,8.76,8.87,8.76,8.82,144400,8.82
2015-07-09,8.79,8.91,8.76,8.81,206200,8.81
2015-07-08,8.81,8.81,8.62,8.76,134500,8.76
2015-07-07,8.73,8.88,8.58,8.80,215400,8.80
2015-07-06,8.54,8.92,8.54,8.73,160000,8.73
2015-07-02,8.91,8.91,8.65,8.69,194400,8.69
2015-07-01,8.42,8.89,8.33,8.88,264700,8.88
2015-06-30,8.52,8.69,8.35,8.35,355300,8.35
2015-06-29,8.72,8.72,8.52,8.58,178300,8.58
2015-06-26,8.61,8.77,8.59,8.73,161800,8.73
2015-06-25,8.70,8.80,8.61,8.62,185900,8.62
2015-06-24,8.89,8.96,8.70,8.72,163400,8.72
2015-06-23,8.81,9.01,8.78,8.93,107200,8.93
2015-06-22,8.97,9.07,8.83,8.86,178900,8.86
2015-06-19,9.00,9.12,8.97,8.97,171400,8.97
2015-06-18,9.20,9.30,8.96,9.04,151100,9.04
2015-06-17,9.09,9.38,9.09,9.16,236600,9.16
2015-06-16,8.67,9.12,8.67,9.08,314700,9.08
2015-06-15,8.66,8.73,8.59,8.71,158000,8.71
2015-06-12,9.00,9.00,8.65,8.76,665800,8.76
