Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,11.98,12.10,11.66,11.91,155000,11.91
2015-08-06,12.38,12.38,11.95,12.00,259200,12.00
2015-08-05,12.44,12.655,12.22,12.28,106000,12.28
2015-08-04,12.39,12.65,12.00,12.30,73800,12.30
2015-08-03,12.59,12.63,12.06,12.34,112100,12.34
2015-07-31,12.04,12.63,11.841,12.54,85500,12.54
2015-07-30,11.89,12.06,11.40,12.05,147600,12.05
2015-07-29,12.03,12.22,11.68,11.95,103000,11.95
2015-07-28,11.85,12.24,11.36,12.02,181300,12.02
2015-07-27,12.13,12.28,11.39,11.83,201300,11.83
2015-07-24,12.50,12.77,12.19,12.28,116800,12.28
2015-07-23,12.56,12.71,12.35,12.53,82900,12.53
2015-07-22,12.13,12.52,12.052,12.46,63900,12.46
2015-07-21,11.90,12.285,11.89,12.23,179500,12.23
2015-07-20,12.23,12.38,11.715,11.90,198500,11.90
2015-07-17,12.39,12.508,12.02,12.21,240700,12.21
2015-07-16,12.71,12.74,12.21,12.44,126400,12.44
2015-07-15,12.75,12.99,12.35,12.51,106900,12.51
2015-07-14,11.97,12.73,11.96,12.69,149500,12.69
2015-07-13,12.36,12.45,11.76,11.95,249700,11.95
2015-07-10,12.09,12.51,11.91,12.29,190400,12.29
2015-07-09,12.03,12.23,11.80,11.93,155800,11.93
2015-07-08,12.50,12.50,11.56,11.84,287700,11.84
2015-07-07,12.62,12.64,12.12,12.57,241700,12.57
2015-07-06,12.14,12.65,12.10,12.62,198200,12.62
2015-07-02,12.58,12.78,12.14,12.25,147000,12.25
2015-07-01,13.14,13.32,12.24,12.57,226000,12.57
2015-06-30,12.77,13.24,12.55,13.02,202300,13.02
2015-06-29,13.37,14.08,12.52,12.57,290100,12.57
2015-06-26,14.06,14.215,13.43,13.49,615300,13.49
2015-06-25,14.18,14.19,13.801,13.97,88900,13.97
2015-06-24,14.80,14.81,14.04,14.08,150100,14.08
2015-06-23,15.33,15.495,14.69,14.77,169400,14.77
2015-06-22,15.00,15.51,14.86,15.37,181300,15.37
2015-06-19,14.45,15.00,14.23,14.89,440300,14.89
2015-06-18,14.08,14.46,13.91,14.38,159700,14.38
2015-06-17,14.29,14.49,13.84,13.99,145800,13.99
2015-06-16,14.22,14.39,14.03,14.15,149400,14.15
2015-06-15,13.34,14.32,13.20,14.27,288700,14.27
2015-06-12,13.42,13.68,13.22,13.45,219300,13.45
2015-06-11,13.44,13.67,13.25,13.45,639600,13.45
2015-06-10,13.29,13.56,13.05,13.45,216100,13.45
2015-06-09,13.54,13.57,13.12,13.23,245900,13.23
2015-06-08,13.62,13.77,13.42,13.54,211100,13.54
2015-06-05,13.71,13.95,13.40,13.65,391500,13.65
2015-06-04,13.75,14.17,13.36,13.76,237600,13.76
2015-06-03,13.96,14.161,13.55,13.85,226500,13.85
2015-06-02,13.76,14.15,13.50,13.83,211900,13.83
2015-06-01,14.07,14.525,13.73,13.83,181600,13.83
2015-05-29,14.36,14.66,13.90,13.95,234300,13.95
2015-05-28,14.46,14.53,14.01,14.33,155600,14.33
2015-05-27,14.24,14.95,14.00,14.55,236500,14.55
2015-05-26,14.26,14.48,13.92,14.17,112300,14.17
2015-05-22,14.41,14.67,14.18,14.38,128800,14.38
2015-05-21,14.27,14.64,14.26,14.49,111200,14.49
2015-05-20,14.12,14.32,13.58,14.24,190500,14.24
2015-05-19,14.24,14.49,13.91,14.03,183600,14.03
2015-05-18,14.57,14.76,14.235,14.35,181600,14.35
2015-05-15,14.87,14.98,14.53,14.69,74400,14.69
2015-05-14,14.95,15.01,14.49,14.93,150600,14.93
2015-05-13,14.51,14.98,14.34,14.93,189800,14.93
2015-05-12,14.78,14.82,14.25,14.50,149300,14.50
2015-05-11,15.15,15.326,14.82,14.90,119400,14.90
2015-05-08,15.51,15.91,15.00,15.11,168500,15.11
2015-05-07,15.50,15.515,15.02,15.27,207200,15.27
2015-05-06,16.360001,16.60,15.38,15.51,235200,15.51
2015-05-05,16.540001,16.58,15.81,16.219999,169700,16.219999
2015-05-04,16.50,17.43,16.370001,16.440001,147300,16.440001
2015-05-01,16.139999,16.610001,15.88,16.549999,262800,16.549999
2015-04-30,16.82,16.950001,15.30,16.00,342700,16.00
2015-04-29,17.209999,17.440001,16.865999,16.950001,88100,16.950001
2015-04-28,17.309999,17.629999,16.18,17.34,163700,17.34
2015-04-27,18.530001,18.73,16.90,17.24,208500,17.24
2015-04-24,18.299999,18.559999,18.26,18.389999,92400,18.389999
2015-04-23,18.379999,18.629999,18.24,18.33,157600,18.33
2015-04-22,18.209999,18.67,18.200001,18.41,94400,18.41
2015-04-21,18.379999,18.59,18.00,18.23,105900,18.23
2015-04-20,18.110001,18.440001,17.969999,18.24,112700,18.24
2015-04-17,18.379999,18.540001,17.950001,18.02,156200,18.02
2015-04-16,18.51,18.67,17.93,18.60,120200,18.60
2015-04-15,18.73,18.92,18.35,18.58,84200,18.58
2015-04-14,18.65,18.83,18.290001,18.559999,80700,18.559999
2015-04-13,17.969999,18.790001,17.93,18.629999,96700,18.629999
2015-04-10,17.91,18.280001,17.74,18.01,43300,18.01
2015-04-09,18.18,18.18,17.309999,17.75,64100,17.75
2015-04-08,17.59,18.18,17.559999,17.83,117400,17.83
2015-04-07,17.299999,17.879999,17.15,17.66,152400,17.66
2015-04-06,17.23,17.50,16.858,17.360001,171300,17.360001
2015-04-02,17.200001,17.34,16.754999,17.27,100800,17.27
2015-04-01,17.280001,17.42,16.719999,17.139999,184900,17.139999
2015-03-31,17.75,17.98,17.309999,17.35,68100,17.35
2015-03-30,17.51,17.959999,17.16,17.799999,143800,17.799999
2015-03-27,16.85,17.469999,16.65,17.35,94900,17.35
2015-03-26,17.09,17.42,16.50,16.92,226100,16.92
2015-03-25,18.049999,18.049999,16.959999,17.120001,243500,17.120001
2015-03-24,19.00,19.10,17.879999,18.110001,264200,18.110001
2015-03-23,19.33,19.379999,18.780001,18.950001,187500,18.950001
2015-03-20,19.58,19.870001,18.549999,19.379999,818800,19.379999
2015-03-19,19.00,19.90,19.00,19.440001,115600,19.440001
2015-03-18,18.469999,19.09,18.305,19.00,89400,19.00
2015-03-17,18.90,19.360001,18.280001,18.620001,129600,18.620001
2015-03-16,19.469999,19.469999,18.65,18.959999,168400,18.959999
2015-03-13,19.290001,19.620001,18.620001,19.379999,108100,19.379999
2015-03-12,18.629999,19.309999,18.16,19.25,114500,19.25
2015-03-11,19.25,19.459999,17.57,18.51,398000,18.51
2015-03-10,19.65,20.200001,19.52,19.90,74500,19.90
2015-03-09,20.34,20.34,19.66,19.879999,91800,19.879999
2015-03-06,20.549999,20.700001,20.049999,20.23,124800,20.23
2015-03-05,21.43,21.610001,20.440001,20.75,95000,20.75
2015-03-04,20.780001,21.610001,20.540001,21.51,98700,21.51
2015-03-03,20.60,21.09,20.299999,20.959999,82500,20.959999
2015-03-02,21.799999,21.799999,20.549999,20.73,180000,20.73
2015-02-27,20.93,22.00,20.799999,21.73,168000,21.73
2015-02-26,20.950001,21.18,20.110001,20.889999,83200,20.889999
2015-02-25,20.379999,21.200001,20.08,21.049999,109800,21.049999
2015-02-24,20.719999,20.719999,19.950001,20.450001,149600,20.450001
2015-02-23,19.370001,20.77,19.08,20.629999,369100,20.629999
2015-02-20,19.16,19.76,19.110001,19.52,106700,19.52
2015-02-19,19.84,19.902,19.02,19.10,121500,19.10
2015-02-18,19.790001,19.940001,19.50,19.83,171700,19.83
2015-02-17,18.50,19.98,18.50,19.93,195600,19.93
2015-02-13,18.280001,18.940001,18.10,18.51,152600,18.51
2015-02-12,18.129999,18.280001,17.688999,18.23,154000,18.23
2015-02-11,18.50,18.67,17.98,18.129999,106700,18.129999
2015-02-10,18.190001,18.780001,18.059999,18.59,196600,18.59
2015-02-09,17.50,18.120001,17.440001,17.98,134100,17.98
2015-02-06,17.389999,18.00,17.200001,17.440001,144200,17.440001
2015-02-05,17.32,17.549999,17.030001,17.299999,318500,17.299999
2015-02-04,17.33,17.41,16.940001,17.209999,332700,17.209999
2015-02-03,17.82,17.91,16.93,17.48,329800,17.48
2015-02-02,16.41,18.24,16.41,17.370001,447900,17.370001
2015-01-30,16.51,16.90,16.200001,16.24,167900,16.24
2015-01-29,16.50,17.16,16.08,16.610001,178000,16.610001
2015-01-28,17.99,18.15,16.40,16.51,217000,16.51
2015-01-27,17.65,18.288,17.65,17.969999,199200,17.969999
2015-01-26,17.84,18.18,17.50,17.639999,277300,17.639999
2015-01-23,17.809999,17.809999,17.290001,17.50,335700,17.50
2015-01-22,18.219999,18.25,17.60,17.75,379300,17.75
2015-01-21,17.879999,18.24,17.709999,18.040001,371200,18.040001
2015-01-20,17.440001,18.030001,16.85,18.00,171100,18.00
2015-01-16,16.540001,17.459999,16.540001,17.389999,161700,17.389999
2015-01-15,17.25,17.389999,16.415001,16.60,182800,16.60
2015-01-14,16.98,17.50,16.92,17.280001,156800,17.280001
2015-01-13,16.91,17.24,16.32,17.120001,260400,17.120001
2015-01-12,17.48,17.60,16.540001,16.84,298800,16.84
2015-01-09,17.01,17.84,16.959999,17.42,255600,17.42
2015-01-08,16.23,17.110001,16.08,17.07,262700,17.07
2015-01-07,15.10,16.059999,15.10,16.049999,112700,16.049999
2015-01-06,15.00,15.26,14.69,15.04,279200,15.04
2015-01-05,14.59,15.17,14.59,14.91,190400,14.91
2015-01-02,14.97,15.46,14.63,14.70,134000,14.70
2014-12-31,15.43,15.604,14.88,14.92,198400,14.92
2014-12-30,15.10,15.39,15.09,15.09,186900,15.09
2014-12-29,15.07,15.24,14.91,15.09,181400,15.09
2014-12-26,14.94,15.24,14.79,14.96,197500,14.96
2014-12-24,14.68,15.00,14.47,14.84,120900,14.84
2014-12-23,14.88,14.99,14.10,14.64,180100,14.64
2014-12-22,14.05,14.85,14.05,14.85,244200,14.85
2014-12-19,13.37,14.79,13.37,14.03,1788100,14.03
2014-12-18,13.68,13.84,13.32,13.37,397600,13.37
2014-12-17,13.48,13.70,13.11,13.33,450100,13.33
2014-12-16,13.57,13.97,13.42,13.48,360800,13.48
2014-12-15,14.09,14.28,13.53,13.61,585300,13.61
2014-12-12,13.79,14.21,13.76,13.91,337000,13.91
2014-12-11,13.87,14.52,13.80,14.01,728000,14.01
2014-12-10,14.08,14.18,13.70,13.80,500800,13.80
2014-12-09,14.04,14.33,14.04,14.19,469200,14.19
2014-12-08,14.14,14.41,13.96,14.06,358400,14.06
2014-12-05,14.19,14.50,14.06,14.11,338900,14.11
2014-12-04,14.27,14.77,14.02,14.06,282400,14.06
