Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,25.82,25.90,25.73,25.85,154400,25.85
2015-08-06,26.040001,26.040001,25.77,25.91,99900,25.91
2015-08-05,25.91,26.16,25.91,26.02,260700,26.02
2015-08-04,25.950001,25.950001,25.68,25.799999,348000,25.799999
2015-08-03,26.049999,26.09,25.84,25.92,72300,25.92
2015-07-31,26.10,26.15,26.030001,26.08,105600,26.08
2015-07-30,25.959999,26.09,25.889999,26.07,54300,26.07
2015-07-29,25.780001,26.01,25.719999,25.969999,52300,25.969999
2015-07-28,25.60,25.85,25.450001,25.780001,131100,25.780001
2015-07-27,25.59,25.709999,25.450001,25.549999,133700,25.549999
2015-07-24,25.950001,25.959999,25.68,25.690001,81700,25.690001
2015-07-23,25.860001,26.10,25.860001,25.90,193800,25.90
2015-07-22,25.959999,25.959999,25.76,25.83,130700,25.83
2015-07-21,26.360001,26.43,26.190001,26.27,124600,26.27
2015-07-20,26.549999,26.57,26.459999,26.49,103600,26.49
2015-07-17,26.559999,26.559999,26.42,26.52,311100,26.52
2015-07-16,26.610001,26.629999,26.450001,26.58,73700,26.58
2015-07-15,26.379999,26.50,26.34,26.40,72900,26.40
2015-07-14,26.34,26.48,26.33,26.42,106000,26.42
2015-07-13,26.16,26.41,26.16,26.370001,160900,26.370001
2015-07-10,25.99,26.17,25.950001,26.059999,49200,26.059999
2015-07-09,26.10,26.24,25.719999,25.719999,224300,25.719999
2015-07-08,26.049999,26.129999,25.82,25.860001,668500,25.860001
2015-07-07,26.280001,26.32,25.809999,26.27,240200,26.27
2015-07-06,26.24,26.41,26.17,26.26,121500,26.26
2015-07-02,26.48,26.60,26.450001,26.48,104300,26.48
2015-07-01,26.629999,26.629999,26.34,26.43,1082000,26.43
2015-06-30,26.58,26.58,26.26,26.40,820100,26.40
2015-06-29,26.559999,26.780001,26.360001,26.360001,124900,26.360001
2015-06-26,27.10,27.17,26.84,26.940001,88700,26.940001
2015-06-25,27.35,27.41,27.190001,27.219999,82400,27.219999
2015-06-24,27.48,27.50,27.32,27.34,105700,27.34
2015-06-23,27.83,27.83,27.639999,27.690001,151300,27.524001
2015-06-22,27.68,27.809999,27.68,27.74,49300,27.573701
2015-06-19,27.85,27.85,27.530001,27.59,86700,27.4246
2015-06-18,27.52,27.860001,27.52,27.860001,74100,27.692982
2015-06-17,27.60,27.67,27.43,27.60,56000,27.434541
2015-06-16,27.26,27.52,27.26,27.51,63900,27.34508
2015-06-15,27.18,27.35,27.120001,27.35,57500,27.186039
2015-06-12,27.610001,27.610001,27.42,27.459999,54400,27.295379
2015-06-11,27.82,27.84,27.67,27.68,93100,27.514061
2015-06-10,27.370001,27.75,27.370001,27.719999,124000,27.55382
2015-06-09,27.27,27.370001,27.129999,27.309999,92800,27.146278
2015-06-08,27.540001,27.610001,27.280001,27.309999,83400,27.146278
2015-06-05,27.690001,27.74,27.52,27.65,74200,27.48424
2015-06-04,27.950001,28.049999,27.68,27.73,96600,27.563761
2015-06-03,28.200001,28.25,28.049999,28.049999,68800,27.881842
2015-06-02,28.049999,28.17,27.92,28.049999,35800,27.881842
2015-06-01,28.209999,28.24,28.02,28.15,38800,27.981243
2015-05-29,28.370001,28.370001,28.120001,28.16,59100,27.991183
2015-05-28,28.26,28.360001,28.219999,28.34,49800,28.170104
2015-05-27,27.90,28.370001,27.90,28.33,58900,28.160164
2015-05-26,28.030001,28.08,27.709999,27.85,100900,27.683042
2015-05-22,28.280001,28.280001,28.18,28.209999,70500,28.040883
2015-05-21,28.09,28.34,28.09,28.309999,55600,28.140283
2015-05-20,28.26,28.33,28.110001,28.219999,268700,28.050823
2015-05-19,28.40,28.40,28.120001,28.190001,53300,28.021004
2015-05-18,28.209999,28.35,28.200001,28.34,91000,28.170104
2015-05-15,28.35,28.35,28.190001,28.309999,60800,28.140283
2015-05-14,28.17,28.280001,28.139999,28.27,67900,28.100524
2015-05-13,27.959999,28.07,27.90,27.940001,38200,27.772503
2015-05-12,27.83,27.91,27.60,27.82,125400,27.653221
2015-05-11,28.00,28.08,27.93,27.98,49200,27.812262
2015-05-08,27.889999,28.10,27.889999,28.09,71300,27.921603
2015-05-07,27.58,27.85,27.58,27.719999,72400,27.55382
2015-05-06,27.959999,27.959999,27.49,27.67,74600,27.504121
2015-05-05,28.27,28.27,27.809999,27.860001,244200,27.692982
2015-05-04,28.299999,28.40,28.290001,28.299999,61900,28.130343
2015-05-01,28.01,28.299999,28.01,28.26,99400,28.090584
2015-04-30,28.15,28.15,27.83,27.98,125400,27.812262
2015-04-29,28.200001,28.33,28.08,28.24,88400,28.070703
2015-04-28,28.190001,28.43,28.040001,28.42,88500,28.249625
2015-04-27,28.120001,28.24,28.120001,28.17,121700,28.001123
2015-04-24,28.17,28.17,27.99,28.110001,109600,27.941484
2015-04-23,27.73,28.059999,27.73,27.99,122600,27.822202
2015-04-22,27.870001,27.950001,27.65,27.940001,109100,27.772503
2015-04-21,27.91,27.91,27.709999,27.74,162900,27.573701
2015-04-20,27.48,27.77,27.42,27.75,71200,27.583641
2015-04-17,27.540001,27.540001,27.219999,27.34,150000,27.176099
2015-04-16,27.639999,27.73,27.57,27.67,94500,27.504121
2015-04-15,27.48,27.809999,27.48,27.709999,140800,27.54388
2015-04-14,27.42,27.48,27.280001,27.35,89000,27.186039
2015-04-13,27.59,27.639999,27.43,27.43,90000,27.26556
2015-04-10,27.370001,27.540001,27.32,27.540001,93200,27.374901
2015-04-09,27.08,27.379999,27.08,27.360001,76100,27.19598
2015-04-08,27.08,27.299999,27.08,27.190001,67600,27.026999
2015-04-07,27.10,27.34,27.10,27.129999,91400,26.967357
2015-04-06,26.83,27.219999,26.790001,27.15,75100,26.987238
2015-04-02,26.85,27.049999,26.85,26.889999,1199800,26.728796
2015-04-01,26.92,26.92,26.65,26.84,446000,26.679097
2015-03-31,27.059999,27.059999,26.879999,26.93,155100,26.768557
2015-03-30,27.00,27.15,27.00,27.129999,127800,26.967357
2015-03-27,26.74,26.93,26.540001,26.860001,85700,26.698977
2015-03-26,26.540001,26.82,26.41,26.700001,151600,26.539937
2015-03-25,27.43,27.43,26.73,26.780001,191700,26.619457
2015-03-24,27.809999,27.809999,27.540001,27.549999,144000,27.384839
2015-03-23,27.67,27.879999,27.67,27.719999,141400,27.55382
2015-03-20,27.540001,27.85,27.540001,27.73,113000,27.563761
2015-03-19,27.559999,27.639999,27.450001,27.459999,90100,27.295379
2015-03-18,27.200001,27.690001,27.049999,27.60,124900,27.434541
2015-03-17,27.139999,27.24,27.040001,27.190001,128600,27.026999
2015-03-16,27.02,27.23,26.99,27.23,98500,27.066758
2015-03-13,27.02,27.02,26.66,26.889999,113900,26.728796
2015-03-12,26.77,27.07,26.76,27.02,167600,26.858018
2015-03-11,27.16,27.23,26.959999,27.040001,129300,26.877898
2015-03-10,27.48,27.57,27.129999,27.129999,210000,26.967357
2015-03-09,27.74,27.790001,27.59,27.68,201200,27.514061
2015-03-06,27.959999,27.959999,27.559999,27.639999,116800,27.4743
2015-03-05,28.16,28.16,27.90,28.01,193500,27.842083
2015-03-04,28.07,28.08,27.889999,28.040001,163200,27.871903
2015-03-03,28.440001,28.440001,28.129999,28.200001,168100,28.030944
