Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,4.96,4.97,4.95,4.95,202100,4.95
2015-08-06,4.96,4.98,4.96,4.98,811600,4.98
2015-08-05,5.00,5.04,4.95,4.97,2603300,4.97
2015-08-04,2.02,2.02,1.92,1.96,5400,1.96
2015-08-03,1.96,2.00,1.93,2.00,7600,2.00
2015-07-31,2.04,2.04,1.95,2.01,5100,2.01
2015-07-30,2.04,2.04,1.99,2.01,12300,2.01
2015-07-29,2.00,2.03,2.00,2.00,9200,2.00
2015-07-28,2.04,2.04,1.98,1.98,4900,1.98
2015-07-27,2.03,2.05,1.97,1.99,24200,1.99
2015-07-24,2.17,2.17,2.00,2.03,15500,2.03
2015-07-23,2.05,2.13,2.04,2.05,5900,2.05
2015-07-22,2.03,2.13,2.03,2.07,2900,2.07
2015-07-21,2.04,2.34,2.04,2.17,26200,2.17
2015-07-20,2.01,2.14,2.01,2.09,23600,2.09
2015-07-17,2.10,2.24,2.10,2.18,6600,2.18
2015-07-16,2.31,2.34,2.06,2.14,23100,2.14
2015-07-15,2.37,2.38,2.19,2.32,3500,2.32
2015-07-14,2.28,2.37,2.28,2.36,13200,2.36
2015-07-13,2.12,2.27,2.11,2.27,2400,2.27
2015-07-10,2.28,2.30,2.14,2.27,17700,2.27
2015-07-09,2.29,2.33,2.25,2.25,3000,2.25
2015-07-08,2.21,2.37,2.20,2.25,9500,2.25
2015-07-07,2.20,2.29,2.20,2.24,12200,2.24
2015-07-06,2.37,2.37,2.14,2.26,8200,2.26
2015-07-02,2.25,2.50,1.95,2.43,67900,2.43
2015-07-01,2.50,2.55,2.43,2.45,7800,2.45
2015-06-30,2.60,2.64,2.40,2.47,140600,2.47
2015-06-29,2.72,2.72,2.66,2.66,1500,2.66
2015-06-26,2.72,2.83,2.68,2.83,12700,2.83
2015-06-25,2.69,2.73,2.69,2.73,2300,2.73
2015-06-24,2.69,2.73,2.64,2.72,5500,2.72
