Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,9.00,9.00,8.66,8.76,489500,8.76
2015-08-06,9.00,9.12,8.31,8.91,522500,8.91
2015-08-05,9.30,9.61,9.15,9.26,213300,9.26
2015-08-04,9.53,9.76,9.23,9.27,209800,9.27
2015-08-03,9.54,9.97,9.29,9.36,240700,9.36
2015-07-31,9.64,10.00,9.43,9.60,266700,9.60
2015-07-30,9.57,9.86,9.55,9.73,301800,9.73
2015-07-29,9.40,9.94,9.40,9.71,200900,9.71
2015-07-28,9.26,9.51,9.10,9.47,264200,9.47
2015-07-27,9.11,9.30,9.07,9.16,316200,9.16
2015-07-24,9.30,9.33,9.10,9.22,331300,9.22
2015-07-23,9.21,9.40,9.03,9.29,278700,9.29
2015-07-22,9.38,9.43,9.20,9.25,226900,9.25
2015-07-21,9.52,9.77,9.43,9.47,273400,9.47
2015-07-20,9.61,9.68,9.43,9.52,474700,9.52
2015-07-17,9.68,9.74,9.52,9.62,373400,9.62
2015-07-16,9.90,10.00,9.64,9.71,217500,9.71
2015-07-15,10.12,10.15,9.73,9.79,335500,9.79
2015-07-14,10.06,10.38,10.01,10.26,214600,10.26
2015-07-13,10.00,10.17,9.99,10.02,287500,10.02
2015-07-10,10.21,10.28,9.97,10.02,286000,10.02
2015-07-09,10.21,10.21,9.95,10.01,377900,10.01
2015-07-08,10.22,10.35,9.93,10.00,910900,10.00
2015-07-07,10.05,10.33,9.90,10.31,326100,10.31
2015-07-06,10.00,10.22,9.89,10.10,625300,10.10
2015-07-02,10.30,10.46,10.14,10.19,399300,10.19
2015-07-01,10.96,10.96,10.23,10.30,618900,10.30
2015-06-30,11.15,11.15,10.86,10.90,490700,10.90
2015-06-29,11.21,11.46,10.92,10.93,353600,10.93
2015-06-26,11.41,11.51,11.23,11.40,772100,11.40
2015-06-25,11.82,11.87,11.41,11.45,403600,11.45
2015-06-24,11.79,11.84,11.59,11.73,289100,11.73
2015-06-23,11.44,11.80,11.41,11.76,321400,11.76
2015-06-22,11.43,11.49,11.31,11.34,276000,11.34
2015-06-19,11.42,11.65,11.30,11.36,728900,11.36
2015-06-18,11.44,11.48,11.18,11.38,364200,11.38
2015-06-17,11.65,11.77,11.34,11.46,252400,11.46
2015-06-16,11.68,11.80,11.47,11.58,187700,11.58
2015-06-15,11.82,11.98,11.66,11.73,200300,11.73
2015-06-12,11.93,12.07,11.79,11.94,203300,11.94
2015-06-11,12.28,12.29,11.79,12.04,141400,12.04
2015-06-10,12.04,12.38,12.04,12.32,164800,12.32
2015-06-09,11.92,12.22,11.73,11.82,214800,11.82
2015-06-08,11.88,12.00,11.74,11.80,129200,11.80
2015-06-05,11.50,12.02,11.29,11.87,149100,11.87
2015-06-04,12.05,12.06,11.47,11.52,362900,11.52
2015-06-03,12.20,12.48,12.09,12.20,153500,12.20
2015-06-02,11.85,12.47,11.81,12.18,202800,12.18
2015-06-01,12.02,12.02,11.65,11.83,197400,11.83
2015-05-29,12.03,12.17,11.85,12.02,380300,12.02
2015-05-28,11.99,12.09,11.89,12.06,255500,12.06
2015-05-27,11.85,12.15,11.75,12.14,294500,12.14
2015-05-26,12.21,12.32,11.81,11.89,403200,11.84
2015-05-22,12.42,12.75,12.21,12.31,177700,12.258234
2015-05-21,12.16,12.80,12.16,12.57,363600,12.51714
2015-05-20,11.92,12.13,11.83,12.09,445200,12.039159
2015-05-19,12.12,12.23,11.91,11.92,479100,11.869874
2015-05-18,12.47,12.47,12.18,12.29,465200,12.238318
2015-05-15,12.29,12.53,12.28,12.51,321600,12.457393
2015-05-14,12.32,12.47,12.27,12.32,254400,12.268191
2015-05-13,12.36,12.50,12.21,12.25,172000,12.198486
2015-05-12,12.25,12.54,12.10,12.47,271900,12.417561
2015-05-11,12.24,12.46,11.98,12.34,402500,12.288108
2015-05-08,11.66,12.14,11.60,12.08,333500,12.029201
2015-05-07,12.26,12.32,11.70,11.80,394700,11.750379
2015-05-06,12.47,12.62,12.22,12.33,184600,12.278149
2015-05-05,12.70,12.80,12.35,12.38,231900,12.327939
2015-05-04,12.71,12.80,12.50,12.55,167100,12.497225
2015-05-01,12.86,13.02,12.47,12.69,163100,12.636635
2015-04-30,12.95,13.03,12.35,12.86,319600,12.80592
2015-04-29,12.79,13.28,12.62,12.97,153900,12.915458
2015-04-28,12.55,12.90,12.53,12.84,209800,12.786005
2015-04-27,12.65,12.94,12.48,12.58,138700,12.527098
2015-04-24,12.77,12.90,12.50,12.59,298300,12.537056
2015-04-23,12.55,12.99,12.55,12.83,303300,12.776047
2015-04-22,12.36,12.54,12.15,12.48,455600,12.427518
2015-04-21,12.70,12.70,12.21,12.39,494700,12.337898
2015-04-20,12.34,13.01,12.32,12.70,547800,12.646593
2015-04-17,12.51,12.58,12.24,12.32,772700,12.268191
2015-04-16,11.65,12.89,11.65,12.62,806600,12.56693
2015-04-15,11.35,11.93,11.25,11.65,2110600,11.601009
2015-04-14,11.96,12.07,11.85,11.88,285200,11.830042
