Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,17.10,17.309999,17.02,17.26,292900,17.26
2015-08-06,17.299999,17.379999,16.99,17.07,313300,17.07
2015-08-05,16.940001,17.360001,16.940001,17.25,331700,17.25
2015-08-04,17.00,17.059999,16.91,16.99,373500,16.99
2015-08-03,16.90,16.99,16.25,16.959999,359900,16.959999
2015-07-31,15.63,16.950001,15.58,16.860001,443400,16.860001
2015-07-30,16.58,16.92,16.559999,16.90,250800,16.90
2015-07-29,16.58,16.77,16.50,16.68,204400,16.68
2015-07-28,16.540001,16.620001,16.42,16.559999,167400,16.559999
2015-07-27,16.49,16.59,16.379999,16.50,262200,16.50
2015-07-24,16.629999,16.799999,16.469999,16.59,185900,16.59
2015-07-23,16.799999,16.889999,16.620001,16.65,209800,16.65
2015-07-22,16.549999,16.92,16.549999,16.83,242100,16.83
2015-07-21,16.629999,16.799999,16.50,16.610001,202000,16.610001
2015-07-20,16.440001,16.67,16.43,16.66,234200,16.66
2015-07-17,16.57,16.57,16.389999,16.450001,268100,16.450001
2015-07-16,16.68,16.73,16.50,16.530001,407300,16.530001
2015-07-15,16.629999,16.74,16.49,16.620001,209400,16.620001
2015-07-14,16.49,16.690001,16.49,16.639999,270600,16.639999
2015-07-13,16.50,16.549999,16.379999,16.51,289500,16.51
2015-07-10,16.620001,16.780001,16.280001,16.48,494000,16.48
2015-07-09,16.450001,16.780001,16.450001,16.67,322800,16.67
2015-07-08,16.66,16.83,16.280001,16.40,639900,16.40
2015-07-07,16.879999,16.93,16.690001,16.709999,419000,16.709999
2015-07-06,16.77,16.940001,16.73,16.91,309600,16.91
2015-07-02,16.91,16.969999,16.76,16.879999,415000,16.879999
2015-07-01,16.879999,17.07,16.85,16.950001,430900,16.950001
2015-06-30,16.870001,17.16,16.809999,16.82,404700,16.82
2015-06-29,16.860001,16.959999,16.66,16.83,468100,16.83
2015-06-26,16.73,16.98,16.629999,16.98,1016800,16.98
2015-06-25,16.370001,16.76,16.17,16.66,549500,16.66
2015-06-24,16.110001,16.48,15.96,16.370001,598700,16.370001
2015-06-23,15.86,16.110001,15.72,16.110001,234700,16.110001
2015-06-22,15.85,15.93,15.66,15.89,183500,15.89
2015-06-19,15.57,15.81,15.44,15.75,449500,15.75
2015-06-18,15.54,15.58,15.46,15.51,461200,15.51
2015-06-17,15.62,15.69,15.46,15.49,238200,15.49
2015-06-16,15.55,15.66,15.43,15.61,190800,15.61
2015-06-15,15.48,15.61,15.30,15.57,202300,15.57
2015-06-12,15.43,15.58,15.35,15.56,190900,15.56
2015-06-11,15.24,15.49,15.13,15.46,254800,15.46
2015-06-10,15.19,15.43,15.19,15.28,298400,15.28
2015-06-09,15.19,15.26,15.14,15.19,245400,15.12
2015-06-08,15.09,15.25,15.09,15.23,200700,15.159816
2015-06-05,15.17,15.19,15.03,15.14,378500,15.070231
2015-06-04,14.94,14.99,14.88,14.96,154900,14.89106
2015-06-03,14.91,15.06,14.83,15.03,183200,14.960737
