Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,26.209999,26.549999,25.700001,25.77,369500,25.77
2015-08-06,26.58,26.620001,26.209999,26.34,322100,26.34
2015-08-05,26.48,26.629999,26.200001,26.450001,312400,26.450001
2015-08-04,26.09,26.51,25.83,26.43,473800,26.43
2015-08-03,25.860001,26.16,25.690001,26.059999,426000,26.059999
2015-07-31,25.93,26.26,25.74,25.969999,556700,25.969999
2015-07-30,24.549999,27.17,24.40,25.85,1536800,25.85
2015-07-29,24.00,24.530001,23.799999,24.32,430800,24.32
2015-07-28,23.610001,24.07,23.43,24.00,391900,24.00
2015-07-27,23.389999,23.639999,23.280001,23.540001,294200,23.540001
2015-07-24,23.879999,24.02,23.42,23.66,354600,23.66
2015-07-23,24.440001,24.469999,23.940001,23.98,398100,23.98
2015-07-22,24.209999,24.459999,24.17,24.33,259900,24.33
2015-07-21,24.299999,24.34,23.950001,24.190001,280200,24.190001
2015-07-20,24.26,24.33,24.01,24.26,225300,24.26
2015-07-17,24.799999,24.82,24.17,24.25,476400,24.25
2015-07-16,25.049999,25.17,24.780001,24.790001,241400,24.790001
2015-07-15,24.93,24.99,24.73,24.93,319300,24.93
2015-07-14,24.709999,25.110001,24.57,25.01,261100,25.01
2015-07-13,24.799999,24.91,24.440001,24.790001,268000,24.790001
2015-07-10,24.16,24.57,24.01,24.530001,587700,24.530001
2015-07-09,24.25,24.35,23.82,23.98,635000,23.98
2015-07-08,24.33,24.48,23.879999,24.040001,698900,24.040001
2015-07-07,24.889999,24.889999,24.110001,24.469999,558200,24.469999
2015-07-06,24.540001,24.83,24.290001,24.809999,333300,24.809999
2015-07-02,25.129999,25.129999,24.66,24.75,280800,24.75
2015-07-01,25.309999,25.59,24.719999,24.98,585700,24.98
2015-06-30,25.23,25.23,24.959999,25.049999,381800,25.049999
2015-06-29,25.09,25.26,24.91,24.99,661400,24.99
2015-06-26,24.90,25.290001,24.77,25.17,696900,25.17
2015-06-25,25.24,25.24,24.67,24.91,462800,24.91
2015-06-24,24.889999,25.120001,24.700001,25.07,635900,25.07
2015-06-23,25.01,25.18,24.52,24.879999,491700,24.879999
2015-06-22,24.73,25.030001,24.639999,25.00,537400,25.00
2015-06-19,24.40,24.709999,24.209999,24.65,687900,24.65
2015-06-18,24.309999,24.58,24.09,24.40,744200,24.40
2015-06-17,23.280001,24.469999,23.219999,24.27,1577100,24.27
2015-06-16,22.66,23.24,22.639999,23.120001,957700,23.120001
2015-06-15,22.84,22.84,22.280001,22.639999,400800,22.639999
2015-06-12,22.559999,22.950001,22.50,22.940001,417100,22.940001
2015-06-11,22.540001,22.76,22.290001,22.620001,258200,22.620001
2015-06-10,22.16,22.83,22.16,22.57,489200,22.57
2015-06-09,22.02,22.290001,21.82,22.059999,515000,22.059999
2015-06-08,21.85,22.08,21.84,21.99,372300,21.99
2015-06-05,21.99,22.10,21.68,21.940001,268600,21.940001
2015-06-04,22.00,22.25,21.91,22.01,434500,22.01
2015-06-03,21.74,22.25,21.67,22.110001,530200,22.110001
2015-06-02,21.780001,21.969999,21.610001,21.77,568400,21.77
2015-06-01,21.780001,22.030001,21.60,21.82,447600,21.82
2015-05-29,21.860001,21.959999,21.469999,21.530001,341900,21.530001
2015-05-28,21.73,21.98,21.60,21.84,246400,21.84
2015-05-27,21.76,22.00,21.620001,21.85,511500,21.85
2015-05-26,21.91,22.00,21.65,21.690001,481200,21.690001
2015-05-22,22.40,22.540001,21.959999,22.01,244200,22.01
2015-05-21,22.43,22.540001,22.389999,22.42,308200,22.42
2015-05-20,22.370001,22.59,22.23,22.48,243900,22.48
2015-05-19,22.389999,22.50,22.16,22.360001,484200,22.360001
2015-05-18,22.17,22.43,22.120001,22.299999,327400,22.299999
2015-05-15,22.530001,22.610001,22.10,22.16,256100,22.16
2015-05-14,22.01,22.50,21.879999,22.49,405400,22.49
2015-05-13,22.16,22.219999,21.83,21.99,397700,21.99
2015-05-12,22.51,22.57,22.139999,22.200001,695400,22.160001
2015-05-11,22.200001,22.76,22.110001,22.65,867600,22.609189
2015-05-08,22.26,22.50,22.08,22.23,490800,22.189946
2015-05-07,21.780001,22.18,21.67,22.110001,460800,22.070163
2015-05-06,21.889999,22.00,21.549999,21.91,1234000,21.870523
2015-05-05,21.90,22.15,21.690001,21.780001,607500,21.740758
