Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,16.719999,16.940001,16.57,16.700001,134700,16.700001
2015-08-06,16.93,17.00,16.65,16.75,197500,16.75
2015-08-05,16.76,17.02,16.75,16.969999,202600,16.96
2015-08-04,16.57,16.77,16.52,16.709999,190200,16.700153
2015-08-03,16.370001,16.75,16.299999,16.75,231500,16.74013
2015-07-31,16.58,16.77,16.18,16.299999,343900,16.290394
2015-07-30,17.01,17.360001,16.549999,16.92,332400,16.91003
2015-07-29,17.07,17.26,16.84,17.18,283500,17.169877
2015-07-28,17.129999,17.200001,16.809999,17.08,160200,17.069936
2015-07-27,17.00,17.10,16.84,17.059999,187900,17.049947
2015-07-24,17.280001,17.32,16.98,17.030001,249300,17.019966
2015-07-23,17.790001,17.93,17.360001,17.360001,153100,17.349771
2015-07-22,17.52,17.82,17.52,17.709999,120500,17.699563
2015-07-21,17.549999,17.809999,17.50,17.559999,135500,17.549652
2015-07-20,17.57,17.65,17.440001,17.530001,254600,17.519671
2015-07-17,17.799999,17.85,17.459999,17.559999,186700,17.549652
2015-07-16,18.02,18.16,17.780001,17.84,489200,17.829488
2015-07-15,17.93,18.15,17.870001,17.940001,332200,17.929429
2015-07-14,17.709999,18.01,17.59,17.959999,298100,17.949416
2015-07-13,17.629999,17.93,17.629999,17.75,434300,17.739541
2015-07-10,17.290001,17.58,17.120001,17.549999,563200,17.539658
2015-07-09,17.110001,17.26,17.01,17.15,495200,17.139894
2015-07-08,16.66,17.059999,16.639999,16.91,468600,16.900036
2015-07-07,17.030001,17.10,16.66,16.82,431400,16.810088
2015-07-06,16.66,17.120001,16.51,17.059999,381300,17.049947
2015-07-02,17.059999,17.059999,16.700001,16.790001,308400,16.780107
2015-07-01,16.90,17.049999,16.67,17.049999,463800,17.039952
2015-06-30,16.969999,16.99,16.709999,16.75,393400,16.74013
2015-06-29,16.91,17.030001,16.60,16.83,395400,16.820083
2015-06-26,17.15,17.18,16.889999,16.959999,5111700,16.950005
2015-06-25,17.190001,17.24,17.01,17.10,779000,17.089924
2015-06-24,17.17,17.389999,17.059999,17.110001,459200,17.099919
2015-06-23,16.99,17.25,16.950001,17.18,817500,17.169877
2015-06-22,16.84,17.01,16.84,17.00,324800,16.989983
2015-06-19,16.790001,16.969999,16.74,16.780001,866900,16.770113
2015-06-18,16.629999,16.860001,16.60,16.809999,310800,16.800094
2015-06-17,16.90,16.950001,16.610001,16.66,324400,16.650183
2015-06-16,16.92,16.98,16.74,16.84,456100,16.830077
2015-06-15,16.91,17.040001,16.790001,16.93,276300,16.920024
2015-06-12,17.030001,17.059999,16.879999,17.02,277800,17.009971
2015-06-11,16.889999,17.08,16.809999,17.02,430500,17.009971
2015-06-10,16.68,16.950001,16.68,16.90,614900,16.890041
2015-06-09,16.51,16.719999,16.389999,16.620001,374000,16.610207
2015-06-08,16.40,16.629999,16.370001,16.559999,394500,16.550241
2015-06-05,16.360001,16.52,16.24,16.440001,638000,16.430313
2015-06-04,16.219999,16.299999,16.059999,16.290001,262600,16.280402
2015-06-03,16.00,16.440001,16.00,16.280001,373000,16.270408
2015-06-02,15.88,16.00,15.85,15.97,331900,15.96059
2015-06-01,15.89,16.01,15.64,15.94,252200,15.930607
2015-05-29,16.07,16.07,15.81,15.89,334300,15.880637
