Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,6.17,6.22,6.12,6.17,745900,6.17
2015-08-06,6.23,6.25,6.17,6.21,281000,6.21
2015-08-05,6.26,6.26,6.19,6.22,308300,6.22
2015-08-04,6.22,6.27,6.19,6.23,416900,6.23
2015-08-03,6.21,6.27,6.16,6.19,519400,6.19
2015-07-31,6.28,6.32,6.19,6.23,398700,6.23
2015-07-30,6.19,6.27,6.18,6.27,437400,6.27
2015-07-29,6.18,6.25,6.15,6.24,333600,6.24
2015-07-28,6.23,6.23,6.16,6.18,591500,6.18
2015-07-27,6.18,6.24,6.15,6.18,350200,6.18
2015-07-24,6.38,6.39,6.15,6.19,913000,6.19
2015-07-23,6.67,6.67,6.38,6.41,1447000,6.41
2015-07-22,7.00,7.08,6.79,6.81,433500,6.81
2015-07-21,7.03,7.11,7.00,7.02,136100,7.02
2015-07-20,7.09,7.10,7.01,7.04,159600,7.04
2015-07-17,7.12,7.12,7.01,7.06,119800,7.06
2015-07-16,7.08,7.13,7.06,7.10,448400,7.10
2015-07-15,7.11,7.13,7.03,7.06,385600,7.06
2015-07-14,7.04,7.14,7.03,7.09,141400,7.09
2015-07-13,7.03,7.11,7.03,7.09,113800,7.09
2015-07-10,6.99,7.05,6.99,7.04,213100,7.04
2015-07-09,6.98,7.00,6.88,6.93,350200,6.93
2015-07-08,6.88,6.96,6.86,6.92,183900,6.92
2015-07-07,7.00,7.00,6.87,6.92,193600,6.92
2015-07-06,6.90,7.02,6.90,7.01,200900,7.01
2015-07-02,7.20,7.20,6.96,7.00,174700,7.00
2015-07-01,7.15,7.17,7.08,7.17,191300,7.17
2015-06-30,7.08,7.13,7.00,7.03,181600,7.03
2015-06-29,7.09,7.16,7.01,7.03,299400,7.03
2015-06-26,7.17,7.19,7.10,7.18,501700,7.18
2015-06-25,7.16,7.16,7.03,7.13,154500,7.13
2015-06-24,7.07,7.16,7.03,7.10,107400,7.10
2015-06-23,7.04,7.17,7.04,7.12,190400,7.12
2015-06-22,7.04,7.10,7.00,7.05,182600,7.05
2015-06-19,6.93,7.04,6.93,7.02,469700,7.02
2015-06-18,6.86,6.98,6.84,6.96,210500,6.96
2015-06-17,6.93,6.95,6.85,6.86,103900,6.86
2015-06-16,6.84,6.96,6.84,6.93,115800,6.93
