Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,10.94,10.99,10.59,10.59,3600,10.59
2015-08-06,10.95,10.95,10.92,10.92,1400,10.92
2015-08-05,10.85,10.85,10.83,10.85,1500,10.85
2015-08-04,10.82,10.82,10.82,10.82,200,10.82
2015-08-03,10.81,10.81,10.79,10.81,4300,10.81
2015-07-31,10.52,10.79,10.52,10.70,6000,10.70
2015-07-30,10.50,10.77,10.50,10.55,8500,10.55
2015-07-29,10.25,10.50,10.25,10.50,17300,10.50
2015-07-28,10.27,10.27,9.87,9.91,1400,9.91
2015-07-27,10.23,10.27,10.23,10.27,600,10.27
2015-07-24,10.21,10.25,10.21,10.23,1800,10.23
2015-07-23,10.35,10.35,10.35,10.35,1000,10.35
2015-07-22,10.40,10.40,10.36,10.36,800,10.36
2015-07-21,10.22,10.23,10.21,10.22,1900,10.22
2015-07-20,10.31,10.31,10.16,10.21,1700,10.21
2015-07-17,10.40,10.40,10.31,10.32,1000,10.32
2015-07-16,10.33,10.33,10.33,10.33,500,10.33
2015-07-15,10.32,10.32,10.32,10.32,000,10.32
2015-07-14,10.50,10.50,10.32,10.32,1400,10.32
2015-07-13,10.22,10.37,10.22,10.33,4400,10.33
2015-07-10,10.45,10.45,10.45,10.45,700,10.45
2015-07-09,10.38,10.48,10.29,10.48,1700,10.48
2015-07-08,10.29,10.29,10.29,10.29,300,10.29
2015-07-07,10.50,10.50,10.27,10.27,300,10.27
2015-07-06,10.40,10.40,10.40,10.40,000,10.40
2015-07-02,10.29,10.47,10.29,10.40,900,10.40
2015-07-01,10.27,10.50,10.27,10.29,3000,10.29
2015-06-30,9.92,10.37,9.92,10.02,4300,10.02
2015-06-29,10.30,10.35,10.14,10.22,1400,10.22
2015-06-26,10.34,10.34,10.34,10.34,000,10.34
2015-06-25,10.37,10.37,10.30,10.34,3900,10.34
2015-06-24,10.15,10.31,10.12,10.30,59800,10.30
2015-06-23,10.17,10.18,10.13,10.13,4700,10.13
2015-06-22,10.17,10.25,10.14,10.16,11400,10.16
2015-06-19,10.27,10.35,10.10,10.27,13600,10.27
2015-06-18,10.41,10.49,10.03,10.30,10300,10.30
2015-06-17,10.68,10.68,10.25,10.47,6000,10.47
2015-06-16,10.49,10.55,10.49,10.55,6200,10.55
2015-06-15,10.48,10.48,10.48,10.48,000,10.48
2015-06-12,10.55,10.55,10.30,10.48,900,10.48
2015-06-11,10.58,10.58,10.32,10.32,1200,10.32
2015-06-10,10.60,10.63,10.45,10.45,19200,10.45
2015-06-09,10.10,10.43,10.10,10.29,10200,10.29
2015-06-08,10.53,10.65,10.47,10.63,7500,10.63
2015-06-05,10.39,10.41,10.30,10.41,10900,10.41
2015-06-04,10.10,10.50,10.08,10.44,4500,10.44
2015-06-03,10.42,10.42,9.82,9.82,4000,9.82
2015-06-02,10.51,10.56,10.27,10.54,1200,10.54
2015-06-01,10.38,10.57,10.38,10.57,1700,10.57
2015-05-29,10.21,10.34,10.21,10.34,900,10.34
2015-05-28,10.21,10.56,10.05,10.53,8000,10.53
2015-05-27,10.10,10.30,10.10,10.10,1400,10.10
2015-05-26,10.20,10.20,10.01,10.18,12600,10.18
2015-05-22,9.99,10.08,9.28,10.01,5600,10.01
2015-05-21,10.30,10.30,10.25,10.30,1900,10.30
2015-05-20,10.64,10.64,10.30,10.30,400,10.30
2015-05-19,10.61,10.69,10.61,10.68,600,10.68
2015-05-18,10.54,10.67,10.52,10.52,600,10.52
2015-05-15,10.47,10.51,10.35,10.50,3600,10.50
2015-05-14,10.56,10.67,10.47,10.47,700,10.47
2015-05-13,10.45,10.50,10.45,10.50,1000,10.50
2015-05-12,10.49,10.49,10.49,10.49,400,10.49
2015-05-11,10.53,10.69,10.52,10.57,3000,10.51
2015-05-08,10.53,10.53,10.53,10.53,000,10.470227
2015-05-07,10.47,10.53,10.45,10.53,4500,10.470227
2015-05-06,10.45,10.47,10.45,10.45,300,10.390681
2015-05-05,10.33,10.66,10.33,10.35,1300,10.291249
2015-05-04,10.38,10.69,10.31,10.66,5100,10.599489
2015-05-01,10.63,10.70,10.23,10.40,5500,10.340965
2015-04-30,10.69,10.69,10.31,10.55,2600,10.490114
2015-04-29,10.69,10.69,10.69,10.69,300,10.629318
2015-04-28,10.41,10.41,10.41,10.41,000,10.350908
2015-04-27,10.69,10.69,10.14,10.41,1600,10.350908
2015-04-24,10.67,10.67,10.67,10.67,000,10.609432
2015-04-23,10.67,10.70,10.67,10.67,900,10.609432
2015-04-22,10.78,10.78,10.69,10.69,800,10.629318
2015-04-21,10.68,10.68,10.68,10.68,300,10.619376
2015-04-20,10.77,10.77,10.77,10.77,1000,10.708865
2015-04-17,10.69,10.71,10.67,10.70,1000,10.639262
2015-04-16,10.71,10.71,10.71,10.71,000,10.649205
2015-04-15,10.71,10.71,10.70,10.71,2500,10.649205
2015-04-14,10.84,10.86,10.74,10.74,2100,10.679035
2015-04-13,10.87,10.87,10.87,10.87,000,10.808297
2015-04-10,10.68,10.87,10.68,10.87,300,10.808297
2015-04-09,10.68,10.70,10.68,10.68,1500,10.619376
2015-04-08,10.69,10.83,10.68,10.75,1900,10.688978
2015-04-07,10.69,10.72,10.69,10.71,900,10.649205
2015-04-06,10.72,10.90,10.71,10.71,1200,10.649205
2015-04-02,10.68,10.72,10.67,10.69,11600,10.629318
2015-04-01,10.71,10.71,10.71,10.71,400,10.649205
2015-03-31,10.64,10.64,10.64,10.64,000,10.579603
2015-03-30,10.64,10.64,10.64,10.64,1200,10.579603
2015-03-27,10.85,10.85,10.85,10.85,300,10.788411
2015-03-26,10.87,10.87,10.87,10.87,100,10.808297
2015-03-25,10.73,10.87,10.70,10.87,600,10.808297
2015-03-24,10.77,10.95,10.67,10.95,1100,10.887843
2015-03-23,10.64,10.64,10.64,10.64,1100,10.579603
2015-03-20,10.93,10.96,10.64,10.64,3300,10.579603
2015-03-19,10.70,10.90,10.61,10.80,9200,10.738695
2015-03-18,10.82,10.95,10.60,10.70,1200,10.639262
2015-03-17,10.72,10.73,10.70,10.73,1400,10.669091
2015-03-16,10.72,10.78,10.70,10.74,4800,10.679035
2015-03-13,10.70,10.79,10.70,10.70,1400,10.639262
