Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,4.96,5.08,4.96,5.03,49900,5.03
2015-08-06,5.11,5.13,5.00,5.01,24400,5.01
2015-08-05,5.11,5.21,5.06,5.10,35300,5.10
2015-08-04,5.08,5.14,5.01,5.07,39300,5.045
2015-08-03,5.14,5.15,5.07,5.09,84200,5.064901
2015-07-31,5.22,5.24,5.11,5.16,99200,5.134556
2015-07-30,5.20,5.29,5.13,5.19,68100,5.164408
2015-07-29,5.05,5.23,5.05,5.21,120000,5.18431
2015-07-28,5.02,5.16,4.98,5.04,69200,5.015148
2015-07-27,4.97,5.03,4.94,5.00,75800,4.975345
2015-07-24,4.99,5.05,4.95,5.01,85800,4.985296
2015-07-23,4.99,5.05,4.98,5.03,45000,5.005197
2015-07-22,4.48,5.19,3.58,5.05,110600,5.025099
2015-07-21,5.28,5.30,5.09,5.09,40500,5.064901
2015-07-20,5.32,5.39,5.28,5.29,34100,5.263915
2015-07-17,5.36,5.39,5.26,5.34,56800,5.313669
2015-07-16,5.34,5.40,5.32,5.34,30400,5.313669
2015-07-15,5.37,5.40,5.31,5.32,18900,5.293767
2015-07-14,5.23,5.44,5.22,5.39,103400,5.363422
2015-07-13,5.15,5.29,5.14,5.29,42300,5.263915
2015-07-10,5.11,5.21,5.04,5.15,85200,5.124606
2015-07-09,5.17,5.20,5.02,5.07,90600,5.045
2015-07-08,5.21,5.25,5.09,5.10,50800,5.074852
2015-07-07,5.29,5.34,5.23,5.24,73600,5.214161
2015-07-06,5.34,5.39,5.29,5.30,68600,5.273866
2015-07-02,5.40,5.42,5.26,5.39,58400,5.363422
2015-07-01,5.37,5.40,5.37,5.39,61900,5.363422
2015-06-30,5.40,5.40,5.31,5.35,59600,5.323619
2015-06-29,5.49,5.50,5.39,5.39,175200,5.363422
2015-06-26,5.45,5.54,5.43,5.51,692600,5.482831
2015-06-25,5.45,5.47,5.42,5.46,71100,5.433077
2015-06-24,5.48,5.48,5.39,5.44,70400,5.413176
2015-06-23,5.41,5.49,5.39,5.49,165200,5.462929
2015-06-22,5.43,5.47,5.41,5.45,59700,5.423126
2015-06-19,5.40,5.45,5.37,5.41,256700,5.383323
2015-06-18,5.48,5.50,5.37,5.38,136500,5.353471
2015-06-17,5.50,5.53,5.44,5.44,94000,5.413176
2015-06-16,5.35,5.51,5.31,5.51,97500,5.482831
2015-06-15,5.35,5.40,5.33,5.39,84700,5.363422
2015-06-12,5.40,5.40,5.35,5.38,70600,5.353471
2015-06-11,5.42,5.42,5.38,5.39,74200,5.363422
2015-06-10,5.37,5.45,5.37,5.41,127500,5.383323
2015-06-09,5.40,5.42,5.36,5.37,117700,5.343521
2015-06-08,5.37,5.44,5.36,5.42,81300,5.393274
2015-06-05,5.35,5.41,5.33,5.39,112600,5.363422
2015-06-04,5.34,5.41,5.34,5.39,50500,5.363422
