Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,11.86,12.90,11.86,12.58,146400,12.58
2015-08-06,12.67,12.67,11.79,11.93,268300,11.93
2015-08-05,13.52,13.52,11.68,12.62,337100,12.62
2015-08-04,13.61,13.73,13.36,13.49,99900,13.49
2015-08-03,13.87,14.07,13.38,13.66,103300,13.66
2015-07-31,14.16,14.24,13.75,13.90,182700,13.90
2015-07-30,14.06,14.24,13.92,13.99,113300,13.99
2015-07-29,14.63,14.72,14.05,14.16,193000,14.16
2015-07-28,15.02,15.02,14.45,14.65,180600,14.65
2015-07-27,15.10,15.18,14.88,14.96,73900,14.96
2015-07-24,15.95,15.95,15.27,15.32,141800,15.32
2015-07-23,15.93,16.059999,15.69,15.90,83800,15.90
2015-07-22,15.88,16.129999,15.72,15.80,83100,15.80
2015-07-21,15.46,16.139999,15.46,16.00,101400,16.00
2015-07-20,16.049999,16.32,15.44,15.56,129800,15.56
2015-07-17,16.25,16.25,15.67,16.18,146100,16.18
2015-07-16,15.62,16.200001,15.53,16.16,108400,16.16
2015-07-15,15.68,15.92,15.33,15.48,96800,15.48
2015-07-14,15.45,15.87,15.44,15.78,159800,15.78
2015-07-13,15.52,15.79,15.26,15.43,114400,15.43
2015-07-10,15.56,15.78,15.22,15.57,127600,15.57
2015-07-09,15.15,15.42,15.03,15.39,97300,15.39
2015-07-08,15.15,15.33,14.90,15.02,190400,15.02
2015-07-07,15.30,15.30,14.95,15.24,109100,15.24
2015-07-06,15.16,15.54,15.07,15.40,162500,15.40
2015-07-02,15.50,15.50,15.05,15.28,135300,15.28
2015-07-01,15.71,15.78,15.26,15.43,118300,15.43
2015-06-30,15.99,16.030001,15.51,15.67,137100,15.67
2015-06-29,15.75,16.200001,15.71,15.80,128000,15.80
2015-06-26,15.78,15.97,15.37,15.89,1626500,15.89
2015-06-25,15.58,15.83,15.20,15.79,152200,15.79
2015-06-24,15.47,15.75,15.28,15.33,167900,15.33
2015-06-23,15.52,15.98,15.06,15.56,146500,15.56
2015-06-22,15.43,16.389999,15.15,15.48,172300,15.48
2015-06-19,15.53,15.67,15.00,15.15,883600,15.15
2015-06-18,15.65,16.08,15.47,15.57,124100,15.57
2015-06-17,15.86,16.07,15.20,15.74,247400,15.74
2015-06-16,16.440001,16.629999,15.66,15.76,182200,15.76
2015-06-15,16.540001,16.75,15.25,16.48,315600,16.48
2015-06-12,16.959999,17.25,16.780001,16.870001,180500,16.870001
2015-06-11,16.709999,17.290001,16.629999,16.940001,138000,16.940001
2015-06-10,16.26,16.889999,16.26,16.639999,142900,16.639999
2015-06-09,16.66,16.870001,16.24,16.280001,67100,16.280001
2015-06-08,16.82,17.09,16.51,16.709999,131500,16.709999
2015-06-05,17.08,17.09,16.76,16.809999,74500,16.809999
2015-06-04,17.200001,17.52,16.809999,17.09,98700,17.09
2015-06-03,17.299999,17.59,17.290001,17.389999,137600,17.389999
2015-06-02,17.26,17.60,17.09,17.27,133500,17.27
2015-06-01,17.32,17.629999,17.24,17.33,99700,17.33
2015-05-29,17.360001,17.639999,17.25,17.290001,138300,17.290001
2015-05-28,16.969999,17.790001,16.969999,17.370001,107900,17.370001
2015-05-27,16.450001,17.18,16.139999,17.030001,107000,17.030001
2015-05-26,16.07,16.59,16.07,16.51,78000,16.51
2015-05-22,16.26,16.629999,16.15,16.190001,69700,16.190001
2015-05-21,16.940001,16.969999,16.27,16.34,73300,16.34
2015-05-20,16.360001,17.139999,16.200001,16.98,119200,16.98
2015-05-19,16.49,16.92,16.120001,16.34,101900,16.34
2015-05-18,16.190001,16.700001,16.120001,16.549999,115700,16.549999
2015-05-15,16.379999,16.50,16.16,16.219999,64900,16.219999
2015-05-14,16.290001,16.879999,15.97,16.299999,139600,16.299999
2015-05-13,16.08,16.299999,15.79,16.24,164000,16.24
2015-05-12,16.299999,16.389999,15.35,15.89,124600,15.89
2015-05-11,15.57,16.43,15.57,16.209999,150500,16.209999
2015-05-08,16.50,16.50,15.69,15.72,101800,15.72
2015-05-07,15.99,16.50,15.73,16.280001,123600,16.280001
2015-05-06,16.83,16.90,15.54,16.01,164600,16.01
2015-05-05,16.190001,16.27,15.75,15.88,90300,15.88
2015-05-04,15.51,16.58,15.50,16.290001,122400,16.290001
2015-05-01,15.75,16.200001,15.07,15.44,204600,15.44
2015-04-30,16.959999,17.18,15.81,15.83,145700,15.83
2015-04-29,17.10,17.40,16.950001,17.120001,56200,17.120001
2015-04-28,17.32,17.66,17.10,17.190001,70600,17.190001
2015-04-27,17.440001,17.700001,17.299999,17.33,63900,17.33
2015-04-24,17.68,17.700001,17.389999,17.469999,40700,17.469999
2015-04-23,17.700001,17.790001,17.309999,17.629999,65500,17.629999
2015-04-22,16.90,17.879999,16.90,17.790001,106900,17.790001
2015-04-21,16.90,17.18,16.74,16.92,57500,16.92
2015-04-20,16.709999,16.93,16.51,16.90,90900,16.90
2015-04-17,17.280001,17.280001,16.700001,16.780001,47600,16.780001
2015-04-16,17.40,18.00,17.23,17.389999,68500,17.389999
2015-04-15,17.43,17.65,17.15,17.469999,72400,17.469999
2015-04-14,17.16,17.51,17.02,17.280001,48000,17.280001
2015-04-13,17.450001,17.57,17.049999,17.219999,114600,17.219999
2015-04-10,17.17,17.809999,17.040001,17.379999,117500,17.379999
2015-04-09,16.889999,17.32,16.639999,17.049999,103400,17.049999
2015-04-08,16.41,16.940001,16.41,16.879999,100600,16.879999
2015-04-07,16.52,16.940001,16.40,16.43,57800,16.43
2015-04-06,16.629999,16.950001,16.360001,16.52,96000,16.52
2015-04-02,16.280001,16.84,16.200001,16.67,96600,16.67
2015-04-01,15.90,16.280001,15.62,16.200001,69300,16.200001
2015-03-31,15.95,16.00,15.52,15.93,83000,15.93
2015-03-30,15.70,16.16,15.53,15.99,87600,15.99
2015-03-27,15.82,16.26,15.62,15.67,70300,15.67
2015-03-26,15.89,15.99,15.55,15.80,79100,15.80
2015-03-25,16.18,16.42,15.83,15.93,97200,15.93
2015-03-24,16.51,16.51,16.08,16.129999,99000,16.129999
2015-03-23,15.85,17.00,15.85,16.530001,138900,16.530001
2015-03-20,16.690001,16.889999,15.85,15.85,665300,15.85
2015-03-19,16.65,16.75,16.52,16.629999,60900,16.629999
2015-03-18,16.610001,16.73,16.469999,16.639999,104200,16.639999
2015-03-17,16.51,16.73,16.32,16.60,166600,16.60
2015-03-16,16.93,17.24,16.469999,16.60,104200,16.60
2015-03-13,16.940001,17.16,16.76,17.00,67800,17.00
2015-03-12,17.10,17.139999,16.780001,16.92,92300,16.92
2015-03-11,17.049999,17.35,16.32,17.09,89100,17.09
2015-03-10,17.040001,17.219999,16.809999,17.040001,87800,17.040001
2015-03-09,16.889999,17.50,16.559999,17.23,65500,17.23
2015-03-06,17.75,17.77,16.92,17.02,76300,17.02
2015-03-05,17.59,17.92,17.440001,17.74,88400,17.74
2015-03-04,17.32,18.15,17.200001,17.58,185300,17.58
2015-03-03,17.120001,17.549999,17.120001,17.32,116200,17.32
2015-03-02,16.40,17.139999,16.389999,17.120001,148300,17.120001
2015-02-27,16.120001,16.57,16.120001,16.370001,93900,16.370001
2015-02-26,15.80,16.32,15.80,16.209999,74000,16.209999
2015-02-25,15.38,16.10,15.31,16.09,107500,16.09
2015-02-24,15.23,15.76,15.21,15.43,176700,15.43
2015-02-23,15.62,15.91,15.09,15.26,242200,15.26
2015-02-20,16.370001,16.459999,15.67,15.91,186600,15.91
2015-02-19,13.92,16.790001,13.82,16.450001,323700,16.450001
2015-02-18,14.21,14.36,13.78,13.92,93000,13.92
2015-02-17,13.72,14.06,13.55,13.96,104900,13.96
2015-02-13,13.99,14.24,13.73,13.96,42600,13.96
