Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,16.10,16.59,16.049999,16.389999,8400,16.389999
2015-08-06,16.43,16.43,15.995,16.200001,7200,16.200001
2015-08-05,16.65,16.969999,16.42,16.629999,15200,16.629999
2015-08-04,16.65,17.00,16.530001,16.639999,20600,16.639999
2015-08-03,16.50,17.00,16.301001,16.860001,48300,16.860001
2015-07-31,16.35,16.50,15.87,16.49,3100,16.49
2015-07-30,15.90,16.408001,15.81,16.40,8800,16.40
2015-07-29,15.25,16.440001,15.13,15.93,23400,15.93
2015-07-28,14.31,15.72,14.13,15.48,40800,15.48
2015-07-27,15.28,15.74,15.28,15.54,38100,15.54
2015-07-24,15.49,16.059999,15.49,15.68,30000,15.68
2015-07-23,15.01,15.55,15.01,15.45,15400,15.45
2015-07-22,15.53,15.72,15.19,15.41,32200,15.41
2015-07-21,15.53,16.24,15.50,15.53,8800,15.53
2015-07-20,15.50,16.280001,15.034,15.66,23700,15.66
2015-07-17,15.42,16.57,15.36,15.78,9700,15.78
2015-07-16,16.530001,17.00,15.76,16.08,11100,16.08
2015-07-15,16.10,17.09,16.10,16.25,9700,16.25
2015-07-14,16.99,16.99,16.01,16.35,12100,16.35
2015-07-13,16.10,16.790001,16.07,16.75,12500,16.75
2015-07-10,17.280001,17.799999,16.030001,16.07,48100,16.07
2015-07-09,17.200001,17.200001,16.516001,17.129999,110600,17.129999
2015-07-08,17.610001,17.950001,15.76,17.200001,42900,17.200001
2015-07-07,16.530001,17.50,16.50,17.26,87900,17.26
2015-07-06,15.75,16.98,15.06,16.98,24200,16.98
2015-07-02,15.50,16.00,15.35,16.00,23900,16.00
2015-07-01,14.90,15.50,14.78,15.50,18000,15.50
2015-06-30,14.89,15.00,14.89,14.935,500,14.935
2015-06-29,14.59,15.00,14.59,14.99,9700,14.99
2015-06-26,14.10,14.99,14.01,14.95,133100,14.95
2015-06-25,14.20,14.63,14.02,14.10,21000,14.10
2015-06-24,14.69,14.80,14.09,14.18,9800,14.18
2015-06-23,15.00,15.01,14.34,14.53,3400,14.53
2015-06-22,14.80,15.28,14.06,15.00,76400,15.00
2015-06-19,14.60,15.00,14.40,14.91,80500,14.91
2015-06-18,15.02,15.40,14.51,14.82,51800,14.82
2015-06-17,15.10,15.40,14.29,14.94,25300,14.94
2015-06-16,15.13,15.29,15.00,15.10,24900,15.10
2015-06-15,15.34,15.40,14.722,15.29,21100,15.29
2015-06-12,14.88,15.37,14.61,14.75,11500,14.75
2015-06-11,14.79,15.00,14.60,14.93,22400,14.93
2015-06-10,14.40,15.00,14.30,14.89,13300,14.89
2015-06-09,14.14,14.42,14.14,14.42,400,14.42
2015-06-08,14.22,14.50,14.22,14.48,6900,14.48
2015-06-05,14.20,14.20,14.20,14.20,100,14.20
2015-06-04,14.04,14.04,14.04,14.04,100,14.04
2015-06-03,14.25,14.49,14.22,14.49,3600,14.49
2015-06-02,13.99,13.99,13.99,13.99,000,13.99
2015-06-01,13.99,13.99,13.99,13.99,000,13.99
2015-05-29,13.93,14.12,13.93,13.99,4400,13.99
2015-05-28,13.63,14.14,13.60,13.945,3900,13.945
2015-05-27,13.53,13.53,13.53,13.53,200,13.53
2015-05-26,13.95,13.95,13.95,13.95,000,13.95
2015-05-22,13.965,13.98,13.92,13.95,1800,13.95
2015-05-21,13.795,13.87,13.71,13.87,13700,13.87
2015-05-20,13.96,13.96,13.96,13.96,000,13.96
2015-05-19,13.77,13.99,13.77,13.96,1200,13.96
2015-05-18,13.33,13.552,13.161,13.44,1500,13.44
2015-05-15,14.03,14.03,14.03,14.03,000,14.03
2015-05-14,14.001,14.21,14.001,14.03,700,14.03
2015-05-13,14.30,14.30,14.30,14.30,600,14.30
2015-05-12,14.24,14.24,14.24,14.24,600,14.24
2015-05-11,14.21,14.22,14.21,14.21,1900,14.21
2015-05-08,14.40,14.40,14.01,14.29,9200,14.29
2015-05-07,14.36,14.36,14.36,14.36,100,14.36
2015-05-06,14.43,14.45,14.41,14.41,800,14.41
2015-05-05,14.63,14.63,14.50,14.50,1400,14.50
2015-05-04,14.55,14.602,14.55,14.60,3000,14.60
2015-05-01,14.49,14.74,14.40,14.51,25800,14.51
2015-04-30,14.44,14.545,14.44,14.49,9900,14.49
2015-04-29,14.50,14.50,14.50,14.50,100,14.50
2015-04-28,14.478,14.478,14.35,14.35,1000,14.35
2015-04-27,14.85,14.85,14.37,14.40,3100,14.40
2015-04-24,14.70,14.70,14.69,14.70,2200,14.70
2015-04-23,14.66,14.70,14.38,14.51,12400,14.51
2015-04-22,14.60,14.60,14.60,14.60,000,14.60
2015-04-21,14.59,14.60,14.56,14.60,2300,14.60
2015-04-20,14.75,14.75,14.36,14.54,2400,14.54
2015-04-17,14.45,14.74,14.45,14.74,4000,14.74
2015-04-16,14.50,14.59,14.49,14.59,1200,14.59
2015-04-15,14.35,14.49,14.35,14.49,1800,14.49
2015-04-14,14.25,14.25,14.25,14.25,200,14.25
2015-04-13,14.19,14.20,14.19,14.20,1000,14.20
2015-04-10,14.10,14.10,14.09,14.10,5500,14.10
