Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,61.029999,61.049999,61.009998,61.040001,65000,61.040001
2015-08-06,61.009998,61.07,61.009998,61.040001,140500,61.040001
2015-08-05,60.959999,61.029999,60.959999,61.029999,48100,61.029999
2015-08-04,61.07,61.09,61.00,61.00,33500,61.00
2015-08-03,61.040001,61.119999,61.009998,61.07,300700,61.07
2015-07-31,61.110001,61.150002,61.080002,61.150002,322000,61.117001
2015-07-30,61.049999,61.09,61.029999,61.09,56700,61.057032
2015-07-29,61.110001,61.110001,61.060001,61.09,113300,61.057032
2015-07-28,61.119999,61.119999,61.080002,61.099998,42600,61.067025
2015-07-27,61.119999,61.139999,61.09,61.130001,550500,61.097012
2015-07-24,61.049999,61.099998,61.049999,61.09,33700,61.057032
2015-07-23,61.040001,61.07,61.029999,61.07,78300,61.037043
2015-07-22,61.060001,61.060001,61.029999,61.040001,58700,61.00706
2015-07-21,61.040001,61.07,61.02,61.060001,20200,61.02705
2015-07-20,61.049999,61.049999,61.029999,61.049999,32100,61.017053
2015-07-17,61.07,61.09,61.060001,61.09,39900,61.057032
2015-07-16,61.080002,61.099998,61.07,61.09,24100,61.057032
2015-07-15,61.080002,61.130001,61.060001,61.130001,73500,61.097012
2015-07-14,61.080002,61.099998,61.080002,61.099998,60600,61.067025
2015-07-13,61.07,61.080002,61.049999,61.07,46600,61.037043
2015-07-10,61.130001,61.139999,61.07,61.110001,41200,61.077022
2015-07-09,61.139999,61.169998,61.139999,61.16,103700,61.126994
2015-07-08,61.150002,61.220001,61.130001,61.209999,440800,61.176966
2015-07-07,61.150002,61.220001,61.150002,61.169998,221900,61.136987
2015-07-06,61.16,61.169998,61.110001,61.16,110000,61.126994
2015-07-02,61.099998,61.110001,61.080002,61.110001,208000,61.077022
2015-07-01,61.049999,61.049999,61.00,61.040001,1898500,61.00706
2015-06-30,61.07,61.119999,61.07,61.110001,46200,61.04404
2015-06-29,61.110001,61.119999,61.040001,61.09,689000,61.024061
2015-06-26,61.009998,61.049999,61.009998,61.009998,36300,60.944145
2015-06-25,61.040001,61.049999,61.00,61.029999,70300,60.964124
2015-06-24,61.040001,61.060001,61.009998,61.040001,242300,60.974116
2015-06-23,61.02,61.049999,61.02,61.02,287500,60.954137
2015-06-22,61.07,61.09,61.040001,61.060001,30600,60.994094
2015-06-19,61.099998,61.110001,61.07,61.099998,40000,61.034048
2015-06-18,61.080002,61.080002,61.029999,61.080002,52000,61.014073
2015-06-17,61.00,61.07,60.950001,61.07,29900,61.004082
2015-06-16,61.029999,61.029999,60.970001,61.00,263800,60.934158
2015-06-15,61.009998,61.029999,61.00,61.02,35800,60.954137
2015-06-12,60.98,61.009998,60.919998,60.990002,40900,60.92417
2015-06-11,60.970001,61.02,60.939999,60.98,43400,60.914179
2015-06-10,60.98,61.00,60.959999,60.98,114100,60.914179
2015-06-09,61.009998,61.029999,60.970001,60.970001,343300,60.904191
2015-06-08,60.970001,61.029999,60.959999,61.009998,147200,60.944145
2015-06-05,60.970001,61.00,60.939999,60.990002,100800,60.92417
2015-06-04,61.009998,61.060001,61.009998,61.049999,55700,60.984103
2015-06-03,61.009998,61.07,61.009998,61.040001,61600,60.974116
2015-06-02,61.029999,61.07,61.02,61.060001,152900,60.994094
2015-06-01,61.110001,61.139999,61.049999,61.060001,15100,60.994094
2015-05-29,61.139999,61.16,61.119999,61.139999,33700,61.04104
2015-05-28,61.099998,61.119999,61.049999,61.099998,13800,61.001104
2015-05-27,61.09,61.110001,61.07,61.099998,102900,61.001104
2015-05-26,61.07,61.099998,61.029999,61.080002,27100,60.98114
2015-05-22,61.049999,61.110001,61.040001,61.049999,33600,60.951186
2015-05-21,61.080002,61.119999,61.07,61.09,71600,60.991122
2015-05-20,61.060001,61.110001,61.040001,61.07,197000,60.971154
2015-05-19,61.049999,61.099998,61.049999,61.07,90100,60.971154
2015-05-18,61.130001,61.139999,61.080002,61.080002,92600,60.98114
2015-05-15,61.110001,61.169998,61.110001,61.150002,43500,61.051026
2015-05-14,61.110001,61.150002,61.09,61.150002,34800,61.051026
2015-05-13,61.110001,61.119999,61.07,61.099998,32300,61.001104
2015-05-12,61.049999,61.080002,61.009998,61.060001,35000,60.961172
2015-05-11,61.040001,61.080002,61.009998,61.060001,69100,60.961172
2015-05-08,61.09,61.110001,61.080002,61.080002,24700,60.98114
2015-05-07,61.029999,61.040001,61.00,61.040001,85600,60.941204
2015-05-06,61.049999,61.049999,61.00,61.029999,76800,60.931218
2015-05-05,61.080002,61.080002,61.02,61.029999,54900,60.931218
2015-05-04,61.080002,61.080002,61.009998,61.060001,70700,60.961172
2015-05-01,61.060001,61.09,61.029999,61.040001,169800,60.941204
2015-04-30,61.09,61.130001,61.049999,61.130001,93500,61.000109
2015-04-29,61.130001,61.130001,61.080002,61.09,118200,60.960193
2015-04-28,61.139999,61.139999,61.110001,61.139999,25500,61.010086
2015-04-27,61.139999,61.169998,61.130001,61.16,23100,61.030044
2015-04-24,61.139999,61.18,61.139999,61.18,25100,61.050002
2015-04-23,61.119999,61.139999,61.09,61.130001,15700,61.000109
2015-04-22,61.150002,61.150002,61.099998,61.099998,32400,60.97017
2015-04-21,61.16,61.16,61.110001,61.139999,12700,61.010086
2015-04-20,61.200001,61.200001,61.130001,61.150002,44500,61.020067
2015-04-17,61.139999,61.18,61.119999,61.18,151000,61.050002
2015-04-16,61.150002,61.18,61.130001,61.18,56600,61.050002
2015-04-15,61.16,61.169998,61.130001,61.139999,50200,61.010086
