Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.83,0.83,0.64,0.81,130000,0.81
2015-08-06,0.67,0.76,0.56,0.75,228000,0.75
2015-08-05,0.75,0.75,0.67,0.70,71000,0.70
2015-08-04,0.76,0.79,0.70,0.76,39000,0.76
2015-08-03,0.98,1.01,0.73,0.79,240600,0.79
2015-07-31,1.00,1.01,0.84,0.87,174300,0.87
2015-07-30,1.00,1.05,0.95,1.03,70800,1.03
2015-07-29,1.07,1.08,0.95,1.00,245100,1.00
2015-07-28,1.09,1.12,1.05,1.06,22100,1.06
2015-07-27,1.15,1.15,1.04,1.08,94000,1.08
2015-07-24,1.08,1.19,1.05,1.13,119900,1.13
2015-07-23,1.15,1.29,1.15,1.23,142400,1.23
2015-07-22,1.09,1.24,1.01,1.11,145500,1.11
2015-07-21,1.41,1.41,1.15,1.24,140600,1.24
2015-07-20,1.36,1.46,1.08,1.46,210500,1.46
2015-07-17,1.44,1.46,1.37,1.37,85400,1.37
2015-07-16,1.45,1.50,1.40,1.46,92200,1.46
2015-07-15,1.50,1.63,1.44,1.46,265400,1.46
2015-07-14,1.40,1.98,1.39,1.48,1115800,1.48
2015-07-13,1.30,1.40,1.30,1.38,22300,1.38
2015-07-10,1.40,1.43,1.25,1.37,68300,1.37
2015-07-09,1.00,1.48,1.00,1.39,99300,1.39
2015-07-08,0.27,0.27,0.24,0.25,36100,1.25
2015-07-07,0.26,0.30,0.26,0.26,16100,1.30
2015-07-06,0.33,0.33,0.26,0.26,39000,1.30
2015-07-02,0.27,0.32,0.27,0.28,42500,1.40
2015-07-01,0.29,0.34,0.24,0.27,107100,1.35
2015-06-30,0.33,0.35,0.32,0.32,38200,1.60
2015-06-29,0.36,0.37,0.32,0.33,32400,1.65
2015-06-26,0.34,0.38,0.33,0.35,73700,1.75
2015-06-25,0.36,0.36,0.32,0.34,34600,1.70
2015-06-24,0.35,0.37,0.35,0.36,25000,1.80
2015-06-23,0.38,0.38,0.37,0.37,24200,1.85
2015-06-22,0.36,0.39,0.36,0.37,35000,1.85
2015-06-19,0.39,0.40,0.35,0.35,50000,1.75
2015-06-18,0.39,0.41,0.37,0.38,13900,1.90
2015-06-17,0.38,0.42,0.37,0.40,14600,2.00
2015-06-16,0.40,0.42,0.38,0.39,16100,1.95
2015-06-15,0.42,0.42,0.39,0.41,26300,2.05
2015-06-12,0.44,0.44,0.40,0.42,12100,2.10
2015-06-11,0.41,0.46,0.40,0.42,28600,2.10
2015-06-10,0.41,0.41,0.40,0.41,18900,2.05
2015-06-09,0.44,0.44,0.38,0.41,26300,2.05
2015-06-08,0.42,0.48,0.40,0.42,91700,2.10
