Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,8.85,9.65,8.10,8.20,66200,8.20
2015-08-06,9.63,10.358,8.58,8.91,68600,8.91
2015-08-05,9.85,10.29,9.43,9.55,86400,9.55
2015-08-04,9.75,10.00,9.58,9.61,70900,9.61
2015-08-03,10.16,10.44,9.60,9.70,150900,9.70
2015-07-31,10.10,10.47,9.84,10.11,87200,10.11
2015-07-30,9.86,10.10,9.565,10.03,81700,10.03
2015-07-29,9.92,9.97,9.68,9.85,85400,9.85
2015-07-28,9.74,9.92,9.54,9.90,79200,9.90
2015-07-27,10.00,10.00,9.32,9.68,210100,9.68
2015-07-24,10.81,10.94,10.04,10.38,219100,10.38
2015-07-23,11.31,11.39,10.68,10.78,126000,10.78
2015-07-22,10.79,11.39,10.75,11.22,110200,11.22
2015-07-21,10.87,10.94,10.46,10.77,108700,10.77
2015-07-20,11.05,11.40,10.53,10.82,122200,10.82
2015-07-17,10.64,11.16,10.432,11.00,183900,11.00
2015-07-16,10.68,10.78,10.35,10.68,163600,10.68
2015-07-15,10.60,11.00,10.18,10.51,251500,10.51
2015-07-14,9.97,10.80,9.94,10.53,164800,10.53
2015-07-13,10.35,10.522,9.80,9.93,219900,9.93
2015-07-10,10.63,11.40,10.23,10.26,204300,10.26
2015-07-09,11.55,13.00,10.35,10.51,172500,10.51
2015-07-08,11.81,12.11,11.115,11.36,103800,11.36
2015-07-07,12.15,12.47,11.64,11.95,197500,11.95
2015-07-06,12.14,12.40,11.87,12.28,222800,12.28
2015-07-02,14.36,14.36,12.11,12.33,407400,12.33
2015-07-01,14.61,16.280001,14.05,14.93,244100,14.93
2015-06-30,13.69,14.78,13.00,14.40,329500,14.40
2015-06-29,10.06,14.18,10.00,13.74,793700,13.74
2015-06-26,15.78,15.78,14.85,15.19,722900,15.19
2015-06-25,16.07,16.75,15.61,15.70,203900,15.70
2015-06-24,16.370001,16.74,16.190001,16.24,115200,16.24
2015-06-23,16.09,16.75,15.51,16.50,165800,16.50
2015-06-22,16.059999,16.799999,15.69,16.16,432300,16.16
2015-06-19,13.35,16.09,13.17,15.82,248000,15.82
2015-06-18,13.12,13.57,12.41,13.29,132900,13.29
2015-06-17,13.20,13.71,12.98,13.14,110600,13.14
2015-06-16,13.12,13.46,12.85,13.14,68800,13.14
2015-06-15,12.31,13.12,12.038,12.82,95400,12.82
2015-06-12,12.31,12.54,12.00,12.44,84300,12.44
