Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,48.369999,48.400002,48.34,48.349998,346200,48.349998
2015-08-06,48.380001,48.41,48.349998,48.41,77800,48.41
2015-08-05,48.450001,48.470001,48.360001,48.380001,116700,48.380001
2015-08-04,48.50,48.540001,48.389999,48.41,134000,48.41
2015-08-03,48.560001,48.580002,48.50,48.509998,118600,48.509998
2015-07-31,48.549999,48.619999,48.540001,48.599998,108900,48.599998
2015-07-30,48.57,48.59,48.50,48.560001,99700,48.560001
2015-07-29,48.50,48.669998,48.48,48.560001,588100,48.560001
2015-07-28,48.529999,48.57,48.50,48.509998,108000,48.509998
2015-07-27,48.549999,48.59,48.509998,48.540001,154900,48.540001
2015-07-24,48.599998,48.630001,48.509998,48.57,62500,48.57
2015-07-23,48.529999,48.599998,48.529999,48.59,73600,48.59
2015-07-22,48.619999,48.66,48.549999,48.610001,70300,48.610001
2015-07-21,48.529999,48.630001,48.50,48.560001,122500,48.560001
2015-07-20,48.580002,48.599998,48.509998,48.580002,101500,48.580002
2015-07-17,48.610001,48.66,48.59,48.639999,292000,48.639999
2015-07-16,48.580002,48.650002,48.580002,48.599998,101800,48.599998
2015-07-15,48.619999,48.669998,48.59,48.610001,355700,48.610001
2015-07-14,48.650002,48.689999,48.59,48.639999,83800,48.639999
2015-07-13,48.639999,48.689999,48.580002,48.59,766200,48.59
2015-07-10,48.700001,48.75,48.630001,48.700001,280600,48.700001
2015-07-09,48.720001,48.759998,48.700001,48.700001,135700,48.700001
2015-07-08,48.720001,48.77,48.709999,48.759998,129000,48.759998
2015-07-07,48.759998,48.790001,48.700001,48.740002,138800,48.740002
2015-07-06,48.740002,48.779999,48.700001,48.740002,131500,48.740002
2015-07-02,48.700001,48.779999,48.700001,48.720001,138800,48.720001
2015-07-01,48.68,48.700001,48.630001,48.639999,207300,48.639999
2015-06-30,48.689999,48.75,48.66,48.68,195500,48.68
2015-06-29,48.619999,48.700001,48.619999,48.68,183400,48.68
2015-06-26,48.630001,48.669998,48.599998,48.599998,104600,48.599998
2015-06-25,48.66,48.68,48.630001,48.66,108200,48.66
2015-06-24,48.650002,48.709999,48.639999,48.700001,133100,48.700001
2015-06-23,48.599998,48.700001,48.599998,48.669998,96800,48.669998
2015-06-22,48.669998,48.75,48.650002,48.66,112400,48.66
2015-06-19,48.759998,48.779999,48.700001,48.75,406100,48.75
2015-06-18,48.77,48.779999,48.689999,48.720001,465700,48.720001
2015-06-17,48.709999,48.790001,48.610001,48.779999,160800,48.779999
2015-06-16,48.619999,48.720001,48.599998,48.68,120700,48.68
2015-06-15,48.66,48.68,48.59,48.639999,162100,48.639999
2015-06-12,48.529999,48.639999,48.52,48.57,620700,48.57
2015-06-11,48.59,48.610001,48.540001,48.580002,177400,48.580002
2015-06-10,48.57,48.650002,48.540001,48.540001,140700,48.540001
2015-06-09,48.59,48.630001,48.549999,48.580002,168000,48.580002
2015-06-08,48.549999,48.610001,48.540001,48.560001,153900,48.560001
2015-06-05,48.50,48.57,48.450001,48.540001,169600,48.540001
2015-06-04,48.560001,48.650002,48.549999,48.59,142100,48.59
2015-06-03,48.610001,48.619999,48.560001,48.599998,157100,48.599998
2015-06-02,48.639999,48.650002,48.610001,48.619999,73300,48.619999
2015-06-01,48.73,48.73,48.639999,48.650002,93700,48.650002
2015-05-29,48.66,48.759998,48.650002,48.75,118000,48.75
2015-05-28,48.639999,48.650002,48.599998,48.650002,110000,48.650002
2015-05-27,48.669998,48.68,48.599998,48.639999,91900,48.639999
2015-05-26,48.650002,48.77,48.650002,48.709999,161700,48.709999
2015-05-22,48.759998,48.77,48.700001,48.77,86700,48.77
2015-05-21,48.709999,48.740002,48.669998,48.73,112600,48.73
2015-05-20,48.650002,48.720001,48.599998,48.66,159500,48.66
2015-05-19,48.639999,48.66,48.599998,48.610001,159000,48.610001
2015-05-18,48.740002,48.77,48.700001,48.709999,108500,48.709999
2015-05-15,48.720001,48.779999,48.709999,48.77,137600,48.77
2015-05-14,48.709999,48.73,48.68,48.720001,154300,48.720001
2015-05-13,48.68,48.740002,48.639999,48.669998,140600,48.669998
2015-05-12,48.619999,48.650002,48.580002,48.639999,134600,48.639999
2015-05-11,48.66,48.689999,48.580002,48.580002,107200,48.580002
2015-05-08,48.720001,48.75,48.66,48.720001,73400,48.720001
2015-05-07,48.639999,48.669998,48.580002,48.619999,164200,48.619999
2015-05-06,48.720001,48.720001,48.619999,48.650002,186900,48.650002
2015-05-05,48.75,48.75,48.669998,48.720001,186100,48.720001
2015-05-04,48.709999,48.740002,48.66,48.689999,140500,48.689999
2015-05-01,48.740002,48.790001,48.700001,48.709999,100000,48.709999
2015-04-30,48.75,48.790001,48.709999,48.790001,135100,48.790001
2015-04-29,48.75,48.77,48.68,48.73,131000,48.73
2015-04-28,48.799999,48.810001,48.759998,48.779999,133500,48.779999
2015-04-27,48.830002,48.849998,48.799999,48.830002,99200,48.830002
2015-04-24,48.82,48.849998,48.790001,48.830002,94600,48.830002
2015-04-23,48.77,48.810001,48.73,48.759998,268200,48.759998
2015-04-22,48.73,48.740002,48.68,48.720001,227300,48.720001
2015-04-21,48.82,48.82,48.689999,48.709999,2345300,48.709999
2015-04-20,48.84,48.849998,48.779999,48.82,132300,48.82
2015-04-17,48.830002,48.849998,48.740002,48.830002,112000,48.830002
2015-04-16,48.709999,48.75,48.650002,48.73,74100,48.73
2015-04-15,48.650002,48.720001,48.650002,48.689999,294700,48.689999
2015-04-14,48.639999,48.650002,48.580002,48.610001,382200,48.610001
2015-04-13,48.549999,48.59,48.529999,48.59,210500,48.59
2015-04-10,48.540001,48.580002,48.509998,48.549999,115500,48.549999
2015-04-09,48.630001,48.650002,48.52,48.580002,125700,48.580002
2015-04-08,48.639999,48.66,48.549999,48.619999,110900,48.619999
2015-04-07,48.68,48.709999,48.610001,48.630001,306000,48.630001
2015-04-06,48.66,48.73,48.639999,48.689999,99900,48.689999
2015-04-02,48.560001,48.580002,48.509998,48.57,96300,48.57
2015-04-01,48.52,48.599998,48.470001,48.560001,140900,48.560001
2015-03-31,48.400002,48.48,48.360001,48.459999,158700,48.459999
2015-03-30,48.43,48.43,48.349998,48.400002,100100,48.400002
2015-03-27,48.439999,48.490002,48.400002,48.400002,127700,48.400002
2015-03-26,48.50,48.540001,48.400002,48.459999,128000,48.459999
2015-03-25,48.470001,48.50,48.419998,48.48,135400,48.48
2015-03-24,48.439999,48.459999,48.360001,48.459999,121400,48.459999
2015-03-23,48.389999,48.389999,48.349998,48.380001,145800,48.380001
2015-03-20,48.34,48.419998,48.330002,48.360001,128900,48.360001
2015-03-19,48.360001,48.369999,48.27,48.360001,152900,48.360001
2015-03-18,48.119999,48.459999,48.049999,48.43,152200,48.43
2015-03-17,48.099998,48.16,48.060001,48.09,117900,48.09
2015-03-16,48.220001,48.25,48.130001,48.16,133300,48.16
2015-03-13,48.23,48.25,48.200001,48.200001,119500,48.200001
2015-03-12,48.34,48.48,48.27,48.279999,125000,48.279999
