Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,22.610001,23.00,22.50,22.50,2700,22.50
2015-08-06,23.379999,23.379999,22.440001,22.780001,9800,22.780001
2015-08-05,23.41,23.41,23.379999,23.389999,900,23.389999
2015-08-04,23.129999,23.222,23.01,23.082001,3000,23.082001
2015-08-03,23.440001,23.440001,23.440001,23.440001,000,23.440001
2015-07-31,23.50,23.50,23.440001,23.440001,400,23.440001
2015-07-30,23.879999,23.879999,23.849001,23.849001,700,23.849001
2015-07-29,23.940001,23.940001,23.610001,23.85,2300,23.85
2015-07-28,24.35,24.35,24.35,24.35,200,24.35
2015-07-27,23.610001,23.610001,23.610001,23.610001,000,23.610001
2015-07-24,23.610001,23.610001,23.610001,23.610001,000,23.610001
2015-07-23,23.629999,24.143,23.43,23.610001,2200,23.610001
2015-07-22,24.00,24.00,23.76,23.76,2000,23.76
2015-07-21,23.90,24.190001,23.85,23.99,2500,23.99
2015-07-20,23.719999,23.799999,23.700001,23.709999,900,23.709999
2015-07-17,24.18,24.18,23.969999,24.16,800,24.16
2015-07-16,23.92,24.10,23.90,23.969,1400,23.969
2015-07-15,24.50,24.50,23.601999,24.16,33900,24.16
2015-07-14,23.889999,24.559999,23.879999,24.50,5900,24.50
2015-07-13,23.59,24.00,23.51,23.659,1700,23.659
2015-07-10,23.98,23.98,23.58,23.629999,3900,23.629999
2015-07-09,24.10,24.118,23.74,23.799999,13300,23.799999
2015-07-08,23.809999,24.00,23.50,23.98,15600,23.98
2015-07-07,23.51,24.00,23.450001,23.780001,3600,23.780001
2015-07-06,23.790001,23.950001,23.52,23.91,9900,23.91
2015-07-02,24.07,24.09,23.610001,23.709999,6600,23.709999
2015-07-01,24.200001,24.40,23.753,23.950001,39600,23.950001
2015-06-30,24.59,24.59,23.799999,23.93,24600,23.93
2015-06-29,24.41,24.719999,23.68,24.23,24200,24.23
2015-06-26,24.85,24.85,24.459999,24.65,4000,24.65
2015-06-25,25.10,25.10,25.01,25.040001,6600,24.477001
2015-06-24,25.120001,25.15,24.77,25.00,16400,24.4379
2015-06-23,25.09,25.165001,25.09,25.16,4700,24.594302
2015-06-22,25.00,25.118,24.90,25.10,3800,24.535652
2015-06-19,24.76,25.00,24.75,25.00,14400,24.4379
2015-06-18,25.15,25.15,24.24,24.24,28000,23.694988
2015-06-17,25.040001,25.25,24.924999,25.120001,15300,24.555203
2015-06-16,25.00,25.450001,24.940001,25.00,54900,24.4379
2015-06-15,24.549999,24.75,24.50,24.549999,7000,23.998017
2015-06-12,24.50,24.542,24.50,24.542,1500,23.990197
2015-06-11,24.40,24.50,24.40,24.50,12000,23.949142
2015-06-10,24.50,24.50,24.41,24.450001,31000,23.900267
2015-06-09,24.50,24.629999,24.459999,24.511,2400,23.959894
2015-06-08,24.58,24.700001,24.379999,24.450001,12700,23.900267
2015-06-05,24.40,24.50,24.40,24.50,7100,23.949142
2015-06-04,24.26,24.403999,24.25,24.40,15100,23.85139
2015-06-03,24.32,24.466,24.27,24.27,15700,23.724314
2015-06-02,24.139999,24.139999,24.139999,24.139999,300,23.597236
2015-06-01,24.103001,24.17,24.101999,24.16,6700,23.616786
2015-05-29,24.01,24.219999,24.01,24.202,5500,23.657842
2015-05-28,24.156,24.200001,24.069,24.16,2300,23.616786
2015-05-27,24.107,24.107,24.070999,24.070999,300,23.529787
2015-05-26,24.10,24.23,23.02,24.044001,12300,23.503395
2015-05-22,24.15,24.190001,24.10,24.190001,5400,23.646112
2015-05-21,24.120001,24.200001,24.01,24.191,4200,23.647089
