Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,50.84,50.91,50.52,50.860001,9000,50.860001
2015-08-06,51.310001,51.310001,50.470001,50.50,18300,50.50
2015-08-05,51.50,51.689999,50.919998,51.150002,32100,51.150002
2015-08-04,50.91,51.200001,50.650002,50.990002,11600,50.990002
2015-08-03,50.66,51.00,50.639999,50.84,8200,50.84
2015-07-31,50.970001,51.16,50.880001,51.029999,7100,51.029999
2015-07-30,50.540001,50.810001,49.700001,50.779999,10700,50.779999
2015-07-29,50.73,50.889999,50.669998,50.889999,5900,50.889999
2015-07-28,50.00,50.709999,49.849998,50.580002,14500,50.580002
2015-07-27,50.310001,50.310001,49.490002,50.209999,10500,50.209999
2015-07-24,51.110001,51.110001,50.32,50.400002,8200,50.400002
2015-07-23,51.650002,51.740002,51.110001,51.110001,9100,51.110001
2015-07-22,51.66,51.709999,51.299999,51.50,10900,51.50
2015-07-21,52.419998,52.419998,51.77,51.810001,4900,51.810001
2015-07-20,52.57,52.73,52.389999,52.560001,5000,52.560001
2015-07-17,53.16,53.16,52.48,52.549999,14100,52.549999
2015-07-16,53.23,53.330002,53.080002,53.110001,17200,53.110001
2015-07-15,53.130001,53.130001,52.759998,52.860001,16900,52.860001
2015-07-14,53.009998,53.16,52.84,52.900002,12500,52.900002
2015-07-13,52.490002,52.93,52.48,52.880001,19100,52.880001
2015-07-10,51.959999,52.279999,51.959999,52.169998,9400,52.169998
2015-07-09,52.02,52.02,51.029999,51.139999,10600,51.139999
2015-07-08,51.91,51.91,51.220001,51.450001,10300,51.450001
2015-07-07,52.209999,52.610001,51.580002,52.299999,16000,52.299999
2015-07-06,52.610001,52.860001,52.209999,52.259998,7400,52.259998
2015-07-02,53.060001,53.060001,52.759998,52.759998,6600,52.759998
2015-07-01,52.720001,52.93,52.560001,52.740002,45000,52.740002
2015-06-30,53.080002,53.080002,52.360001,52.540001,24500,52.540001
2015-06-29,53.150002,53.27,52.48,52.630001,21200,52.630001
2015-06-26,53.66,53.740002,53.560001,53.68,3400,53.68
2015-06-25,53.740002,53.740002,53.470001,53.529999,5700,53.529999
2015-06-24,53.799999,53.799999,53.32,53.450001,9700,53.450001
2015-06-23,54.32,54.459999,54.25,54.279999,8000,53.747999
2015-06-22,54.650002,54.650002,54.34,54.439999,7400,53.906431
2015-06-19,54.110001,54.490002,54.099998,54.330002,3900,53.797512
2015-06-18,54.16,54.529999,54.16,54.509998,5400,53.975744
2015-06-17,53.970001,54.119999,53.75,54.119999,9100,53.589567
2015-06-16,53.57,54.00,53.57,54.00,4800,53.470744
2015-06-15,53.459999,53.639999,53.349998,53.639999,4800,53.114272
2015-06-12,53.970001,53.990002,53.669998,53.919998,10300,53.391527
2015-06-11,54.299999,54.330002,54.040001,54.330002,8700,53.797512
2015-06-10,53.93,54.400002,53.93,54.220001,15400,53.688589
2015-06-09,53.50,53.720001,53.150002,53.400002,11300,52.876627
2015-06-08,53.66,53.66,53.32,53.450001,11900,52.926136
2015-06-05,53.650002,53.900002,53.549999,53.810001,6200,53.282608
2015-06-04,53.970001,54.02,53.779999,53.810001,8100,53.282608
2015-06-03,54.330002,54.41,54.200001,54.200001,38800,53.668785
2015-06-02,54.310001,54.50,54.200001,54.330002,15500,53.797512
2015-06-01,54.669998,55.220001,53.959999,54.259998,34300,53.728194
2015-05-29,55.00,55.00,54.34,54.360001,14900,53.827217
2015-05-28,55.09,55.27,54.830002,55.099998,9500,54.559962
2015-05-27,54.880001,55.290001,54.650002,55.290001,17300,54.748102
2015-05-26,55.43,55.43,54.900002,54.939999,6300,54.40153
2015-05-22,55.580002,55.689999,55.27,55.52,10300,54.975847
2015-05-21,55.509998,55.639999,55.290001,55.50,6900,54.956043
2015-05-20,55.580002,55.919998,55.419998,55.73,10500,55.183788
2015-05-19,55.02,55.509998,55.02,55.400002,22600,54.857024
2015-05-18,55.07,55.139999,54.709999,55.049999,10300,54.510453
2015-05-15,55.029999,55.23,54.990002,55.040001,2800,54.500552
2015-05-14,54.880001,55.259998,54.799999,55.169998,6500,54.629275
2015-05-13,54.580002,54.75,54.349998,54.349998,8000,53.817312
2015-05-12,53.950001,54.209999,53.77,54.049999,13500,53.520254
2015-05-11,54.27,54.48,54.259998,54.330002,6400,53.797512
2015-05-08,54.25,54.689999,54.25,54.509998,30200,53.975744
2015-05-07,53.439999,53.77,53.400002,53.73,6600,53.20339
2015-05-06,53.639999,53.689999,53.349998,53.490002,13000,52.965745
2015-05-05,54.150002,54.150002,53.240002,53.400002,10800,52.876627
2015-05-04,54.400002,54.650002,54.16,54.419998,24200,53.886626
2015-05-01,54.00,54.459999,53.91,54.34,9600,53.807412
2015-04-30,54.279999,54.450001,53.939999,53.959999,9500,53.431136
2015-04-29,54.400002,54.400002,54.130001,54.369999,22900,53.837117
2015-04-28,54.669998,54.779999,54.490002,54.709999,108200,54.173785
2015-04-27,55.349998,55.349998,54.799999,54.799999,8300,54.262903
2015-04-24,54.48,55.27,54.48,55.110001,9100,54.569866
2015-04-23,54.169998,54.50,54.009998,54.290001,15700,53.757903
2015-04-22,54.349998,54.389999,54.209999,54.32,6300,53.787608
2015-04-21,54.669998,54.799999,54.290001,54.32,11700,53.787608
2015-04-20,55.09,55.27,54.669998,54.889999,18800,54.352021
2015-04-17,55.130001,55.169998,54.599998,54.869999,61000,54.332216
2015-04-16,55.330002,55.650002,55.259998,55.459999,22500,54.916434
2015-04-15,55.349998,55.50,55.240002,55.330002,13400,54.787711
2015-04-14,55.380001,55.50,55.169998,55.369999,20900,54.827316
2015-04-13,55.110001,55.400002,55.080002,55.080002,8100,54.540161
2015-04-10,54.91,55.27,54.91,55.099998,9900,54.559962
2015-04-09,54.970001,54.98,54.66,54.93,4700,54.39163
2015-04-08,54.66,54.889999,54.529999,54.869999,8300,54.332216
2015-04-07,54.830002,54.889999,54.540001,54.540001,9500,54.005453
2015-04-06,54.450001,54.900002,54.43,54.720001,12600,54.183689
2015-04-02,54.630001,54.73,54.43,54.43,12100,53.89653
2015-04-01,54.790001,54.790001,54.18,54.540001,40600,54.005453
2015-03-31,54.669998,55.200001,54.439999,54.619999,7700,54.084667
2015-03-30,54.880001,55.18,54.740002,55.049999,14600,54.510453
2015-03-27,54.490002,54.740002,54.450001,54.619999,4400,54.084667
2015-03-26,54.389999,54.52,53.82,54.509998,10100,53.975744
2015-03-25,55.419998,55.419998,54.650002,54.73,8400,54.193589
2015-03-24,55.00,55.34,54.75,55.169998,15100,54.629275
2015-03-23,55.00,55.240002,54.790001,54.959999,46100,54.421334
2015-03-20,54.830002,55.049999,54.68,55.02,5900,54.480748
2015-03-19,54.52,54.619999,54.310001,54.310001,13900,53.777707
2015-03-18,54.00,55.009998,53.830002,54.880001,102700,54.342121
2015-03-17,54.040001,54.25,53.689999,54.25,12600,53.718294
2015-03-16,54.299999,54.389999,54.119999,54.299999,11400,53.767803
2015-03-13,53.869999,54.02,53.349998,53.68,13300,53.153881
2015-03-12,53.959999,54.150002,53.830002,54.029999,8800,53.500449
2015-03-11,53.48,53.68,53.369999,53.630001,6200,53.104372
2015-03-10,53.810001,53.810001,53.349998,53.349998,16200,52.827114
2015-03-09,54.400002,54.639999,54.259998,54.52,9800,53.985648
2015-03-06,54.990002,54.990002,54.279999,54.349998,24800,53.817312
2015-03-05,55.48,55.549999,55.18,55.34,11100,54.797611
2015-03-04,55.330002,55.459999,54.790001,55.220001,18600,54.678788
2015-03-03,56.16,56.18,55.50,55.580002,8300,55.035261
2015-03-02,56.009998,56.200001,55.700001,55.939999,30300,55.391729
2015-02-27,56.139999,56.139999,55.84,55.84,12500,55.292711
2015-02-26,56.310001,56.310001,56.040001,56.09,8100,55.54026
2015-02-25,56.369999,56.509998,56.259998,56.389999,24900,55.837319
2015-02-24,56.389999,56.689999,56.18,56.34,9100,55.78781
2015-02-23,56.09,56.189999,55.799999,56.09,20300,55.54026
2015-02-20,55.73,56.330002,55.610001,56.299999,13600,55.748201
2015-02-19,56.029999,56.220001,55.880001,55.93,20300,55.381829
2015-02-18,55.93,56.25,55.619999,56.220001,17000,55.668987
2015-02-17,56.41,56.41,55.91,55.970001,10000,55.421438
2015-02-13,56.650002,56.650002,56.310001,56.639999,11700,56.084869
2015-02-12,55.709999,56.669998,55.700001,56.599998,33800,56.04526
2015-02-11,55.099998,55.48,54.970001,55.34,77200,54.797611
2015-02-10,55.00,55.369999,54.630001,55.330002,11700,54.787711
2015-02-09,54.610001,54.860001,54.599998,54.740002,6000,54.203493
2015-02-06,55.169998,55.200001,54.66,54.66,22800,54.124276
2015-02-05,54.990002,55.099998,54.740002,55.099998,74200,54.559962
2015-02-04,54.16,54.869999,54.16,54.50,16800,53.965844
2015-02-03,54.549999,54.900002,54.549999,54.880001,10100,54.342121
2015-02-02,54.16,54.52,53.75,54.200001,33800,53.668785
2015-01-30,53.779999,54.639999,53.779999,54.16,17900,53.629176
2015-01-29,53.93,54.369999,53.68,54.310001,10400,53.777707
