Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,11.27,11.27,11.27,11.27,000,11.27
2015-08-06,11.27,11.27,11.27,11.27,300,11.27
2015-08-05,11.29,11.29,11.29,11.29,000,11.25
2015-08-04,11.30,11.30,11.29,11.29,600,11.25
2015-08-03,11.15,11.15,11.15,11.15,700,11.110496
2015-07-31,11.30,11.38,11.07,11.11,2800,11.070637
2015-07-30,11.08,11.15,11.08,11.15,2700,11.110496
2015-07-29,11.08,11.08,11.08,11.08,000,11.040744
2015-07-28,11.08,11.08,11.08,11.08,100,11.040744
2015-07-27,11.10,11.29,11.09,11.28,6000,11.240035
2015-07-24,11.10,11.10,11.10,11.10,000,11.060674
2015-07-23,11.11,11.30,11.10,11.10,4100,11.060674
2015-07-22,11.23,11.25,11.23,11.25,1300,11.210142
2015-07-21,11.25,11.25,11.25,11.25,100,11.210142
2015-07-20,11.39,11.39,11.39,11.39,200,11.349646
2015-07-17,10.93,11.36,10.90,11.36,4100,11.319752
2015-07-16,11.35,11.40,11.35,11.40,3500,11.35961
2015-07-15,11.37,11.40,11.35,11.35,3500,11.309788
2015-07-14,11.65,11.65,11.57,11.57,1300,11.529008
2015-07-13,11.70,11.72,11.65,11.65,4300,11.608724
2015-07-10,11.71,11.75,11.70,11.74,1400,11.698405
2015-07-09,11.84,11.84,11.84,11.84,100,11.798052
2015-07-08,11.77,11.77,11.77,11.77,300,11.7283
2015-07-07,11.74,11.75,11.70,11.74,2600,11.698405
2015-07-06,11.74,11.75,11.70,11.70,1000,11.658547
2015-07-02,11.75,11.75,11.75,11.75,000,11.70837
2015-07-01,11.75,11.75,11.75,11.75,000,11.70837
2015-06-30,11.80,11.81,11.71,11.75,2800,11.70837
2015-06-29,11.93,11.93,11.93,11.93,400,11.887733
2015-06-26,11.92,11.92,11.92,11.92,000,11.877768
2015-06-25,11.80,11.92,11.80,11.92,1200,11.877768
2015-06-24,11.71,11.81,11.70,11.81,300,11.768158
2015-06-23,11.94,11.94,11.94,11.94,300,11.897697
2015-06-22,11.66,11.66,11.66,11.66,000,11.618689
2015-06-19,12.00,12.18,11.66,11.66,14500,11.618689
2015-06-18,12.00,12.00,11.92,11.99,1100,11.94752
2015-06-17,11.98,12.00,11.70,11.99,1400,11.94752
2015-06-16,11.97,11.97,11.62,11.85,2300,11.808016
2015-06-15,11.97,11.99,11.83,11.97,2600,11.927591
