Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,47.830002,48.279999,47.799999,48.220001,469300,48.220001
2015-08-06,48.189999,48.380001,47.84,48.130001,302900,48.130001
2015-08-05,48.049999,48.57,47.970001,47.990002,566500,47.990002
2015-08-04,48.669998,49.529999,47.880001,47.91,425000,47.91
2015-08-03,49.459999,49.459999,47.98,48.580002,294200,48.580002
2015-07-31,48.82,49.540001,48.709999,49.360001,569400,49.360001
2015-07-30,48.23,48.799999,47.849998,48.68,343100,48.68
2015-07-29,47.509998,48.759998,47.360001,48.549999,315400,48.549999
2015-07-28,47.040001,47.900002,46.41,47.73,400400,47.73
2015-07-27,47.060001,47.34,46.619999,46.939999,442800,46.939999
2015-07-24,48.299999,48.34,47.310001,47.369999,414100,47.369999
2015-07-23,49.139999,49.639999,48.549999,48.580002,617500,48.580002
2015-07-22,48.959999,49.75,48.950001,49.25,798600,49.25
2015-07-21,50.50,51.700001,48.630001,49.049999,1913500,49.049999
2015-07-20,54.060001,54.27,53.240002,53.369999,393100,53.369999
2015-07-17,54.299999,54.360001,53.450001,53.529999,581300,53.529999
2015-07-16,54.200001,54.740002,54.00,54.080002,229600,54.080002
2015-07-15,54.619999,54.619999,53.970001,54.139999,195800,54.139999
2015-07-14,53.299999,54.639999,53.110001,54.52,476100,54.52
2015-07-13,53.869999,53.91,52.970001,53.189999,433800,53.189999
2015-07-10,53.68,53.880001,53.220001,53.380001,346000,53.380001
2015-07-09,53.860001,54.349998,52.91,52.919998,396200,52.919998
2015-07-08,53.75,54.299999,53.00,53.459999,356400,53.459999
2015-07-07,54.779999,54.779999,53.220001,54.27,386700,54.27
2015-07-06,54.50,55.310001,54.279999,54.66,399700,54.66
2015-07-02,55.16,55.220001,54.59,54.799999,359100,54.799999
2015-07-01,55.59,55.59,54.900002,54.990002,419500,54.990002
2015-06-30,55.23,55.369999,54.799999,54.990002,268100,54.990002
2015-06-29,55.580002,56.389999,54.860001,54.939999,366600,54.939999
2015-06-26,56.380001,56.549999,55.950001,56.400002,646400,56.400002
2015-06-25,56.32,56.380001,55.790001,56.099998,319300,56.099998
2015-06-24,55.75,56.380001,55.700001,56.25,458000,56.25
2015-06-23,55.720001,55.93,55.630001,55.830002,301300,55.830002
2015-06-22,55.689999,55.91,55.32,55.68,253300,55.68
2015-06-19,55.630001,55.720001,55.209999,55.310001,399300,55.310001
2015-06-18,55.060001,55.959999,54.75,55.560001,389800,55.560001
2015-06-17,54.650002,55.450001,54.560001,54.82,583300,54.82
2015-06-16,53.91,54.650002,53.599998,54.529999,458600,54.529999
2015-06-15,53.650002,54.099998,53.049999,54.09,367400,54.09
2015-06-12,53.900002,54.169998,53.639999,53.919998,287800,53.919998
2015-06-11,54.380001,54.380001,53.669998,54.200001,259100,54.200001
2015-06-10,53.330002,54.450001,53.330002,54.029999,542500,54.029999
2015-06-09,53.52,53.549999,53.150002,53.459999,322400,53.459999
2015-06-08,54.189999,54.189999,53.16,53.52,313900,53.52
2015-06-05,53.07,54.130001,52.810001,54.049999,467500,54.049999
2015-06-04,52.490002,53.150002,51.919998,53.009998,669600,53.009998
2015-06-03,52.049999,52.98,51.919998,52.959999,362100,52.959999
2015-06-02,51.470001,52.470001,51.400002,51.889999,375100,51.889999
2015-06-01,51.169998,51.790001,50.560001,51.759998,350600,51.759998
2015-05-29,51.75,51.93,50.639999,50.939999,316300,50.939999
2015-05-28,52.439999,52.50,51.52,51.810001,331400,51.810001
2015-05-27,52.360001,52.50,51.77,52.41,454300,52.41
2015-05-26,52.720001,53.57,51.900002,52.139999,370600,52.139999
2015-05-22,53.799999,54.299999,52.900002,53.16,398800,53.16
2015-05-21,52.610001,54.59,52.450001,53.790001,756900,53.790001
2015-05-20,50.93,51.279999,50.59,51.080002,196100,51.080002
2015-05-19,51.25,51.25,50.299999,50.759998,284400,50.759998
2015-05-18,50.48,51.299999,50.439999,51.25,255900,51.25
2015-05-15,50.50,50.75,50.439999,50.650002,301500,50.650002
2015-05-14,49.91,50.66,49.68,50.66,306100,50.66
2015-05-13,49.279999,49.939999,49.009998,49.849998,253300,49.75
2015-05-12,48.610001,49.220001,48.150002,49.16,252100,49.061385
2015-05-11,48.560001,49.099998,48.419998,49.009998,312700,48.911685
2015-05-08,48.650002,49.049999,48.299999,48.66,448800,48.562388
2015-05-07,47.279999,48.369999,47.07,47.990002,473100,47.893734
2015-05-06,46.880001,47.400002,46.369999,47.389999,285600,47.294935
2015-05-05,47.09,47.630001,46.400002,46.84,437000,46.746039
2015-05-04,47.439999,47.939999,47.25,47.389999,260600,47.294935
2015-05-01,47.099998,47.82,46.84,47.349998,191600,47.255015
2015-04-30,48.060001,48.279999,46.959999,47.049999,372200,46.955617
2015-04-29,48.779999,48.959999,48.27,48.52,151400,48.42267
2015-04-28,48.799999,49.110001,48.48,48.959999,131200,48.861786
2015-04-27,48.540001,49.150002,48.450001,48.790001,261100,48.692128
2015-04-24,49.200001,49.419998,48.330002,48.459999,202200,48.362789
2015-04-23,48.669998,49.139999,48.610001,49.00,164500,48.901706
2015-04-22,48.68,49.16,47.900002,48.93,395900,48.831847
2015-04-21,48.849998,50.669998,48.25,49.130001,460900,49.031447
2015-04-20,48.07,49.049999,48.07,48.580002,330100,48.482551
2015-04-17,49.080002,49.150002,48.32,48.790001,344200,48.692128
2015-04-16,49.439999,49.700001,49.220001,49.360001,170700,49.260985
2015-04-15,49.439999,50.040001,49.240002,49.709999,215800,49.610281
2015-04-14,49.259998,49.630001,48.860001,49.299999,187700,49.201104
2015-04-13,49.189999,49.779999,49.18,49.259998,136200,49.161183
2015-04-10,49.049999,49.259998,48.830002,49.200001,183900,49.101306
2015-04-09,48.34,49.049999,48.290001,48.740002,350400,48.64223
2015-04-08,48.34,48.560001,47.91,48.529999,290000,48.432648
2015-04-07,50.029999,50.029999,48.290001,48.360001,678000,48.262991
2015-04-06,50.509998,51.549999,50.50,51.419998,341400,51.31685
2015-04-02,50.91,51.490002,50.459999,50.950001,151700,50.847795
2015-04-01,50.810001,51.080002,50.150002,50.91,155800,50.807875
2015-03-31,50.639999,51.110001,50.41,51.009998,288900,50.907673
2015-03-30,50.610001,51.169998,50.529999,50.98,148500,50.877734
2015-03-27,50.049999,50.48,49.91,50.41,177700,50.308878
2015-03-26,50.470001,50.900002,50.049999,50.290001,434400,50.189119
2015-03-25,51.00,51.43,50.580002,50.599998,453200,50.498495
2015-03-24,50.610001,50.990002,50.299999,50.919998,138500,50.817853
2015-03-23,50.529999,50.889999,50.049999,50.709999,218700,50.608275
2015-03-20,50.310001,50.849998,50.099998,50.73,525000,50.628235
2015-03-19,50.130001,50.299999,49.790001,49.93,117500,49.829841
2015-03-18,49.34,50.700001,48.959999,50.43,200100,50.328838
2015-03-17,49.189999,49.57,48.639999,49.419998,208600,49.320862
2015-03-16,49.060001,49.639999,48.880001,49.48,222100,49.380743
2015-03-13,49.380001,49.380001,48.07,48.779999,212000,48.682146
2015-03-12,48.630001,49.529999,48.25,49.389999,322600,49.290923
2015-03-11,47.860001,48.23,47.540001,48.189999,286900,48.09333
2015-03-10,48.400002,48.639999,47.860001,47.919998,233600,47.823871
2015-03-09,48.040001,49.080002,47.509998,48.919998,301400,48.821865
2015-03-06,48.060001,48.509998,47.549999,47.830002,199600,47.734055
2015-03-05,48.810001,49.150002,48.049999,48.650002,215700,48.55241
2015-03-04,48.220001,48.709999,47.880001,48.630001,213100,48.53245
2015-03-03,48.669998,48.970001,48.34,48.540001,207400,48.44263
2015-03-02,48.549999,49.040001,48.27,48.98,276800,48.881746
2015-02-27,49.00,49.330002,48.52,48.549999,179600,48.452608
2015-02-26,49.02,49.610001,48.810001,49.16,195500,49.061385
2015-02-25,49.450001,49.689999,48.900002,49.209999,304100,49.111284
2015-02-24,48.73,49.400002,48.700001,49.389999,314900,49.290923
2015-02-23,48.490002,48.75,48.130001,48.599998,213300,48.502507
2015-02-20,48.330002,48.91,47.509998,48.75,313800,48.652208
2015-02-19,48.369999,48.630001,47.16,48.25,311000,48.153211
2015-02-18,48.77,49.610001,48.139999,48.650002,437900,48.55241
2015-02-17,48.490002,49.509998,48.110001,49.02,324000,48.921667
2015-02-13,48.41,49.419998,48.139999,48.59,331700,48.492529
2015-02-12,48.490002,48.799999,48.049999,48.48,226600,48.382749
2015-02-11,48.049999,48.330002,47.740002,48.130001,294100,48.033453
2015-02-10,48.57,48.580002,47.990002,48.220001,385900,48.023471
2015-02-09,47.389999,48.459999,47.029999,48.119999,400700,47.923876
2015-02-06,47.16,47.91,46.689999,47.66,321100,47.465752
2015-02-05,46.580002,47.07,46.220001,47.040001,308300,46.84828
2015-02-04,46.529999,46.91,45.939999,46.09,248700,45.902151
2015-02-03,45.650002,46.919998,45.369999,46.91,359200,46.718808
2015-02-02,44.689999,45.330002,44.169998,45.310001,255000,45.125331
2015-01-30,45.169998,45.619999,44.560001,44.610001,271500,44.428183
2015-01-29,45.169998,45.720001,44.549999,45.630001,243800,45.444027
2015-01-28,45.57,45.82,44.75,44.939999,355900,44.756836
2015-01-27,45.09,45.759998,44.860001,45.189999,267700,45.005817
2015-01-26,45.470001,46.630001,44.549999,45.810001,470600,45.623293
