Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,1.68,1.82,1.54,1.57,248900,1.57
2015-08-06,1.58,1.70,1.55,1.66,80000,1.66
2015-08-05,1.65,1.72,1.61,1.64,27300,1.64
2015-08-04,1.62,1.85,1.55,1.66,292900,1.66
2015-08-03,1.66,1.75,1.66,1.68,37800,1.68
2015-07-31,1.86,1.94,1.66,1.68,284800,1.68
2015-07-30,1.78,1.84,1.56,1.82,66300,1.82
2015-07-29,1.57,1.89,1.57,1.78,196800,1.78
2015-07-28,1.90,1.90,1.39,1.64,75000,1.64
2015-07-27,1.87,1.95,1.83,1.86,83000,1.86
2015-07-24,1.86,1.99,1.80,1.89,69100,1.89
2015-07-23,2.00,2.00,1.83,1.86,75500,1.86
2015-07-22,2.23,2.23,1.96,2.00,121400,2.00
2015-07-21,1.73,2.50,1.73,2.12,851800,2.12
2015-07-20,2.30,2.30,1.48,1.63,286600,1.63
2015-07-17,0.25,0.26,0.24,0.25,21500,2.50
2015-07-16,0.26,0.27,0.25,0.25,21700,2.50
2015-07-15,0.27,0.27,0.25,0.25,17000,2.50
2015-07-14,0.26,0.27,0.26,0.26,13600,2.60
2015-07-13,0.27,0.28,0.25,0.26,42800,2.60
2015-07-10,0.27,0.27,0.25,0.25,22800,2.50
2015-07-09,0.24,0.27,0.24,0.25,34800,2.50
2015-07-08,0.25,0.26,0.24,0.24,45500,2.40
2015-07-07,0.27,0.27,0.24,0.25,82100,2.50
2015-07-06,0.28,0.29,0.26,0.27,36600,2.70
2015-07-02,0.29,0.29,0.26,0.28,30900,2.80
2015-07-01,0.30,0.32,0.28,0.28,117300,2.80
2015-06-30,0.28,0.30,0.28,0.28,73400,2.80
2015-06-29,0.29,0.29,0.27,0.29,27600,2.90
2015-06-26,0.28,0.31,0.28,0.28,66400,2.80
2015-06-25,0.28,0.28,0.27,0.28,26800,2.80
2015-06-24,0.28,0.28,0.27,0.27,48700,2.70
2015-06-23,0.28,0.28,0.27,0.27,38000,2.70
2015-06-22,0.28,0.29,0.26,0.28,46500,2.80
2015-06-19,0.30,0.32,0.27,0.27,86500,2.70
2015-06-18,0.33,0.34,0.29,0.30,128300,3.00
2015-06-17,0.29,0.35,0.29,0.33,355400,3.30
2015-06-16,0.27,0.31,0.27,0.28,191700,2.80
2015-06-15,0.28,0.28,0.27,0.27,20600,2.70
2015-06-12,0.29,0.29,0.26,0.27,36700,2.70
2015-06-11,0.29,0.29,0.27,0.29,29900,2.90
2015-06-10,0.30,0.31,0.27,0.28,61600,2.80
2015-06-09,0.27,0.31,0.26,0.30,192200,3.00
2015-06-08,0.27,0.28,0.26,0.26,31500,2.60
2015-06-05,0.26,0.27,0.26,0.27,38200,2.70
2015-06-04,0.26,0.28,0.25,0.25,46900,2.50
2015-06-03,0.28,0.28,0.26,0.26,52200,2.60
2015-06-02,0.26,0.28,0.25,0.27,117700,2.70
2015-06-01,0.24,0.26,0.21,0.25,56200,2.50
2015-05-29,0.27,0.27,0.24,0.24,68400,2.40
2015-05-28,0.27,0.27,0.25,0.26,80700,2.60
2015-05-27,0.27,0.28,0.26,0.27,68900,2.70
2015-05-26,0.29,0.29,0.25,0.26,62700,2.60
2015-05-22,0.29,0.29,0.26,0.27,92100,2.70
2015-05-21,0.29,0.29,0.27,0.27,110700,2.70
2015-05-20,0.30,0.31,0.28,0.30,95500,3.00
2015-05-19,0.31,0.32,0.28,0.28,130200,2.80
2015-05-18,0.34,0.34,0.27,0.30,194900,3.00
2015-05-15,0.37,0.37,0.29,0.32,190800,3.20
2015-05-14,0.38,0.39,0.33,0.34,195900,3.40
2015-05-13,0.38,0.41,0.34,0.34,321300,3.40
2015-05-12,0.35,0.36,0.33,0.36,118500,3.60
2015-05-11,0.39,0.39,0.32,0.36,225700,3.60
2015-05-08,0.34,0.42,0.32,0.35,492600,3.50
2015-05-07,0.37,0.37,0.30,0.32,196900,3.20
2015-05-06,0.40,0.44,0.35,0.36,315900,3.60
2015-05-05,0.49,0.56,0.36,0.38,928000,3.80
2015-05-04,0.44,0.55,0.40,0.54,953200,5.40
2015-05-01,0.32,0.39,0.28,0.36,756300,3.60
2015-04-30,0.31,0.33,0.27,0.31,685200,3.10
2015-04-29,0.30,0.33,0.25,0.26,470900,2.60
2015-04-28,0.23,0.37,0.21,0.33,583800,3.30
2015-04-27,0.22,0.24,0.22,0.23,129900,2.30
2015-04-24,0.22,0.22,0.20,0.21,33200,2.10
2015-04-23,0.21,0.23,0.21,0.21,32300,2.10
2015-04-22,0.22,0.23,0.20,0.22,49300,2.20
2015-04-21,0.23,0.24,0.20,0.22,85900,2.20
2015-04-20,0.25,0.26,0.23,0.23,37100,2.30
2015-04-17,0.27,0.27,0.25,0.25,24700,2.50
2015-04-16,0.25,0.28,0.25,0.26,47300,2.60
2015-04-15,0.27,0.27,0.25,0.25,27400,2.50
2015-04-14,0.26,0.29,0.24,0.27,49000,2.70
2015-04-13,0.26,0.28,0.25,0.25,53500,2.50
2015-04-10,0.27,0.27,0.24,0.26,34800,2.60
2015-04-09,0.29,0.30,0.27,0.28,23900,2.80
2015-04-08,0.27,0.31,0.26,0.29,45500,2.90
2015-04-07,0.28,0.29,0.23,0.27,88700,2.70
2015-04-06,0.27,0.28,0.24,0.26,26700,2.60
2015-04-02,0.28,0.28,0.26,0.26,8500,2.60
2015-04-01,0.26,0.28,0.25,0.28,31600,2.80
2015-03-31,0.28,0.28,0.27,0.28,16000,2.80
2015-03-30,0.30,0.30,0.26,0.27,26100,2.70
2015-03-27,0.30,0.30,0.27,0.29,29700,2.90
2015-03-26,0.33,0.33,0.28,0.28,33200,2.80
2015-03-25,0.31,0.34,0.30,0.32,55900,3.20
2015-03-24,0.31,0.31,0.28,0.30,42800,3.00
2015-03-23,0.28,0.31,0.26,0.30,88500,3.00
2015-03-20,0.29,0.29,0.26,0.26,50400,2.60
2015-03-19,0.30,0.30,0.27,0.28,28600,2.80
2015-03-18,0.35,0.35,0.27,0.30,31100,3.00
2015-03-17,0.31,0.31,0.27,0.31,32500,3.10
2015-03-16,0.32,0.32,0.27,0.27,55000,2.70
2015-03-13,0.35,0.35,0.31,0.32,17600,3.20
2015-03-12,0.30,0.34,0.30,0.34,24600,3.40
2015-03-11,0.30,0.33,0.30,0.30,28700,3.00
2015-03-10,0.41,0.41,0.29,0.31,124700,3.10
2015-03-09,0.42,0.42,0.37,0.37,68200,3.70
2015-03-06,0.42,0.42,0.41,0.42,26800,4.20
2015-03-05,0.41,0.44,0.40,0.43,15200,4.30
2015-03-04,0.42,0.43,0.40,0.43,47300,4.30
2015-03-03,0.45,0.45,0.43,0.44,17600,4.40
2015-03-02,0.46,0.47,0.44,0.45,35300,4.50
2015-02-27,0.47,0.52,0.38,0.45,123200,4.50
2015-02-26,0.45,0.47,0.42,0.43,34300,4.30
2015-02-25,0.46,0.46,0.44,0.46,9400,4.60
2015-02-24,0.48,0.48,0.44,0.45,26000,4.50
2015-02-23,0.50,0.50,0.46,0.48,34200,4.80
2015-02-20,0.41,0.52,0.41,0.49,148600,4.90
2015-02-19,0.42,0.44,0.40,0.40,20100,4.00
2015-02-18,0.46,0.46,0.42,0.43,20900,4.30
2015-02-17,0.43,0.44,0.40,0.43,25500,4.30
2015-02-13,0.44,0.44,0.42,0.43,8200,4.30
2015-02-12,0.45,0.46,0.42,0.42,15400,4.20
2015-02-11,0.47,0.47,0.42,0.42,17300,4.20
2015-02-10,0.50,0.52,0.43,0.44,61700,4.40
2015-02-09,0.42,0.45,0.42,0.42,11400,4.20
2015-02-06,0.45,0.45,0.41,0.42,8100,4.20
2015-02-05,0.47,0.47,0.42,0.42,19700,4.20
2015-02-04,0.46,0.46,0.42,0.42,13800,4.20
2015-02-03,0.45,0.47,0.44,0.47,16200,4.70
2015-02-02,0.46,0.50,0.45,0.47,12300,4.70
2015-01-30,0.58,0.58,0.44,0.46,62300,4.60
2015-01-29,0.41,0.56,0.38,0.53,65700,5.30
2015-01-28,0.43,0.45,0.41,0.44,6200,4.40
2015-01-27,0.47,0.47,0.43,0.45,9700,4.50
2015-01-26,0.49,0.49,0.43,0.45,10000,4.50
2015-01-23,0.47,0.47,0.44,0.45,6800,4.50
2015-01-22,0.50,0.50,0.46,0.47,8500,4.70
2015-01-21,0.47,0.48,0.44,0.48,7500,4.80
2015-01-20,0.51,0.51,0.43,0.47,18200,4.70
2015-01-16,0.49,0.49,0.45,0.48,14400,4.80
2015-01-15,0.49,0.50,0.46,0.48,27200,4.80
2015-01-14,0.59,0.59,0.48,0.50,26000,5.00
2015-01-13,0.50,0.64,0.50,0.60,79800,6.00
2015-01-12,0.42,0.51,0.41,0.50,31800,5.00
2015-01-09,0.42,0.42,0.40,0.40,15600,4.00
2015-01-08,0.42,0.43,0.40,0.40,18700,4.00
2015-01-07,0.48,0.49,0.40,0.42,29600,4.20
2015-01-06,0.45,0.47,0.44,0.46,23000,4.60
2015-01-05,0.47,0.49,0.42,0.45,21900,4.50
2015-01-02,0.50,0.54,0.43,0.49,23000,4.90
2014-12-31,0.53,0.55,0.50,0.51,44800,5.10
2014-12-30,0.62,0.63,0.49,0.51,106400,5.10
2014-12-29,0.93,0.95,0.58,0.63,141100,6.30
2014-12-26,0.95,0.98,0.93,0.94,13200,9.40
2014-12-24,0.99,0.99,0.91,0.95,8400,9.50
2014-12-23,1.03,1.06,0.96,0.99,12000,9.90
2014-12-22,1.02,1.14,1.00,1.03,16300,10.30
2014-12-19,1.01,1.03,0.94,1.02,12900,10.20
2014-12-18,0.99,1.01,0.96,1.00,14900,10.00
2014-12-17,1.01,1.03,0.93,0.99,9700,9.90
2014-12-16,1.00,1.03,0.96,1.00,9700,10.00
2014-12-15,1.00,1.04,1.00,1.01,6000,10.100001
2014-12-12,1.06,1.10,1.01,1.02,3600,10.20
2014-12-11,1.00,1.08,0.99,1.06,9700,10.600001
2014-12-10,0.96,1.00,0.95,1.00,6600,10.00
2014-12-09,0.97,0.99,0.91,0.96,14100,9.600001
2014-12-08,1.16,1.19,0.92,0.97,37200,9.70
2014-12-05,1.30,1.30,1.13,1.16,34500,11.600001
2014-12-04,1.31,1.34,1.27,1.31,2800,13.100001
2014-12-03,1.30,1.33,1.27,1.30,3900,13.00
2014-12-02,1.34,1.34,1.27,1.30,4900,13.00
2014-12-01,1.37,1.40,1.31,1.31,8000,13.100001
2014-11-28,1.42,1.42,1.34,1.38,12800,13.80
2014-11-26,1.38,1.46,1.35,1.35,10900,13.50
2014-11-25,1.43,1.43,1.37,1.40,7300,14.00
2014-11-24,1.37,1.43,1.36,1.43,4600,14.30
2014-11-21,1.38,1.42,1.33,1.39,6800,13.90
2014-11-20,1.39,1.43,1.35,1.38,4900,13.80
2014-11-19,1.37,1.45,1.37,1.41,6900,14.100001
2014-11-18,1.34,1.45,1.33,1.39,14100,13.90
2014-11-17,1.38,1.39,1.32,1.33,5000,13.30
2014-11-14,1.40,1.40,1.35,1.39,6900,13.90
2014-11-13,1.40,1.47,1.40,1.40,5900,14.00
2014-11-12,1.40,1.45,1.38,1.42,4800,14.20
2014-11-11,1.38,1.48,1.37,1.45,4300,14.50
2014-11-10,1.44,1.49,1.35,1.40,4400,14.00
2014-11-07,1.37,1.50,1.35,1.43,4500,14.30
2014-11-06,1.37,1.38,1.30,1.37,8700,13.70
2014-11-05,1.47,1.47,1.25,1.36,22600,13.600001
2014-11-04,1.60,1.63,1.40,1.40,38800,14.00
2014-11-03,1.69,1.72,1.60,1.64,9000,16.40
2014-10-31,1.67,1.71,1.60,1.67,5500,16.700001
2014-10-30,1.59,1.72,1.58,1.67,6700,16.700001
2014-10-29,1.62,1.70,1.58,1.62,4900,16.200001
2014-10-28,1.70,1.78,1.58,1.63,5500,16.299999
2014-10-27,1.53,1.75,1.52,1.66,6600,16.600001
2014-10-24,1.55,1.56,1.52,1.55,2400,15.50
2014-10-23,1.55,1.61,1.50,1.53,7400,15.30
2014-10-22,1.68,1.74,1.46,1.54,13200,15.40
2014-10-21,1.67,1.75,1.58,1.69,6000,16.90
2014-10-20,1.60,1.68,1.59,1.67,3900,16.700001
2014-10-17,1.68,1.85,1.62,1.63,17000,16.299999
2014-10-16,1.40,1.67,1.37,1.60,11300,16.00
2014-10-15,1.35,1.49,1.22,1.45,21400,14.50
2014-10-14,1.51,1.53,1.33,1.39,23100,13.90
2014-10-13,1.64,1.70,1.51,1.52,17900,15.20
2014-10-10,1.69,1.70,1.64,1.66,7700,16.600001
2014-10-09,1.79,1.79,1.67,1.70,13400,17.00
2014-10-08,1.83,1.86,1.75,1.78,22000,17.80
2014-10-07,1.91,1.92,1.80,1.82,16200,18.200001
2014-10-06,1.99,1.99,1.82,1.90,33400,19.00
2014-10-03,1.96,1.99,1.93,1.99,7100,19.90
2014-10-02,1.93,1.96,1.91,1.96,6300,19.600001
2014-10-01,2.00,2.05,1.91,1.95,14600,19.50
2014-09-30,1.93,1.97,1.90,1.96,15800,19.600001
2014-09-29,1.97,1.97,1.92,1.94,10600,19.40
2014-09-26,1.98,2.00,1.95,1.96,16000,19.600001
2014-09-25,2.00,2.01,1.96,1.99,39500,19.90
2014-09-24,1.95,1.96,1.92,1.92,8700,19.200001
2014-09-23,1.92,1.96,1.90,1.93,13900,19.30
2014-09-22,1.96,2.02,1.91,1.92,25700,19.200001
2014-09-19,1.97,1.99,1.91,1.98,31100,19.80
2014-09-18,2.04,2.04,1.95,1.97,24600,19.700001
2014-09-17,2.01,2.10,2.00,2.02,28800,20.200001
2014-09-16,2.02,2.05,2.00,2.00,17200,20.00
2014-09-15,2.12,2.12,1.97,2.03,25400,20.30
2014-09-12,2.18,2.19,2.08,2.11,22700,21.100001
2014-09-11,2.12,2.23,2.12,2.15,56500,21.50
2014-09-10,2.11,2.18,2.09,2.14,20300,21.40
2014-09-09,2.11,2.23,2.09,2.11,65600,21.100001
2014-09-08,2.21,2.23,2.09,2.14,32400,21.40
2014-09-05,2.15,2.27,2.08,2.21,66100,22.100001
2014-09-04,2.08,2.43,2.05,2.18,385700,21.80
2014-09-03,2.00,2.17,2.00,2.10,63100,21.00
2014-09-02,1.98,2.04,1.98,2.01,17300,20.100001
2014-08-29,1.98,2.03,1.96,1.98,22400,19.80
2014-08-28,1.97,2.01,1.95,1.98,22200,19.80
2014-08-27,2.05,2.07,1.95,1.96,29700,19.600001
