Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,7.77,8.03,7.70,7.74,9400,7.74
2015-08-06,8.05,8.10,7.967,8.00,19900,8.00
2015-08-05,7.968,8.05,7.80,7.96,12000,7.96
2015-08-04,7.98,8.05,7.692,7.95,17300,7.95
2015-08-03,7.99,8.00,7.81,7.935,5900,7.935
2015-07-31,7.75,7.90,7.72,7.81,10900,7.81
2015-07-30,8.03,8.03,7.69,7.71,4700,7.71
2015-07-29,7.778,8.10,7.69,8.04,4900,8.04
2015-07-28,8.10,8.11,7.66,7.95,17800,7.95
2015-07-27,8.09,8.09,7.47,7.91,13600,7.91
2015-07-24,8.83,8.88,8.40,8.71,6100,8.71
2015-07-23,8.99,9.13,8.80,9.00,12000,9.00
2015-07-22,9.02,9.243,8.72,9.00,16100,9.00
2015-07-21,9.137,9.48,9.01,9.01,10400,9.01
2015-07-20,9.50,9.50,9.00,9.00,8200,9.00
2015-07-17,9.60,9.61,9.40,9.48,12400,9.48
2015-07-16,9.68,9.74,9.35,9.61,19800,9.61
2015-07-15,9.60,9.70,9.024,9.41,24800,9.41
2015-07-14,8.79,10.00,8.73,9.43,41700,9.43
2015-07-13,8.27,9.07,7.80,9.00,22500,9.00
2015-07-10,8.18,8.33,8.01,8.26,6300,8.26
2015-07-09,7.68,8.109,7.68,7.77,7500,7.77
2015-07-08,7.915,8.009,7.50,7.78,8700,7.78
2015-07-07,8.20,8.29,7.98,8.16,21200,8.16
2015-07-06,7.60,8.20,7.60,8.10,72600,8.10
2015-07-02,7.48,7.85,7.48,7.81,12200,7.81
2015-07-01,7.38,7.52,7.28,7.41,4200,7.41
2015-06-30,7.468,7.468,7.01,7.25,13000,7.25
2015-06-29,7.40,7.55,7.25,7.32,10100,7.32
2015-06-26,7.58,7.58,7.22,7.40,40300,7.40
2015-06-25,7.50,7.58,7.27,7.40,57800,7.40
2015-06-24,7.38,7.65,7.38,7.525,13700,7.525
2015-06-23,7.41,7.50,7.40,7.48,3900,7.48
2015-06-22,7.75,7.75,7.31,7.31,4600,7.31
2015-06-19,7.34,7.54,7.33,7.33,2300,7.33
2015-06-18,7.17,7.55,7.17,7.55,14100,7.55
2015-06-17,7.33,7.43,7.09,7.41,14100,7.41
2015-06-16,7.49,7.67,7.145,7.26,14300,7.26
2015-06-15,7.30,7.50,7.15,7.50,12700,7.50
2015-06-12,7.48,7.48,7.30,7.35,5000,7.35
2015-06-11,7.62,7.75,7.35,7.46,24600,7.46
2015-06-10,7.61,7.754,7.506,7.70,9000,7.70
2015-06-09,7.25,7.75,7.25,7.70,12300,7.70
2015-06-08,7.57,7.642,7.184,7.39,45200,7.39
