Date,Open,High,Low,Close,Volume,Adj Close
8/14/2015,90.33,90.51,90,90.32,17810,90.32
8/13/2015,90.17,90.54,90.17,90.49,15700,90.49
8/12/2015,90.73,91.11,90.69,90.81,13710,90.81
8/11/2015,89.98,90.18,89.64,89.94,184230,89.94
8/10/2015,89.19,89.76,89.09,89.52,125840,89.52
8/7/2015,88.7,89.52,88.63,89.45,29120,89.45
8/6/2015,88.63,89.08,88.63,89.03,18440,89.03
8/5/2015,89,89.03,88.38,88.59,45180,88.59
8/4/2015,89.78,89.85,89.07,89.16,13930,89.16
8/3/2015,89.85,89.94,89.38,89.62,353420,89.62
7/31/2015,90.42,90.64,89.68,89.82,17250,89.82
7/30/2015,89.19,89.62,89.17,89.42,13610,89.42
7/29/2015,90.07,90.07,89.54,89.6,17000,89.6
7/28/2015,89.78,90.24,89.78,90.1,37410,90.1
7/27/2015,90.29,90.52,90.13,90.14,40060,90.14
7/24/2015,89.52,89.76,89.26,89.45,52140,89.45
7/23/2015,89.3,89.63,89.27,89.61,29540,89.61
7/22/2015,89,89.05,88.75,89.05,10820,89.05
7/21/2015,88.6,89.23,88.5,88.95,14550,88.95
7/20/2015,88.43,88.76,88.38,88.44,23000,88.44
7/17/2015,88.43,88.65,88.43,88.46,21670,88.46
7/16/2015,88.47,88.78,88.34,88.45,19580,88.45
7/15/2015,88.74,88.98,88.74,88.83,15480,88.83
7/14/2015,89,89.02,88.72,88.82,12840,88.82
7/13/2015,88.94,88.99,88.62,88.82,14550,88.82
7/10/2015,89.79,89.91,89.31,89.42,214000,89.42
7/9/2015,89.7,89.93,89.29,89.52,29410,89.52
7/8/2015,89.81,90.13,89.62,89.92,23680,89.92
7/7/2015,89.1,89.45,88.92,89.35,46160,89.35
7/6/2015,89.11,89.48,89.02,89.17,67500,89.17
7/2/2015,88.9,91.74,88.78,89.2,215910,89.2
7/1/2015,89.68,89.68,88.83,89.15,30240,89.15
6/30/2015,90.24,90.25,89.69,89.79,19330,89.79
6/29/2015,89.45,90.54,89.45,90.3,16420,90.3
6/26/2015,89.6,89.61,89.24,89.41,13990,89.41
6/25/2015,89.93,90.1,89.8,89.94,17160,89.94
6/24/2015,89.84,90.12,89.6,89.93,18760,89.93
6/23/2015,89.71,90.08,89.49,89.61,63600,89.61
6/22/2015,91.05,91.05,90.57,90.65,30390,90.65
6/19/2015,91.07,91.24,90.88,91.24,20360,91.24
6/18/2015,90.99,91.4,90.82,91.13,26260,91.13
6/17/2015,90.1,90.89,89.7,90.8,19830,90.8
6/16/2015,89.81,90.1,89.8,89.97,20470,89.97
