Date,Open,High,Low,Close,Volume,Adj Close
8/13/2015,44.03,44.48,42.66,42.98,262890,42.98
8/12/2015,44.08,44.64,43.55,44.01,273260,44.01
8/11/2015,45.51,46.01,43.53,43.87,293760,43.87
8/10/2015,44.27,45.69,43.84,45.66,257560,45.66
8/9/2015,43.62,43.62,43.39,43.58,,43.58
8/7/2015,45.24,45.57,44.2,44.36,184850,44.36
8/6/2015,45.58,45.69,44.63,45.09,161460,45.09
8/5/2015,46.37,47.07,45.23,45.55,106080,45.55
8/4/2015,45.79,46.58,45.7,46.13,102040,46.13
8/3/2015,47.28,47.32,45.48,45.56,91150,45.56
7/31/2015,48.83,49.03,47.1,47.53,71310,47.53
7/30/2015,49.23,49.73,48.73,48.91,46060,48.91
7/29/2015,48.18,49.91,47.81,49.16,66090,49.16
7/28/2015,47.44,48.86,47.1,48.41,63890,48.41
7/27/2015,48.3,48.69,47.35,47.85,54130,47.85
7/24/2015,48.79,49.03,47.72,48.14,278230,48.14
7/23/2015,49.23,49.63,48.21,48.45,316060,48.45
7/22/2015,50.71,50.71,49.04,49.19,347990,49.19
7/21/2015,50.25,51.41,50.08,50.86,254320,50.86
7/20/2015,51.11,51.58,50.15,50.44,288560,50.44
7/17/2015,51.22,51.55,50.5,51.21,188360,51.21
7/16/2015,51.95,52.54,51.16,51.24,205860,51.24
7/15/2015,53.87,53.94,51.58,51.79,174980,51.79
7/14/2015,52.51,53.86,51.41,53.48,205990,53.48
7/13/2015,52.68,53.65,51.75,52.71,152630,52.71
7/10/2015,52.91,54.35,52.41,53.22,140790,53.22
7/9/2015,52.3,53.98,51.91,53.23,148950,53.23
7/8/2015,53.31,53.34,51.35,52.09,173160,52.09
7/7/2015,53.03,53.81,50.95,52.71,157330,52.71
7/6/2015,56.78,57.14,52.72,52.84,148800,52.84
7/3/2015,56.6,56.78,55.42,55.52,,55.52
7/2/2015,57.29,58.31,56.85,57.3,90740,57.3
7/1/2015,59.34,59.35,57.11,57.37,109000,57.37
6/30/2015,58.63,60.05,58.32,59.83,78220,59.83
6/29/2015,59,59.63,58.39,58.68,59220,58.68
6/26/2015,59.66,59.96,58.76,59.63,231960,59.63
6/25/2015,60.22,60.46,59.43,59.7,222340,59.7
6/24/2015,61.14,61.57,59.8,60.27,312990,60.27
6/23/2015,60.21,61.49,59.55,61.01,336220,61.01
6/22/2015,59.75,60.63,59.27,60.38,255310,60.38
6/19/2015,60.88,60.93,59.24,59.97,299890,59.97
6/18/2015,60.1,61.33,59.67,60.82,171480,60.82
6/17/2015,60.52,61.81,59.34,60.33,232090,60.33
6/16/2015,60.01,60.81,59.88,60.45,129300,60.45
6/15/2015,60.33,60.42,59.19,60,128260,60
6/12/2015,60.92,61.06,60.18,60.4,91960,60.4
6/11/2015,61.56,61.91,60.65,61.22,150620,61.22
6/10/2015,61,62.22,60.88,61.82,188780,61.82
6/9/2015,58.72,61.08,58.7,60.61,153510,60.61
6/8/2015,59.25,59.53,58.32,58.61,142740,58.61
6/5/2015,58.29,59.65,57.21,59.56,143410,59.56
6/4/2015,59.81,60.22,58.19,58.34,107730,58.34
6/3/2015,61.29,61.68,59.66,59.93,104500,59.93
6/2/2015,60.41,61.83,60.36,61.52,89560,61.52
6/1/2015,60.29,60.64,59.33,60.2,292190,60.2
5/29/2015,57.97,60.7,57.72,60.3,452220,60.3
5/28/2015,57.63,58.07,56.51,57.68,340680,57.68
5/27/2015,58.32,58.95,57.36,57.51,314920,57.51
5/26/2015,60.05,60.25,57.71,58.03,330130,58.03
5/25/2015,59.93,60.24,59.11,59.85,,59.85
5/24/2015,60.01,60.01,59.78,59.92,,59.92
5/22/2015,60.66,60.8,59.35,59.72,230310,59.72
5/21/2015,58.81,60.94,58.69,60.72,329770,60.72
5/20/2015,58.32,59.04,58.1,58.98,287130,58.98
5/19/2015,60.32,60.42,57.93,57.99,336780,57.99
5/18/2015,60.62,61.71,59.85,60.24,305120,60.24
5/15/2015,60.69,60.82,59.32,60.54,190730,60.54
5/14/2015,61.13,61.8,60.38,60.84,187240,60.84
5/13/2015,62.12,62.75,61,61.49,220830,61.49
5/12/2015,60.27,62.27,60.1,61.74,193150,61.74
5/11/2015,60.25,60.77,59.71,60.29,158560,60.29
5/10/2015,59.44,59.44,59.19,59.31,,59.31
5/8/2015,59.97,60.83,59.09,60.35,176970,60.35
5/7/2015,61.71,62.4,59.51,59.92,175620,59.92
5/6/2015,61.74,63.62,61.62,62,154260,62
5/5/2015,60.19,62.2,59.91,61.5,149030,61.5
5/4/2015,59.3,59.73,58.45,58.93,215050,58.93
5/1/2015,59.79,59.9,58.32,59.15,244750,59.15
4/30/2015,58.55,59.85,58.38,59.63,340320,59.63
4/29/2015,56.93,59.33,56.54,58.58,411100,58.58
4/28/2015,56.65,57.83,56.07,57.06,281860,57.06
4/27/2015,57.3,57.89,56.52,56.99,250560,56.99
4/24/2015,57.53,57.95,56.5,57.15,328320,57.15
4/23/2015,56.28,58.41,55.76,57.74,415570,57.74
4/22/2015,56.34,57.19,55.73,56.16,329630,56.16
4/21/2015,57.94,58.05,56.11,56.61,354240,56.61
4/20/2015,57.75,58.63,56.4,57.88,384480,57.88
4/17/2015,57.97,58.34,56.85,57.32,259080,57.32
4/16/2015,57.19,58.82,56.56,58.11,269520,58.11
4/15/2015,55.01,57.92,54.88,57.69,333570,57.69
4/14/2015,53.81,55.35,53.67,54.87,226500,54.87
4/13/2015,53.56,54.83,53.31,53.74,167960,53.74
4/10/2015,52.28,53.68,51.78,53.51,184140,53.51
4/9/2015,52.48,53.67,52.23,52.49,208280,52.49
4/8/2015,54.39,54.51,51.82,51.87,227000,51.87
4/7/2015,53.48,55.37,52.66,55.23,259620,55.23
4/6/2015,49.47,52.24,49.47,52.14,325280,52.14
4/2/2015,49.59,50.27,48.11,49.14,453390,49.14
4/1/2015,47.55,50.45,47.05,50.09,451100,50.09
3/31/2015,48.73,48.73,47.28,47.6,365750,47.6
3/30/2015,48.57,49.16,47.61,48.68,355870,48.68
3/27/2015,51.01,51.38,48.21,48.87,384090,48.87
3/26/2015,49.02,52.48,48.73,51.43,515280,51.43
3/25/2015,47.72,49.46,47,49.21,398800,49.21
3/24/2015,47.46,48.56,46.67,47.51,309550,47.51
3/23/2015,46.41,47.61,45.33,47.45,292420,47.45
3/20/2015,45.66,47.43,44.82,46.57,379180,46.57
3/19/2015,46.61,46.81,44.77,45.53,375990,45.53
3/18/2015,44.5,47.48,44.03,46.65,385530,46.65
3/17/2015,46.07,46.24,44.36,45.19,273300,45.19
3/16/2015,47.11,47.28,45.08,46.13,224570,46.13
3/13/2015,49.05,49.47,46.97,47.06,247320,47.06
3/12/2015,50.23,50.69,48.88,49.13,193860,49.13
3/11/2015,50.51,50.8,49.17,50.02,210680,50.02
3/10/2015,51.81,52.02,49.97,50.07,177840,50.07
3/9/2015,51.4,52.44,51.06,51.66,216580,51.66
3/6/2015,52.71,53.04,50.8,51.47,161970,51.47
3/5/2015,53.28,54,52.4,52.55,124810,52.55
3/4/2015,52.55,53.56,51.52,53.23,194150,53.23
3/3/2015,51.76,52.75,51.54,52.5,126800,52.5
3/2/2015,49.45,51.04,48.71,49.59,427180,49.59
2/27/2015,48.97,49.94,48.46,49.76,399490,49.76
2/26/2015,51,51.22,47.8,48.17,459580,48.17
2/25/2015,49.16,51.28,48.43,50.99,429520,50.99
2/24/2015,49.42,50.33,48.68,49.28,293100,49.28
2/23/2015,50.75,50.99,48.67,49.45,475380,49.45
2/20/2015,52.14,52.49,50.71,50.81,366130,50.81
2/19/2015,51.25,52.72,49.82,51.83,554330,51.83
2/18/2015,54.05,54.22,51,52.82,280310,52.82
2/17/2015,53.5,54.92,51.64,54.29,278390,54.29
2/16/2015,54.04,54.08,52.92,53.61,,53.61
2/15/2015,53.75,54.42,53.71,54.06,,54.06
2/13/2015,52.21,54.35,51.96,53.67,225170,53.67
2/12/2015,50.32,52.52,50.07,52.16,270200,52.16
2/11/2015,51.95,52,48.93,49.78,231100,49.78
2/10/2015,53.25,53.45,50.75,50.93,219610,50.93
2/9/2015,53.05,54.71,52.45,53.67,248740,53.67
2/6/2015,51.76,53.98,51.58,52.5,189110,52.5
2/5/2015,49.64,52.92,48.2,51.31,149770,51.31
2/4/2015,52.78,53.38,48.81,49.3,137920,49.3
2/3/2015,50.62,55.05,50.56,53.86,137420,53.86
2/2/2015,48.62,51.29,47.46,50.45,117410,50.45
1/30/2015,45.37,49.1,45.07,48.99,94950,48.99
1/29/2015,45.04,45.7,44.37,45.3,70850,45.3
1/28/2015,46.59,46.59,44.89,45.23,98030,45.23
1/27/2015,45.86,47.27,45.57,46.95,60370,46.95
1/26/2015,46.01,47.12,45.09,45.88,60130,45.88
1/23/2015,46.98,48.41,46,46.32,81880,46.32
1/22/2015,48.08,49.75,46.56,46.98,81760,46.98
1/21/2015,47.38,48.87,47.27,48.43,73410,48.43
1/20/2015,49.88,49.88,47.06,47.17,86680,47.17
1/19/2015,48.84,49.19,47.64,47.78,,47.78
1/18/2015,48.95,49.06,48.78,48.85,,48.85
1/16/2015,47.52,50.03,47.16,49.84,67440,49.84
1/15/2015,49.78,52.28,47.27,47.47,87670,47.47
1/14/2015,47.36,50.03,46.4,49.62,71230,49.62
1/13/2015,46.38,47.39,44.78,46.51,278360,46.51
1/12/2015,48.88,48.88,46.24,46.76,219590,46.76
1/9/2015,49.43,50.07,47.72,48.99,199620,48.99
1/8/2015,49.18,50.04,48.2,49.28,175890,49.28
1/7/2015,48.46,49.78,47.35,49.08,183040,49.08
1/6/2015,50,50.37,47.55,47.93,451640,47.93
1/5/2015,52.61,52.73,49.68,50.04,375780,50.04
1/2/2015,53.76,55.11,52.03,52.69,268710,52.69
1/1/2015,53.73,54.85,53.72,54.56,,54.56
12/31/2014,53.87,54.02,52.44,53.27,233520,53.27
12/30/2014,53.72,54.32,52.7,54.12,218560,54.12
12/29/2014,55.05,55.74,52.9,53.61,241380,53.61
12/26/2014,55.86,56.59,54.51,54.73,127200,54.73
12/25/2014,55.87,56.05,55.73,55.92,,55.92
12/24/2014,56.8,57.15,55.07,55.84,174970,55.84
12/23/2014,55.39,57.56,55.06,57.12,274000,57.12
12/22/2014,57.75,58.53,55.13,55.26,277320,55.26
12/19/2014,55.12,58.42,54.42,57.13,383540,57.13
12/18/2014,56.17,59.04,54.28,54.36,454010,54.36
12/17/2014,55.85,59.27,54.6,56.79,340240,56.79
12/16/2014,55.78,57.44,53.94,56.26,292440,56.26
12/15/2014,56.9,59,55.42,56.26,194960,56.26
12/12/2014,59.39,59.79,57.63,58.08,161610,58.08
12/11/2014,61.35,61.88,59.2,60.19,142620,60.19
12/10/2014,63.41,63.6,60.61,61.16,148200,61.16
12/9/2014,63.16,64.35,62.41,63.98,99110,63.98
12/8/2014,65.6,65.61,62.94,63.21,105560,63.21
12/5/2014,66.8,66.89,65.17,65.84,276530,65.84
12/4/2014,67.4,68.22,66.09,66.81,237010,66.81
12/3/2014,67.6,68.23,66.8,67.38,293480,67.38
12/2/2014,69.24,69.32,66.67,66.88,360300,66.88
12/1/2014,66,69.54,63.72,69,504120,69
11/28/2014,73.5,73.56,65.69,66.15,552880,66.15
11/27/2014,73.54,73.55,67.77,68.55,,68.55
11/26/2014,73.87,74.48,73.3,73.69,258380,73.69
11/25/2014,75.51,76.58,73.71,74.09,294450,74.09
11/24/2014,76.62,77.02,75.45,75.78,194750,75.78
11/21/2014,76.29,77.83,75.62,76.51,275320,76.51
11/20/2014,74.34,76.37,74.2,75.85,236720,75.85
11/19/2014,74.26,75.42,73.92,74.5,351850,74.5
11/18/2014,75.54,76.48,74.17,74.64,188960,74.64
11/17/2014,75.9,76.16,74.75,75.66,142710,75.66
11/14/2014,74.31,76.27,73.22,75.82,151860,75.82
11/13/2014,76.87,77.09,74.02,74.16,189990,74.16
11/12/2014,77.42,77.92,76.6,77.15,162390,77.15
11/11/2014,77.21,77.95,76.41,77.87,128200,77.87
11/10/2014,78.45,79.8,77.11,77.38,111380,77.38
11/7/2014,77.86,79.41,77.47,78.65,306080,78.65
11/6/2014,78.87,78.98,77.12,77.91,292900,77.91
11/5/2014,77.36,79.35,76.46,78.68,447690,78.68
11/4/2014,78.22,78.41,75.84,77.19,432760,77.19
11/3/2014,80.59,80.98,78.08,78.78,386050,78.78
10/31/2014,81.04,81.27,79.55,80.54,294180,80.54
10/30/2014,81.93,82.09,80.72,81.12,270070,81.12
10/29/2014,81.55,82.88,81.44,82.2,283760,82.2
10/28/2014,80.64,81.66,80.36,81.42,226070,81.42
10/27/2014,81.27,81.29,79.44,81,285330,81
10/24/2014,81.95,81.95,80.36,81.01,272510,81.01
10/23/2014,80.42,82.37,80.05,82.09,354840,82.09
10/22/2014,82.55,83.15,80.22,80.52,352220,80.52
10/21/2014,81.86,83.26,81.57,82.49,297520,82.49
10/20/2014,82.39,82.73,80.78,81.91,301040,81.91
10/17/2014,82.4,83.74,81.75,82.06,217690,82.06
10/16/2014,80.37,84.08,79.1,81.95,259580,81.95
10/15/2014,81.73,81.76,79.38,80.94,261130,80.94
10/14/2014,84.12,84.78,80.68,81.2,268990,81.2
10/13/2014,84.74,85.13,83.4,84.98,130020,84.98
10/10/2014,84.39,86.29,83.59,85.82,396530,85.82
10/9/2014,87.73,87.95,84.06,85.77,345020,85.77
10/8/2014,88.43,88.63,86.83,87.31,373750,87.31
10/7/2014,90.45,90.57,88.38,88.85,300110,88.85
10/6/2014,89.77,90.74,88.76,90.34,276610,90.34
10/3/2014,91.38,91.79,89.36,89.74,342800,89.74
10/2/2014,90.74,91.54,88.18,91.01,449550,91.01
10/1/2014,91.36,92.96,90.47,90.73,389250,90.73
9/30/2014,94.34,94.9,90.86,91.16,429250,91.16
9/29/2014,93.35,94.64,92.74,94.57,261250,94.57
9/26/2014,92.47,93.86,92.23,93.54,258890,93.54
9/25/2014,92.89,93.54,92.05,92.53,248850,92.53
9/24/2014,91.72,93.29,91.12,92.8,282630,92.8
9/23/2014,90.7,92.09,90.58,91.56,247770,91.56
9/22/2014,91.69,91.92,90.41,90.87,229230,90.87
9/19/2014,91.96,92.24,91.15,91.65,250460,91.65
9/18/2014,92.82,93.6,91.81,91.98,168110,91.98
9/17/2014,93.68,94.01,92.72,93.2,157910,93.2
9/16/2014,91.91,94.12,91.52,93.81,149070,93.81
9/15/2014,91.24,92.06,89.76,91.99,104820,91.99
9/12/2014,92.09,92.66,91.12,91.37,127680,91.37
9/11/2014,90.88,92.46,89.56,91.86,191940,91.86
9/10/2014,91.95,92.18,90.36,90.84,120100,90.84
9/9/2014,92.39,93.01,91.63,91.89,125110,91.89
9/8/2014,92.92,93.03,91.22,92.05,119410,92.05
9/5/2014,94.57,94.99,92.86,93.29,261390,93.29
9/4/2014,95.07,95.39,94.16,94.45,254140,94.45
9/3/2014,93.28,95.83,93.06,95.54,294400,95.54
9/2/2014,95.81,95.91,92.68,92.88,320360,92.88
9/1/2014,95.76,95.9,95.51,95.83,,95.83
8/29/2014,94.56,96,94.48,95.96,234970,95.96
8/28/2014,93.75,94.71,93.45,94.55,262290,94.55
8/27/2014,93.88,94.24,93.36,93.88,174910,93.88
8/26/2014,93.36,94.35,93.35,93.86,176280,93.86
8/25/2014,93.34,93.95,93.05,93.35,137420,93.35
8/22/2014,93.89,94.04,92.92,93.65,191460,93.65
8/21/2014,93.49,94.45,92.5,93.96,226340,93.96
8/20/2014,92.8,93.58,92.73,93.45,207150,93.45
8/19/2014,93.85,94.37,92.62,92.86,277500,92.86
8/18/2014,95.14,95.14,93.42,93.75,177860,93.75
8/15/2014,93.93,95.38,93.91,95.32,195330,95.32
8/14/2014,96.45,96.68,93.85,94.08,219240,94.08
8/13/2014,96.31,96.88,95.84,96.74,128450,96.74
8/12/2014,96.95,97.08,95.9,96.48,111760,96.48
8/11/2014,96.66,97.67,96.55,97.21,114250,97.21
8/8/2014,97.64,98.45,97.15,97.65,266010,97.65
8/7/2014,96.89,97.72,96.55,97.34,286530,97.34
8/6/2014,97.62,98.13,96.69,96.92,263600,96.92
8/5/2014,98.41,98.67,97,97.38,242240,97.38
8/4/2014,97.67,98.67,97.43,98.29,204260,98.29
8/1/2014,97.7,98.1,97.09,97.88,274990,97.88
7/31/2014,99.47,99.85,97.6,98.17,335790,98.17
7/30/2014,101.03,101.67,99.42,100.27,263970,100.27
7/29/2014,101.6,101.83,100.37,100.97,258060,100.97
7/28/2014,101.87,102.1,100.9,101.67,197820,101.67
7/25/2014,102.04,102.53,101,102.09,284920,102.09
7/24/2014,103.2,103.31,101.88,102.07,194400,102.07
7/23/2014,101.96,103.34,101.79,103.12,260650,103.12
7/22/2014,102.77,103.45,101.9,102.39,252400,102.39
7/21/2014,101.86,102.97,101.48,102.86,312630,102.86
7/18/2014,102.77,102.98,101.65,101.95,217750,101.95
7/17/2014,100.8,102.91,100.61,102.2,256900,102.2
7/16/2014,99.73,100.92,99.6,100.6,161600,100.6
7/15/2014,100.54,100.63,98.68,99.53,203970,99.53
7/14/2014,100.05,100.78,99.72,100.48,151220,100.48
7/11/2014,102.86,102.92,100.44,100.83,272550,100.83
7/10/2014,101.95,103,101.55,102.93,238080,102.93
7/9/2014,103.45,103.6,101.85,102.29,250990,102.29
7/8/2014,103.39,104.2,103.01,103.4,249380,103.4
7/7/2014,104.06,104.09,103.19,103.53,189250,103.53
7/4/2014,104.11,104.12,103.64,103.76,,103.76
