Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,48.490002,48.779999,47.509998,48.669998,209500,48.669998
2015-08-06,49.959999,49.959999,48.709999,48.799999,134100,48.799999
2015-08-05,49.639999,50.66,49.360001,49.77,324500,49.77
2015-08-04,49.59,49.849998,49.09,49.349998,162500,49.349998
2015-08-03,49.860001,50.240002,49.200001,49.580002,175300,49.580002
2015-07-31,49.349998,50.529999,49.169998,50.060001,200300,50.060001
2015-07-30,48.610001,49.57,47.990002,49.200001,178100,49.200001
2015-07-29,48.439999,49.540001,48.220001,48.759998,126100,48.759998
2015-07-28,49.150002,49.810001,47.509998,48.330002,212300,48.330002
2015-07-27,49.009998,49.50,48.02,49.09,311000,49.09
2015-07-24,51.00,52.080002,47.27,48.830002,907500,48.830002
2015-07-23,56.259998,56.790001,55.279999,55.66,369500,55.66
2015-07-22,55.639999,56.779999,55.27,56.75,183900,56.75
2015-07-21,53.810001,55.939999,53.669998,55.93,128900,55.93
2015-07-20,54.349998,54.759998,53.48,54.029999,184000,54.029999
2015-07-17,54.240002,54.830002,53.580002,54.41,176600,54.41
2015-07-16,54.369999,54.439999,53.849998,54.139999,92000,54.139999
2015-07-15,53.91,54.490002,53.779999,54.00,90600,54.00
2015-07-14,53.799999,54.27,53.610001,53.990002,55000,53.990002
2015-07-13,53.529999,54.130001,53.00,53.82,95700,53.82
2015-07-10,50.959999,53.549999,50.91,53.470001,161800,53.470001
2015-07-09,50.43,51.00,50.099998,50.50,110400,50.50
2015-07-08,50.93,51.009998,49.66,50.049999,174000,50.049999
2015-07-07,51.049999,51.549999,50.23,51.259998,86300,51.259998
2015-07-06,50.209999,51.34,49.91,51.23,106800,51.23
2015-07-02,52.029999,52.060001,50.450001,50.48,97300,50.48
2015-07-01,51.84,52.110001,50.950001,52.02,199900,52.02
2015-06-30,51.349998,51.91,50.950001,51.48,94500,51.48
2015-06-29,51.950001,52.41,51.099998,51.169998,84800,51.169998
2015-06-26,52.669998,52.790001,51.669998,52.080002,132500,52.080002
2015-06-25,51.619999,52.779999,51.299999,52.580002,128900,52.580002
2015-06-24,52.419998,52.610001,51.389999,51.439999,127000,51.439999
2015-06-23,53.009998,53.450001,52.43,52.459999,129400,52.459999
2015-06-22,52.25,53.369999,52.009998,53.130001,391800,53.130001
2015-06-19,52.209999,52.209999,51.779999,51.990002,127800,51.990002
2015-06-18,51.779999,52.369999,51.66,52.049999,241900,52.049999
2015-06-17,51.73,52.360001,51.619999,51.759998,105300,51.759998
2015-06-16,51.00,51.759998,51.00,51.50,156400,51.50
2015-06-15,51.25,51.389999,50.52,51.16,124100,51.16
2015-06-12,51.48,51.84,51.27,51.360001,92600,51.360001
2015-06-11,51.48,51.77,51.00,51.57,106100,51.57
2015-06-10,51.66,51.990002,51.02,51.52,176300,51.52
2015-06-09,52.41,52.41,51.459999,51.540001,101700,51.540001
2015-06-08,52.880001,53.259998,52.259998,52.290001,135000,52.290001
2015-06-05,52.82,53.049999,52.18,53.040001,213000,53.040001
2015-06-04,52.889999,53.16,52.639999,52.799999,160500,52.799999
2015-06-03,52.91,53.630001,52.779999,53.119999,235000,53.119999
2015-06-02,52.849998,53.139999,52.529999,52.93,322100,52.93
2015-06-01,53.00,53.439999,52.529999,52.990002,230500,52.880002
2015-05-29,52.799999,53.400002,52.52,53.110001,181200,52.999752
2015-05-28,53.220001,53.439999,52.650002,52.790001,220700,52.680417
2015-05-27,53.389999,53.630001,52.740002,53.419998,87400,53.309106
2015-05-26,52.50,53.599998,52.48,53.330002,141500,53.219297
2015-05-22,52.939999,53.209999,52.259998,52.689999,81600,52.580622
2015-05-21,52.639999,53.490002,52.580002,53.049999,93800,52.939875
2015-05-20,52.990002,53.040001,52.349998,52.619999,98500,52.510768
2015-05-19,53.18,53.400002,52.82,52.860001,81100,52.750271
2015-05-18,52.540001,53.790001,52.509998,53.25,91200,53.139461
2015-05-15,52.810001,53.049999,52.310001,52.740002,98000,52.630521
2015-05-14,52.450001,53.299999,51.77,52.75,87300,52.640499
2015-05-13,52.060001,52.740002,51.360001,52.150002,133800,52.041746
2015-05-12,53.189999,53.189999,52.049999,52.09,235300,51.981869
2015-05-11,54.139999,54.759998,53.02,53.23,318600,53.119502
2015-05-08,55.00,55.799999,53.950001,54.259998,196200,54.147363
2015-05-07,52.610001,54.630001,52.16,54.529999,196800,54.416803
2015-05-06,53.360001,53.470001,52.02,52.740002,294700,52.630521
2015-05-05,55.02,55.240002,53.080002,53.150002,262200,53.03967
2015-05-04,55.48,56.349998,55.00,55.080002,312200,54.965664
2015-05-01,62.00,62.860001,55.00,55.48,1176200,55.364831
2015-04-30,64.00,64.650002,63.880001,64.00,310400,63.867146
2015-04-29,64.559998,64.739998,63.459999,64.099998,157000,63.966936
2015-04-28,62.84,64.660004,62.209999,64.559998,238500,64.425981
2015-04-27,63.41,64.169998,62.200001,62.48,107100,62.3503
2015-04-24,63.57,63.91,63.299999,63.619999,79200,63.487933
2015-04-23,63.259998,63.919998,62.98,63.310001,94000,63.178579
2015-04-22,63.369999,63.50,62.549999,63.25,58700,63.118702
2015-04-21,62.919998,63.50,62.919998,63.34,96000,63.208516
2015-04-20,62.48,63.98,62.299999,63.009998,118800,62.879199
2015-04-17,63.360001,63.41,62.23,62.290001,83600,62.160696
2015-04-16,63.91,64.25,63.259998,63.779999,54900,63.647601
2015-04-15,64.389999,64.949997,63.830002,63.869999,86100,63.737414
2015-04-14,64.559998,64.639999,63.810001,64.400002,143300,64.266317
2015-04-13,64.019997,64.480003,63.950001,64.290001,60400,64.156544
2015-04-10,63.919998,64.480003,63.50,63.93,68100,63.797291
2015-04-09,63.25,63.919998,62.740002,63.540001,98400,63.408101
2015-04-08,62.32,63.610001,62.00,63.119999,102900,62.988971
2015-04-07,62.43,63.41,62.130001,62.200001,85700,62.070883
2015-04-06,62.939999,63.119999,62.139999,62.279999,130100,62.150715
2015-04-02,64.089996,64.120003,63.02,63.099998,115800,62.969012
2015-04-01,63.919998,64.019997,62.52,63.84,119900,63.707478
2015-03-31,66.059998,66.519997,63.849998,64.110001,121700,63.976918
2015-03-30,64.690002,66.889999,64.410004,66.540001,142500,66.401874
2015-03-27,64.18,64.779999,63.32,64.400002,83800,64.266317
2015-03-26,64.300003,65.279999,63.419998,64.230003,157700,64.096671
2015-03-25,64.400002,64.529999,63.540001,64.50,209900,64.366108
2015-03-24,63.779999,64.82,63.439999,64.370003,73500,64.23638
2015-03-23,65.769997,65.830002,63.110001,63.810001,156900,63.677541
2015-03-20,65.00,65.839996,64.900002,65.610001,215600,65.473804
2015-03-19,63.23,64.50,63.040001,64.279999,92600,64.146563
2015-03-18,64.00,64.279999,63.009998,63.18,149600,63.048848
2015-03-17,63.619999,64.57,63.419998,64.139999,141100,64.006854
2015-03-16,63.419998,64.919998,63.25,63.93,94200,63.797291
2015-03-13,62.950001,63.52,62.060001,62.880001,81200,62.749472
2015-03-12,62.32,63.25,62.139999,62.98,135200,62.849262
2015-03-11,62.41,62.82,61.630001,61.98,147400,61.851338
2015-03-10,62.689999,63.400002,62.18,62.279999,191700,62.150715
2015-03-09,62.540001,63.59,62.02,63.34,196300,63.208516
2015-03-06,61.950001,62.57,61.50,62.389999,176000,62.260487
2015-03-05,62.439999,62.639999,61.98,62.150002,131600,62.020987
2015-03-04,61.790001,62.619999,61.119999,62.110001,134600,61.98107
2015-03-03,62.650002,62.650002,61.209999,61.790001,121000,61.661734
2015-03-02,61.00,63.00,60.75,62.549999,159300,62.420155
2015-02-27,61.139999,61.93,60.919998,60.919998,123300,60.793537
2015-02-26,61.740002,61.740002,60.98,61.459999,90600,61.232625
2015-02-25,60.880001,61.959999,60.43,61.919998,110500,61.690923
2015-02-24,62.25,62.25,60.889999,60.919998,134200,60.694622
2015-02-23,59.970001,62.049999,59.59,62.029999,195000,61.800516
2015-02-20,60.09,60.75,59.099998,60.169998,189000,59.947397
2015-02-19,60.540001,61.189999,60.290001,60.330002,123900,60.106809
2015-02-18,60.900002,61.360001,60.450001,60.560001,248700,60.335957
2015-02-17,61.189999,61.330002,60.790001,61.110001,134000,60.883922
2015-02-13,60.41,61.450001,59.639999,60.93,165200,60.704587
2015-02-12,58.849998,60.509998,58.50,60.279999,123800,60.05699
2015-02-11,59.330002,59.599998,58.099998,58.470001,123500,58.253689
2015-02-10,60.200001,60.419998,59.299999,59.48,181200,59.259951
2015-02-09,60.50,61.509998,59.610001,59.740002,231000,59.518991
2015-02-06,58.84,59.41,58.220001,59.130001,251100,58.911247
